county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-02,Auditor General,,DEM,CHRISTINA M HARTMAN,12,1,0,1,10
PHILADELPHIA,01-02,Auditor General,,DEM,H SCOTT CONKLIN,6,3,0,0,3
PHILADELPHIA,01-02,Auditor General,,DEM,MICHAEL LAMB,16,5,0,1,10
PHILADELPHIA,01-02,Auditor General,,DEM,NINA AHMAD,192,30,4,21,137
PHILADELPHIA,01-02,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,11,3,0,1,7
PHILADELPHIA,01-02,Auditor General,,DEM,TRACIE FOUNTAIN,16,1,0,3,12
PHILADELPHIA,01-02,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-02,Auditor General,,REP,TIMOTHY DEFOOR,13,8,0,0,5
PHILADELPHIA,01-02,Auditor General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-02,State Treasurer,,DEM,JOE TORSELLA,218,38,3,24,153
PHILADELPHIA,01-02,State Treasurer,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-02,State Treasurer,,REP,STACY L GARRITY,13,8,0,0,5
PHILADELPHIA,01-02,State Treasurer,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-02,U.S. House,3,DEM,DWIGHT EVANS,213,33,3,24,153
PHILADELPHIA,01-02,U.S. House,3,DEM,Write-ins,4,0,0,0,4
PHILADELPHIA,01-02,U.S. House,3,REP,MICHAEL HARVEY,12,8,0,0,4
PHILADELPHIA,01-02,State Senate,1,DEM,LARRY FARNESE,65,8,1,6,50
PHILADELPHIA,01-02,State Senate,1,DEM,NIKIL SAVAL,197,37,4,21,135
PHILADELPHIA,01-02,General Assembly,184,DEM,ELIZABETH FIEDLER,253,42,4,27,180
PHILADELPHIA,01-02,General Assembly,184,DEM,Write-ins,3,0,1,1,1
PHILADELPHIA,01-02,General Assembly,184,REP,LOU MENNA IV,12,8,0,0,4
PHILADELPHIA,01-03,Registered Voters,,,Registered Voters,710,,,,
PHILADELPHIA,01-03,Registered Voters,,DEM,Registered Voters,525,,,,
PHILADELPHIA,01-03,Registered Voters,,GRN,Registered Voters,1,,,,
PHILADELPHIA,01-03,Registered Voters,,LIB,Registered Voters,5,,,,
PHILADELPHIA,01-03,Registered Voters,,NPA,Registered Voters,74,,,,
PHILADELPHIA,01-03,Registered Voters,,REP,Registered Voters,105,,,,
PHILADELPHIA,01-03,Ballots Cast,,,Ballots Cast,302,75,2,27,198
PHILADELPHIA,01-03,Ballots Cast,,DEM,Ballots Cast,274,58,2,26,188
PHILADELPHIA,01-03,Ballots Cast,,NPA,Ballots Cast,7,3,0,0,4
PHILADELPHIA,01-03,Ballots Cast,,REP,Ballots Cast,21,14,0,1,6
PHILADELPHIA,01-03,President,,DEM,BERNIE SANDERS,99,15,2,3,79
PHILADELPHIA,01-03,President,,DEM,Joseph R. Biden,148,34,0,22,92
PHILADELPHIA,01-03,President,,DEM,TULSI GABBARD,3,2,0,0,1
PHILADELPHIA,01-03,President,,DEM,Write-ins,14,1,0,1,12
PHILADELPHIA,01-03,President,,REP,BILL WELD,2,0,0,1,1
PHILADELPHIA,01-03,President,,REP,Donald J. Trump,18,13,0,0,5
PHILADELPHIA,01-03,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-03,President,,REP,Write-ins,0,0,0,0,0
