county,precinct,office,district,candidate,party,votes
Clark,3613,STATE QUESTION NO. 3,,Yes,,657
Clark,3613,STATE QUESTION NO. 4,,No,,235
Clark,3613,STATE QUESTION NO. 4,,Yes,,748
Clark,3613,STATE QUESTION NO. 6,,No,,313
Clark,3613,STATE QUESTION NO. 6,,Yes,,666
Clark,3613,State Senate,18,"Becker, Liz",,609
Clark,3613,State Senate,18,"Hammond, Scott T.",,403
Clark,3613,"Supreme Court Justice, Seat B",,None Of These Candidates,,201
Clark,3613,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,716
Clark,3613,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,428
Clark,3613,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,340
Clark,3613,"Supreme Court Justice, Seat D",,None Of These Candidates,,180
Clark,3613,Trustee Clark County School District E,,"Brooks, Lola",,471
Clark,3613,Trustee Clark County School District E,,"Salt, Alexis",,337
Clark,3613,U.S. House,4,"Esteban, Jonathan Royce",LIB,16
Clark,3613,U.S. House,4,"Horsford, Steven A.",DEM,602
Clark,3613,U.S. House,4,"Marchant, Jim",REP,386
Clark,3613,U.S. House,4,"Rubinson, Barry",IAP,15
Clark,3700,County Commissioner District C,,"Anthony, Stavros",,11
Clark,3700,County Commissioner District C,,"Miller, Ross",,1
Clark,3700,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,*
Clark,3700,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,*
Clark,3700,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,*
Clark,3700,"District Court Judge, District 8, Department 1",,"Villani, Jacob",,*
Clark,3700,"District Court Judge, District 8, Department 1",,"Yeager, Bita ""Marie""",,*
Clark,3700,"District Court Judge, District 8, Department 2",,"Kierny, Carli Lynn",,*
Clark,3700,"District Court Judge, District 8, Department 2",,"Scotti, Richard",,*
Clark,3700,"District Court Judge, District 8, Department 3",,"Ganz, Adam",,*
Clark,3700,"District Court Judge, District 8, Department 3",,"Trujillo, Monica",,*
Clark,3700,"District Court Judge, District 8, Department 4",,"Aurbach, Phil",,*
Clark,3700,"District Court Judge, District 8, Department 4",,"Krall, Nadia",,*
Clark,3700,"District Court Judge, District 8, Department 5",,"Barisich, Veronica",,*
Clark,3700,"District Court Judge, District 8, Department 5",,"Coffing, Terry",,*
Clark,3700,"District Court Judge, District 8, Department 6",,"Bluth, Jacqueline",,*
Clark,3700,"District Court Judge, District 8, Department 6",,"Leventhal, Todd M.",,*
Clark,3700,"District Court Judge, District 8, Department 7",,"Bell, Linda Marie",,*
Clark,3700,"District Court Judge, District 8, Department 8",,"Atkin, Trevor",,*
Clark,3700,"District Court Judge, District 8, Department 8",,"Peterson, Jessica K.",,*
Clark,3700,"District Court Judge, District 8, Department 9",,"Silva, Cristina D.",,*
Clark,3700,"District Court Judge, District 8, Department 10",,"Jones, Tierra",,*
Clark,3700,"District Court Judge, District 8, Department 11",,"Gonzalez, Elizabeth ""Betsy""",,*
Clark,3700,"District Court Judge, District 8, Department 12",,"Leavitt, Michelle",,*
Clark,3700,"District Court Judge, District 8, Department 13",,"Denton, Mark",,*
Clark,3700,"District Court Judge, District 8, Department 14",,"Escobar, Adriana",,*
Clark,3700,"District Court Judge, District 8, Department 15",,"Hardy, Jr., Joe",,*
Clark,3700,"District Court Judge, District 8, Department 16",,"Williams, Tim",,*
Clark,3700,"District Court Judge, District 8, Department 17",,"Albertson, Anna",,*
Clark,3700,"District Court Judge, District 8, Department 17",,"Villani, Michael",,*
Clark,3700,"District Court Judge, District 8, Department 18",,"Holthus, Mary Kay",,*
Clark,3700,"District Court Judge, District 8, Department 18",,"Hunt, John A.",,*
Clark,3700,"District Court Judge, District 8, Department 19",,"Eller, Crystal",,*
Clark,3700,"District Court Judge, District 8, Department 19",,"Kephart, William ""Bill""",,*
Clark,3700,"District Court Judge, District 8, Department 20",,"Hooker, Dawn Allysa",,*
Clark,3700,"District Court Judge, District 8, Department 20",,"Johnson, Eric",,*
Clark,3700,"District Court Judge, District 8, Department 21",,"Clark Newberry, Tara",,*
Clark,3700,"District Court Judge, District 8, Department 21",,"Reynolds, Jacob",,*
Clark,3700,"District Court Judge, District 8, Department 22",,"Johnson, Susan",,*
Clark,3700,"District Court Judge, District 8, Department 22",,"Nadig, Ben",,*
Clark,3700,"District Court Judge, District 8, Department 23",,"Armstrong, Karl W.",,*
Clark,3700,"District Court Judge, District 8, Department 23",,"Lilly-Spells, Jasmin",,*
Clark,3700,"District Court Judge, District 8, Department 24",,"Ballou, Erika D.",,*
Clark,3700,"District Court Judge, District 8, Department 24",,"Gilliam, Dan",,*
Clark,3700,"District Court Judge, District 8, Department 25",,"Delaney, Kathleen E.",,*
Clark,3700,"District Court Judge, District 8, Department 26",,"Sturman, Gloria",,*
Clark,3700,"District Court Judge, District 8, Department 27",,"Allf, Nancy",,*
Clark,3700,"District Court Judge, District 8, Department 28",,"Israel, Ron",,*
Clark,3700,"District Court Judge, District 8, Department 29",,"JONES, DAVID M.",,*
Clark,3700,"District Court Judge, District 8, Department 29",,"LÛpez-Negrete, David",,*
Clark,3700,"District Court Judge, District 8, Department 30",,"Wiese, Jerry A.",,*
Clark,3700,"District Court Judge, District 8, Department 31",,"Call, Gary W.",,*
Clark,3700,"District Court Judge, District 8, Department 31",,"Kishner, Joanna",,*
Clark,3700,"District Court Judge, District 8, Department 32",,"Bare, Rob",,*
Clark,3700,"District Court Judge, District 8, Department 32",,"Craig, Christy",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department A",,"Voy, William",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department B",,"Marquis, Linda",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department C",,"Burton, Rebecca",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department D",,"Teuton, Robert W. ""Bob""",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department E",,"Hoskin, Charles J. ""Chuck""",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department E",,"Kurtz, Thomas G.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department F",,"Gentile, Denise L.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department G",,"Childs, Sr., Benjamin Boone",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department G",,"Forsberg, Rhonda K.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department H",,"Ritchie, Art",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department I",,"Bailey, Soonhee ""Sunny""",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department I",,"Tobler, Michelle O.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department J",,"Butler, Dedree ""Dee""",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department J",,"MacDonald, J. Scott",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department K",,"Giuliani, Cynthia N.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department L",,"Gibson, Jr., David",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department M",,"Hughes, Lynn",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department M",,"MASTIN, AMY M.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department N",,"Harter, Mathew",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department O",,"Sullivan, Frank P.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department P",,"Dayani, Sara",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department P",,"Perry, Mary",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department Q",,"Duckworth, Bryce C.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department R",,"Henderson, Bill",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department S",,"Ochoa, Vincent",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department T",,"Cutter, Nadin",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department T",,"Stoffel, Jason",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department U",,"Gonzalez, Bill",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department U",,"Throne, Dawn",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department V",,"Pickard, Margaret E.",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department W",,"Rincon White, Adriana",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department W",,"Rocheleau, Stacy Michelle",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department X",,"Almase, Heidi",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department X",,"Davis, Jim",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department Y",,"Charter, Stephanie",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department Z",,"Mercer, Michele ""Shell""",,*
Clark,3700,"District Court Judge, District 8, Family Division, Department Z",,"Perez, Romeo",,*
Clark,3700,"Justice of the Peace, Las Vegas Twnsh Department 12",,"Clowers-Sanborn, Shanon",,*
Clark,3700,"Justice of the Peace, Las Vegas Twnsh Department 12",,"Sullivan, Diana L.",,*
Clark,3700,President,,"BIDEN, JOSEPH R.",DEM,1
Clark,3700,President,,"BLANKENSHIP, DON",,0
Clark,3700,President,,"JORGENSEN, JO",LIB,0
Clark,3700,President,,None Of These Candidates,,0
Clark,3700,President,,"TRUMP, DONALD J.",REP,11
Clark,3700,State Assembly,36,"HAFEN II, GREGORY",,11
Clark,3700,"State Board of Education, Dist. 4",,"Cantu, Rene",,*
Clark,3700,"State Board of Education, Dist. 4",,"NEWBURN, MARK",,*
Clark,3700,STATE QUESTION NO. 1,,No,,9
Clark,3700,STATE QUESTION NO. 1,,Yes,,3
Clark,3700,STATE QUESTION NO. 2,,No,,10
Clark,3700,STATE QUESTION NO. 2,,Yes,,2
Clark,3700,STATE QUESTION NO. 3,,No,,9
Clark,3700,STATE QUESTION NO. 3,,Yes,,3
Clark,3700,STATE QUESTION NO. 4,,No,,9
Clark,3700,STATE QUESTION NO. 4,,Yes,,3
Clark,3700,STATE QUESTION NO. 6,,No,,10
Clark,3700,STATE QUESTION NO. 6,,Yes,,2
Clark,3700,State Senate,19,"Goicoechea, Pete",,11
Clark,3700,State Senate,19,"Seeback, Tiffany ""Gholson""",,1
Clark,3700,"Supreme Court Justice, Seat B",,None Of These Candidates,,*
Clark,3700,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,*
Clark,3700,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,1
Clark,3700,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,9
Clark,3700,"Supreme Court Justice, Seat D",,None Of These Candidates,,1
Clark,3700,Trustee Clark County School District E,,"Brooks, Lola",,*
Clark,3700,Trustee Clark County School District E,,"Salt, Alexis",,*
Clark,3700,U.S. House,4,"Esteban, Jonathan Royce",LIB,0
Clark,3700,U.S. House,4,"Horsford, Steven A.",DEM,1
Clark,3700,U.S. House,4,"Marchant, Jim",REP,11
Clark,3700,U.S. House,4,"Rubinson, Barry",IAP,0
Clark,3701,County Commissioner District C,,"Anthony, Stavros",,0
Clark,3701,County Commissioner District C,,"Miller, Ross",,0
Clark,3701,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,0
Clark,3701,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,0
Clark,3701,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,0
Clark,3701,"District Court Judge, District 8, Department 1",,"Villani, Jacob",,0
Clark,3701,"District Court Judge, District 8, Department 1",,"Yeager, Bita ""Marie""",,0
Clark,3701,"District Court Judge, District 8, Department 2",,"Kierny, Carli Lynn",,0
Clark,3701,"District Court Judge, District 8, Department 2",,"Scotti, Richard",,0
Clark,3701,"District Court Judge, District 8, Department 3",,"Ganz, Adam",,0
Clark,3701,"District Court Judge, District 8, Department 3",,"Trujillo, Monica",,0
Clark,3701,"District Court Judge, District 8, Department 4",,"Aurbach, Phil",,0
Clark,3701,"District Court Judge, District 8, Department 4",,"Krall, Nadia",,0
Clark,3701,"District Court Judge, District 8, Department 5",,"Barisich, Veronica",,0
Clark,3701,"District Court Judge, District 8, Department 5",,"Coffing, Terry",,0
Clark,3701,"District Court Judge, District 8, Department 6",,"Bluth, Jacqueline",,0
Clark,3701,"District Court Judge, District 8, Department 6",,"Leventhal, Todd M.",,0
Clark,3701,"District Court Judge, District 8, Department 7",,"Bell, Linda Marie",,0
Clark,3701,"District Court Judge, District 8, Department 8",,"Atkin, Trevor",,0
Clark,3701,"District Court Judge, District 8, Department 8",,"Peterson, Jessica K.",,0
Clark,3701,"District Court Judge, District 8, Department 9",,"Silva, Cristina D.",,0
Clark,3701,"District Court Judge, District 8, Department 10",,"Jones, Tierra",,0
Clark,3701,"District Court Judge, District 8, Department 11",,"Gonzalez, Elizabeth ""Betsy""",,0
Clark,3701,"District Court Judge, District 8, Department 12",,"Leavitt, Michelle",,0
Clark,3701,"District Court Judge, District 8, Department 13",,"Denton, Mark",,0
Clark,3701,"District Court Judge, District 8, Department 14",,"Escobar, Adriana",,0
Clark,3701,"District Court Judge, District 8, Department 15",,"Hardy, Jr., Joe",,0
Clark,3701,"District Court Judge, District 8, Department 16",,"Williams, Tim",,0
Clark,3701,"District Court Judge, District 8, Department 17",,"Albertson, Anna",,0
Clark,3701,"District Court Judge, District 8, Department 17",,"Villani, Michael",,0
Clark,3701,"District Court Judge, District 8, Department 18",,"Holthus, Mary Kay",,0
Clark,3701,"District Court Judge, District 8, Department 18",,"Hunt, John A.",,0
Clark,3701,"District Court Judge, District 8, Department 19",,"Eller, Crystal",,0
Clark,3701,"District Court Judge, District 8, Department 19",,"Kephart, William ""Bill""",,0
Clark,3701,"District Court Judge, District 8, Department 20",,"Hooker, Dawn Allysa",,0
Clark,3701,"District Court Judge, District 8, Department 20",,"Johnson, Eric",,0
Clark,3701,"District Court Judge, District 8, Department 21",,"Clark Newberry, Tara",,0
Clark,3701,"District Court Judge, District 8, Department 21",,"Reynolds, Jacob",,0
Clark,3701,"District Court Judge, District 8, Department 22",,"Johnson, Susan",,0
Clark,3701,"District Court Judge, District 8, Department 22",,"Nadig, Ben",,0
Clark,3701,"District Court Judge, District 8, Department 23",,"Armstrong, Karl W.",,0
Clark,3701,"District Court Judge, District 8, Department 23",,"Lilly-Spells, Jasmin",,0
Clark,3701,"District Court Judge, District 8, Department 24",,"Ballou, Erika D.",,0
Clark,3701,"District Court Judge, District 8, Department 24",,"Gilliam, Dan",,0
Clark,3701,"District Court Judge, District 8, Department 25",,"Delaney, Kathleen E.",,0
Clark,3701,"District Court Judge, District 8, Department 26",,"Sturman, Gloria",,0
Clark,3701,"District Court Judge, District 8, Department 27",,"Allf, Nancy",,0
Clark,3701,"District Court Judge, District 8, Department 28",,"Israel, Ron",,0
Clark,3701,"District Court Judge, District 8, Department 29",,"JONES, DAVID M.",,0
Clark,3701,"District Court Judge, District 8, Department 29",,"LÛpez-Negrete, David",,0
Clark,3701,"District Court Judge, District 8, Department 30",,"Wiese, Jerry A.",,0
Clark,3701,"District Court Judge, District 8, Department 31",,"Call, Gary W.",,0
Clark,3701,"District Court Judge, District 8, Department 31",,"Kishner, Joanna",,0
Clark,3701,"District Court Judge, District 8, Department 32",,"Bare, Rob",,0
Clark,3701,"District Court Judge, District 8, Department 32",,"Craig, Christy",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department A",,"Voy, William",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department B",,"Marquis, Linda",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department C",,"Burton, Rebecca",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department D",,"Teuton, Robert W. ""Bob""",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department E",,"Hoskin, Charles J. ""Chuck""",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department E",,"Kurtz, Thomas G.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department F",,"Gentile, Denise L.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department G",,"Childs, Sr., Benjamin Boone",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department G",,"Forsberg, Rhonda K.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department H",,"Ritchie, Art",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department I",,"Bailey, Soonhee ""Sunny""",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department I",,"Tobler, Michelle O.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department J",,"Butler, Dedree ""Dee""",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department J",,"MacDonald, J. Scott",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department K",,"Giuliani, Cynthia N.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department L",,"Gibson, Jr., David",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department M",,"Hughes, Lynn",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department M",,"MASTIN, AMY M.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department N",,"Harter, Mathew",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department O",,"Sullivan, Frank P.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department P",,"Dayani, Sara",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department P",,"Perry, Mary",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department Q",,"Duckworth, Bryce C.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department R",,"Henderson, Bill",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department S",,"Ochoa, Vincent",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department T",,"Cutter, Nadin",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department T",,"Stoffel, Jason",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department U",,"Gonzalez, Bill",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department U",,"Throne, Dawn",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department V",,"Pickard, Margaret E.",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department W",,"Rincon White, Adriana",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department W",,"Rocheleau, Stacy Michelle",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department X",,"Almase, Heidi",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department X",,"Davis, Jim",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department Y",,"Charter, Stephanie",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department Z",,"Mercer, Michele ""Shell""",,0
Clark,3701,"District Court Judge, District 8, Family Division, Department Z",,"Perez, Romeo",,0
Clark,3701,"Justice of the Peace, Las Vegas Twnsh Department 12",,"Clowers-Sanborn, Shanon",,0
Clark,3701,"Justice of the Peace, Las Vegas Twnsh Department 12",,"Sullivan, Diana L.",,0
Clark,3701,President,,"BIDEN, JOSEPH R.",DEM,0
Clark,3701,President,,"BLANKENSHIP, DON",,0
Clark,3701,President,,"JORGENSEN, JO",LIB,0
Clark,3701,President,,None Of These Candidates,,0
Clark,3701,President,,"TRUMP, DONALD J.",REP,0
Clark,3701,State Assembly,4,"McArthur, Richard",,0
Clark,3701,State Assembly,4,"MUNK, CONNIE",,0
Clark,3701,"State Board of Education, Dist. 4",,"Cantu, Rene",,0
Clark,3701,"State Board of Education, Dist. 4",,"NEWBURN, MARK",,0
Clark,3701,STATE QUESTION NO. 1,,No,,0
Clark,3701,STATE QUESTION NO. 1,,Yes,,0
Clark,3701,STATE QUESTION NO. 2,,No,,0
Clark,3701,STATE QUESTION NO. 2,,Yes,,0
Clark,3701,STATE QUESTION NO. 3,,No,,0
Clark,3701,STATE QUESTION NO. 3,,Yes,,0
Clark,3701,STATE QUESTION NO. 4,,No,,0
Clark,3701,STATE QUESTION NO. 4,,Yes,,0
Clark,3701,STATE QUESTION NO. 6,,No,,0
Clark,3701,STATE QUESTION NO. 6,,Yes,,0
Clark,3701,State Senate,18,"Becker, Liz",,0
Clark,3701,State Senate,18,"Hammond, Scott T.",,0
Clark,3701,"Supreme Court Justice, Seat B",,None Of These Candidates,,0
Clark,3701,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,0
Clark,3701,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,0
Clark,3701,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,0
Clark,3701,"Supreme Court Justice, Seat D",,None Of These Candidates,,0
Clark,3701,Trustee Clark County School District E,,"Brooks, Lola",,0
Clark,3701,Trustee Clark County School District E,,"Salt, Alexis",,0
Clark,3701,U.S. House,4,"Esteban, Jonathan Royce",LIB,0
Clark,3701,U.S. House,4,"Horsford, Steven A.",DEM,0
Clark,3701,U.S. House,4,"Marchant, Jim",REP,0
Clark,3701,U.S. House,4,"Rubinson, Barry",IAP,0
Clark,3701,"University Board of Regents, District 2",,"Tarkanian, Lois",,0
Clark,3701,"University Board of Regents, District 2",,"Whipple, Bret",,0
Clark,3702,County Commissioner District C,,"Anthony, Stavros",,581
Clark,3702,County Commissioner District C,,"Miller, Ross",,807
Clark,3702,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,564
Clark,3702,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,442
Clark,3702,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,266
Clark,3702,"District Court Judge, District 8, Department 1",,"Villani, Jacob",,495
Clark,3702,"District Court Judge, District 8, Department 1",,"Yeager, Bita ""Marie""",,727
Clark,3702,"District Court Judge, District 8, Department 2",,"Kierny, Carli Lynn",,710
Clark,3702,"District Court Judge, District 8, Department 2",,"Scotti, Richard",,504
Clark,3702,"District Court Judge, District 8, Department 3",,"Ganz, Adam",,474
Clark,3702,"District Court Judge, District 8, Department 3",,"Trujillo, Monica",,735
Clark,3702,"District Court Judge, District 8, Department 4",,"Aurbach, Phil",,516
Clark,3702,"District Court Judge, District 8, Department 4",,"Krall, Nadia",,679
Clark,3702,"District Court Judge, District 8, Department 5",,"Barisich, Veronica",,678
Clark,3702,"District Court Judge, District 8, Department 5",,"Coffing, Terry",,507
Clark,3702,"District Court Judge, District 8, Department 6",,"Bluth, Jacqueline",,794
Clark,3702,"District Court Judge, District 8, Department 6",,"Leventhal, Todd M.",,400
Clark,3702,"District Court Judge, District 8, Department 7",,"Bell, Linda Marie",,1091
Clark,3702,"District Court Judge, District 8, Department 8",,"Atkin, Trevor",,558
Clark,3702,"District Court Judge, District 8, Department 8",,"Peterson, Jessica K.",,625
Clark,3702,"District Court Judge, District 8, Department 9",,"Silva, Cristina D.",,1091
Clark,3702,"District Court Judge, District 8, Department 10",,"Jones, Tierra",,1066
Clark,3702,"District Court Judge, District 8, Department 11",,"Gonzalez, Elizabeth ""Betsy""",,1088
Clark,3702,"District Court Judge, District 8, Department 12",,"Leavitt, Michelle",,1055
Clark,3702,"District Court Judge, District 8, Department 13",,"Denton, Mark",,1066
Clark,3702,"District Court Judge, District 8, Department 14",,"Escobar, Adriana",,1090
Clark,3702,"District Court Judge, District 8, Department 15",,"Hardy, Jr., Joe",,1087
Clark,3702,"District Court Judge, District 8, Department 16",,"Williams, Tim",,1058
Clark,3702,"District Court Judge, District 8, Department 17",,"Albertson, Anna",,617
Clark,3702,"District Court Judge, District 8, Department 17",,"Villani, Michael",,571
Clark,3702,"District Court Judge, District 8, Department 18",,"Holthus, Mary Kay",,729
Clark,3702,"District Court Judge, District 8, Department 18",,"Hunt, John A.",,436
Clark,3702,"District Court Judge, District 8, Department 19",,"Eller, Crystal",,603
Clark,3702,"District Court Judge, District 8, Department 19",,"Kephart, William ""Bill""",,564
Clark,3702,"District Court Judge, District 8, Department 20",,"Hooker, Dawn Allysa",,544
Clark,3702,"District Court Judge, District 8, Department 20",,"Johnson, Eric",,603
Clark,3702,"District Court Judge, District 8, Department 21",,"Clark Newberry, Tara",,595
Clark,3702,"District Court Judge, District 8, Department 21",,"Reynolds, Jacob",,561
Clark,3702,"District Court Judge, District 8, Department 22",,"Johnson, Susan",,830
Clark,3702,"District Court Judge, District 8, Department 22",,"Nadig, Ben",,310
Clark,3702,"District Court Judge, District 8, Department 23",,"Armstrong, Karl W.",,493
Clark,3702,"District Court Judge, District 8, Department 23",,"Lilly-Spells, Jasmin",,651
Clark,3702,"District Court Judge, District 8, Department 24",,"Ballou, Erika D.",,667
Clark,3702,"District Court Judge, District 8, Department 24",,"Gilliam, Dan",,468
Clark,3702,"District Court Judge, District 8, Department 25",,"Delaney, Kathleen E.",,1046
Clark,3702,"District Court Judge, District 8, Department 26",,"Sturman, Gloria",,1038
Clark,3702,"District Court Judge, District 8, Department 27",,"Allf, Nancy",,1040
Clark,3702,"District Court Judge, District 8, Department 28",,"Israel, Ron",,1047
Clark,3702,"District Court Judge, District 8, Department 29",,"JONES, DAVID M.",,682
Clark,3702,"District Court Judge, District 8, Department 29",,"LÛpez-Negrete, David",,471
Clark,3702,"District Court Judge, District 8, Department 30",,"Wiese, Jerry A.",,1016
Clark,3702,"District Court Judge, District 8, Department 31",,"Call, Gary W.",,295
Clark,3702,"District Court Judge, District 8, Department 31",,"Kishner, Joanna",,832
Clark,3702,"District Court Judge, District 8, Department 32",,"Bare, Rob",,500
Clark,3702,"District Court Judge, District 8, Department 32",,"Craig, Christy",,638
Clark,3702,"District Court Judge, District 8, Family Division, Department A",,"Voy, William",,1033
Clark,3702,"District Court Judge, District 8, Family Division, Department B",,"Marquis, Linda",,1038
Clark,3702,"District Court Judge, District 8, Family Division, Department C",,"Burton, Rebecca",,1045
Clark,3702,"District Court Judge, District 8, Family Division, Department D",,"Teuton, Robert W. ""Bob""",,1027
Clark,3702,"District Court Judge, District 8, Family Division, Department E",,"Hoskin, Charles J. ""Chuck""",,697
Clark,3702,"District Court Judge, District 8, Family Division, Department E",,"Kurtz, Thomas G.",,428
Clark,3702,"District Court Judge, District 8, Family Division, Department F",,"Gentile, Denise L.",,1028
Clark,3702,"District Court Judge, District 8, Family Division, Department G",,"Childs, Sr., Benjamin Boone",,357
Clark,3702,"District Court Judge, District 8, Family Division, Department G",,"Forsberg, Rhonda K.",,772
Clark,3702,"District Court Judge, District 8, Family Division, Department H",,"Ritchie, Art",,1032
Clark,3702,"District Court Judge, District 8, Family Division, Department I",,"Bailey, Soonhee ""Sunny""",,595
Clark,3702,"District Court Judge, District 8, Family Division, Department I",,"Tobler, Michelle O.",,538
Clark,3702,"District Court Judge, District 8, Family Division, Department J",,"Butler, Dedree ""Dee""",,707
Clark,3702,"District Court Judge, District 8, Family Division, Department J",,"MacDonald, J. Scott",,443
Clark,3702,"District Court Judge, District 8, Family Division, Department K",,"Giuliani, Cynthia N.",,1040
Clark,3702,"District Court Judge, District 8, Family Division, Department L",,"Gibson, Jr., David",,1028
Clark,3702,"District Court Judge, District 8, Family Division, Department M",,"Hughes, Lynn",,525
Clark,3702,"District Court Judge, District 8, Family Division, Department M",,"MASTIN, AMY M.",,622
Clark,3702,"District Court Judge, District 8, Family Division, Department N",,"Harter, Mathew",,1044
Clark,3702,"District Court Judge, District 8, Family Division, Department O",,"Sullivan, Frank P.",,1024
Clark,3702,"District Court Judge, District 8, Family Division, Department P",,"Dayani, Sara",,511
Clark,3702,"District Court Judge, District 8, Family Division, Department P",,"Perry, Mary",,623
Clark,3702,"District Court Judge, District 8, Family Division, Department Q",,"Duckworth, Bryce C.",,1039
Clark,3702,"District Court Judge, District 8, Family Division, Department R",,"Henderson, Bill",,1021
Clark,3702,"District Court Judge, District 8, Family Division, Department S",,"Ochoa, Vincent",,1043
Clark,3702,"District Court Judge, District 8, Family Division, Department T",,"Cutter, Nadin",,592
Clark,3702,"District Court Judge, District 8, Family Division, Department T",,"Stoffel, Jason",,536
Clark,3702,"District Court Judge, District 8, Family Division, Department U",,"Gonzalez, Bill",,545
Clark,3702,"District Court Judge, District 8, Family Division, Department U",,"Throne, Dawn",,613
