county,precinct,office,district,candidate,party,votes
Carson City,105,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,328
Carson City,105,State Assembly,40,"LOYD, SENA",,368
Carson City,105,State Assembly,40,"O'Neill, Philip ""PK""",,662
Carson City,105,STATE QUESTION NO. 1,,No,,708
Carson City,105,STATE QUESTION NO. 1,,Yes,,299
Carson City,105,STATE QUESTION NO. 2,,No,,455
Carson City,105,STATE QUESTION NO. 2,,Yes,,582
Carson City,105,STATE QUESTION NO. 3,,No,,557
Carson City,105,STATE QUESTION NO. 3,,Yes,,459
Carson City,105,STATE QUESTION NO. 4,,No,,602
Carson City,105,STATE QUESTION NO. 4,,Yes,,423
Carson City,105,STATE QUESTION NO. 6,,No,,651
Carson City,105,STATE QUESTION NO. 6,,Yes,,380
Carson City,105,"Supreme Court Justice, Seat B",,None Of These Candidates,,145
Carson City,105,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,807
Carson City,105,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,320
Carson City,105,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,594
Carson City,105,"Supreme Court Justice, Seat D",,None Of These Candidates,,93
Carson City,105,U.S. House,2,"ACKERMAN, PATRICIA",DEM,382
Carson City,105,U.S. House,2,"Amodei, Mark E.",REP,646
Carson City,105,U.S. House,2,JANINE HANSEN,IAP,15
Carson City,107,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,655
Carson City,107,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,479
Carson City,107,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,484
Carson City,107,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,402
Carson City,107,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,247
Carson City,107,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1016
Carson City,107,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,994
Carson City,107,President,,"BIDEN, JOSEPH R.",DEM,494
Carson City,107,President,,"BLANKENSHIP, DON",,2
Carson City,107,President,,"JORGENSEN, JO",LIB,13
Carson City,107,President,,None Of These Candidates,,18
Carson City,107,President,,"TRUMP, DONALD J.",REP,705
Carson City,107,"School Trustee, District 7",,"CACIOPPO, JOE",,723
Carson City,107,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,367
Carson City,107,State Assembly,40,"LOYD, SENA",,444
Carson City,107,State Assembly,40,"O'Neill, Philip ""PK""",,759
Carson City,107,STATE QUESTION NO. 1,,No,,819
Carson City,107,STATE QUESTION NO. 1,,Yes,,353
Carson City,107,STATE QUESTION NO. 2,,No,,515
Carson City,107,STATE QUESTION NO. 2,,Yes,,687
Carson City,107,STATE QUESTION NO. 3,,No,,633
Carson City,107,STATE QUESTION NO. 3,,Yes,,551
Carson City,107,STATE QUESTION NO. 4,,No,,663
Carson City,107,STATE QUESTION NO. 4,,Yes,,528
Carson City,107,STATE QUESTION NO. 6,,No,,729
Carson City,107,STATE QUESTION NO. 6,,Yes,,472
Carson City,107,"Supreme Court Justice, Seat B",,None Of These Candidates,,200
Carson City,107,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,913
Carson City,107,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,368
Carson City,107,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,657
Carson City,107,"Supreme Court Justice, Seat D",,None Of These Candidates,,139
