state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
AL,Autauga,19838,7503,10080.0,3593.0,0.7372193373802384,0.7255769723126441,13673.0,27341
AL,Baldwin,83544,24578,41138.0,12651.0,0.7648032125527524,0.7726827102717301,53789.0,108122
AL,Barbour,5622,4816,2807.0,2581.0,0.5209725315515962,0.538608928913585,5388.0,10438
AL,Bibb,7525,1986,4086.0,1010.0,0.8018053375196232,0.791189149405951,5096.0,9511
AL,Blount,24711,2640,13168.0,1304.0,0.9098949695964621,0.9034770209498738,14472.0,27351
AL,Bullock,1146,3446,431.0,2393.0,0.15262039660056656,0.2495644599303136,2824.0,4592
AL,Calhoun,35101,15216,17103.0,7968.0,0.6821826014119899,0.6975972335393604,25071.0,50317
AL,Chambers,8753,6365,4257.0,2834.0,0.6003384571992667,0.5789787008863606,7091.0,15118
AL,Cherokee,10583,1624,5869.0,858.0,0.8724542886873792,0.8669615794216433,6727.0,12207
AL,Chilton,16085,3073,9174.0,1385.0,0.8688322757836916,0.8395970351811254,10559.0,19158
AL,Choctaw,4296,3127,1671.0,2606.0,0.39069441197100774,0.5787417486191567,4277.0,7423
AL,Clarke,7324,5755,4387.0,3342.0,0.5676025359037392,0.5599816499732395,7729.0,13079
AL,Clay,5601,1267,4037.0,741.0,0.8449141900376727,0.8155212580081538,4778.0,6868
AL,Cleburne,6484,675,3311.0,370.0,0.8994838359141538,0.9057130884201704,3681.0,7159
AL,Coffee,16899,5076,9631.0,2523.0,0.7924140200756953,0.7690102389078498,12154.0,21975
AL,Colbert,19203,8343,8941.0,4749.0,0.6531044558071585,0.6971248094097147,13690.0,27546
AL,Conecuh,3442,2966,1370.0,2864.0,0.3235710911667454,0.5371410736579276,4234.0,6408
AL,Coosa,3631,1796,2190.0,879.0,0.7135874877810362,0.6690620969227934,3069.0,5427
AL,Covington,14586,2721,8248.0,1301.0,0.8637553670541418,0.842780377881782,9549.0,17307
AL,Crenshaw,4864,1700,2447.0,887.0,0.7339532093581284,0.741011578305911,3334.0,6564
AL,Cullman,36880,4478,21915.0,2556.0,0.8955498344979772,0.8917259055080032,24471.0,41358
AL,Dale,14303,5170,8117.0,2430.0,0.7696027306343036,0.7345041852821856,10547.0,19473
AL,Dallas,5524,12230,1012.0,10402.0,0.08866304538286315,0.31114115128985015,11414.0,17754
AL,Dekalb,24767,4281,12030.0,2249.0,0.8424959731073605,0.8526232442853209,14279.0,29048
AL,Elmore,30164,10367,15589.0,4795.0,0.7647664835164835,0.7442204732180306,20384.0,40531
AL,Escambia,10869,4918,5290.0,2140.0,0.7119784656796769,0.6884778615316399,7430.0,15787
