county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Gilmer,2932,164,13429,1,938,8,3,2,2,14,0,94,2,19,3,6445,16525,6445,1086
Glascock,155,8,1403,0,51,1,0,0,0,0,0,7,3,2,0,992,1566,992,64
Glynn,15879,489,25616,21,4841,52,34,8,12,32,5,394,5,95,26,9701,41984,9701,5525
Gordon,4384,244,19405,7,1230,24,11,2,1,8,1,183,1,25,12,7735,24033,7735,1505
Grady,3619,54,7034,11,1222,13,4,6,3,3,2,85,1,19,4,3649,10707,3649,1373
Greene,4088,91,7068,12,1571,19,5,4,4,9,1,104,1,18,16,2953,11247,2953,1764
Gwinnett,241827,5625,166413,348,85688,684,534,77,311,321,91,11190,77,1675,907,57897,413865,57897,101903
Habersham,3563,232,16637,7,987,10,12,1,3,6,3,143,1,24,8,9012,20432,9012,1205
Hall,25031,1322,64170,36,7037,64,80,13,42,40,6,1022,8,180,70,26186,90523,26186,8598
Hancock,2985,21,1159,44,1575,34,8,6,6,15,6,146,8,41,23,360,4165,360,1912
Haralson,1792,125,12331,5,544,9,5,5,0,5,0,97,1,12,3,6672,14248,6672,686
Harris,5457,215,14319,9,2136,19,22,5,7,12,2,193,4,29,15,4942,19991,4942,2453
Hart,3157,106,9464,13,934,14,4,3,3,3,2,79,10,17,5,4725,12727,4725,1087
Heard,824,51,4516,5,295,7,2,0,0,1,0,32,1,9,1,2120,5391,2120,353
Henry,73276,1279,48187,134,30933,180,73,33,70,59,29,2354,30,310,200,17417,122742,17417,34405
Houston,32232,1057,41534,58,11709,63,57,13,29,38,11,888,6,142,74,14177,74823,14177,13088
