county,gen_ind_CELLA,gen_oth_BIDEN,gen_oth_BLANKENSHIP,gen_oth_CARROLL,gen_oth_CHARLES,gen_oth_COLLINS,gen_oth_FAMBRO,gen_oth_FUENTE,gen_oth_HAMMONS,gen_oth_HAWKINS,gen_oth_HOEFLING,gen_oth_HUBER,gen_oth_HUNTER,gen_oth_JORGENSEN,gen_oth_KENNEDY,gen_oth_KISHORE,gen_oth_KOPITKE,gen_oth_MCHUGH,gen_oth_PIERCE,gen_oth_RIVA,gen_oth_SCOTT,gen_oth_TRUMP,gen_oth_WELLS,gen_oth_WEST,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_GABBARD,pri_dem_III,pri_dem_KRICHEVSKY,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_WELLS,pri_dem_WILLIAMSON,pri_dem_YANG,pri_rep_ARDINI,pri_rep_ISTVAN,pri_rep_MATERN,pri_rep_TRUMP,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_pri_total,dem_pri_total
Jackson,0,175,2,0,1,0,0,0,1,2,0,0,0,12,0,0,0,0,0,0,0,681,0,2,32,8,0,1,0,0,0,26,1,14,0,0,1,1,1,5,454,13,11,876,485,83
Jefferson,0,218396,631,309,231,64,51,63,318,1089,1,39,35,6394,40,21,101,76,82,84,16,148417,0,900,29197,23502,123,1352,136,43,25,42803,415,21361,35,138,486,468,494,963,69850,1835,3612,377358,77222,119616
Kiowa,0,98,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,795,0,1,23,18,0,5,0,0,0,16,0,5,0,1,2,0,1,4,514,6,8,903,533,70
Kit Carson,0,662,11,2,1,0,2,0,2,2,0,0,0,34,2,0,1,2,2,0,0,3144,0,4,95,107,0,6,3,1,1,109,2,36,3,0,4,1,6,16,1973,22,27,3871,2045,367
La Plata,0,20548,37,11,29,5,4,8,23,128,0,4,2,530,3,2,9,5,2,5,0,14233,0,79,2658,1577,6,141,16,7,1,4380,63,2052,4,21,37,21,37,65,6608,147,260,35667,7138,10963
Lake,0,2303,4,1,0,2,0,3,4,23,0,0,3,101,1,0,1,0,0,1,0,1497,0,17,286,173,3,23,3,2,0,605,2,222,0,4,9,3,2,4,472,14,20,3961,515,1332
Larimer,0,126120,372,258,136,36,29,55,195,727,0,20,33,4089,24,12,48,45,33,60,8,91489,0,549,15667,10341,68,742,56,25,8,26661,214,13648,24,68,257,249,239,555,41351,967,2214,224338,45575,67779
Las Animas,0,3497,19,5,7,5,2,1,5,17,0,0,1,86,1,0,6,3,0,1,0,4284,0,21,647,539,10,59,18,8,2,696,11,232,2,5,5,6,3,11,1886,30,28,7961,1964,2234
Lincoln,0,470,7,1,3,0,0,0,1,1,0,1,0,26,0,0,2,0,1,0,0,2135,0,3,60,50,1,8,1,0,0,82,5,48,2,0,4,2,4,9,1320,19,15,2651,1369,261
Logan,0,2218,18,5,9,4,2,2,4,16,0,1,0,139,2,1,0,2,1,1,0,8087,0,20,325,342,9,23,10,2,1,388,13,155,1,3,11,12,15,27,4795,71,76,10532,4996,1283
Mesa,0,31536,200,38,58,18,17,10,65,188,1,12,7,1306,7,1,15,16,15,15,7,56894,0,197,4520,3115,42,219,33,19,6,5267,138,2552,9,41,109,113,113,239,27382,432,673,90623,28952,16070
Mineral,0,317,5,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,427,0,1,48,36,0,3,2,0,1,60,4,44,0,0,0,0,2,2,235,5,8,756,252,198
Moffat,0,1203,6,2,7,1,1,0,3,7,0,0,1,97,0,0,1,2,4,0,0,5670,0,21,146,90,5,12,3,1,1,206,1,84,1,4,6,11,10,26,2997,35,39,7026,3118,560
Montezuma,0,5836,26,9,18,3,3,3,16,33,0,0,1,192,3,0,6,2,2,2,2,9306,0,37,705,425,6,43,8,2,1,1234,32,467,3,10,15,11,23,46,5034,77,109,15500,5300,2951
