county,pri_dem_CLINTON,pri_dem_EDWARDS,pri_dem_OBAMA,pri_rep_HUCKABEE,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_ind_ALLEN,gen_ind_DUNCAN,gen_ind_GERMALIC,gen_ind_KEYES,gen_ind_NADER,gen_ind_ROBERTSON,gen_ind_SCHRINER,gen_lib_BARR,gen_rep_MCCAIN,gen_soc_MOORE,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,cst_general_total,soc_general_total,grn_general_total,ind_general_total
Lake,31452,755,18413,5135,12203,1282,981,458,268,60155,163,0,89,0,6,1086,0,0,399,59142,27,20059,50620,59142,60155,399,268,27,163,1181
Lawrence,8542,310,2116,2809,3802,203,223,165,58,11262,34,0,30,0,0,282,0,0,94,15415,19,7202,10968,15415,11262,94,58,19,34,312
Licking,17203,610,10986,6914,11331,1337,1059,622,235,33932,133,0,50,0,8,685,0,0,345,46918,50,21263,28799,46918,33932,345,235,50,133,743
Logan,3249,152,2223,2663,3489,297,337,176,60,7936,49,0,13,0,0,208,0,0,97,13848,6,6962,5624,13848,7936,97,60,6,49,221
Lorain,37734,1186,27584,4904,10541,870,965,489,344,85276,221,0,121,0,0,1273,0,0,456,59068,100,17769,66504,59068,85276,456,344,100,221,1394
Lucas,52385,1008,47842,6907,12820,1891,1940,611,399,142852,277,1,96,0,9,1488,0,4,923,73706,76,24169,101235,73706,142852,923,399,76,277,1598
Madison,3259,92,1618,1709,2844,187,175,122,29,6532,31,0,14,0,0,142,0,0,89,10606,11,5037,4969,10606,6532,89,29,11,31,156
Mahoning,50596,1502,27694,2638,5475,707,699,285,282,79173,276,171,160,0,0,1300,0,0,432,45319,90,9804,79792,45319,79173,432,282,90,276,1631
Marion,7248,283,3596,2330,3494,207,305,168,90,12870,76,0,38,0,0,301,0,0,157,15454,31,6504,11127,15454,12870,157,90,31,76,339
Medina,20183,529,12571,5146,10325,1010,1144,550,220,40924,109,0,59,0,0,638,0,0,278,48189,34,18175,33283,48189,40924,278,220,34,109,697
Meigs,2834,124,745,1159,2125,165,88,99,34,4094,28,0,12,0,0,111,0,0,50,6015,10,3636,3703,6015,4094,50,34,10,28,123
Mercer,2880,209,2279,1644,2282,397,226,92,58,5853,28,0,24,0,1,127,0,0,70,15100,10,4641,5368,15100,5853,70,58,10,28,152
Miami,9005,363,6480,5660,8098,618,808,341,127,18372,135,0,52,0,3,426,0,0,221,33417,54,15525,15848,33417,18372,221,127,54,135,481
Monroe,3212,283,1021,351,397,54,37,34,22,3705,25,0,15,0,0,116,0,0,24,3066,9,873,4516,3066,3705,24,22,9,25,131
Montgomery,51696,1342,64232,17742,25305,1981,2398,1148,477,145997,368,0,143,0,1,1734,0,1,971,128679,140,48574,117270,128679,145997,971,477,140,368,1879
Morgan,1586,72,640,877,1261,164,45,43,27,2966,12,0,15,0,0,106,0,0,34,3440,8,2390,2298,3440,2966,34,27,8,12,121
Morrow,3554,167,1809,1972,2271,283,207,148,66,6177,42,0,17,0,0,179,0,0,79,10067,16,4881,5530,10067,6177,79,66,16,42,196
Muskingum,9443,344,4367,4754,6302,561,444,308,112,17730,89,0,44,0,1,364,0,0,138,20549,44,12369,14154,20549,17730,138,112,44,89,409
Noble,1651,142,542,727,1192,68,64,86,19,2474,28,0,14,0,0,141,0,0,31,3450,15,2137,2335,3450,2474,31,19,15,28,155
Ottawa,5922,202,3440,1109,1997,199,254,85,57,12064,28,0,14,0,0,194,0,1,99,10624,9,3644,9564,10624,12064,99,57,9,28,209
Paulding,1872,124,843,908,1044,261,77,68,60,4165,25,0,12,0,0,127,0,0,50,5317,13,2358,2839,5317,4165,50,60,13,25,139
Perry,4797,182,1460,1401,1827,158,107,108,63,7261,40,0,26,0,0,206,0,0,58,7721,29,3601,6439,7721,7261,58,63,29,40,232
Pickaway,6395,250,2747,2026,2649,210,168,142,51,9077,38,0,21,0,0,210,0,0,84,14228,17,5195,9392,14228,9077,84,51,17,38,231
Pike,4282,210,1153,941,906,63,53,54,41,6033,30,0,27,0,0,143,0,0,52,6162,18,2017,5645,6162,6033,52,41,18,30,170
Portage,20583,722,13360,3107,5501,739,656,298,226,41856,155,1,108,0,3,664,0,0,289,34822,82,10301,34665,34822,41856,289,226,82,155,776
Preble,4342,198,2007,2636,2966,258,239,158,43,6999,40,0,18,0,0,227,0,0,105,13562,8,6257,6547,13562,6999,105,43,8,40,245
Putnam,2463,276,2066,1858,2911,410,354,126,41,5281,23,0,9,0,0,163,0,0,80,13072,11,5659,4805,13072,5281,80,41,11,23,172
Richland,12393,486,8924,4623,6292,836,833,359,284,25727,113,0,76,0,0,579,0,0,238,34034,71,12943,21803,34034,25727,238,284,71,113,655
Ross,9581,309,3992,2630,3192,229,291,168,67,14455,63,0,60,0,0,289,0,0,127,16759,20,6510,13882,16759,14455,127,67,20,63,349
Sandusky,7042,237,4823,2501,3645,503,462,213,83,15602,51,0,12,0,0,300,0,0,122,14192,15,7324,12102,14192,15602,122,83,15,51,312
Scioto,12308,379,2459,2674,2899,132,203,140,74,14926,46,0,31,0,1,348,0,0,117,16994,34,6048,15146,16994,14926,117,74,34,46,380
Seneca,5478,261,3773,2435,4039,558,545,239,74,13087,47,0,23,0,0,289,0,0,96,13823,10,7816,9512,13823,13087,96,74,10,47,312
Shelby,4111,252,2746,2147,2516,323,221,102,49,7316,46,0,22,0,0,230,0,5,62,15924,13,5309,7109,15924,7316,62,49,13,46,257
Stark,49236,2045,32923,12414,22130,2432,2133,950,660,96990,347,0,221,0,1,1784,0,4,663,86743,132,40059,84204,86743,96990,663,660,132,347,2010
Summit,71175,1961,58548,11073,20450,2063,2662,964,477,160858,321,0,95,0,7,1758,0,3,806,113284,76,37212,131684,113284,160858,806,477,76,321,1863
Trumbull,43531,1663,20302,3859,5768,801,586,352,381,64145,245,23,137,0,9,1285,0,0,433,40164,89,11366,65496,40164,64145,433,381,89,245,1454
Tuscarawas,12525,746,6568,2816,3674,400,313,167,161,21498,89,0,60,0,0,465,0,0,178,20454,45,7370,19839,20454,21498,178,161,45,89,525
Union,3826,117,2729,2767,4418,330,378,240,66,8761,34,0,23,0,0,173,0,0,114,15744,13,8133,6672,15744,8761,114,66,13,34,196
Van Wert,2119,126,1258,1550,2239,345,237,106,34,5178,28,0,21,0,0,139,0,0,79,9168,5,4477,3503,9168,5178,79,34,5,28,160
Vinton,1924,110,458,572,808,39,36,43,8,2463,21,0,13,0,0,94,0,0,21,3021,5,1498,2492,3021,2463,21,8,5,21,107
Warren,15970,383,12353,10502,14005,1003,1428,611,162,33398,83,0,21,0,0,488,0,0,352,71691,21,27549,28706,71691,33398,352,162,21,83,509
Washington,8319,335,3060,2533,4242,505,238,155,75,12368,44,0,31,0,1,285,0,0,91,17019,18,7673,11714,17019,12368,91,75,18,44,317
Wayne,9953,334,6539,5254,6634,903,762,350,261,21712,108,0,54,0,0,433,0,3,173,29342,56,13903,16826,29342,21712,173,261,56,108,490
Williams,3020,88,2184,1695,2391,325,266,127,54,8174,44,0,15,0,0,153,0,0,64,9879,13,4804,5292,9879,8174,64,54,13,44,168
Wood,14012,292,9349,3668,6390,956,896,339,129,34285,95,0,24,0,1,513,0,0,301,29648,27,12249,23653,29648,34285,301,129,27,95,538
Wyandot,1774,82,1228,966,1340,170,157,102,32,4461,18,0,13,0,0,134,0,0,39,6270,10,2735,3084,6270,4461,39,32,10,18,147
