county,precinct,office,district,party,candidate,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Appling,1B,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,10,0,0
Appling,1C,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,5,0,0
Appling,2,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,3,0,0
Appling,3A1,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,6,0,0
Appling,3C,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Appling,4B,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,7,1,0
Appling,4D,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,0,0
Appling,5A,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,0,0
Appling,5B,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,0,0
Atkinson,Axson,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,3,0,0
Atkinson,Pearson City,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,8,1,0
Atkinson,Pearson County,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,7,0,0
Atkinson,Willacoochee,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,4,0,0
Bacon,Douglas,U.S. Senate (Special),,Republican,A. Wayne Johnson,18,64,4,0
Baker,Anna,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,0,0
Baker,Elmodel,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Baker,Hoggards Mill,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Baker,Milford,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,0,0
Baker,Newton,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,5,1,0
Baldwin,Boddie,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,4,0,0
Baldwin,City Hall Annex,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,3,1,0
Baldwin,Coopers,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,12,0,0
Baldwin,Courthouse,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,1,0,0
Baldwin,East Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,15,23,3,0
Baldwin,East Hardwick,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,0,0
Baldwin,Fire Dept,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,1,1,0
Baldwin,Meriweather,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,11,2,0
Baldwin,North Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,17,0,0
Baldwin,North Milledgeville,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,8,1,0
Baldwin,Scottsboro,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,4,0,0
Baldwin,South Milledgeville,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,1,0
Baldwin,West Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,8,0,0
Baldwin,West Hardwick,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,13,2,0
Banks,Anderson,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,11,0,0
Banks,Baldwin,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,3,1,0
Banks,Berlin,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,0,0
Banks,Bushville,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Banks,Columbia,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Banks,Davids,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,4,2,1
Banks,Golden Hill,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,3,2,0
Banks,Grove River,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Banks,Hollingsworth,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,3,0,0
Banks,Homer,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,0,0
Banks,Poplar Springs,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,5,2,0
Banks,Washington,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Banks,Wilmonts,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Barrow,01 Bethlehem Community Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,14,0,0
Barrow,02 Bethlehem Church - 211,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,25,5,0
Barrow,03 Hmong New Hope Alliance Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,19,32,3,0
Barrow,04 Covenant Life Sanctuary,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,14,5,0
Barrow,05 Fire Station 1 (Statham),U.S. Senate (Special),,Republican,A. Wayne Johnson,17,35,5,0
Barrow,08 First Baptist Church Winder,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,25,6,0
Barrow,13 Winder Community Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,14,42,3,0
Barrow,16 The Church at Winder,U.S. Senate (Special),,Republican,A. Wayne Johnson,26,51,5,0
Bartow,Adairsville,U.S. Senate (Special),,Republican,A. Wayne Johnson,20,27,2,0
Bartow,Allatoona,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,5,4,0
Bartow,Cartersville East,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,18,10,0
Bartow,Cartersville West,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,26,4,0
Bartow,Cassville,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,14,4,0
Bartow,Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,12,0,0
Bartow,Emerson,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,6,2,0
Bartow,Euharlee,U.S. Senate (Special),,Republican,A. Wayne Johnson,20,25,3,0
Bartow,Folsom,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,3,0,0
Bartow,Hamilton Crossing,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,27,4,0
Bartow,Kingston,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,7,0,0
Bartow,Mission Road,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,12,2,0
Bartow,Pine Log,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,10,0,0
Bartow,Taylorsville,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,6,1,0
Bartow,White,U.S. Senate (Special),,Republican,A. Wayne Johnson,13,9,0,0
Bartow,Woodland,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,5,2,0
Bartow,Zena Drive,U.S. Senate (Special),,Republican,A. Wayne Johnson,15,15,1,0
Ben Hill,East,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,19,3,0
Ben Hill,West,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,31,2,0
Berrien,Alapaha,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,7,0,0
Berrien,Enigma,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,6,2,0
Berrien,Nashville,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,40,1,1
Berrien,Ray City,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,9,1,0
Berrien,West Berrien,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,1,3,0
Bibb,East Macon 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,0,0,0
Bibb,East Macon 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,3,0,0
Bibb,East Macon 3,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,9,0
Bibb,East Macon 4,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,1,0
Bibb,East Macon 5,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,0,0
Bibb,Godfrey 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,7,3,0
Bibb,Godfrey 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,2,1,0
Bibb,Godfrey 3,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,1,0
Bibb,Godfrey 4,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Bibb,Godfrey 5,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,0,1,0
Bibb,Hazzard 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,3,2,0
Bibb,Hazzard 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,10,1,0
Bibb,Hazzard 3,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,6,3,0
Bibb,Hazzard 4,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,11,7,0
Bibb,Howard 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,7,4,0
Bibb,Howard 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,11,18,0
Bibb,Howard 3,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,24,15,0
Bibb,Howard 4,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,4,0,0
Bibb,Howard 5,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,0,0
Bibb,Howard 6,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,15,8,0
Bibb,Howard 7,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,12,4,0
Bibb,Rutland 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,25,7,3,0
Bibb,Rutland 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,8,0,0
Bibb,Vineville 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,5,4,0
Bibb,Vineville 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,3,0,0
Bibb,Vineville 3,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,3,1,0
Bibb,Vineville 4,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Bibb,Vineville 5,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,6,2,0
Bibb,Vineville 6,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,4,3,1
Bibb,Warrior 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,6,1,0
Bibb,Warrior 2,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,5,1,0
Bleckley,Fairground,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,26,5,0
Brantley,Hoboken,U.S. Senate (Special),,Republican,A. Wayne Johnson,23,30,4,0
Brantley,Nahunta,U.S. Senate (Special),,Republican,A. Wayne Johnson,18,41,6,0
Brantley,Waynesville,U.S. Senate (Special),,Republican,A. Wayne Johnson,41,58,6,0
Brooks,Barwick,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,2,0,0
Brooks,Briggs,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,12,0,0
Brooks,Dixie,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,5,2,0
Brooks,Morven,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,4,0,0
Brooks,Nankin,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,7,1,0
Brooks,Pavo,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,1,2,0
Brooks,Quitman,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,11,1,0
Bryan,Black Creek,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,24,1,1
Bryan,Danielsiding,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,10,3,0
Bryan,Ellabell,U.S. Senate (Special),,Republican,A. Wayne Johnson,18,12,1,0
Bryan,Hwy 144 East,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,37,1,0
Bryan,JF Gregory Park,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,12,1,0
Bryan,Keller,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,25,1,0
Bryan,Pembroke,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,13,2,0
Bryan,Public Safety Complex,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,23,0,0
Bryan,RH Rec Complex,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,18,0,0
Bryan,Ways Station,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,12,1,0
Bulloch,Bay,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,4,2,0
Bulloch,Blitch,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,3,0,0
Bulloch,Brooklet,U.S. Senate (Special),,Republican,A. Wayne Johnson,17,17,2,0
Bulloch,Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,13,10,2,0
Bulloch,Emit,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,14,5,0
Bulloch,Fair,U.S. Senate (Special),,Republican,A. Wayne Johnson,12,26,6,2
Bulloch,Hagin,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,4,0,0
Bulloch,Leefield,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,3,2,0
Bulloch,Lockhart,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,0,0,0
Bulloch,Nevils,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,4,0,0
Bulloch,Pittman Park,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,15,0,0
Bulloch,Portal,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,2,0,0
Bulloch,Register,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,3,0,0
Bulloch,Sinkhole,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,0,0,0
Bulloch,Statesboro,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,13,4,0
Bulloch,Stilson,U.S. Senate (Special),,Republican,A. Wayne Johnson,13,5,1,0
Burke,Alexander,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,0,0,0
Burke,Blakeney,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,0,0
Burke,Four Points,U.S. Senate (Special),,Republican,A. Wayne Johnson,14,4,0,0
Burke,Girard,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,1,0,0
Burke,Gough,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,3,0,0
Burke,Greenscut,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,1,0
Burke,Keysville,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,0,1,0
Burke,Midville,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,0,0
Burke,Munnerlyn,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,0,0,0
Burke,North Waynesboro,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,8,0,0
Burke,Sardis,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,2,0,0
Burke,Scotts Crossroads,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Burke,South Waynesboro,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,13,0,0
Burke,St Clair,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,3,0,0
Burke,Telfair,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,0,0
Burke,Vidette,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Butts,Butts County Admin Bldg,U.S. Senate (Special),,Republican,A. Wayne Johnson,26,87,11,0
Calhoun,Arlington,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Calhoun,Edison,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,0,0,0
Calhoun,Edison-Arlington,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,0,1,0
Calhoun,Leary,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Calhoun,Morgan,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,0,0
Camden,Browntown,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,5,2,0
Camden,East Kingsland,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,56,12,0
Camden,Harrietts Bluff,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,17,2,0
Camden,Kingsland,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,11,3,0
Camden,Mush Bluff,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,18,4,0
Camden,North Kingsland,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,14,2,0
Camden,North St Marys,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,10,4,0
Camden,South St Marys,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,14,3,0
Camden,St Marys,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,24,5,0
Camden,Tarboro,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,5,1,0
Camden,Waverly,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,15,3,0
Camden,West Kingsland,U.S. Senate (Special),,Republican,A. Wayne Johnson,21,24,4,0
Camden,West St Marys,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,16,5,0
Camden,Woodbine,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,16,0,0
Candler,Jack Strickland Comm Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,17,36,3,0
Carroll,Bethany,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,16,1,0
Carroll,Bonner,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,5,2,0
Carroll,Bowdon,U.S. Senate (Special),,Republican,A. Wayne Johnson,14,9,2,0
Carroll,Bowdon Junction,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,4,2,0
Carroll,Burson Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,8,0,1
Carroll,Burwell,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,6,1,0
Carroll,Center Point,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,3,1,0
Carroll,Clem,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,14,3,0
Carroll,County Admin Bldg,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,8,2,0
Carroll,Fairfield,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,8,1,0
Carroll,Hulett,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,9,0,0
Carroll,Kansas,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,3,0,0
Carroll,Lakeshore Rec Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,5,1,0
Carroll,Mt Zion,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,5,2,0
Carroll,Oak Grove,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,2,0,0
Carroll,Old Camp Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,10,2,0
Carroll,Roopville,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,19,1,0
Carroll,Sandhill,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,16,2,0
Carroll,Tabernacle Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,2,0
Carroll,Temple City,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,21,0,0
Carroll,Temple County,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,19,2,0
Carroll,Tyus,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,5,1,0
Carroll,University of W GA,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,4,0,0
Carroll,V R County North,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,17,1,0
Carroll,V R County South,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,12,0,0
Carroll,Villa Rica City,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,12,1,0
Carroll,West Carrollton,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,9,0,0
Carroll,Whitesburg,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,9,0,0
Catoosa,Blackstock,U.S. Senate (Special),,Republican,A. Wayne Johnson,13,22,1,0
Catoosa,Boynton,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,53,4,0
Catoosa,Catoosa Keith,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,25,3,0
Catoosa,Chambers,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,21,1,0
Catoosa,Ft Oglethorpe,U.S. Senate (Special),,Republican,A. Wayne Johnson,11,25,13,0
Catoosa,Graysville,U.S. Senate (Special),,Republican,A. Wayne Johnson,15,27,5,1
Catoosa,Lakeview,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,25,2,1
Catoosa,Poplar Springs,U.S. Senate (Special),,Republican,A. Wayne Johnson,17,35,2,0
Catoosa,Ringgold,U.S. Senate (Special),,Republican,A. Wayne Johnson,16,58,14,0
Catoosa,Westside,U.S. Senate (Special),,Republican,A. Wayne Johnson,18,52,7,0
Catoosa,Woodstation,U.S. Senate (Special),,Republican,A. Wayne Johnson,13,20,2,0
Charlton,American Legion,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,10,0,0
Charlton,Folkston,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,19,4,0
Charlton,Folkston Fire,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,18,1,0
Charlton,GA Bend,U.S. Senate (Special),,Republican,A. Wayne Johnson,13,3,1,0
Charlton,Homeland,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,10,1,0
Charlton,Racepond,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,0,0
Charlton,St George,U.S. Senate (Special),,Republican,A. Wayne Johnson,15,6,2,0
Charlton,Winokur,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,3,0,0
Chatham,1-01C First Presbyterian Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,6,3,0
Chatham,1-05C JEA Building,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Chatham,1-06C Central Church of Christ,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,5,2,0
Chatham,1-08C Grace United Methodist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,1,1,0
Chatham,1-09C Immanuel Baptist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,0,2,0
Chatham,1-10C St Thomas Episcopal Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,0,1,0
Chatham,1-12C Isle of Hope Baptist,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,1,0
Chatham,1-13C The Sanctuary,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,1,0
Chatham,1-14C Compassion Christian Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,3,1,0
Chatham,1-16C Ferguson Ave Baptist,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,15,1,0
Chatham,1-17C Islands Christian Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,7,2,0
Chatham,2-02C Blackshear Community Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Chatham,2-03C W W Law Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,0,2,0
Chatham,2-04C Fellowship of Love Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Chatham,2-05C Holy Spirit Lutheran Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,0,0
Chatham,2-06C Eli Whitney Complex,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,2,0,0
Chatham,2-07C Christ Community Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,6,2,0,0
Chatham,2-09C Salvation Army,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,2,1,0
Chatham,2-11C Stillwell Towers,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,0,0,0
Chatham,2-12C Williams Court Apts,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,0,0,0
Chatham,3-01C Old Courthouse,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Chatham,3-02C Temple Mickve Israel,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,3,0
Chatham,3-03C Savannah High School,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Chatham,3-04C First African Baptist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Chatham,3-05C Aldersgate Youth Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,0,0
Chatham,3-08C Jenkins High School,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,0,0,0
Chatham,3-09C Cokesbury Methodist,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,1,0
Chatham,3-10C Bible Baptist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,4,1,0
Chatham,3-11C Southside Baptist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,0,0
Chatham,3-12C Thunderbolt Muni Complex,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,5,2,0
Chatham,3-13C New Cov 7 Day Adv Ch,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,2,3,0
Chatham,3-14C Oglethorpe Charter Academy,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,3,0,0
Chatham,3-15C Eli Whitney Complex,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,0,0,0
Chatham,4-02C Frank Murray Comm Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,7,3,0
Chatham,4-04C Lighthouse Baptist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,10,4,1,0
Chatham,4-05C St Francis Episcopal Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,4,3,0
Chatham,4-06C First Baptist of the Island,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,7,1,0
Chatham,4-07C Wilmington Island UMC,U.S. Senate (Special),,Republican,A. Wayne Johnson,9,7,4,0
Chatham,4-08C Wilmington Island Pres Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,1,1,0
Chatham,4-10C Guard House Comm Ctr,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,1,0,0
Chatham,4-11C Tybee Island School Cafe,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,1,1,0
Chatham,4-12C St Peters Episcopal,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,0,0
Chatham,4-13C Skidaway Island Pres Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,3,1,0
Chatham,4-14C Skidaway Island Baptist,U.S. Senate (Special),,Republican,A. Wayne Johnson,2,1,1,0
Chatham,4-15C Skidaway Island State Park,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,1,0,0
Chatham,5-01C Bartlett Middle School,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,1,0,0
Chatham,5-02C Senior Citizens Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,2,0,0
Chatham,5-03C Butler Presbyterian Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,0,1,0
Chatham,5-05C Liberty City Comm Ctr,U.S. Senate (Special),,Republican,A. Wayne Johnson,0,1,0,0
Chatham,5-06C Seed Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,3,2,0
Chatham,5-07C Station 1,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,2,1,0
Chatham,5-08C Savannah Primitive BC,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,1,0
Chatham,5-10C Tatumville Community Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,3,4,0,0
Chatham,5-11C Largo-Tibet Elementary,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,0,0,0
Chatham,6-01C White Bluff Presbyterian,U.S. Senate (Special),,Republican,A. Wayne Johnson,8,2,2,0
Chatham,6-02C Windsor Forest Baptist,U.S. Senate (Special),,Republican,A. Wayne Johnson,5,5,1,0
Chatham,6-03C Crusader Comm Center,U.S. Senate (Special),,Republican,A. Wayne Johnson,1,5,1,0
Chatham,6-05C Windsor Hall,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,5,0,0
Chatham,6-06C The Light Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,4,2,0,0
Chatham,6-08C Christ Memorial Baptist Church,U.S. Senate (Special),,Republican,A. Wayne Johnson,7,1,3,0
