county,gen_aip_KEYES,gen_btp_JAY,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_hq8_ALLEN,gen_lib_BARR,gen_obj_STEVENS,gen_prh_AMONDSON,gen_psl_RIVA,gen_rep_MCCAIN,gen_spu_MOORE,gen_swp_HARRIS,gen_una_MCENULTY,gen_una_NADER,gen_usp_LYTTLE,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,una_general_total,aip_general_total,btp_general_total,obj_general_total,prh_general_total,psl_general_total,swp_general_total,spu_general_total,ups_general_total,hq8_general_total
Pueblo,131,48,132,41097,81,5,173,15,2,10,30257,13,8,27,420,8,30257,41097,173,132,81,447,131,48,15,2,10,8,13,0,5
Rio Blanco,5,0,19,655,3,0,12,0,0,0,2437,0,0,2,14,0,2437,655,12,19,3,16,5,0,0,0,0,0,0,0,0
Rio Grande,1,1,10,2448,4,1,10,1,0,1,2930,0,2,1,34,0,2930,2448,10,10,4,35,1,1,1,0,1,2,0,0,1
Routt,8,4,33,8270,13,2,66,6,0,0,4725,2,1,0,68,1,4725,8270,66,33,13,68,8,4,6,0,0,1,2,0,2
Saguache,2,2,10,1730,8,0,17,0,0,0,956,0,0,1,24,0,956,1730,17,10,8,25,2,2,0,0,0,0,0,0,0
San Juan,1,0,3,264,3,0,2,0,0,0,218,0,0,0,5,0,218,264,2,3,3,5,1,0,0,0,0,0,0,0,0
San Miguel,0,0,6,3349,11,2,23,0,0,0,933,0,0,1,25,0,933,3349,23,6,11,26,0,0,0,0,0,0,0,0,2
Sedgwick,1,2,2,468,3,0,3,0,0,0,857,2,0,1,12,0,857,468,3,2,3,13,1,2,0,0,0,0,2,0,0
Summit,10,4,22,9802,13,2,69,0,1,0,4883,0,1,3,89,0,4883,9802,69,22,13,92,10,4,0,1,0,1,0,0,2
Teller,24,7,45,4513,13,1,80,1,1,1,8146,3,1,4,66,0,8146,4513,80,45,13,70,24,7,1,1,1,1,3,0,1
Washington,2,0,6,529,6,0,7,3,1,0,1949,0,0,1,9,0,1949,529,7,6,6,10,2,0,3,1,0,0,0,0,0
Weld,168,39,472,47292,115,15,489,15,5,6,56526,8,6,57,648,5,56526,47292,489,472,115,705,168,39,15,5,6,6,8,0,15
Yuma,15,2,5,1117,3,0,19,1,0,0,3286,0,0,3,32,0,3286,1117,19,5,3,35,15,2,1,0,0,0,0,0,0
