county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_ind_BALDWIN,gen_ind_BARR,gen_ind_JAY,gen_ind_MCKINNEY,gen_ind_MOORE,gen_ind_NADER,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,ind_general_total
TIPTON,13,2001,4,152,4,8,1355,6,27,2177,5,7,1186,131,833,0,85,7931,52,68,5,20,11,64,17165,4456,3547,17165,7931,220
TROUSDALE,2,778,0,68,0,1,222,4,2,186,3,0,153,36,95,0,29,1475,32,13,1,4,2,24,1688,507,1076,1688,1475,76
UNICOI,2,736,0,83,1,1,206,8,29,960,1,5,946,225,381,2,103,2107,37,26,3,3,5,31,5011,2678,1046,5011,2107,105
UNION,1,1325,2,48,0,2,155,1,9,546,1,4,537,73,240,0,38,1829,22,18,2,17,6,38,4467,1450,1539,4467,1829,103
VAN BUREN,1,682,1,32,0,1,90,1,5,174,2,0,113,17,99,0,18,849,18,11,2,3,3,26,1294,428,815,1294,849,63
WARREN,14,4113,5,328,7,4,666,11,19,938,4,0,774,129,735,3,97,5515,79,65,13,36,15,115,8562,2703,5169,8562,5515,323
WASHINGTON,17,5732,11,658,7,23,3259,12,163,5286,18,28,4989,1050,3413,7,585,15941,204,172,26,48,28,222,32341,15583,9786,32341,15941,700
WAYNE,0,868,0,65,0,0,114,0,8,560,0,0,435,40,169,1,77,1355,14,24,6,9,7,36,4076,1295,1051,4076,1355,96
WEAKLEY,22,2274,5,292,3,4,753,14,21,961,2,4,650,100,546,0,57,4596,68,59,5,13,21,73,8855,2353,3405,8855,4596,239
WHITE,17,2577,2,227,2,8,358,13,15,878,3,7,487,81,445,4,73,3372,49,31,8,9,5,70,6103,1997,3223,6103,3372,172
WILLIAMSON,21,6941,4,427,4,12,7249,9,128,5645,20,30,7172,1198,9463,5,452,27886,248,307,17,35,18,277,64858,24144,14700,64858,27886,902
WILSON,24,6730,13,454,11,11,3241,14,54,3437,20,20,3181,730,3959,2,269,15886,186,174,15,45,32,226,34595,11699,10547,34595,15886,678
