county,precinct,office,district,candidate,party,votes
Aitkin,10,U.S. Senate,,Jason Lewis,R,363
Aitkin,10,U.S. Senate,,Tina Smith,DFL,171
Aitkin,10,U.S. Senate,,WRITE-IN,WI,0
Aitkin,10,U.S. House,8,Judith Schwartzbacker,GLC,30
Aitkin,10,U.S. House,8,Pete Stauber,R,384
Aitkin,10,U.S. House,8,Quinn Nystrom,DFL,150
Aitkin,10,U.S. House,8,WRITE-IN,WI,0
Aitkin,10,State Senate,10,Carrie Ruud,R,414
Aitkin,10,State Senate,10,Steve Samuelson,DFL,152
Aitkin,10,State Senate,10,WRITE-IN,WI,0
Aitkin,10,State House,10B,Dale K. Lueck,R,420
Aitkin,10,State House,10B,Gaylene Spolarich,DFL,148
Aitkin,10,State House,10B,WRITE-IN,WI,0
Aitkin,10,Soil and Water Supervisor District 3,3001,Franklin Turnock,NP,413
Aitkin,10,Soil and Water Supervisor District 3,3001,WRITE-IN,WI,4
Aitkin,10,Soil and Water Supervisor District 4,3001,Bob Janzen,NP,421
Aitkin,10,Soil and Water Supervisor District 4,3001,WRITE-IN,WI,4
Aitkin,10,Soil and Water Supervisor District 5,3001,Robert Roseberg,NP,403
Aitkin,10,Soil and Water Supervisor District 5,3001,WRITE-IN,WI,4
Aitkin,10,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,191
Aitkin,10,Associate Justice - Supreme Court 4,,Paul Thissen,NP,238
Aitkin,10,Associate Justice - Supreme Court 4,,WRITE-IN,WI,1
Aitkin,10,Judge - Court of Appeals 3,,Carol Hooten,NP,353
Aitkin,10,Judge - Court of Appeals 3,,WRITE-IN,WI,2
Aitkin,10,Judge - Court of Appeals 9,,Randall J Slieter,NP,352
Aitkin,10,Judge - Court of Appeals 9,,WRITE-IN,WI,2
Aitkin,10,Judge - Court of Appeals 13,,Jeanne Cochran,NP,352
Aitkin,10,Judge - Court of Appeals 13,,WRITE-IN,WI,1
Aitkin,10,Judge - Court of Appeals 15,,Kevin G. Ross,NP,350
Aitkin,10,Judge - Court of Appeals 15,,WRITE-IN,WI,2
Aitkin,10,Judge - 9th District Court 2,9,Matthew Mallie,NP,344
Aitkin,10,Judge - 9th District Court 2,9,WRITE-IN,WI,4
Aitkin,10,Judge - 9th District Court 4,9,Benjamin T. Lindstrom,NP,176
Aitkin,10,Judge - 9th District Court 4,9,Charles D Halverson,NP,252
Aitkin,10,Judge - 9th District Court 4,9,WRITE-IN,WI,2
Aitkin,10,Judge - 9th District Court 5,9,D. Korey Wahwassuck,NP,348
Aitkin,10,Judge - 9th District Court 5,9,WRITE-IN,WI,3
Aitkin,10,Judge - 9th District Court 11,9,Anne M. Rasmusson,NP,351
Aitkin,10,Judge - 9th District Court 11,9,WRITE-IN,WI,1
Aitkin,10,Judge - 9th District Court 12,9,Sarah L. McBroom,NP,348
Aitkin,10,Judge - 9th District Court 12,9,WRITE-IN,WI,2
Aitkin,10,Judge - 9th District Court 14,9,Robert D. Tiffany,NP,350
Aitkin,10,Judge - 9th District Court 14,9,WRITE-IN,WI,2
Aitkin,10,Judge - 9th District Court 15,9,Tamara L. Yon,NP,348
Aitkin,10,Judge - 9th District Court 15,9,WRITE-IN,WI,2
Aitkin,10,Judge - 9th District Court 18,9,Jeffrey S. Remick,NP,346
Aitkin,10,Judge - 9th District Court 18,9,WRITE-IN,WI,2
Aitkin,10,Judge - 9th District Court 19,9,James Hughes,NP,154
Aitkin,10,Judge - 9th District Court 19,9,Jana M Austad,NP,265
Aitkin,10,Judge - 9th District Court 19,9,WRITE-IN,WI,1
Aitkin,10,Judge - 9th District Court 21,9,Patricia Aanes,NP,350
Aitkin,10,Judge - 9th District Court 21,9,WRITE-IN,WI,1
Aitkin,10,Judge - 9th District Court 22,9,Darlene Rivera Spalla,NP,344
Aitkin,10,Judge - 9th District Court 22,9,WRITE-IN,WI,4
Aitkin,15,President,,Donald J. Trump and Michael R. Pence,R,107
Aitkin,15,President,,Joseph R. Biden and Kamala Harris,DFL,75
Aitkin,15,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Aitkin,15,President,,Howie Hawkins and Angela Walker,GP,0
Aitkin,15,President,,Kanye West and Michelle Tidball,IND,0
Aitkin,15,President,,Brock Pierce and Karla Ballard,IND,0
Aitkin,15,President,,Gloria La Riva and Leonard Peltier,SLP,0
Aitkin,15,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Aitkin,15,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,3
Aitkin,15,President,,WRITE-IN,WI,0
Aitkin,15,U.S. Senate,,Kevin O'Connor,LMN,6
Aitkin,15,U.S. Senate,,Oliver Steinberg,GLC,1
Aitkin,15,U.S. Senate,,Jason Lewis,R,95
Aitkin,15,U.S. Senate,,Tina Smith,DFL,79
Aitkin,15,U.S. Senate,,WRITE-IN,WI,0
Aitkin,15,U.S. House,8,Judith Schwartzbacker,GLC,9
Aitkin,15,U.S. House,8,Pete Stauber,R,104
Aitkin,15,U.S. House,8,Quinn Nystrom,DFL,69
Aitkin,15,U.S. House,8,WRITE-IN,WI,0
Aitkin,15,State Senate,10,Carrie Ruud,R,106
Aitkin,15,State Senate,10,Steve Samuelson,DFL,74
Aitkin,15,State Senate,10,WRITE-IN,WI,0
Aitkin,15,State House,10B,Dale K. Lueck,R,106
Aitkin,15,State House,10B,Gaylene Spolarich,DFL,74
Aitkin,15,State House,10B,WRITE-IN,WI,0
Aitkin,15,Soil and Water Supervisor District 3,3001,Franklin Turnock,NP,130
Aitkin,15,Soil and Water Supervisor District 3,3001,WRITE-IN,WI,2
Aitkin,15,Soil and Water Supervisor District 4,3001,Bob Janzen,NP,128
Aitkin,15,Soil and Water Supervisor District 4,3001,WRITE-IN,WI,2
Aitkin,15,Soil and Water Supervisor District 5,3001,Robert Roseberg,NP,130
Aitkin,15,Soil and Water Supervisor District 5,3001,WRITE-IN,WI,1
Aitkin,15,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,67
Aitkin,15,Associate Justice - Supreme Court 4,,Paul Thissen,NP,78
Aitkin,15,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Aitkin,15,Judge - Court of Appeals 3,,Carol Hooten,NP,116
Aitkin,15,Judge - Court of Appeals 3,,WRITE-IN,WI,0
Aitkin,15,Judge - Court of Appeals 9,,Randall J Slieter,NP,113
Aitkin,15,Judge - Court of Appeals 9,,WRITE-IN,WI,2
Aitkin,15,Judge - Court of Appeals 13,,Jeanne Cochran,NP,111
Aitkin,15,Judge - Court of Appeals 13,,WRITE-IN,WI,2
Aitkin,15,Judge - Court of Appeals 15,,Kevin G. Ross,NP,114
Aitkin,15,Judge - Court of Appeals 15,,WRITE-IN,WI,0
Aitkin,15,Judge - 9th District Court 2,9,Matthew Mallie,NP,113
Aitkin,15,Judge - 9th District Court 2,9,WRITE-IN,WI,2
Aitkin,15,Judge - 9th District Court 4,9,Benjamin T. Lindstrom,NP,60
Aitkin,15,Judge - 9th District Court 4,9,Charles D Halverson,NP,79
Aitkin,15,Judge - 9th District Court 4,9,WRITE-IN,WI,0
Aitkin,15,Judge - 9th District Court 5,9,D. Korey Wahwassuck,NP,111
Aitkin,15,Judge - 9th District Court 5,9,WRITE-IN,WI,2
Aitkin,15,Judge - 9th District Court 11,9,Anne M. Rasmusson,NP,114
Aitkin,15,Judge - 9th District Court 11,9,WRITE-IN,WI,2
Aitkin,15,Judge - 9th District Court 12,9,Sarah L. McBroom,NP,111
Aitkin,15,Judge - 9th District Court 12,9,WRITE-IN,WI,2
Aitkin,15,Judge - 9th District Court 14,9,Robert D. Tiffany,NP,113
