county,precinct,office,district,candidate,party,votes
Goodhue,50,Judge - Court of Appeals 13,,WRITE-IN,WI,3
Goodhue,50,Judge - Court of Appeals 15,,Kevin G. Ross,NP,769
Goodhue,50,Judge - Court of Appeals 15,,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 1,1,Ann M. Offermann,NP,767
Goodhue,50,Judge - 1st District Court 1,1,WRITE-IN,WI,5
Goodhue,50,Judge - 1st District Court 3,1,Dannia Edwards,NP,763
Goodhue,50,Judge - 1st District Court 3,1,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,761
Goodhue,50,Judge - 1st District Court 4,1,WRITE-IN,WI,6
Goodhue,50,Judge - 1st District Court 9,1,Patrick H Goggins,NP,776
Goodhue,50,Judge - 1st District Court 9,1,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 12,1,Michael D Wentzell,NP,767
Goodhue,50,Judge - 1st District Court 12,1,WRITE-IN,WI,3
Goodhue,50,Judge - 1st District Court 16,1,Shawn M. Moynihan,NP,763
Goodhue,50,Judge - 1st District Court 16,1,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 18,1,Christian Sean Wilton,NP,764
Goodhue,50,Judge - 1st District Court 18,1,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 19,1,Vicki Taylor,NP,763
Goodhue,50,Judge - 1st District Court 19,1,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 27,1,Tanya O. O'Brien,NP,766
Goodhue,50,Judge - 1st District Court 27,1,WRITE-IN,WI,4
Goodhue,50,Judge - 1st District Court 32,1,Joseph Carter,NP,445
Goodhue,50,Judge - 1st District Court 32,1,"Martin ""Marty"" Judge",NP,390
Goodhue,50,Judge - 1st District Court 32,1,WRITE-IN,WI,3
Goodhue,55,President,,Donald J. Trump and Michael R. Pence,R,437
Goodhue,55,President,,Joseph R. Biden and Kamala Harris,DFL,169
Goodhue,55,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,1
Goodhue,55,President,,Howie Hawkins and Angela Walker,GP,2
Goodhue,55,President,,Kanye West and Michelle Tidball,IND,1
Goodhue,55,President,,Brock Pierce and Karla Ballard,IND,1
Goodhue,55,President,,Gloria La Riva and Leonard Peltier,SLP,1
Goodhue,55,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Goodhue,55,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,5
Goodhue,55,President,,WRITE-IN,WI,1
Goodhue,55,U.S. Senate,,Kevin O'Connor,LMN,39
Goodhue,55,U.S. Senate,,Oliver Steinberg,GLC,13
Goodhue,55,U.S. Senate,,Jason Lewis,R,399
Goodhue,55,U.S. Senate,,Tina Smith,DFL,164
Goodhue,55,U.S. Senate,,WRITE-IN,WI,0
Goodhue,55,U.S. House,2,Adam Charles Weeks,LMN,34
Goodhue,55,U.S. House,2,Tyler Kistner,R,404
Goodhue,55,U.S. House,2,Angie Craig,DFL,177
Goodhue,55,U.S. House,2,WRITE-IN,WI,2
Goodhue,55,State Senate,21,Michael P. Goggin,R,430
Goodhue,55,State Senate,21,Ralph Kaehler,DFL,177
Goodhue,55,State Senate,21,WRITE-IN,WI,1
Goodhue,55,State House,21A,Barb Haley,R,448
Goodhue,55,State House,21A,Matt Bruns,DFL,159
Goodhue,55,State House,21A,WRITE-IN,WI,1
Goodhue,55,Soil and Water Supervisor District 3,7049,Jeffrey Beckman,NP,528
Goodhue,55,Soil and Water Supervisor District 3,7049,WRITE-IN,WI,4
Goodhue,55,Soil and Water Supervisor District 4,7049,Edward McNamara,NP,532
Goodhue,55,Soil and Water Supervisor District 4,7049,WRITE-IN,WI,5
Goodhue,55,Soil and Water Supervisor District 5,7049,Christopher Hinck,NP,523
Goodhue,55,Soil and Water Supervisor District 5,7049,WRITE-IN,WI,2
Goodhue,55,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,198
Goodhue,55,Associate Justice - Supreme Court 4,,Paul Thissen,NP,335
Goodhue,55,Associate Justice - Supreme Court 4,,WRITE-IN,WI,1
Goodhue,55,Judge - Court of Appeals 3,,Carol Hooten,NP,483
Goodhue,55,Judge - Court of Appeals 3,,WRITE-IN,WI,3
Goodhue,55,Judge - Court of Appeals 9,,Randall J Slieter,NP,474
Goodhue,55,Judge - Court of Appeals 9,,WRITE-IN,WI,5
Goodhue,55,Judge - Court of Appeals 13,,Jeanne Cochran,NP,476
Goodhue,55,Judge - Court of Appeals 13,,WRITE-IN,WI,3
Goodhue,55,Judge - Court of Appeals 15,,Kevin G. Ross,NP,472
Goodhue,55,Judge - Court of Appeals 15,,WRITE-IN,WI,2
Goodhue,55,Judge - 1st District Court 1,1,Ann M. Offermann,NP,475
Goodhue,55,Judge - 1st District Court 1,1,WRITE-IN,WI,3
Goodhue,55,Judge - 1st District Court 3,1,Dannia Edwards,NP,470
Goodhue,55,Judge - 1st District Court 3,1,WRITE-IN,WI,4
Goodhue,55,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,472
Goodhue,55,Judge - 1st District Court 4,1,WRITE-IN,WI,2
Goodhue,55,Judge - 1st District Court 9,1,Patrick H Goggins,NP,475
Goodhue,55,Judge - 1st District Court 9,1,WRITE-IN,WI,3
Goodhue,55,Judge - 1st District Court 12,1,Michael D Wentzell,NP,475
Goodhue,55,Judge - 1st District Court 12,1,WRITE-IN,WI,3
Goodhue,55,Judge - 1st District Court 16,1,Shawn M. Moynihan,NP,471
Goodhue,55,Judge - 1st District Court 16,1,WRITE-IN,WI,3
Goodhue,55,Judge - 1st District Court 18,1,Christian Sean Wilton,NP,474
Goodhue,55,Judge - 1st District Court 18,1,WRITE-IN,WI,3
Goodhue,55,Judge - 1st District Court 19,1,Vicki Taylor,NP,475
Goodhue,55,Judge - 1st District Court 19,1,WRITE-IN,WI,2
Goodhue,55,Judge - 1st District Court 27,1,Tanya O. O'Brien,NP,479
Goodhue,55,Judge - 1st District Court 27,1,WRITE-IN,WI,2
Goodhue,55,Judge - 1st District Court 32,1,Joseph Carter,NP,239
Goodhue,55,Judge - 1st District Court 32,1,"Martin ""Marty"" Judge",NP,261
Goodhue,55,Judge - 1st District Court 32,1,WRITE-IN,WI,2
Goodhue,60,President,,Donald J. Trump and Michael R. Pence,R,242
Goodhue,60,President,,Joseph R. Biden and Kamala Harris,DFL,66
Goodhue,60,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Goodhue,60,President,,Howie Hawkins and Angela Walker,GP,2
Goodhue,60,President,,Kanye West and Michelle Tidball,IND,0
Goodhue,60,President,,Brock Pierce and Karla Ballard,IND,0
Goodhue,60,President,,Gloria La Riva and Leonard Peltier,SLP,0
Goodhue,60,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Goodhue,60,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,5
Goodhue,60,President,,WRITE-IN,WI,0
Goodhue,60,U.S. Senate,,Kevin O'Connor,LMN,10
Goodhue,60,U.S. Senate,,Oliver Steinberg,GLC,3
Goodhue,60,U.S. Senate,,Jason Lewis,R,233
Goodhue,60,U.S. Senate,,Tina Smith,DFL,69
Goodhue,60,U.S. Senate,,WRITE-IN,WI,0
Goodhue,60,U.S. House,2,Adam Charles Weeks,LMN,8
Goodhue,60,U.S. House,2,Tyler Kistner,R,241
Goodhue,60,U.S. House,2,Angie Craig,DFL,62
Goodhue,60,U.S. House,2,WRITE-IN,WI,1
Goodhue,60,State Senate,21,Michael P. Goggin,R,243
Goodhue,60,State Senate,21,Ralph Kaehler,DFL,69
Goodhue,60,State Senate,21,WRITE-IN,WI,0
Goodhue,60,State House,21A,Barb Haley,R,250
Goodhue,60,State House,21A,Matt Bruns,DFL,60
Goodhue,60,State House,21A,WRITE-IN,WI,0
Goodhue,60,Soil and Water Supervisor District 3,7049,Jeffrey Beckman,NP,253
Goodhue,60,Soil and Water Supervisor District 3,7049,WRITE-IN,WI,1
Goodhue,60,Soil and Water Supervisor District 4,7049,Edward McNamara,NP,260
Goodhue,60,Soil and Water Supervisor District 4,7049,WRITE-IN,WI,4
Goodhue,60,Soil and Water Supervisor District 5,7049,Christopher Hinck,NP,261
Goodhue,60,Soil and Water Supervisor District 5,7049,WRITE-IN,WI,0
Goodhue,60,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,80
Goodhue,60,Associate Justice - Supreme Court 4,,Paul Thissen,NP,170
Goodhue,60,Associate Justice - Supreme Court 4,,WRITE-IN,WI,1
Goodhue,60,Judge - Court of Appeals 3,,Carol Hooten,NP,204
Goodhue,60,Judge - Court of Appeals 3,,WRITE-IN,WI,3
Goodhue,60,Judge - Court of Appeals 9,,Randall J Slieter,NP,200
Goodhue,60,Judge - Court of Appeals 9,,WRITE-IN,WI,2
Goodhue,60,Judge - Court of Appeals 13,,Jeanne Cochran,NP,199
Goodhue,60,Judge - Court of Appeals 13,,WRITE-IN,WI,4
Goodhue,60,Judge - Court of Appeals 15,,Kevin G. Ross,NP,201
Goodhue,60,Judge - Court of Appeals 15,,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 1,1,Ann M. Offermann,NP,198
Goodhue,60,Judge - 1st District Court 1,1,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 3,1,Dannia Edwards,NP,199
Goodhue,60,Judge - 1st District Court 3,1,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,198
Goodhue,60,Judge - 1st District Court 4,1,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 9,1,Patrick H Goggins,NP,206
Goodhue,60,Judge - 1st District Court 9,1,WRITE-IN,WI,1
Goodhue,60,Judge - 1st District Court 12,1,Michael D Wentzell,NP,202
Goodhue,60,Judge - 1st District Court 12,1,WRITE-IN,WI,2
Goodhue,60,Judge - 1st District Court 16,1,Shawn M. Moynihan,NP,201
Goodhue,60,Judge - 1st District Court 16,1,WRITE-IN,WI,2
Goodhue,60,Judge - 1st District Court 18,1,Christian Sean Wilton,NP,199
Goodhue,60,Judge - 1st District Court 18,1,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 19,1,Vicki Taylor,NP,199
Goodhue,60,Judge - 1st District Court 19,1,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 27,1,Tanya O. O'Brien,NP,198
Goodhue,60,Judge - 1st District Court 27,1,WRITE-IN,WI,3
Goodhue,60,Judge - 1st District Court 32,1,Joseph Carter,NP,113
Goodhue,60,Judge - 1st District Court 32,1,"Martin ""Marty"" Judge",NP,120
Goodhue,60,Judge - 1st District Court 32,1,WRITE-IN,WI,1
Goodhue,65,President,,Donald J. Trump and Michael R. Pence,R,357
Goodhue,65,President,,Joseph R. Biden and Kamala Harris,DFL,234
Goodhue,65,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,3
Goodhue,65,President,,Howie Hawkins and Angela Walker,GP,1
Goodhue,65,President,,Kanye West and Michelle Tidball,IND,0
Goodhue,65,President,,Brock Pierce and Karla Ballard,IND,4
Goodhue,65,President,,Gloria La Riva and Leonard Peltier,SLP,0
Goodhue,65,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Goodhue,65,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,5
Goodhue,65,President,,WRITE-IN,WI,0
Goodhue,65,U.S. Senate,,Kevin O'Connor,LMN,15
Goodhue,65,U.S. Senate,,Oliver Steinberg,GLC,8
Goodhue,65,U.S. Senate,,Jason Lewis,R,349
Goodhue,65,U.S. Senate,,Tina Smith,DFL,226
Goodhue,65,U.S. Senate,,WRITE-IN,WI,1
Goodhue,65,U.S. House,2,Adam Charles Weeks,LMN,18
Goodhue,65,U.S. House,2,Tyler Kistner,R,345
Goodhue,65,U.S. House,2,Angie Craig,DFL,229
Goodhue,65,U.S. House,2,WRITE-IN,WI,0
Goodhue,65,State Senate,21,Michael P. Goggin,R,391
Goodhue,65,State Senate,21,Ralph Kaehler,DFL,202
Goodhue,65,State Senate,21,WRITE-IN,WI,0
Goodhue,65,State House,21A,Barb Haley,R,414
Goodhue,65,State House,21A,Matt Bruns,DFL,182
Goodhue,65,State House,21A,WRITE-IN,WI,1
Goodhue,65,Soil and Water Supervisor District 3,7049,Jeffrey Beckman,NP,482
Goodhue,65,Soil and Water Supervisor District 3,7049,WRITE-IN,WI,2
Goodhue,65,Soil and Water Supervisor District 4,7049,Edward McNamara,NP,485
Goodhue,65,Soil and Water Supervisor District 4,7049,WRITE-IN,WI,2
Goodhue,65,Soil and Water Supervisor District 5,7049,Christopher Hinck,NP,483
Goodhue,65,Soil and Water Supervisor District 5,7049,WRITE-IN,WI,1
Goodhue,65,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,197
Goodhue,65,Associate Justice - Supreme Court 4,,Paul Thissen,NP,293
Goodhue,65,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Goodhue,65,Judge - Court of Appeals 3,,Carol Hooten,NP,434
Goodhue,65,Judge - Court of Appeals 3,,WRITE-IN,WI,0
Goodhue,65,Judge - Court of Appeals 9,,Randall J Slieter,NP,431
Goodhue,65,Judge - Court of Appeals 9,,WRITE-IN,WI,0
Goodhue,65,Judge - Court of Appeals 13,,Jeanne Cochran,NP,427
Goodhue,65,Judge - Court of Appeals 13,,WRITE-IN,WI,0
Goodhue,65,Judge - Court of Appeals 15,,Kevin G. Ross,NP,427
Goodhue,65,Judge - Court of Appeals 15,,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 1,1,Ann M. Offermann,NP,427
Goodhue,65,Judge - 1st District Court 1,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 3,1,Dannia Edwards,NP,423
Goodhue,65,Judge - 1st District Court 3,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,421
Goodhue,65,Judge - 1st District Court 4,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 9,1,Patrick H Goggins,NP,433
Goodhue,65,Judge - 1st District Court 9,1,WRITE-IN,WI,1
Goodhue,65,Judge - 1st District Court 12,1,Michael D Wentzell,NP,423
Goodhue,65,Judge - 1st District Court 12,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 16,1,Shawn M. Moynihan,NP,422
Goodhue,65,Judge - 1st District Court 16,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 18,1,Christian Sean Wilton,NP,422
Goodhue,65,Judge - 1st District Court 18,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 19,1,Vicki Taylor,NP,424
Goodhue,65,Judge - 1st District Court 19,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 27,1,Tanya O. O'Brien,NP,422
Goodhue,65,Judge - 1st District Court 27,1,WRITE-IN,WI,0
Goodhue,65,Judge - 1st District Court 32,1,Joseph Carter,NP,314
Goodhue,65,Judge - 1st District Court 32,1,"Martin ""Marty"" Judge",NP,145
Goodhue,65,Judge - 1st District Court 32,1,WRITE-IN,WI,0
Goodhue,70,President,,Donald J. Trump and Michael R. Pence,R,201
Goodhue,70,President,,Joseph R. Biden and Kamala Harris,DFL,93
Goodhue,70,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Goodhue,70,President,,Howie Hawkins and Angela Walker,GP,2
Goodhue,70,President,,Kanye West and Michelle Tidball,IND,0
Goodhue,70,President,,Brock Pierce and Karla Ballard,IND,1
Goodhue,70,President,,Gloria La Riva and Leonard Peltier,SLP,0
Goodhue,70,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Goodhue,70,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,2
Goodhue,70,President,,WRITE-IN,WI,1
Goodhue,70,U.S. Senate,,Kevin O'Connor,LMN,6
Goodhue,70,U.S. Senate,,Oliver Steinberg,GLC,3
Goodhue,70,U.S. Senate,,Jason Lewis,R,194
Goodhue,70,U.S. Senate,,Tina Smith,DFL,95
Goodhue,70,U.S. Senate,,WRITE-IN,WI,0
Goodhue,70,U.S. House,2,Adam Charles Weeks,LMN,4
Goodhue,70,U.S. House,2,Tyler Kistner,R,200
Goodhue,70,U.S. House,2,Angie Craig,DFL,93
Goodhue,70,U.S. House,2,WRITE-IN,WI,0
Goodhue,70,State Senate,21,Michael P. Goggin,R,197
Goodhue,70,State Senate,21,Ralph Kaehler,DFL,97
Goodhue,70,State Senate,21,WRITE-IN,WI,0
Goodhue,70,State House,21B,Steve Drazkowski,R,205
Goodhue,70,State House,21B,Elise Diesslin,DFL,86
Goodhue,70,State House,21B,WRITE-IN,WI,0
Goodhue,70,County Commissioner District 3,3,Keith Allen,NP,115
Goodhue,70,County Commissioner District 3,3,Todd Greseth,NP,162
Goodhue,70,County Commissioner District 3,3,WRITE-IN,WI,0
Goodhue,70,Soil and Water Supervisor District 3,7049,Jeffrey Beckman,NP,237
Goodhue,70,Soil and Water Supervisor District 3,7049,WRITE-IN,WI,2
Goodhue,70,Soil and Water Supervisor District 4,7049,Edward McNamara,NP,235
Goodhue,70,Soil and Water Supervisor District 4,7049,WRITE-IN,WI,1
Goodhue,70,Soil and Water Supervisor District 5,7049,Christopher Hinck,NP,233
Goodhue,70,Soil and Water Supervisor District 5,7049,WRITE-IN,WI,1
Goodhue,70,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,106
Goodhue,70,Associate Justice - Supreme Court 4,,Paul Thissen,NP,140
Goodhue,70,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Goodhue,70,Judge - Court of Appeals 3,,Carol Hooten,NP,207
Goodhue,70,Judge - Court of Appeals 3,,WRITE-IN,WI,1
Goodhue,70,Judge - Court of Appeals 9,,Randall J Slieter,NP,206
Goodhue,70,Judge - Court of Appeals 9,,WRITE-IN,WI,0
Goodhue,70,Judge - Court of Appeals 13,,Jeanne Cochran,NP,207
Goodhue,70,Judge - Court of Appeals 13,,WRITE-IN,WI,0
Goodhue,70,Judge - Court of Appeals 15,,Kevin G. Ross,NP,204
Goodhue,70,Judge - Court of Appeals 15,,WRITE-IN,WI,0
Goodhue,70,Judge - 1st District Court 1,1,Ann M. Offermann,NP,204
Goodhue,70,Judge - 1st District Court 1,1,WRITE-IN,WI,1
Goodhue,70,Judge - 1st District Court 3,1,Dannia Edwards,NP,206
Goodhue,70,Judge - 1st District Court 3,1,WRITE-IN,WI,1
Goodhue,70,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,205
Goodhue,70,Judge - 1st District Court 4,1,WRITE-IN,WI,0
Goodhue,70,Judge - 1st District Court 9,1,Patrick H Goggins,NP,204
Goodhue,70,Judge - 1st District Court 9,1,WRITE-IN,WI,0
Goodhue,70,Judge - 1st District Court 12,1,Michael D Wentzell,NP,202
Goodhue,70,Judge - 1st District Court 12,1,WRITE-IN,WI,1
Goodhue,70,Judge - 1st District Court 16,1,Shawn M. Moynihan,NP,202
Goodhue,70,Judge - 1st District Court 16,1,WRITE-IN,WI,0
Goodhue,70,Judge - 1st District Court 18,1,Christian Sean Wilton,NP,203
Goodhue,70,Judge - 1st District Court 18,1,WRITE-IN,WI,0
Goodhue,70,Judge - 1st District Court 19,1,Vicki Taylor,NP,203
Goodhue,70,Judge - 1st District Court 19,1,WRITE-IN,WI,0
Goodhue,70,Judge - 1st District Court 27,1,Tanya O. O'Brien,NP,202
Goodhue,70,Judge - 1st District Court 27,1,WRITE-IN,WI,1
Goodhue,70,Judge - 1st District Court 32,1,Joseph Carter,NP,109
Goodhue,70,Judge - 1st District Court 32,1,"Martin ""Marty"" Judge",NP,116
Goodhue,70,Judge - 1st District Court 32,1,WRITE-IN,WI,1
Goodhue,75,President,,Donald J. Trump and Michael R. Pence,R,631
Goodhue,75,President,,Joseph R. Biden and Kamala Harris,DFL,392
Goodhue,75,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,3
Goodhue,75,President,,Howie Hawkins and Angela Walker,GP,4
Goodhue,75,President,,Kanye West and Michelle Tidball,IND,5
Goodhue,75,President,,Brock Pierce and Karla Ballard,IND,3
Goodhue,75,President,,Gloria La Riva and Leonard Peltier,SLP,0
Goodhue,75,President,,Alyson Kennedy and Malcolm Jarrett,SWP,1
Goodhue,75,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,9
Goodhue,75,President,,WRITE-IN,WI,2
Goodhue,75,U.S. Senate,,Kevin O'Connor,LMN,83
Goodhue,75,U.S. Senate,,Oliver Steinberg,GLC,25
Goodhue,75,U.S. Senate,,Jason Lewis,R,558
Goodhue,75,U.S. Senate,,Tina Smith,DFL,374
Goodhue,75,U.S. Senate,,WRITE-IN,WI,3
Goodhue,75,U.S. House,2,Adam Charles Weeks,LMN,80
Goodhue,75,U.S. House,2,Tyler Kistner,R,586
Goodhue,75,U.S. House,2,Angie Craig,DFL,364
Goodhue,75,U.S. House,2,WRITE-IN,WI,4
Goodhue,75,State Senate,21,Michael P. Goggin,R,634
Goodhue,75,State Senate,21,Ralph Kaehler,DFL,389
Goodhue,75,State Senate,21,WRITE-IN,WI,3
Goodhue,75,State House,21B,Steve Drazkowski,R,666
Goodhue,75,State House,21B,Elise Diesslin,DFL,360
Goodhue,75,State House,21B,WRITE-IN,WI,3
Goodhue,75,County Commissioner District 3,3,Keith Allen,NP,355
Goodhue,75,County Commissioner District 3,3,Todd Greseth,NP,607
Goodhue,75,County Commissioner District 3,3,WRITE-IN,WI,3
Goodhue,75,Soil and Water Supervisor District 3,7049,Jeffrey Beckman,NP,856
Goodhue,75,Soil and Water Supervisor District 3,7049,WRITE-IN,WI,3
Goodhue,75,Soil and Water Supervisor District 4,7049,Edward McNamara,NP,845
Goodhue,75,Soil and Water Supervisor District 4,7049,WRITE-IN,WI,3
Goodhue,75,Soil and Water Supervisor District 5,7049,Christopher Hinck,NP,839
Goodhue,75,Soil and Water Supervisor District 5,7049,WRITE-IN,WI,2
Goodhue,75,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,456
Goodhue,75,Associate Justice - Supreme Court 4,,Paul Thissen,NP,423
Goodhue,75,Associate Justice - Supreme Court 4,,WRITE-IN,WI,5
Goodhue,75,Judge - Court of Appeals 3,,Carol Hooten,NP,796
Goodhue,75,Judge - Court of Appeals 3,,WRITE-IN,WI,6
Goodhue,75,Judge - Court of Appeals 9,,Randall J Slieter,NP,786
Goodhue,75,Judge - Court of Appeals 9,,WRITE-IN,WI,8
Goodhue,75,Judge - Court of Appeals 13,,Jeanne Cochran,NP,787
Goodhue,75,Judge - Court of Appeals 13,,WRITE-IN,WI,7
Goodhue,75,Judge - Court of Appeals 15,,Kevin G. Ross,NP,782
Goodhue,75,Judge - Court of Appeals 15,,WRITE-IN,WI,6
Goodhue,75,Judge - 1st District Court 1,1,Ann M. Offermann,NP,783
Goodhue,75,Judge - 1st District Court 1,1,WRITE-IN,WI,5
Goodhue,75,Judge - 1st District Court 3,1,Dannia Edwards,NP,783
Goodhue,75,Judge - 1st District Court 3,1,WRITE-IN,WI,5
Goodhue,75,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,788
Goodhue,75,Judge - 1st District Court 4,1,WRITE-IN,WI,5
Goodhue,75,Judge - 1st District Court 9,1,Patrick H Goggins,NP,792
Goodhue,75,Judge - 1st District Court 9,1,WRITE-IN,WI,6
Goodhue,75,Judge - 1st District Court 12,1,Michael D Wentzell,NP,785
Goodhue,75,Judge - 1st District Court 12,1,WRITE-IN,WI,7
Goodhue,75,Judge - 1st District Court 16,1,Shawn M. Moynihan,NP,785
Goodhue,75,Judge - 1st District Court 16,1,WRITE-IN,WI,7
Goodhue,75,Judge - 1st District Court 18,1,Christian Sean Wilton,NP,784
Goodhue,75,Judge - 1st District Court 18,1,WRITE-IN,WI,6
Goodhue,75,Judge - 1st District Court 19,1,Vicki Taylor,NP,786
Goodhue,75,Judge - 1st District Court 19,1,WRITE-IN,WI,6
Goodhue,75,Judge - 1st District Court 27,1,Tanya O. O'Brien,NP,782
Goodhue,75,Judge - 1st District Court 27,1,WRITE-IN,WI,6
Goodhue,75,Judge - 1st District Court 32,1,Joseph Carter,NP,508
Goodhue,75,Judge - 1st District Court 32,1,"Martin ""Marty"" Judge",NP,329
Goodhue,75,Judge - 1st District Court 32,1,WRITE-IN,WI,3
Goodhue,80,President,,Donald J. Trump and Michael R. Pence,R,187
Goodhue,80,President,,Joseph R. Biden and Kamala Harris,DFL,64
Goodhue,80,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Goodhue,80,President,,Howie Hawkins and Angela Walker,GP,0
Goodhue,80,President,,Kanye West and Michelle Tidball,IND,0
Goodhue,80,President,,Brock Pierce and Karla Ballard,IND,0
Goodhue,80,President,,Gloria La Riva and Leonard Peltier,SLP,0
Goodhue,80,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Goodhue,80,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,2
Goodhue,80,President,,WRITE-IN,WI,0
Goodhue,80,U.S. Senate,,Kevin O'Connor,LMN,10
Goodhue,80,U.S. Senate,,Oliver Steinberg,GLC,5
Goodhue,80,U.S. Senate,,Jason Lewis,R,174
Goodhue,80,U.S. Senate,,Tina Smith,DFL,60
Goodhue,80,U.S. Senate,,WRITE-IN,WI,1
Goodhue,80,U.S. House,2,Adam Charles Weeks,LMN,10
Goodhue,80,U.S. House,2,Tyler Kistner,R,177
Goodhue,80,U.S. House,2,Angie Craig,DFL,62
Goodhue,80,U.S. House,2,WRITE-IN,WI,0
Goodhue,80,State Senate,21,Michael P. Goggin,R,180
Goodhue,80,State Senate,21,Ralph Kaehler,DFL,65
Goodhue,80,State Senate,21,WRITE-IN,WI,1
Goodhue,80,State House,21B,Steve Drazkowski,R,186
Goodhue,80,State House,21B,Elise Diesslin,DFL,60
Goodhue,80,State House,21B,WRITE-IN,WI,1
Goodhue,80,County Commissioner District 3,3,Keith Allen,NP,99
Goodhue,80,County Commissioner District 3,3,Todd Greseth,NP,135
Goodhue,80,County Commissioner District 3,3,WRITE-IN,WI,0
Goodhue,80,Soil and Water Supervisor District 3,7049,Jeffrey Beckman,NP,203
Goodhue,80,Soil and Water Supervisor District 3,7049,WRITE-IN,WI,0
Goodhue,80,Soil and Water Supervisor District 4,7049,Edward McNamara,NP,199
Goodhue,80,Soil and Water Supervisor District 4,7049,WRITE-IN,WI,0
Goodhue,80,Soil and Water Supervisor District 5,7049,Christopher Hinck,NP,196
Goodhue,80,Soil and Water Supervisor District 5,7049,WRITE-IN,WI,0
Goodhue,80,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,110
Goodhue,80,Associate Justice - Supreme Court 4,,Paul Thissen,NP,101
Goodhue,80,Associate Justice - Supreme Court 4,,WRITE-IN,WI,1
Goodhue,80,Judge - Court of Appeals 3,,Carol Hooten,NP,181
Goodhue,80,Judge - Court of Appeals 3,,WRITE-IN,WI,0
Goodhue,80,Judge - Court of Appeals 9,,Randall J Slieter,NP,176
Goodhue,80,Judge - Court of Appeals 9,,WRITE-IN,WI,0
Goodhue,80,Judge - Court of Appeals 13,,Jeanne Cochran,NP,176
Goodhue,80,Judge - Court of Appeals 13,,WRITE-IN,WI,0
Goodhue,80,Judge - Court of Appeals 15,,Kevin G. Ross,NP,175
Goodhue,80,Judge - Court of Appeals 15,,WRITE-IN,WI,0
Goodhue,80,Judge - 1st District Court 1,1,Ann M. Offermann,NP,173
Goodhue,80,Judge - 1st District Court 1,1,WRITE-IN,WI,0
Goodhue,80,Judge - 1st District Court 3,1,Dannia Edwards,NP,174
Goodhue,80,Judge - 1st District Court 3,1,WRITE-IN,WI,0
Goodhue,80,Judge - 1st District Court 4,1,Tracy L. Perzel,NP,176
