county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CORT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,pri_rep_TRAN,gen_dem_OBAMA,gen_lib_BARR,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_HILL,gen_wri_KEYES,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,wri_general_total
MIDLAND,13,3868,10,62,3603,35,3,53,4669,57,58,7189,474,327,103,3,9691,308,36155,0,28,1,3,1,0,29,13087,7591,36155,9691,308,62
MILAM,59,2749,33,261,1668,84,0,2,287,5,12,360,33,5,9,0,3044,70,5217,0,14,0,2,1,0,9,721,4854,5217,3044,70,26
MILLS,8,460,1,52,232,19,1,1,173,5,5,242,29,15,6,0,398,21,1753,0,3,0,1,0,0,1,487,772,1753,398,21,5
MITCHELL,7,665,9,84,280,30,0,1,137,1,0,196,12,0,2,0,586,23,1815,0,2,0,0,0,0,5,350,1075,1815,586,23,7
MONTAGUE,9,1647,4,80,616,27,1,11,824,6,12,1178,83,36,15,0,1597,94,6245,0,11,0,0,0,0,3,2203,2383,6245,1597,94,14
MONTGOMERY,15,17299,21,160,13443,50,8,126,15995,561,284,20874,1791,772,271,4,36703,953,119884,2,139,2,20,11,0,133,41272,30988,119884,36703,953,307
MOORE,4,549,0,12,278,9,0,15,1066,5,5,1214,28,49,33,1,1123,31,4282,0,1,0,0,0,0,0,2518,852,4282,1123,31,1
MORRIS,21,1637,10,191,967,41,0,3,196,0,0,124,4,1,2,0,2055,30,3158,0,0,0,0,1,0,4,331,2867,3158,2055,30,5
MOTLEY,0,97,0,7,44,2,1,0,80,4,3,76,1,7,2,1,67,5,522,0,0,0,0,0,0,0,177,150,522,67,5,0
NACOGDOCHES,9,3005,12,61,2788,10,2,22,2392,16,25,3650,249,77,42,3,8393,124,14828,0,25,0,3,3,1,14,6585,5885,14828,8393,124,46
NAVARRO,24,3289,9,116,2395,20,5,19,1553,6,20,1924,85,46,36,0,5400,105,10810,0,5,0,0,1,0,0,3727,5853,10810,5400,105,6
NEWTON,24,1641,26,220,818,35,0,0,147,0,5,132,20,1,4,0,1751,60,3446,0,1,0,0,0,0,2,309,2764,3446,1751,60,3
NOLAN,38,1746,20,295,885,65,0,1,134,1,1,137,7,2,2,1,1521,54,3485,0,2,0,0,0,0,1,287,3049,3485,1521,54,3
NUECES,60,32125,35,337,16252,157,2,49,3604,20,68,8139,555,217,87,3,47912,792,52391,0,57,0,5,4,1,68,12828,48966,52391,47912,792,135
OCHILTREE,0,72,0,6,44,0,1,20,686,7,5,1176,37,24,19,1,243,6,2851,0,7,0,1,0,0,1,2039,122,2851,243,6,9
OLDHAM,2,125,0,11,70,21,0,0,108,0,0,76,4,2,0,0,102,4,813,0,0,0,0,0,0,1,194,229,813,102,4,1
ORANGE,111,10317,110,811,4143,138,1,9,1327,4,40,1487,134,40,16,1,7646,227,21509,0,10,0,1,1,0,12,3083,15630,21509,7646,227,24
PALO PINTO,17,2148,22,65,807,19,3,12,778,31,12,999,80,34,25,1,2499,78,7264,3,37,6,0,0,0,3,1993,3078,7264,2499,78,49
PANOLA,55,2887,34,364,1440,69,0,0,494,1,7,312,30,5,6,0,2586,38,7582,0,3,0,0,0,0,7,858,4849,7582,2586,38,10
PARKER,22,6006,11,95,2998,19,5,107,6373,47,64,7076,794,270,216,4,10502,380,36974,0,60,0,7,1,0,27,15285,9151,36974,10502,380,95
PARMER,2,367,1,8,248,6,0,1,386,2,3,395,9,7,5,0,719,20,2969,0,0,0,0,0,0,5,813,632,2969,719,20,5
PECOS,19,1119,12,79,624,41,1,3,192,1,1,276,23,11,9,0,1476,40,2480,0,0,0,2,3,0,9,523,1894,2480,1476,40,14
POLK,23,4004,17,154,2078,39,3,15,1647,20,17,2398,154,95,26,5,6230,179,13731,0,3,0,0,0,0,6,4453,6315,13731,6230,179,9
POTTER,13,4080,12,78,2994,57,6,64,3656,34,29,4558,201,151,87,10,8939,250,20761,0,21,1,4,2,1,34,8925,7234,20761,8939,250,63
PRESIDIO,7,978,7,46,639,26,0,0,9,1,0,17,6,1,1,0,1252,15,489,0,0,0,0,0,0,1,35,1703,489,1252,15,1
RAINS,6,1095,3,38,399,13,0,3,398,2,5,385,27,6,6,0,1048,37,3146,0,4,0,0,0,0,1,837,1554,3146,1048,37,5
RANDALL,18,5894,6,65,3672,42,3,83,7218,34,27,6948,287,245,86,3,9468,336,41948,1,40,0,7,2,0,30,15068,9697,41948,9468,336,80
REAGAN,1,44,0,1,26,0,4,16,195,0,5,444,13,13,12,1,197,2,795,0,0,0,0,0,0,0,775,72,795,197,2,0
REAL,0,125,0,1,75,0,3,14,299,5,2,545,49,10,7,4,375,15,1238,0,0,0,0,0,0,0,938,201,1238,375,15,0
RED RIVER,39,2045,15,208,854,31,0,1,113,1,0,70,21,2,1,0,1539,41,3461,0,7,0,1,0,0,3,209,3192,3461,1539,41,11
REEVES,16,1448,9,78,628,50,0,0,0,0,0,0,0,0,0,0,1606,21,1445,0,1,0,0,1,0,3,0,2229,1445,1606,21,5
REFUGIO,7,1178,6,72,815,18,1,0,73,0,0,166,26,4,3,1,1382,21,1855,0,0,0,0,0,0,3,276,2096,1855,1382,21,3
ROBERTS,0,0,0,0,0,0,0,2,101,3,0,137,9,0,2,0,41,0,477,0,0,0,0,0,0,0,261,0,477,41,0,0
ROBERTSON,21,1744,12,150,1579,32,0,4,340,1,8,352,19,9,7,0,2675,38,3980,0,1,0,1,0,1,14,748,3538,3980,2675,38,17
ROCKWALL,7,3982,2,28,3885,5,1,38,3439,28,38,3678,219,140,65,3,8492,237,23300,0,19,0,3,0,0,15,7704,7909,23300,8492,237,37
RUNNELS,5,686,1,36,393,4,0,2,323,2,1,472,16,11,5,0,720,25,3118,0,2,0,0,0,0,2,837,1125,3118,720,25,4
RUSK,11,2550,13,97,2398,38,1,25,2311,8,12,2577,123,64,28,0,4983,77,13646,0,9,0,2,2,0,3,5207,5107,13646,4983,77,16
SABINE,31,1762,15,192,668,47,0,2,351,0,0,540,22,11,5,1,1077,48,3749,0,0,0,0,0,0,0,943,2715,3749,1077,48,0
SAN AUGUSTINE,21,1498,36,196,972,82,0,0,82,0,2,76,11,2,1,0,1328,42,2342,0,1,0,1,0,0,1,178,2805,2342,1328,42,3
SAN JACINTO,17,2475,18,186,1462,55,3,6,653,6,8,691,60,22,7,0,2721,74,6151,0,2,0,1,2,0,7,1474,4213,6151,2721,74,12
SAN PATRICIO,26,6320,25,113,2791,60,0,26,940,5,12,1830,127,36,26,1,8854,110,12404,0,11,0,1,2,0,14,3030,9335,12404,8854,110,28
SAN SABA,0,351,1,16,143,3,0,0,105,1,0,156,17,0,4,0,487,24,1941,0,5,0,0,0,0,0,291,514,1941,487,24,5
SCHLEICHER,5,185,2,14,140,2,0,3,100,1,0,138,13,2,3,0,324,7,970,0,3,0,0,0,0,0,261,348,970,324,7,3
SCURRY,3,643,1,13,292,11,2,25,693,6,6,1270,50,30,25,3,1088,41,4414,2,16,2,2,1,1,2,2155,963,4414,1088,41,26
SHACKELFORD,12,451,4,63,156,33,0,0,77,2,0,65,2,2,0,0,208,13,1284,0,0,0,0,0,0,0,149,719,1284,208,13,0
SHELBY,22,2418,9,154,1044,26,0,1,912,2,3,722,57,18,6,1,2548,38,6630,0,3,0,0,0,0,1,1734,3673,6630,2548,38,4
SHERMAN,0,118,1,6,66,4,0,8,206,4,2,227,6,5,7,0,127,8,884,0,0,0,0,0,0,1,465,195,884,127,8,1
SMITH,14,7401,11,84,11125,24,6,84,8721,57,99,12290,565,365,217,3,23726,415,55187,5,109,24,9,29,6,51,22586,18659,55187,23726,415,233
SOMERVELL,4,704,7,37,348,5,0,0,349,1,1,355,27,13,10,0,799,34,2677,0,0,0,0,0,0,23,756,1105,2677,799,34,23
STARR,9,7360,11,56,1454,17,0,1,37,1,0,52,10,1,1,0,8274,26,1492,0,0,0,0,0,0,0,103,8907,1492,8274,26,0
STEPHENS,2,709,4,71,326,26,0,2,271,0,1,271,4,8,6,0,626,30,2869,0,0,0,0,0,0,1,564,1138,2869,626,30,1
STERLING,0,64,0,2,17,1,0,2,60,0,0,141,4,5,1,0,97,2,520,0,0,0,0,0,0,0,215,84,520,97,2,0
STONEWALL,8,303,9,46,108,9,0,0,0,0,0,0,0,0,0,0,206,5,524,0,0,0,0,0,0,0,0,483,524,206,5,0
SUTTON,1,298,2,7,132,8,0,1,97,2,0,189,9,2,2,0,381,8,1189,0,0,0,0,0,0,0,305,448,1189,381,8,0
SWISHER,8,851,9,90,336,48,0,1,94,0,2,39,1,1,1,0,813,33,1683,0,3,0,0,0,0,3,142,1342,1683,813,33,6
TARRANT,144,90417,68,681,108105,229,21,414,42854,373,740,48104,4489,2048,883,91,274880,4211,348420,4,493,4,75,43,11,412,100836,199644,348420,274880,4211,1042
TAYLOR,13,6350,9,120,4302,29,8,42,5535,24,36,6405,386,210,86,3,12690,362,34317,1,30,1,5,0,3,30,12887,10823,34317,12690,362,70
TERRELL,1,125,2,11,69,2,0,1,32,0,0,31,5,0,0,0,186,3,323,0,6,0,0,0,0,1,70,210,323,186,3,7
TERRY,20,1115,17,223,756,76,0,2,135,0,1,160,6,4,6,0,1379,22,2879,0,0,0,0,0,0,0,318,2207,2879,1379,22,0
THROCKMORTON,3,401,3,40,131,18,0,0,0,0,0,0,0,0,0,0,166,1,671,0,0,0,0,0,0,0,0,596,671,166,1,0
TITUS,34,2712,34,345,1565,81,0,3,600,2,0,333,23,16,11,0,3145,67,6028,0,4,0,0,0,0,1,996,4771,6028,3145,67,5
TOM GREEN,10,5874,11,89,4239,39,2,41,2892,54,38,5221,229,140,80,1,11158,275,27362,1,29,0,2,4,0,30,8813,10262,27362,11158,275,66
TRAVIS,146,68303,80,739,116314,256,4,53,4054,18,67,7191,3070,216,102,1,254017,4930,136981,11,667,7,43,253,15,790,14902,185838,136981,254017,4930,1786
TRINITY,36,2528,29,412,1275,84,0,0,137,2,1,162,15,5,1,0,1925,52,4095,0,4,0,0,0,0,1,323,4364,4095,1925,52,5
TYLER,41,2772,45,257,1047,60,0,2,401,0,6,507,42,15,3,1,2166,98,5644,0,0,0,0,0,0,2,991,4222,5644,2166,98,2
UPSHUR,39,3545,29,243,1915,53,1,13,1438,5,18,1219,152,71,18,0,3790,112,11222,0,17,0,3,1,0,19,2955,5824,11222,3790,112,40
UPTON,14,373,11,94,308,17,0,0,0,0,0,0,0,0,0,0,288,8,898,0,2,0,1,0,0,0,0,817,898,288,8,3
UVALDE,32,2772,20,130,1590,51,1,9,522,6,8,719,48,24,13,0,4126,50,4590,0,0,0,0,0,0,0,1380,4595,4590,4126,50,0
VAL VERDE,11,3503,13,59,1856,33,1,10,435,3,2,669,33,41,14,0,6982,68,5752,0,7,0,2,0,0,9,1221,5475,5752,6982,68,18
VAN ZANDT,7,4407,10,137,1580,28,0,18,2711,15,17,2353,156,57,34,3,4505,142,15734,0,5,0,2,1,0,6,5416,6169,15734,4505,142,14
VICTORIA,38,5621,25,187,3622,69,2,29,1429,21,16,3106,973,118,25,6,9832,168,19878,0,31,0,1,0,0,21,5786,9562,19878,9832,168,53
WALKER,11,2772,10,73,2861,19,1,12,1842,22,88,2468,264,64,36,1,7334,148,11623,1,20,0,8,1,0,11,4857,5746,11623,7334,148,41
WALLER,6,1567,7,25,3272,9,1,16,1447,63,17,1722,222,53,44,0,7153,76,8265,0,8,1,0,0,0,5,3649,4886,8265,7153,76,14
WARD,35,1189,20,241,647,84,0,2,59,0,0,77,9,0,0,1,899,31,2667,0,1,0,0,1,0,3,150,2216,2667,899,31,5
WASHINGTON,4,1285,2,20,1827,9,1,27,1810,28,25,3098,251,85,66,2,4034,89,10176,0,18,42,4,0,0,14,5512,3147,10176,4034,89,78
WEBB,132,32383,72,401,8615,263,2,29,231,5,18,833,64,16,7,1,33452,200,13119,1,12,0,0,4,1,32,1232,41866,13119,33452,200,50
WHARTON,19,2692,17,81,2197,27,0,13,1161,31,15,1914,357,36,19,0,4937,39,9431,0,6,0,0,0,0,5,3574,5033,9431,4937,39,11
WHEELER,6,460,8,89,192,32,160,2,232,1,1,160,2,3,2,0,314,11,1918,0,2,0,0,0,0,0,563,787,1918,314,11,2
WICHITA,24,7468,23,219,4934,52,9,40,3095,22,33,6417,267,192,94,7,13868,328,31731,0,20,0,4,3,1,27,10280,12720,31731,13868,328,55
WILBARGER,9,1084,4,170,559,32,0,3,265,0,0,322,21,1,3,0,1196,30,3283,0,0,0,0,0,0,0,622,1858,3283,1196,30,0
WILLACY,26,3024,27,121,1568,74,0,0,8,0,0,29,1,1,0,0,3409,32,1456,0,0,0,0,3,0,3,39,4840,1456,3409,32,6
WILLIAMSON,31,21289,13,202,27906,49,4,85,9799,63,157,14720,2907,696,241,4,67691,1951,88323,0,225,2,54,21,3,133,28916,49490,88323,67691,1951,438
WILSON,9,3486,5,57,2170,16,2,12,1299,6,10,1684,111,51,16,0,5362,87,10904,1,6,0,1,3,0,2,3217,5743,10904,5362,87,13
WINKLER,1,262,1,4,98,0,2,11,262,1,8,477,5,11,13,1,477,23,1529,0,0,0,1,0,0,2,822,366,1529,477,23,3
WISE,9,3186,6,78,1204,19,0,22,2630,21,34,2647,253,76,57,2,4471,145,15973,0,24,0,2,0,1,23,5857,4502,15973,4471,145,50
WOOD,14,2559,2,46,1412,6,0,22,2647,11,15,3451,227,84,50,2,4010,92,13658,0,13,0,2,0,0,9,6599,4039,13658,4010,92,24
YOAKUM,3,367,3,23,179,10,0,0,261,0,2,376,12,3,7,0,450,15,1989,0,2,0,1,0,0,1,666,585,1989,450,15,4
YOUNG,8,1161,5,49,505,14,1,8,864,6,8,1223,49,15,20,0,1303,57,5942,0,2,0,1,0,0,0,2243,1742,5942,1303,57,3
ZAPATA,19,2448,8,50,638,33,0,0,0,0,0,0,0,0,0,0,1939,8,919,0,0,0,0,0,0,0,0,3196,919,1939,8,0
ZAVALA,30,2626,10,52,968,32,0,0,0,0,0,0,0,0,0,0,3263,17,596,0,0,0,0,0,0,0,0,3718,596,3263,17,0
