county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CORT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,pri_rep_TRAN,gen_dem_OBAMA,gen_lib_BARR,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_HILL,gen_wri_KEYES,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,wri_general_total
CHEROKEE,15,2950,12,108,2121,24,2,13,1684,6,23,2052,101,39,34,0,4610,84,11695,2,15,0,0,1,0,10,4011,5230,11695,4610,84,28
CHILDRESS,2,433,3,17,173,8,0,1,151,1,1,178,4,4,3,0,497,17,1782,0,0,0,0,0,0,0,343,636,1782,497,17,0
CLAY,8,1436,14,142,459,14,0,6,398,3,6,644,33,8,13,0,1085,34,4213,0,1,0,1,0,0,5,1125,2073,4213,1085,34,7
COCHRAN,2,184,2,15,116,10,0,1,151,1,0,121,1,1,1,0,284,14,758,0,1,0,0,0,0,0,281,329,758,284,14,1
COKE,12,405,6,89,226,20,0,1,57,0,0,65,2,8,0,0,299,16,1252,0,0,0,0,0,0,2,133,758,1252,299,16,2
COLEMAN,1,503,1,27,164,8,3,17,645,5,9,956,30,25,29,2,643,43,3011,0,3,0,1,0,0,1,1777,704,3011,643,43,5
COLLIN,38,32064,30,191,40113,82,15,198,21777,157,324,24606,2095,1465,470,13,109047,2168,184897,0,236,4,43,19,4,165,51556,72518,184897,109047,2168,471
COLLINGSWORTH,2,332,2,41,156,17,0,0,94,3,1,85,5,4,1,0,234,16,943,0,0,0,0,2,0,0,193,550,943,234,16,2
COLORADO,6,1693,0,52,1190,9,2,7,685,25,1,947,132,34,8,0,2508,38,5795,0,4,7,0,1,0,0,1856,2950,5795,2508,38,12
COMAL,11,5047,5,49,4817,17,6,69,5199,46,114,8026,727,458,161,0,12384,393,35233,0,61,0,24,3,5,55,14950,9946,35233,12384,393,148
COMANCHE,13,1345,5,82,553,23,1,0,400,2,6,420,37,9,10,0,1334,57,3813,1,5,1,2,0,0,4,890,2021,3813,1334,57,13
CONCHO,1,214,0,14,111,0,1,3,117,2,1,173,8,2,2,0,257,11,807,0,2,0,0,0,0,0,323,340,807,257,11,2
COOKE,4,1738,1,50,987,5,1,31,2090,25,37,3128,247,124,55,2,3051,102,11871,0,6,0,0,1,1,0,5855,2785,11871,3051,102,8
CORYELL,12,2434,4,62,2434,11,0,38,1161,14,15,2007,114,59,32,0,6619,132,11550,1,15,0,0,1,0,14,3478,4957,11550,6619,132,31
COTTLE,7,276,4,44,113,27,0,0,0,0,0,0,0,0,0,0,187,9,509,0,0,0,0,0,0,0,0,471,509,187,9,0
CRANE,4,282,1,32,235,29,0,1,119,1,2,172,8,6,4,0,319,16,1119,0,0,0,0,0,0,0,320,583,1119,319,16,0
CROCKETT,16,566,19,112,414,39,0,0,0,0,0,0,0,0,0,0,512,7,1026,0,0,0,0,0,0,0,0,1166,1026,512,7,0
CROSBY,8,641,6,87,373,36,0,0,83,0,3,49,0,0,2,0,684,9,1221,0,0,0,0,0,0,0,140,1151,1221,684,9,0
CULBERSON,7,312,4,13,175,15,0,0,0,0,0,0,0,0,0,0,492,8,257,1,1,0,0,0,0,0,0,526,257,492,8,2
DALLAM,0,135,2,8,88,1,0,9,273,1,3,306,18,8,7,0,302,15,1269,0,1,0,0,0,0,2,639,234,1269,302,15,3
DALLAS,262,113460,176,845,182619,325,74,360,36521,340,580,47245,3856,1532,733,41,422989,4361,310000,10,405,4,92,75,10,517,92045,297687,310000,422989,4361,1113
DAWSON,6,777,10,38,402,12,1,11,562,2,4,749,33,11,19,0,1152,33,2906,0,3,0,0,0,0,2,1423,1245,2906,1152,33,5
DEAF SMITH,2,604,1,14,336,11,1,20,687,4,6,992,19,39,13,1,1247,28,3466,0,0,0,0,0,0,3,1850,968,3466,1247,28,3
DELTA,5,656,8,45,219,8,1,7,304,1,4,269,18,14,8,0,589,18,1580,0,0,0,0,0,0,0,650,941,1580,589,18,0
DENTON,18,24103,20,173,30468,44,3,138,17166,144,385,17266,1766,917,350,7,91160,1700,149935,9,187,2,33,20,16,201,38610,54826,149935,91160,1700,468
DEWITT,2,996,5,26,699,4,2,10,542,8,2,1058,183,24,4,0,1716,22,4888,0,0,0,0,0,0,0,1873,1732,4888,1716,22,0
DICKENS,3,335,4,59,194,17,0,0,0,0,0,0,0,0,0,0,234,8,730,0,0,0,0,0,0,0,0,612,730,234,8,0
DIMMIT,17,2149,12,71,886,39,0,0,7,0,0,10,1,0,0,0,2692,17,874,0,1,0,0,0,0,3,18,3174,874,2692,17,4
DONLEY,3,297,1,23,119,18,0,2,192,5,0,208,12,10,5,0,291,25,1374,0,0,0,0,0,0,0,441,461,1374,291,25,0
DUVAL,26,3913,10,65,988,51,0,0,0,0,0,0,0,0,0,0,3298,35,1076,0,0,0,0,0,0,0,0,5053,1076,3298,35,0
EASTLAND,6,1104,8,35,374,13,2,11,1047,6,6,954,34,35,19,0,1271,68,5165,0,0,0,0,0,0,5,2148,1540,5165,1271,68,5
ECTOR,7,5347,10,80,2717,30,1,113,3708,28,29,5755,287,195,106,3,9123,241,26199,0,15,0,1,0,0,27,10383,8191,26199,9123,241,43
EDWARDS,1,175,3,8,131,3,0,3,99,3,0,146,10,4,4,0,346,12,673,0,1,0,1,1,0,1,271,321,673,346,12,4
EL PASO,246,71298,179,487,30019,885,15,199,4040,59,113,12494,535,642,259,27,122021,1151,61783,2,73,0,6,19,5,173,18727,103114,61783,122021,1151,278
ELLIS,16,7086,14,85,5725,24,0,44,6198,40,74,6151,445,136,101,4,15333,346,38078,0,47,2,8,4,0,35,13353,12950,38078,15333,346,96
ERATH,3,1696,7,37,971,6,0,20,1499,10,13,1474,110,57,37,0,3128,103,10768,1,3,0,2,0,0,14,3261,2720,10768,3128,103,20
FALLS,3,1335,8,69,1188,23,0,9,295,4,5,469,36,14,7,0,2225,40,3328,0,2,0,1,0,0,3,853,2626,3328,2225,40,6
FANNIN,10,2976,6,97,1115,14,0,10,1179,10,15,1361,116,33,25,6,3464,101,8092,3,16,0,2,1,0,15,2808,4218,8092,3464,101,37
