county,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
POTTAWATOMIE,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,NO,,1457,939,5094,7490
POTTAWATOMIE,SUPREME COURT DISTRICT 6 - TOM COLBERT,,YES,,2888,2244,12159,17291
POTTAWATOMIE,SUPREME COURT DISTRICT 6 - TOM COLBERT,,NO,,1352,1022,5633,8007
POTTAWATOMIE,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,YES,,2727,2241,12217,17185
POTTAWATOMIE,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,NO,,1480,965,5391,7836
POTTAWATOMIE,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,YES,,2745,2245,12184,17174
POTTAWATOMIE,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,NO,,1450,956,5400,7806
POTTAWATOMIE,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,YES,,2742,2218,11927,16887
POTTAWATOMIE,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,NO,,1455,972,5624,8051
POTTAWATOMIE,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,YES,,2917,2196,11527,16640
POTTAWATOMIE,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,NO,,1292,997,6027,8316
POTTAWATOMIE,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,YES,,2949,2224,11646,16819
POTTAWATOMIE,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,NO,,1254,967,5901,8122
POTTAWATOMIE,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,YES,,2714,2157,11305,16176
POTTAWATOMIE,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,NO,,1485,1036,6221,8742
POTTAWATOMIE,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,FOR THE PROPOSAL - YES,,2653,1371,6369,10393
