county,precinct,office,district,party,candidate,votes
Davis,BO05:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO05:I-S-,President,,Democrat,ANDREW YANG,2
Davis,BO05:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO05:I-S-,President,,Democrat,PETE BUTTIGIEG,8
Davis,BO05:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO05:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,14
Davis,BO05:I-S-,President,,Democrat,JOSEPH R. BIDEN,9
Davis,BO05:I-S-,President,,Democrat,BERNIE SANDERS,17
Davis,BO05:I-S-,President,,Democrat,TOM STEYER,1
Davis,BO05:I-S-,President,,Democrat,ELIZABETH WARREN,15
Davis,BO05:I-S-,President,,Democrat,MARIANNE WILLIAMSON,1
Davis,BO05:I-S-,President,,Democrat,TULSI GABBARD,1
Davis,BO05:I-S-,President,,Democrat,AMY KLOBUCHAR,4
Davis,BO05:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO05:I-S-,President,,Democrat,ROQUE DE LA FUENTE,1
Davis,BO05:I-S-,President,,Republican,ROBERT ARDINI,5
Davis,BO05:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO05:I-S-,President,,Republican,BOB ELY,0
Davis,BO05:I-S-,President,,Republican,JOE WALSH,8
Davis,BO05:I-S-,President,,Republican,BILL WELD,16
Davis,BO05:I-S-,President,,Republican,DONALD J. TRUMP,126
Davis,BO06:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO06:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO06:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO06:I-S-,President,,Democrat,PETE BUTTIGIEG,7
Davis,BO06:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO06:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,19
Davis,BO06:I-S-,President,,Democrat,JOSEPH R. BIDEN,22
Davis,BO06:I-S-,President,,Democrat,BERNIE SANDERS,66
Davis,BO06:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO06:I-S-,President,,Democrat,ELIZABETH WARREN,27
Davis,BO06:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO06:I-S-,President,,Democrat,TULSI GABBARD,2
Davis,BO06:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO06:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO06:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO06:I-S-,President,,Republican,ROBERT ARDINI,3
Davis,BO06:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO06:I-S-,President,,Republican,BOB ELY,1
Davis,BO06:I-S-,President,,Republican,JOE WALSH,4
Davis,BO06:I-S-,President,,Republican,BILL WELD,30
Davis,BO06:I-S-,President,,Republican,DONALD J. TRUMP,202
Davis,BO07:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO07:I-S-,President,,Democrat,ANDREW YANG,2
Davis,BO07:I-S-,President,,Democrat,CORY BOOKER,1
Davis,BO07:I-S-,President,,Democrat,PETE BUTTIGIEG,11
Davis,BO07:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO07:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,19
Davis,BO07:I-S-,President,,Democrat,JOSEPH R. BIDEN,24
Davis,BO07:I-S-,President,,Democrat,BERNIE SANDERS,69
Davis,BO07:I-S-,President,,Democrat,TOM STEYER,1
Davis,BO07:I-S-,President,,Democrat,ELIZABETH WARREN,32
Davis,BO07:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO07:I-S-,President,,Democrat,TULSI GABBARD,3
Davis,BO07:I-S-,President,,Democrat,AMY KLOBUCHAR,5
Davis,BO07:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO07:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO07:I-S-,President,,Republican,ROBERT ARDINI,2
Davis,BO07:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO07:I-S-,President,,Republican,BOB ELY,1
Davis,BO07:I-S-,President,,Republican,JOE WALSH,9
Davis,BO07:I-S-,President,,Republican,BILL WELD,26
Davis,BO07:I-S-,President,,Republican,DONALD J. TRUMP,128
Davis,BO08:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO08:I-S-,President,,Democrat,ANDREW YANG,1
Davis,BO08:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO08:I-S-,President,,Democrat,PETE BUTTIGIEG,7
Davis,BO08:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO08:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,21
Davis,BO08:I-S-,President,,Democrat,JOSEPH R. BIDEN,28
Davis,BO08:I-S-,President,,Democrat,BERNIE SANDERS,35
Davis,BO08:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO08:I-S-,President,,Democrat,ELIZABETH WARREN,19
Davis,BO08:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO08:I-S-,President,,Democrat,TULSI GABBARD,0
Davis,BO08:I-S-,President,,Democrat,AMY KLOBUCHAR,6
Davis,BO08:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO08:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO08:I-S-,President,,Republican,ROBERT ARDINI,6
Davis,BO08:I-S-,President,,Republican,MATTHEW JOHN MATERN,8
Davis,BO08:I-S-,President,,Republican,BOB ELY,2
Davis,BO08:I-S-,President,,Republican,JOE WALSH,12
Davis,BO08:I-S-,President,,Republican,BILL WELD,22
Davis,BO08:I-S-,President,,Republican,DONALD J. TRUMP,172
Davis,BO09:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO09:I-S-,President,,Democrat,ANDREW YANG,1
Davis,BO09:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO09:I-S-,President,,Democrat,PETE BUTTIGIEG,9
Davis,BO09:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO09:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,26
Davis,BO09:I-S-,President,,Democrat,JOSEPH R. BIDEN,28
Davis,BO09:I-S-,President,,Democrat,BERNIE SANDERS,28
Davis,BO09:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO09:I-S-,President,,Democrat,ELIZABETH WARREN,16
Davis,BO09:I-S-,President,,Democrat,MARIANNE WILLIAMSON,1
Davis,BO09:I-S-,President,,Democrat,TULSI GABBARD,1
Davis,BO09:I-S-,President,,Democrat,AMY KLOBUCHAR,4
Davis,BO09:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO09:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO09:I-S-,President,,Republican,ROBERT ARDINI,15
Davis,BO09:I-S-,President,,Republican,MATTHEW JOHN MATERN,10
Davis,BO09:I-S-,President,,Republican,BOB ELY,1
Davis,BO09:I-S-,President,,Republican,JOE WALSH,9
Davis,BO09:I-S-,President,,Republican,BILL WELD,30
Davis,BO09:I-S-,President,,Republican,DONALD J. TRUMP,236
Davis,BO10,President,,Democrat,JULIÁN CASTRO,0
Davis,BO10,President,,Democrat,ANDREW YANG,0
Davis,BO10,President,,Democrat,CORY BOOKER,0
Davis,BO10,President,,Democrat,PETE BUTTIGIEG,7
Davis,BO10,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO10,President,,Democrat,MICHAEL R. BLOOMBERG,27
Davis,BO10,President,,Democrat,JOSEPH R. BIDEN,29
Davis,BO10,President,,Democrat,BERNIE SANDERS,27
Davis,BO10,President,,Democrat,TOM STEYER,0
Davis,BO10,President,,Democrat,ELIZABETH WARREN,14
Davis,BO10,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO10,President,,Democrat,TULSI GABBARD,2
Davis,BO10,President,,Democrat,AMY KLOBUCHAR,6
Davis,BO10,President,,Democrat,DEVAL PATRICK,0
Davis,BO10,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO10,President,,Republican,ROBERT ARDINI,0
Davis,BO10,President,,Republican,MATTHEW JOHN MATERN,11
Davis,BO10,President,,Republican,BOB ELY,2
Davis,BO10,President,,Republican,JOE WALSH,11
Davis,BO10,President,,Republican,BILL WELD,33
Davis,BO10,President,,Republican,DONALD J. TRUMP,209
Davis,BO11:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO11:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO11:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO11:I-S-,President,,Democrat,PETE BUTTIGIEG,6
Davis,BO11:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO11:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,18
Davis,BO11:I-S-,President,,Democrat,JOSEPH R. BIDEN,24
Davis,BO11:I-S-,President,,Democrat,BERNIE SANDERS,20
Davis,BO11:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO11:I-S-,President,,Democrat,ELIZABETH WARREN,13
Davis,BO11:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO11:I-S-,President,,Democrat,TULSI GABBARD,0
Davis,BO11:I-S-,President,,Democrat,AMY KLOBUCHAR,5
Davis,BO11:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO11:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO11:I-S-,President,,Republican,ROBERT ARDINI,4
Davis,BO11:I-S-,President,,Republican,MATTHEW JOHN MATERN,14
Davis,BO11:I-S-,President,,Republican,BOB ELY,1
Davis,BO11:I-S-,President,,Republican,JOE WALSH,7
Davis,BO11:I-S-,President,,Republican,BILL WELD,32
Davis,BO11:I-S-,President,,Republican,DONALD J. TRUMP,227
Davis,BO12:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO12:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO12:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO12:I-S-,President,,Democrat,PETE BUTTIGIEG,9
Davis,BO12:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO12:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,39
Davis,BO12:I-S-,President,,Democrat,JOSEPH R. BIDEN,32
Davis,BO12:I-S-,President,,Democrat,BERNIE SANDERS,32
Davis,BO12:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO12:I-S-,President,,Democrat,ELIZABETH WARREN,11
Davis,BO12:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO12:I-S-,President,,Democrat,TULSI GABBARD,0
Davis,BO12:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO12:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO12:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO12:I-S-,President,,Republican,ROBERT ARDINI,9
Davis,BO12:I-S-,President,,Republican,MATTHEW JOHN MATERN,9
Davis,BO12:I-S-,President,,Republican,BOB ELY,1
Davis,BO12:I-S-,President,,Republican,JOE WALSH,5
Davis,BO12:I-S-,President,,Republican,BILL WELD,37
