county,precinct,office,district,party,candidate,votes
Summit,Deer Valley North,President,,Republican,JOE WALSH,2
Summit,Deer Valley North,President,,Republican,BILL WELD,1
Summit,Deer Valley North,President,,Republican,Withdrawn,0
Summit,Deer Valley North,President,,Republican,DONALD J. TRUMP,19
Summit,Deer Valley South,President,,Democrat,JULIÁN CASTRO,0
Summit,Deer Valley South,President,,Democrat,ANDREW YANG,0
Summit,Deer Valley South,President,,Democrat,CORY BOOKER,0
Summit,Deer Valley South,President,,Democrat,PETE BUTTIGIEG,25
Summit,Deer Valley South,President,,Democrat,NATHAN BLOXHAM,0
Summit,Deer Valley South,President,,Democrat,MICHAEL R. BLOOMBERG,96
Summit,Deer Valley South,President,,Democrat,Withdrawn,0
Summit,Deer Valley South,President,,Democrat,JOSEPH R. BIDEN,60
Summit,Deer Valley South,President,,Democrat,BERNIE SANDERS,52
Summit,Deer Valley South,President,,Democrat,TOM STEYER,1
Summit,Deer Valley South,President,,Democrat,ELIZABETH WARREN,33
Summit,Deer Valley South,President,,Democrat,MARIANNE WILLIAMSON,0
Summit,Deer Valley South,President,,Democrat,TULSI GABBARD,0
Summit,Deer Valley South,President,,Democrat,AMY KLOBUCHAR,6
Summit,Deer Valley South,President,,Republican,DEVAL PATRICK,0
Summit,Deer Valley South,President,,Republican,ROQUE DE LA FUENTE,0
Summit,Deer Valley South,President,,Republican,ROBERT ARDINI,1
Summit,Deer Valley South,President,,Republican,MATTHEW JOHN MATERN,0
Summit,Deer Valley South,President,,Republican,BOB ELY,0
Summit,Deer Valley South,President,,Republican,JOE WALSH,2
Summit,Deer Valley South,President,,Republican,BILL WELD,22
Summit,Deer Valley South,President,,Republican,Withdrawn,1
Summit,Deer Valley South,President,,Republican,DONALD J. TRUMP,99
Summit,Park City/Wasatch,President,,Democrat,JULIÁN CASTRO,0
Summit,Park City/Wasatch,President,,Democrat,ANDREW YANG,0
Summit,Park City/Wasatch,President,,Democrat,CORY BOOKER,0
Summit,Park City/Wasatch,President,,Democrat,PETE BUTTIGIEG,0
Summit,Park City/Wasatch,President,,Democrat,NATHAN BLOXHAM,0
Summit,Park City/Wasatch,President,,Democrat,MICHAEL R. BLOOMBERG,0
Summit,Park City/Wasatch,President,,Democrat,Withdrawn,0
Summit,Park City/Wasatch,President,,Democrat,JOSEPH R. BIDEN,0
Summit,Park City/Wasatch,President,,Democrat,BERNIE SANDERS,0
Summit,Park City/Wasatch,President,,Democrat,TOM STEYER,0
Summit,Park City/Wasatch,President,,Democrat,ELIZABETH WARREN,0
Summit,Park City/Wasatch,President,,Democrat,MARIANNE WILLIAMSON,0
Summit,Park City/Wasatch,President,,Democrat,TULSI GABBARD,0
Summit,Park City/Wasatch,President,,Democrat,AMY KLOBUCHAR,0
Summit,Park City/Wasatch,President,,Republican,DEVAL PATRICK,0
Summit,Park City/Wasatch,President,,Republican,ROQUE DE LA FUENTE,0
Summit,Park City/Wasatch,President,,Republican,ROBERT ARDINI,0
Summit,Park City/Wasatch,President,,Republican,MATTHEW JOHN MATERN,0
Summit,Park City/Wasatch,President,,Republican,BOB ELY,0
Summit,Park City/Wasatch,President,,Republican,JOE WALSH,0
Summit,Park City/Wasatch,President,,Republican,BILL WELD,0
Summit,Park City/Wasatch,President,,Republican,Withdrawn,0
Summit,Park City/Wasatch,President,,Republican,DONALD J. TRUMP,0
Summit,Francis,President,,Democrat,JULIÁN CASTRO,0
Summit,Francis,President,,Democrat,ANDREW YANG,0
Summit,Francis,President,,Democrat,CORY BOOKER,0
Summit,Francis,President,,Democrat,PETE BUTTIGIEG,14
Summit,Francis,President,,Democrat,NATHAN BLOXHAM,0
Summit,Francis,President,,Democrat,MICHAEL R. BLOOMBERG,24
Summit,Francis,President,,Democrat,Withdrawn,0
Summit,Francis,President,,Democrat,JOSEPH R. BIDEN,20
Summit,Francis,President,,Democrat,BERNIE SANDERS,29
Summit,Francis,President,,Democrat,TOM STEYER,0
Summit,Francis,President,,Democrat,ELIZABETH WARREN,9
Summit,Francis,President,,Democrat,MARIANNE WILLIAMSON,1
Summit,Francis,President,,Democrat,TULSI GABBARD,1
Summit,Francis,President,,Democrat,AMY KLOBUCHAR,11
Summit,Francis,President,,Republican,DEVAL PATRICK,0
Summit,Francis,President,,Republican,ROQUE DE LA FUENTE,0
Summit,Francis,President,,Republican,ROBERT ARDINI,1
Summit,Francis,President,,Republican,MATTHEW JOHN MATERN,2
Summit,Francis,President,,Republican,BOB ELY,4
