county,precinct,office,district,party,candidate,votes
Millard,Garrison 16,President,,Democrat,JULIÁN CASTRO,0
Millard,Garrison 16,President,,Democrat,ANDREW YANG,0
Millard,Garrison 16,President,,Democrat,CORY BOOKER,0
Millard,Garrison 16,President,,Democrat,PETE BUTTIGIEG,1
Millard,Garrison 16,President,,Democrat,NATHAN BLOXHAM,0
Millard,Garrison 16,President,,Democrat,MICHAEL R. BLOOMBERG,0
Millard,Garrison 16,President,,Democrat,Withdrawn,0
Millard,Garrison 16,President,,Democrat,JOSEPH R. BIDEN,0
Millard,Garrison 16,President,,Democrat,BERNIE SANDERS,0
Millard,Garrison 16,President,,Democrat,TOM STEYER,0
Millard,Garrison 16,President,,Democrat,ELIZABETH WARREN,0
Millard,Garrison 16,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Hinckley 11,President,,Democrat,JULIÁN CASTRO,1
Millard,Hinckley 11,President,,Democrat,ANDREW YANG,0
Millard,Hinckley 11,President,,Democrat,CORY BOOKER,0
Millard,Hinckley 11,President,,Democrat,PETE BUTTIGIEG,0
Millard,Hinckley 11,President,,Democrat,NATHAN BLOXHAM,0
Millard,Hinckley 11,President,,Democrat,MICHAEL R. BLOOMBERG,2
Millard,Hinckley 11,President,,Democrat,Withdrawn,0
Millard,Hinckley 11,President,,Democrat,JOSEPH R. BIDEN,0
Millard,Hinckley 11,President,,Democrat,BERNIE SANDERS,3
Millard,Hinckley 11,President,,Democrat,TOM STEYER,1
Millard,Hinckley 11,President,,Democrat,ELIZABETH WARREN,0
Millard,Hinckley 11,President,,Democrat,MARIANNE WILLIAMSON,0
Millard,Holden 8,President,,Democrat,JULIÁN CASTRO,0
Millard,Holden 8,President,,Democrat,ANDREW YANG,0
Millard,Holden 8,President,,Democrat,CORY BOOKER,0
Millard,Holden 8,President,,Democrat,PETE BUTTIGIEG,1
Millard,Holden 8,President,,Democrat,NATHAN BLOXHAM,0
Millard,Holden 8,President,,Democrat,MICHAEL R. BLOOMBERG,1
Millard,Holden 8,President,,Democrat,Withdrawn,1
Millard,Holden 8,President,,Democrat,JOSEPH R. BIDEN,2
Millard,Holden 8,President,,Democrat,BERNIE SANDERS,2
