county,precinct,office,district,party,candidate,votes
Box Elder,BC12,President,,Republican,ROBERT ARDINI,2
Box Elder,BC12,President,,Republican,MATTHEW JOHN MATERN,3
Box Elder,BC12,President,,Republican,BOB ELY,1
Box Elder,BC12,President,,Republican,JOE WALSH,9
Box Elder,BC12,President,,Republican,BILL WELD,10
Box Elder,BC12,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",3
Box Elder,BC12,President,,Republican,DONALD J. TRUMP,185
Box Elder,BC13,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC13,President,,Democrat,ANDREW YANG,1
Box Elder,BC13,President,,Democrat,CORY BOOKER,0
Box Elder,BC13,President,,Democrat,PETE BUTTIGIEG,4
Box Elder,BC13,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC13,President,,Democrat,MICHAEL R. BLOOMBERG,10
Box Elder,BC13,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC13,President,,Democrat,JOSEPH R. BIDEN,6
Box Elder,BC13,President,,Democrat,BERNIE SANDERS,15
Box Elder,BC13,President,,Democrat,TOM STEYER,1
Box Elder,BC13,President,,Democrat,ELIZABETH WARREN,3
Box Elder,BC13,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BC13,President,,Democrat,TULSI GABBARD,0
Box Elder,BC13,President,,Democrat,AMY KLOBUCHAR,2
Box Elder,BC13,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC13,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BC13,President,,Republican,ROBERT ARDINI,0
Box Elder,BC13,President,,Republican,MATTHEW JOHN MATERN,2
Box Elder,BC13,President,,Republican,BOB ELY,0
Box Elder,BC13,President,,Republican,JOE WALSH,5
Box Elder,BC13,President,,Republican,BILL WELD,3
Box Elder,BC13,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",1
Box Elder,BC13,President,,Republican,DONALD J. TRUMP,120
Box Elder,BC14,President,,Democrat,JULIÁN CASTRO,1
Box Elder,BC14,President,,Democrat,ANDREW YANG,0
Box Elder,BC14,President,,Democrat,CORY BOOKER,0
Box Elder,BC14,President,,Democrat,PETE BUTTIGIEG,5
