county,precinct_code,precinct,office,district,candidate,party,votes
Adair,1,SW1-DFS,President,,Donald J. Trump,REP,311
Adair,2,SE2-REHOBOTH,President,,Donald J. Trump,REP,547
Adair,3,SE3-MOOSE,President,,Donald J. Trump,REP,172
Adair,4,NE4-ANNEX,President,,Donald J. Trump,REP,300
Adair,5,NE5-LIBRARY,President,,Donald J. Trump,REP,330
Adair,6,NE6-NAZARENE,President,,Donald J. Trump,REP,421
Adair,7,TSU,President,,Donald J. Trump,REP,19
Adair,8,RURAL BENTON-CONSERVATION,President,,Donald J. Trump,REP,776
Adair,9,NOVINGER,President,,Donald J. Trump,REP,715
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Donald J. Trump,REP,525
Adair,11,ABSENTEE,President,,Donald J. Trump,REP,2293
Adair,12,FEDERAL,President,,Donald J. Trump,REP,4
Adair,13,WRITE-IN,President,,Donald J. Trump,REP,0
Adair,1,SW1-DFS,President,,Joseph R. Biden,DEM,172
Adair,2,SE2-REHOBOTH,President,,Joseph R. Biden,DEM,306
Adair,3,SE3-MOOSE,President,,Joseph R. Biden,DEM,278
Adair,4,NE4-ANNEX,President,,Joseph R. Biden,DEM,234
Adair,5,NE5-LIBRARY,President,,Joseph R. Biden,DEM,163
Adair,6,NE6-NAZARENE,President,,Joseph R. Biden,DEM,224
Adair,7,TSU,President,,Joseph R. Biden,DEM,115
Adair,8,RURAL BENTON-CONSERVATION,President,,Joseph R. Biden,DEM,198
Adair,9,NOVINGER,President,,Joseph R. Biden,DEM,102
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Joseph R. Biden,DEM,80
Adair,11,ABSENTEE,President,,Joseph R. Biden,DEM,1833
Adair,12,FEDERAL,President,,Joseph R. Biden,DEM,5
Adair,13,WRITE-IN,President,,Joseph R. Biden,DEM,0
Adair,1,SW1-DFS,President,,Jo Jorgensen,LIB,9
Adair,2,SE2-REHOBOTH,President,,Jo Jorgensen,LIB,22
Adair,3,SE3-MOOSE,President,,Jo Jorgensen,LIB,12
Adair,4,NE4-ANNEX,President,,Jo Jorgensen,LIB,9
Adair,5,NE5-LIBRARY,President,,Jo Jorgensen,LIB,12
Adair,6,NE6-NAZARENE,President,,Jo Jorgensen,LIB,21
Adair,7,TSU,President,,Jo Jorgensen,LIB,2
Adair,8,RURAL BENTON-CONSERVATION,President,,Jo Jorgensen,LIB,17
Adair,9,NOVINGER,President,,Jo Jorgensen,LIB,8
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Jo Jorgensen,LIB,6
Adair,11,ABSENTEE,President,,Jo Jorgensen,LIB,39
Adair,12,FEDERAL,President,,Jo Jorgensen,LIB,0
Adair,13,WRITE-IN,President,,Jo Jorgensen,LIB,0
Adair,1,SW1-DFS,President,,Howie Hawkins,GRE,5
Adair,2,SE2-REHOBOTH,President,,Howie Hawkins,GRE,5
Adair,3,SE3-MOOSE,President,,Howie Hawkins,GRE,4
Adair,4,NE4-ANNEX,President,,Howie Hawkins,GRE,8
Adair,5,NE5-LIBRARY,President,,Howie Hawkins,GRE,3
Adair,6,NE6-NAZARENE,President,,Howie Hawkins,GRE,1
Adair,7,TSU,President,,Howie Hawkins,GRE,3
Adair,8,RURAL BENTON-CONSERVATION,President,,Howie Hawkins,GRE,0
Adair,9,NOVINGER,President,,Howie Hawkins,GRE,0
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Howie Hawkins,GRE,0
Adair,11,ABSENTEE,President,,Howie Hawkins,GRE,13
Adair,12,FEDERAL,President,,Howie Hawkins,GRE,0
Adair,13,WRITE-IN,President,,Howie Hawkins,GRE,0
Adair,1,SW1-DFS,President,,Don Blankenship,CST,0
Adair,2,SE2-REHOBOTH,President,,Don Blankenship,CST,2
Adair,3,SE3-MOOSE,President,,Don Blankenship,CST,0
Adair,4,NE4-ANNEX,President,,Don Blankenship,CST,0
Adair,5,NE5-LIBRARY,President,,Don Blankenship,CST,2
Adair,6,NE6-NAZARENE,President,,Don Blankenship,CST,1
Adair,7,TSU,President,,Don Blankenship,CST,0
Adair,8,RURAL BENTON-CONSERVATION,President,,Don Blankenship,CST,1
Adair,9,NOVINGER,President,,Don Blankenship,CST,2
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Don Blankenship,CST,2
Adair,11,ABSENTEE,President,,Don Blankenship,CST,3
Adair,12,FEDERAL,President,,Don Blankenship,CST,0
Adair,13,WRITE-IN,President,,Don Blankenship,CST,0
Adair,1,SW1-DFS,President,,Kasey Wells,WI,0
Adair,2,SE2-REHOBOTH,President,,Kasey Wells,WI,0
Adair,3,SE3-MOOSE,President,,Kasey Wells,WI,0
Adair,4,NE4-ANNEX,President,,Kasey Wells,WI,0
Adair,5,NE5-LIBRARY,President,,Kasey Wells,WI,0
Adair,6,NE6-NAZARENE,President,,Kasey Wells,WI,0
Adair,7,TSU,President,,Kasey Wells,WI,0
Adair,8,RURAL BENTON-CONSERVATION,President,,Kasey Wells,WI,0
Adair,9,NOVINGER,President,,Kasey Wells,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Kasey Wells,WI,0
Adair,11,ABSENTEE,President,,Kasey Wells,WI,0
Adair,12,FEDERAL,President,,Kasey Wells,WI,0
Adair,13,WRITE-IN,President,,Kasey Wells,WI,0
Adair,1,SW1-DFS,President,,Jade Simmons,WI,0
Adair,2,SE2-REHOBOTH,President,,Jade Simmons,WI,0
Adair,3,SE3-MOOSE,President,,Jade Simmons,WI,0
Adair,4,NE4-ANNEX,President,,Jade Simmons,WI,0
Adair,5,NE5-LIBRARY,President,,Jade Simmons,WI,0
Adair,6,NE6-NAZARENE,President,,Jade Simmons,WI,0
Adair,7,TSU,President,,Jade Simmons,WI,0
Adair,8,RURAL BENTON-CONSERVATION,President,,Jade Simmons,WI,0
Adair,9,NOVINGER,President,,Jade Simmons,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Jade Simmons,WI,0
Adair,11,ABSENTEE,President,,Jade Simmons,WI,0
Adair,12,FEDERAL,President,,Jade Simmons,WI,0
Adair,13,WRITE-IN,President,,Jade Simmons,WI,0
Adair,1,SW1-DFS,President,,Brian Carroll,WI,0
Adair,2,SE2-REHOBOTH,President,,Brian Carroll,WI,0
Adair,3,SE3-MOOSE,President,,Brian Carroll,WI,0
Adair,4,NE4-ANNEX,President,,Brian Carroll,WI,0
Adair,5,NE5-LIBRARY,President,,Brian Carroll,WI,0
Adair,6,NE6-NAZARENE,President,,Brian Carroll,WI,0
Adair,7,TSU,President,,Brian Carroll,WI,0
Adair,8,RURAL BENTON-CONSERVATION,President,,Brian Carroll,WI,0
Adair,9,NOVINGER,President,,Brian Carroll,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Brian Carroll,WI,0
Adair,11,ABSENTEE,President,,Brian Carroll,WI,0
Adair,12,FEDERAL,President,,Brian Carroll,WI,0
Adair,13,WRITE-IN,President,,Brian Carroll,WI,1
Adair,1,SW1-DFS,President,,Gloria LaRiva,WI,0
Adair,2,SE2-REHOBOTH,President,,Gloria LaRiva,WI,0
Adair,3,SE3-MOOSE,President,,Gloria LaRiva,WI,0
Adair,4,NE4-ANNEX,President,,Gloria LaRiva,WI,0
Adair,5,NE5-LIBRARY,President,,Gloria LaRiva,WI,0
Adair,6,NE6-NAZARENE,President,,Gloria LaRiva,WI,0
Adair,7,TSU,President,,Gloria LaRiva,WI,0
Adair,8,RURAL BENTON-CONSERVATION,President,,Gloria LaRiva,WI,0
Adair,9,NOVINGER,President,,Gloria LaRiva,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,President,,Gloria LaRiva,WI,0
Adair,11,ABSENTEE,President,,Gloria LaRiva,WI,0
Adair,12,FEDERAL,President,,Gloria LaRiva,WI,0
Adair,13,WRITE-IN,President,,Gloria LaRiva,WI,0
Adair,1,SW1-DFS,Governor,,Mike Parson,REP,304
Adair,2,SE2-REHOBOTH,Governor,,Mike Parson,REP,558
Adair,3,SE3-MOOSE,Governor,,Mike Parson,REP,174
Adair,4,NE4-ANNEX,Governor,,Mike Parson,REP,297
Adair,5,NE5-LIBRARY,Governor,,Mike Parson,REP,350
Adair,6,NE6-NAZARENE,Governor,,Mike Parson,REP,443
Adair,7,TSU,Governor,,Mike Parson,REP,21
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Mike Parson,REP,781
Adair,9,NOVINGER,Governor,,Mike Parson,REP,718
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Mike Parson,REP,529
Adair,11,ABSENTEE,Governor,,Mike Parson,REP,2420
Adair,12,FEDERAL,Governor,,Mike Parson,REP,2
Adair,13,WRITE-IN,Governor,,Mike Parson,REP,0
Adair,1,SW1-DFS,Governor,,Nicole Galloway,DEM,175
Adair,2,SE2-REHOBOTH,Governor,,Nicole Galloway,DEM,298
Adair,3,SE3-MOOSE,Governor,,Nicole Galloway,DEM,275
Adair,4,NE4-ANNEX,Governor,,Nicole Galloway,DEM,242
Adair,5,NE5-LIBRARY,Governor,,Nicole Galloway,DEM,157
Adair,6,NE6-NAZARENE,Governor,,Nicole Galloway,DEM,216
Adair,7,TSU,Governor,,Nicole Galloway,DEM,116
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Nicole Galloway,DEM,194
Adair,9,NOVINGER,Governor,,Nicole Galloway,DEM,92
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Nicole Galloway,DEM,72
Adair,11,ABSENTEE,Governor,,Nicole Galloway,DEM,1706
Adair,12,FEDERAL,Governor,,Nicole Galloway,DEM,3
Adair,13,WRITE-IN,Governor,,Nicole Galloway,DEM,0
Adair,1,SW1-DFS,Governor,,Rik Combs,LIB,11
Adair,2,SE2-REHOBOTH,Governor,,Rik Combs,LIB,18
Adair,3,SE3-MOOSE,Governor,,Rik Combs,LIB,11
Adair,4,NE4-ANNEX,Governor,,Rik Combs,LIB,11
Adair,5,NE5-LIBRARY,Governor,,Rik Combs,LIB,4
Adair,6,NE6-NAZARENE,Governor,,Rik Combs,LIB,8
Adair,7,TSU,Governor,,Rik Combs,LIB,2
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Rik Combs,LIB,12
Adair,9,NOVINGER,Governor,,Rik Combs,LIB,12
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Rik Combs,LIB,7
Adair,11,ABSENTEE,Governor,,Rik Combs,LIB,35
Adair,12,FEDERAL,Governor,,Rik Combs,LIB,0
Adair,13,WRITE-IN,Governor,,Rik Combs,LIB,0
Adair,1,SW1-DFS,Governor,,Jerome Howard Bauer,GRE,6
Adair,2,SE2-REHOBOTH,Governor,,Jerome Howard Bauer,GRE,2
Adair,3,SE3-MOOSE,Governor,,Jerome Howard Bauer,GRE,7
Adair,4,NE4-ANNEX,Governor,,Jerome Howard Bauer,GRE,1
Adair,5,NE5-LIBRARY,Governor,,Jerome Howard Bauer,GRE,1
Adair,6,NE6-NAZARENE,Governor,,Jerome Howard Bauer,GRE,2
Adair,7,TSU,Governor,,Jerome Howard Bauer,GRE,0
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Jerome Howard Bauer,GRE,2
Adair,9,NOVINGER,Governor,,Jerome Howard Bauer,GRE,4
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Jerome Howard Bauer,GRE,1
Adair,11,ABSENTEE,Governor,,Jerome Howard Bauer,GRE,18
Adair,12,FEDERAL,Governor,,Jerome Howard Bauer,GRE,0
Adair,13,WRITE-IN,Governor,,Jerome Howard Bauer,GRE,0
Adair,1,SW1-DFS,Governor,,Arnie C. AC Dienoff,WI,0
Adair,2,SE2-REHOBOTH,Governor,,Arnie C. AC Dienoff,WI,0
Adair,3,SE3-MOOSE,Governor,,Arnie C. AC Dienoff,WI,0
Adair,4,NE4-ANNEX,Governor,,Arnie C. AC Dienoff,WI,0
Adair,5,NE5-LIBRARY,Governor,,Arnie C. AC Dienoff,WI,0
Adair,6,NE6-NAZARENE,Governor,,Arnie C. AC Dienoff,WI,0
Adair,7,TSU,Governor,,Arnie C. AC Dienoff,WI,0
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Arnie C. AC Dienoff,WI,0
Adair,9,NOVINGER,Governor,,Arnie C. AC Dienoff,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Arnie C. AC Dienoff,WI,0
Adair,11,ABSENTEE,Governor,,Arnie C. AC Dienoff,WI,0
Adair,12,FEDERAL,Governor,,Arnie C. AC Dienoff,WI,0
Adair,13,WRITE-IN,Governor,,Arnie C. AC Dienoff,WI,0
Adair,1,SW1-DFS,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,2,SE2-REHOBOTH,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,3,SE3-MOOSE,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,4,NE4-ANNEX,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,5,NE5-LIBRARY,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,6,NE6-NAZARENE,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,7,TSU,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,9,NOVINGER,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,11,ABSENTEE,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,12,FEDERAL,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,13,WRITE-IN,Governor,,Theo (Ted) Brown Sr,WI,0
Adair,1,SW1-DFS,Governor,,Martin Lindstedt,WI,0
Adair,2,SE2-REHOBOTH,Governor,,Martin Lindstedt,WI,0
Adair,3,SE3-MOOSE,Governor,,Martin Lindstedt,WI,0
Adair,4,NE4-ANNEX,Governor,,Martin Lindstedt,WI,0
Adair,5,NE5-LIBRARY,Governor,,Martin Lindstedt,WI,0
Adair,6,NE6-NAZARENE,Governor,,Martin Lindstedt,WI,0
Adair,7,TSU,Governor,,Martin Lindstedt,WI,0
Adair,8,RURAL BENTON-CONSERVATION,Governor,,Martin Lindstedt,WI,0
Adair,9,NOVINGER,Governor,,Martin Lindstedt,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,Governor,,Martin Lindstedt,WI,0
Adair,11,ABSENTEE,Governor,,Martin Lindstedt,WI,0
Adair,12,FEDERAL,Governor,,Martin Lindstedt,WI,0
Adair,13,WRITE-IN,Governor,,Martin Lindstedt,WI,0
Adair,1,SW1-DFS,Lieutenant Governor,,Mike Kehoe,REP,299
Adair,2,SE2-REHOBOTH,Lieutenant Governor,,Mike Kehoe,REP,570
Adair,3,SE3-MOOSE,Lieutenant Governor,,Mike Kehoe,REP,181
Adair,4,NE4-ANNEX,Lieutenant Governor,,Mike Kehoe,REP,307
Adair,5,NE5-LIBRARY,Lieutenant Governor,,Mike Kehoe,REP,335
Adair,6,NE6-NAZARENE,Lieutenant Governor,,Mike Kehoe,REP,444
Adair,7,TSU,Lieutenant Governor,,Mike Kehoe,REP,20
Adair,8,RURAL BENTON-CONSERVATION,Lieutenant Governor,,Mike Kehoe,REP,790
Adair,9,NOVINGER,Lieutenant Governor,,Mike Kehoe,REP,709
Adair,10,BRASHEAR-FAIRGROUNDS,Lieutenant Governor,,Mike Kehoe,REP,531
Adair,11,ABSENTEE,Lieutenant Governor,,Mike Kehoe,REP,2370
Adair,12,FEDERAL,Lieutenant Governor,,Mike Kehoe,REP,1
Adair,13,WRITE-IN,Lieutenant Governor,,Mike Kehoe,REP,0
Adair,1,SW1-DFS,Lieutenant Governor,,Alissia Canady,DEM,163
Adair,2,SE2-REHOBOTH,Lieutenant Governor,,Alissia Canady,DEM,270
Adair,3,SE3-MOOSE,Lieutenant Governor,,Alissia Canady,DEM,250
Adair,4,NE4-ANNEX,Lieutenant Governor,,Alissia Canady,DEM,216
Adair,5,NE5-LIBRARY,Lieutenant Governor,,Alissia Canady,DEM,158
Adair,6,NE6-NAZARENE,Lieutenant Governor,,Alissia Canady,DEM,200
Adair,7,TSU,Lieutenant Governor,,Alissia Canady,DEM,110
Adair,8,RURAL BENTON-CONSERVATION,Lieutenant Governor,,Alissia Canady,DEM,173
Adair,9,NOVINGER,Lieutenant Governor,,Alissia Canady,DEM,85
Adair,10,BRASHEAR-FAIRGROUNDS,Lieutenant Governor,,Alissia Canady,DEM,59
Adair,11,ABSENTEE,Lieutenant Governor,,Alissia Canady,DEM,1665
Adair,12,FEDERAL,Lieutenant Governor,,Alissia Canady,DEM,4
Adair,13,WRITE-IN,Lieutenant Governor,,Alissia Canady,DEM,0
Adair,1,SW1-DFS,Lieutenant Governor,,Bill Slantz,LIB,12
Adair,2,SE2-REHOBOTH,Lieutenant Governor,,Bill Slantz,LIB,24
Adair,3,SE3-MOOSE,Lieutenant Governor,,Bill Slantz,LIB,14
Adair,4,NE4-ANNEX,Lieutenant Governor,,Bill Slantz,LIB,11
Adair,5,NE5-LIBRARY,Lieutenant Governor,,Bill Slantz,LIB,11
Adair,6,NE6-NAZARENE,Lieutenant Governor,,Bill Slantz,LIB,9
Adair,7,TSU,Lieutenant Governor,,Bill Slantz,LIB,1
Adair,8,RURAL BENTON-CONSERVATION,Lieutenant Governor,,Bill Slantz,LIB,10
Adair,9,NOVINGER,Lieutenant Governor,,Bill Slantz,LIB,16
Adair,10,BRASHEAR-FAIRGROUNDS,Lieutenant Governor,,Bill Slantz,LIB,6
Adair,11,ABSENTEE,Lieutenant Governor,,Bill Slantz,LIB,48
Adair,12,FEDERAL,Lieutenant Governor,,Bill Slantz,LIB,0
Adair,13,WRITE-IN,Lieutenant Governor,,Bill Slantz,LIB,0
Adair,1,SW1-DFS,Lieutenant Governor,,Kelley Dragoo,GRE,10
Adair,2,SE2-REHOBOTH,Lieutenant Governor,,Kelley Dragoo,GRE,5
Adair,3,SE3-MOOSE,Lieutenant Governor,,Kelley Dragoo,GRE,15
Adair,4,NE4-ANNEX,Lieutenant Governor,,Kelley Dragoo,GRE,10
Adair,5,NE5-LIBRARY,Lieutenant Governor,,Kelley Dragoo,GRE,1
Adair,6,NE6-NAZARENE,Lieutenant Governor,,Kelley Dragoo,GRE,6
Adair,7,TSU,Lieutenant Governor,,Kelley Dragoo,GRE,3
Adair,8,RURAL BENTON-CONSERVATION,Lieutenant Governor,,Kelley Dragoo,GRE,7
Adair,9,NOVINGER,Lieutenant Governor,,Kelley Dragoo,GRE,8
Adair,10,BRASHEAR-FAIRGROUNDS,Lieutenant Governor,,Kelley Dragoo,GRE,4
Adair,11,ABSENTEE,Lieutenant Governor,,Kelley Dragoo,GRE,21
Adair,12,FEDERAL,Lieutenant Governor,,Kelley Dragoo,GRE,0
Adair,13,WRITE-IN,Lieutenant Governor,,Kelley Dragoo,GRE,0
Adair,1,SW1-DFS,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,2,SE2-REHOBOTH,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,3,SE3-MOOSE,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,4,NE4-ANNEX,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,5,NE5-LIBRARY,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,6,NE6-NAZARENE,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,7,TSU,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,8,RURAL BENTON-CONSERVATION,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,9,NOVINGER,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,10,BRASHEAR-FAIRGROUNDS,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,11,ABSENTEE,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,12,FEDERAL,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,13,WRITE-IN,Lieutenant Governor,,Jeremy Gundel,WI,0
Adair,1,SW1-DFS,Secretary of State,,John R. (Jay) Ashcroft,REP,327
Adair,2,SE2-REHOBOTH,Secretary of State,,John R. (Jay) Ashcroft,REP,610
Adair,3,SE3-MOOSE,Secretary of State,,John R. (Jay) Ashcroft,REP,194
Adair,4,NE4-ANNEX,Secretary of State,,John R. (Jay) Ashcroft,REP,334
Adair,5,NE5-LIBRARY,Secretary of State,,John R. (Jay) Ashcroft,REP,367
Adair,6,NE6-NAZARENE,Secretary of State,,John R. (Jay) Ashcroft,REP,471
Adair,7,TSU,Secretary of State,,John R. (Jay) Ashcroft,REP,23
Adair,8,RURAL BENTON-CONSERVATION,Secretary of State,,John R. (Jay) Ashcroft,REP,816
Adair,9,NOVINGER,Secretary of State,,John R. (Jay) Ashcroft,REP,737
Adair,10,BRASHEAR-FAIRGROUNDS,Secretary of State,,John R. (Jay) Ashcroft,REP,549
Adair,11,ABSENTEE,Secretary of State,,John R. (Jay) Ashcroft,REP,2616
Adair,12,FEDERAL,Secretary of State,,John R. (Jay) Ashcroft,REP,1
Adair,13,WRITE-IN,Secretary of State,,John R. (Jay) Ashcroft,REP,0
Adair,1,SW1-DFS,Secretary of State,,Yinka Faleti,DEM,144
Adair,2,SE2-REHOBOTH,Secretary of State,,Yinka Faleti,DEM,235
Adair,3,SE3-MOOSE,Secretary of State,,Yinka Faleti,DEM,242
Adair,4,NE4-ANNEX,Secretary of State,,Yinka Faleti,DEM,188
Adair,5,NE5-LIBRARY,Secretary of State,,Yinka Faleti,DEM,126
Adair,6,NE6-NAZARENE,Secretary of State,,Yinka Faleti,DEM,172
Adair,7,TSU,Secretary of State,,Yinka Faleti,DEM,107
Adair,8,RURAL BENTON-CONSERVATION,Secretary of State,,Yinka Faleti,DEM,147
Adair,9,NOVINGER,Secretary of State,,Yinka Faleti,DEM,60
Adair,10,BRASHEAR-FAIRGROUNDS,Secretary of State,,Yinka Faleti,DEM,44
Adair,11,ABSENTEE,Secretary of State,,Yinka Faleti,DEM,1445
Adair,12,FEDERAL,Secretary of State,,Yinka Faleti,DEM,2
Adair,13,WRITE-IN,Secretary of State,,Yinka Faleti,DEM,0
Adair,1,SW1-DFS,Secretary of State,,Carl Herman Freese,LIB,11
Adair,2,SE2-REHOBOTH,Secretary of State,,Carl Herman Freese,LIB,21
Adair,3,SE3-MOOSE,Secretary of State,,Carl Herman Freese,LIB,14
Adair,4,NE4-ANNEX,Secretary of State,,Carl Herman Freese,LIB,10
Adair,5,NE5-LIBRARY,Secretary of State,,Carl Herman Freese,LIB,12
Adair,6,NE6-NAZARENE,Secretary of State,,Carl Herman Freese,LIB,9
Adair,7,TSU,Secretary of State,,Carl Herman Freese,LIB,3
Adair,8,RURAL BENTON-CONSERVATION,Secretary of State,,Carl Herman Freese,LIB,12
Adair,9,NOVINGER,Secretary of State,,Carl Herman Freese,LIB,16
Adair,10,BRASHEAR-FAIRGROUNDS,Secretary of State,,Carl Herman Freese,LIB,3
Adair,11,ABSENTEE,Secretary of State,,Carl Herman Freese,LIB,43
Adair,12,FEDERAL,Secretary of State,,Carl Herman Freese,LIB,1
Adair,13,WRITE-IN,Secretary of State,,Carl Herman Freese,LIB,0
Adair,1,SW1-DFS,Secretary of State,,Paul Lehmann,GRE,11
Adair,2,SE2-REHOBOTH,Secretary of State,,Paul Lehmann,GRE,3
Adair,3,SE3-MOOSE,Secretary of State,,Paul Lehmann,GRE,9
Adair,4,NE4-ANNEX,Secretary of State,,Paul Lehmann,GRE,11
Adair,5,NE5-LIBRARY,Secretary of State,,Paul Lehmann,GRE,1
Adair,6,NE6-NAZARENE,Secretary of State,,Paul Lehmann,GRE,6
Adair,7,TSU,Secretary of State,,Paul Lehmann,GRE,1
Adair,8,RURAL BENTON-CONSERVATION,Secretary of State,,Paul Lehmann,GRE,4
Adair,9,NOVINGER,Secretary of State,,Paul Lehmann,GRE,5
Adair,10,BRASHEAR-FAIRGROUNDS,Secretary of State,,Paul Lehmann,GRE,3
Adair,11,ABSENTEE,Secretary of State,,Paul Lehmann,GRE,25
Adair,12,FEDERAL,Secretary of State,,Paul Lehmann,GRE,0
Adair,13,WRITE-IN,Secretary of State,,Paul Lehmann,GRE,0
Adair,1,SW1-DFS,Secretary of State,,Paul Venable,CST,0
Adair,2,SE2-REHOBOTH,Secretary of State,,Paul Venable,CST,3
Adair,3,SE3-MOOSE,Secretary of State,,Paul Venable,CST,0
Adair,4,NE4-ANNEX,Secretary of State,,Paul Venable,CST,1
Adair,5,NE5-LIBRARY,Secretary of State,,Paul Venable,CST,1
Adair,6,NE6-NAZARENE,Secretary of State,,Paul Venable,CST,2
Adair,7,TSU,Secretary of State,,Paul Venable,CST,0
Adair,8,RURAL BENTON-CONSERVATION,Secretary of State,,Paul Venable,CST,2
Adair,9,NOVINGER,Secretary of State,,Paul Venable,CST,3
Adair,10,BRASHEAR-FAIRGROUNDS,Secretary of State,,Paul Venable,CST,3
Adair,11,ABSENTEE,Secretary of State,,Paul Venable,CST,5
Adair,12,FEDERAL,Secretary of State,,Paul Venable,CST,1
Adair,13,WRITE-IN,Secretary of State,,Paul Venable,CST,0
Adair,1,SW1-DFS,State Treasurer,,Scott Fitzpatrick,REP,304
Adair,2,SE2-REHOBOTH,State Treasurer,,Scott Fitzpatrick,REP,576
Adair,3,SE3-MOOSE,State Treasurer,,Scott Fitzpatrick,REP,185
Adair,4,NE4-ANNEX,State Treasurer,,Scott Fitzpatrick,REP,314
Adair,5,NE5-LIBRARY,State Treasurer,,Scott Fitzpatrick,REP,347
Adair,6,NE6-NAZARENE,State Treasurer,,Scott Fitzpatrick,REP,446
Adair,7,TSU,State Treasurer,,Scott Fitzpatrick,REP,25
Adair,8,RURAL BENTON-CONSERVATION,State Treasurer,,Scott Fitzpatrick,REP,782
Adair,9,NOVINGER,State Treasurer,,Scott Fitzpatrick,REP,714
Adair,10,BRASHEAR-FAIRGROUNDS,State Treasurer,,Scott Fitzpatrick,REP,531
Adair,11,ABSENTEE,State Treasurer,,Scott Fitzpatrick,REP,2385
Adair,12,FEDERAL,State Treasurer,,Scott Fitzpatrick,REP,2
Adair,13,WRITE-IN,State Treasurer,,Scott Fitzpatrick,REP,0
Adair,1,SW1-DFS,State Treasurer,,Vicki Lorenz Englund,DEM,160
Adair,2,SE2-REHOBOTH,State Treasurer,,Vicki Lorenz Englund,DEM,261
Adair,3,SE3-MOOSE,State Treasurer,,Vicki Lorenz Englund,DEM,245
Adair,4,NE4-ANNEX,State Treasurer,,Vicki Lorenz Englund,DEM,204
Adair,5,NE5-LIBRARY,State Treasurer,,Vicki Lorenz Englund,DEM,141
Adair,6,NE6-NAZARENE,State Treasurer,,Vicki Lorenz Englund,DEM,195
Adair,7,TSU,State Treasurer,,Vicki Lorenz Englund,DEM,105
Adair,8,RURAL BENTON-CONSERVATION,State Treasurer,,Vicki Lorenz Englund,DEM,161
Adair,9,NOVINGER,State Treasurer,,Vicki Lorenz Englund,DEM,80
Adair,10,BRASHEAR-FAIRGROUNDS,State Treasurer,,Vicki Lorenz Englund,DEM,61
Adair,11,ABSENTEE,State Treasurer,,Vicki Lorenz Englund,DEM,1626
Adair,12,FEDERAL,State Treasurer,,Vicki Lorenz Englund,DEM,2
Adair,13,WRITE-IN,State Treasurer,,Vicki Lorenz Englund,DEM,0
Adair,1,SW1-DFS,State Treasurer,,Nicholas (Nick) Kasoff,LIB,11
Adair,2,SE2-REHOBOTH,State Treasurer,,Nicholas (Nick) Kasoff,LIB,24
Adair,3,SE3-MOOSE,State Treasurer,,Nicholas (Nick) Kasoff,LIB,17
Adair,4,NE4-ANNEX,State Treasurer,,Nicholas (Nick) Kasoff,LIB,17
Adair,5,NE5-LIBRARY,State Treasurer,,Nicholas (Nick) Kasoff,LIB,11
Adair,6,NE6-NAZARENE,State Treasurer,,Nicholas (Nick) Kasoff,LIB,9
