town,ward,precinct,office,district,party,candidate,votes
Springfield,2,B,President,,Democratic,Pete Buttigieg,3
Westport,,B,President,,Green-Rainbow,Blanks,0
Boston,1,15,President,,Democratic,Cory Booker,0
Pittsfield,3,A,President,,Green-Rainbow,Skcm Curry,0
Essex,,1,President,,Democratic,Deval Patrick,3
Peabody,4,3,President,,Republican,All Others,0
Southbridge,,4,President,,Democratic,John K. Delaney,0
Reading,,5,President,,Democratic,Michael R. Bloomberg,122
Pittsfield,3,B,President,,Democratic,No Preference,2
Brockton,1,B,President,,Democratic,Deval Patrick,6
Billerica,,11,President,,Green-Rainbow,Dario Hunter,0
Haverhill,6,2,President,,Republican,Donald J. Trump,178
Franklin,,4,President,,Libertarian,Max Abramson,0
Boston,12,8,President,,Democratic,Marianne Williamson,0
Stoughton,,4,President,,Democratic,Tom Steyer,8
Cambridge,4,3,President,,Republican,William F. Weld,2
Natick,,3,President,,Democratic,John K. Delaney,0
Pittsfield,4,B,President,,Democratic,Tom Steyer,0
Boston,9,4,President,,Libertarian,Kenneth Reed Armstrong,0
Duxbury,,1,President,,Green-Rainbow,Dario Hunter,0
Easthampton,,1,President,,Democratic,Andrew Yang,0
Wakefield,,6,President,,Libertarian,Total Votes Cast,5
Winthrop,,3,President,,Republican,Total Votes Cast,114
Holbrook,,1,President,,Democratic,Julian Castro,0
Billerica,,8,President,,Green-Rainbow,Kent Mesplay,0
Nahant,,1,President,,Democratic,Tom Steyer,3
Boston,20,11,President,,Democratic,Marianne Williamson,0
Boston,22,5,President,,Republican,Donald J. Trump,21
Sudbury,,1,President,,Democratic,No Preference,0
Boston,3,5,President,,Democratic,John K. Delaney,0
Natick,,1,President,,Republican,Total Votes Cast,67
Malden,1,2,President,,Democratic,Deval Patrick,6
New Bedford,2,A,President,,Democratic,Elizabeth A. Warren,12
Pittsfield,3,A,President,,Democratic,"Joseph R. Biden, Jr.",303
Concord,,5,President,,Libertarian,Jacob George Hornberger,0
New Bedford,5,B,President,,Green-Rainbow,David Rolde,0
Boston,16,2,President,,Republican,No Preference,0
Northampton,4,B,President,,Green-Rainbow,David Rolde,0
Cambridge,11,1,President,,Libertarian,Arvin Vohra,0
Boston,7,2,President,,Republican,Blanks,0
Watertown,,5,President,,Libertarian,All Others,1
Melrose,4,2,President,,Democratic,Pete Buttigieg,25
Egremont,,1,President,,Republican,Roque De La Fuente,0
Lexington,,7,President,,Democratic,Cory Booker,1
Haverhill,1,2,President,,Libertarian,Max Abramson,0
Lynn,7,3,President,,Libertarian,Max Abramson,0
Chelsea,2,3,President,,Democratic,Deval Patrick,1
Boston,18,15,President,,Democratic,Deval Patrick,5
Bourne,,5,President,,Republican,Total Votes Cast,307
Revere,6,2,President,,Democratic,Elizabeth A. Warren,43
Monson,,A,President,,Republican,No Preference,3
Woburn,5,1,President,,Democratic,Deval Patrick,3
Mashpee,,2,President,,Libertarian,Adam Kokesh,0
Quincy,2,5,President,,Libertarian,No Preference,0
Taunton,4,B,President,,Democratic,Cory Booker,0
Springfield,6,F,President,,Libertarian,Samuel Joseph Robb,0
Nahant,,1,President,,Republican,All Others,3
Oxford,,4,President,,Libertarian,Adam Kokesh,0
New Bedford,5,E,President,,Democratic,Blanks,2
Revere,6,2,President,,Democratic,Cory Booker,0
Boston,5,6,President,,Libertarian,Total Votes Cast,6
Lawrence,A,1,President,,Democratic,Total Votes Cast,299
