town,ward,precinct,office,district,party,candidate,votes
Framingham,,10,President,,Republican,Donald J. Trump,38
Salisbury,,3,President,,Libertarian,Adam Kokesh,0
Pittsfield,6,B,President,,Democratic,Pete Buttigieg,11
Taunton,7,B,President,,Democratic,"Joseph R. Biden, Jr.",219
Norfolk,,1,President,,Green-Rainbow,Kent Mesplay,0
Amesbury,,3,President,,Libertarian,Jo Jorgensen,0
Leominster,5,C,President,,Green-Rainbow,Total Votes Cast,1
Hopedale,,1,President,,Democratic,Total Votes Cast,1275
Walpole,,6,President,,Democratic,Michael Bennet,0
Boston,11,8,President,,Republican,Donald J. Trump,6
Littleton,,3,President,,Republican,Joe Walsh,4
Amherst,,5,President,,Democratic,"Joseph R. Biden, Jr.",164
Belchertown,,A,President,,Democratic,Pete Buttigieg,25
Boston,20,16,President,,Green-Rainbow,Skcm Curry,0
Ludlow,,5,President,,Democratic,Elizabeth A. Warren,45
Lynn,5,1,President,,Green-Rainbow,Total Votes Cast,0
TOTALS,,,President,,Green-Rainbow,Kent Mesplay,55
Somerset,,4,President,,Democratic,Michael R. Bloomberg,98
Arlington,,7,President,,Libertarian,Kimberly Margaret Ruff,0
Taunton,2,B,President,,Libertarian,Total Votes Cast,3
Stoughton,,2,President,,Green-Rainbow,David Rolde,0
Brookline,,7,President,,Democratic,All Others,0
Attleboro,3,A,President,,Libertarian,Blanks,0
Springfield,4,B,President,,Democratic,Michael Bennet,2
Amherst,,9,President,,Democratic,Pete Buttigieg,7
Berkley,,2,President,,Republican,Joe Walsh,1
Lynn,3,1,President,,Green-Rainbow,Blanks,0
Middlefield,,1,President,,Green-Rainbow,Skcm Curry,0
Pembroke,,1,President,,Green-Rainbow,David Rolde,0
Hopedale,,1,President,,Republican,Roque De La Fuente,0
Boston,18,7,President,,Democratic,Michael R. Bloomberg,28
Somerville,4,2,President,,Republican,Roque De La Fuente,0
Boston,21,7,President,,Libertarian,All Others,0
Chelmsford,,6,President,,Democratic,Michael R. Bloomberg,127
Fall River,3,B,President,,Libertarian,Jo Jorgensen,0
Bourne,,6,President,,Democratic,Michael R. Bloomberg,103
Worcester,9,2,President,,Democratic,Michael R. Bloomberg,85
Lenox,,1,President,,Libertarian,Kenneth Reed Armstrong,0
Brookline,,9,President,,Democratic,All Others,0
Hampden,,1,President,,Libertarian,Kimberly Margaret Ruff,0
Springfield,8,F,President,,Green-Rainbow,Skcm Curry,0
Peabody,1,3,President,,Green-Rainbow,Skcm Curry,0
Upton,,2,President,,Democratic,"Joseph R. Biden, Jr.",318
Lynn,2,2,President,,Democratic,Pete Buttigieg,7
Worcester,1,2,President,,Republican,Blanks,1
Boston,20,17,President,,Democratic,Julian Castro,0
Foxborough,,3,President,,Libertarian,Vermin Love Supreme,0
Quincy,4,3,President,,Green-Rainbow,Blanks,0
Tewksbury,,1A,President,,Libertarian,Max Abramson,0
E. Longmeadow,,4,President,,Democratic,Bernie Sanders,131
Lynnfield,,2,President,,Democratic,Deval Patrick,3
Worcester,6,4,President,,Green-Rainbow,Howard Hawkins,0
Newton,4,2,President,,Democratic,Tulsi Gabbard,2
Pepperell,,3,President,,Republican,Joe Walsh,1
Arlington,,9,President,,Green-Rainbow,Total Votes Cast,0
Medford,1,2,President,,Democratic,All Others,0
Springfield,2,F,President,,Republican,Roque De La Fuente,0
Dracut,,6,President,,Republican,Blanks,0
Somerville,7,3,President,,Republican,Donald J. Trump,66
Westborough,,4,President,,Democratic,Tulsi Gabbard,3
Boston,1,3,President,,Libertarian,Vermin Love Supreme,0
Bridgewater,,1,President,,Republican,Blanks,1
Boston,2,7,President,,Democratic,Cory Booker,0
Waltham,1,2,President,,Republican,Joe Walsh,0
Nahant,,1,President,,Libertarian,All Others,0
Worcester,2,5,President,,Democratic,Deval Patrick,1
Waltham,2,2,President,,Libertarian,Adam Kokesh,0
Worcester,2,2,President,,Republican,Joe Walsh,5
Methuen,,3,President,,Libertarian,Vermin Love Supreme,0
Franklin,,3,President,,Green-Rainbow,Howard Hawkins,0
New Bedford,4,F,President,,Libertarian,Jo Jorgensen,0
Acushnet,,3,President,,Democratic,Michael R. Bloomberg,57
Malden,5,1,President,,Green-Rainbow,Blanks,0
Peabody,5,3,President,,Libertarian,Vermin Love Supreme,0
Heath,,1,President,,Republican,Total Votes Cast,35
Quincy,3,3,President,,Libertarian,Jo Jorgensen,0
Stow,,1,President,,Libertarian,All Others,0
Lexington,,3,President,,Republican,Blanks,1
Dighton,,1,President,,Democratic,No Preference,5
Fall River,2,C,President,,Democratic,No Preference,2
Gloucester,3,1,President,,Democratic,John K. Delaney,0
Lowell,4,1,President,,Libertarian,Kenneth Reed Armstrong,1
Rehoboth,,1,President,,Green-Rainbow,Dario Hunter,0
Concord,,1,President,,Libertarian,All Others,1
Pittsfield,7,A,President,,Democratic,Michael R. Bloomberg,37
Pepperell,,3,President,,Libertarian,Jo Jorgensen,0
Acushnet,,1,President,,Libertarian,Samuel Joseph Robb,0
Boston,14,2,President,,Libertarian,Arvin Vohra,0
Haverhill,4,1,President,,Republican,No Preference,1
Barnstable,,7,President,,Green-Rainbow,Blanks,0
Fall River,4,A,President,,Democratic,Pete Buttigieg,4
Wakefield,,4,President,,Republican,William F. Weld,17
Reading,,6,President,,Republican,No Preference,5
Lawrence,F,1,President,,Libertarian,All Others,0
Swampscott,,5,President,,Green-Rainbow,Skcm Curry,0
Brookline,,14,President,,Democratic,John K. Delaney,0
Pittsfield,5,A,President,,Democratic,All Others,0
Stoughton,,7,President,,Democratic,"Joseph R. Biden, Jr.",249
Medford,8,2,President,,Democratic,Michael Bennet,0
Milton,,6,President,,Republican,Joe Walsh,0
Ludlow,,6,President,,Libertarian,Vermin Love Supreme,1
S. Hadley,,E,President,,Democratic,"Joseph R. Biden, Jr.",307
Plainfield,,1,President,,Libertarian,No Preference,0
New Bedford,1,B,President,,Green-Rainbow,David Rolde,0
Waltham,2,2,President,,Libertarian,Total Votes Cast,2
Westwood,,3,President,,Republican,Donald J. Trump,172
Norwood,,4,President,,Libertarian,Jacob George Hornberger,0
Natick,,1,President,,Democratic,Cory Booker,0
Billerica,,9,President,,Libertarian,No Preference,3
Medford,3,1,President,,Democratic,Tom Steyer,1
Northborough,,4,President,,Democratic,Tom Steyer,7
Spencer,,1,President,,Democratic,Cory Booker,0
Lowell,11,1,President,,Republican,Total Votes Cast,96
Needham,,B,President,,Republican,Blanks,2
Boston,2,3,President,,Libertarian,No Preference,0
Boston,16,7,President,,Libertarian,Vermin Love Supreme,0
Worcester,9,1,President,,Republican,Donald J. Trump,76
Adams,,3,President,,Libertarian,Total Votes Cast,0
Quincy,5,1,President,,Libertarian,Adam Kokesh,1
Wellesley,,D,President,,Libertarian,Adam Kokesh,0
Halifax,,1,President,,Green-Rainbow,Dario Hunter,0
Chelmsford,,7,President,,Democratic,Pete Buttigieg,49
Newburyport,1,1,President,,Democratic,Amy Klobuchar,16
Hinsdale,,1,President,,Libertarian,Jo Jorgensen,0
Braintree,,1A,President,,Republican,Blanks,2
New Bedford,2,E,President,,Democratic,Marianne Williamson,0
Plymouth,,13,President,,Democratic,Deval Patrick,2
Boston,20,14,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,22,12,President,,Libertarian,All Others,1
Somerville,2,2,President,,Libertarian,Samuel Joseph Robb,0
Winchester,,3,President,,Libertarian,Kenneth Reed Armstrong,0
Newton,5,1,President,,Democratic,All Others,0
Boston,17,12,President,,Libertarian,Jacob George Hornberger,0
Saugus,,8,President,,Green-Rainbow,David Rolde,0
Boston,12,8,President,,Libertarian,All Others,0
Quincy,4,5,President,,Democratic,Marianne Williamson,1
Whitman,,3,President,,Democratic,All Others,2
Needham,,G,President,,Democratic,Blanks,2
Greenfield,,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Hanover,,2,President,,Libertarian,Total Votes Cast,2
Weymouth,,7,President,,Green-Rainbow,Total Votes Cast,0
Peabody,4,2,President,,Democratic,Total Votes Cast,487
Quincy,3,1,President,,Libertarian,All Others,0
Hingham,,5A,President,,Democratic,Elizabeth A. Warren,125
Rutland,,2,President,,Democratic,"Joseph R. Biden, Jr.",188
Watertown,,10,President,,Democratic,Deval Patrick,5
Beverly,6,2,President,,Democratic,No Preference,6
Lynn,4,4,President,,Republican,Total Votes Cast,53
Duxbury,,2,President,,Republican,Total Votes Cast,157
Norton,,3,President,,Republican,William F. Weld,17
Arlington,,2,President,,Republican,Donald J. Trump,52
Millbury,,2,President,,Republican,All Others,0
Needham,,G,President,,Republican,Blanks,3
Boston,14,6,President,,Democratic,No Preference,0
Plymouth,,12,President,,Democratic,Michael R. Bloomberg,120
Windsor,,1,President,,Democratic,John K. Delaney,0
Agawam,,7,President,,Green-Rainbow,Total Votes Cast,0
Weymouth,,14,President,,Republican,All Others,0
Wareham,,4,President,,Libertarian,Jo Jorgensen,0
Lawrence,A,2,President,,Democratic,Amy Klobuchar,1
Arlington,,7,President,,Libertarian,All Others,1
Lunenburg,,D,President,,Democratic,"Joseph R. Biden, Jr.",202
E. Bridgewater,,4,President,,Green-Rainbow,Kent Mesplay,0
Brockton,5,A,President,,Libertarian,Jacob George Hornberger,0
Boston,18,16,President,,Democratic,Tulsi Gabbard,19
Haverhill,1,1,President,,Democratic,"Joseph R. Biden, Jr.",87
Fall River,6,C,President,,Green-Rainbow,No Preference,0
Falmouth,,8,President,,Libertarian,Adam Kokesh,0
Beverly,1,1,President,,Democratic,Marianne Williamson,0
Lowell,9,2,President,,Democratic,Deval Patrick,4
Gardner,2,A,President,,Democratic,Michael R. Bloomberg,39
Bridgewater,,6,President,,Democratic,Cory Booker,0
Haverhill,6,1,President,,Libertarian,Adam Kokesh,0
Clinton,,4,President,,Republican,Total Votes Cast,163
Rochester,,1,President,,Green-Rainbow,Total Votes Cast,2
Boston,15,1,President,,Green-Rainbow,All Others,0
Hudson,,3,President,,Democratic,Pete Buttigieg,28
Boston,21,13,President,,Democratic,Tulsi Gabbard,4
Ayer,,1,President,,Green-Rainbow,David Rolde,0
Holden,,4,President,,Libertarian,All Others,2
Millis,,3,President,,Libertarian,Kimberly Margaret Ruff,0
Rockland,,1,President,,Democratic,Total Votes Cast,596
Lowell,8,1,President,,Democratic,Michael R. Bloomberg,37
Revere,2,1,President,,Libertarian,Blanks,0
Boston,1,12,President,,Democratic,John K. Delaney,0
Medway,,3,President,,Republican,Total Votes Cast,184
Randolph,,9,President,,Libertarian,Total Votes Cast,1
Chicopee,1,A,President,,Republican,No Preference,3
Waltham,3,1,President,,Libertarian,Adam Kokesh,0
Lanesborough,,1,President,,Democratic,No Preference,1
Brockton,1,D,President,,Libertarian,Arvin Vohra,0
Easthampton,,1,President,,Democratic,Tulsi Gabbard,3
Brockton,7,B,President,,Green-Rainbow,Dario Hunter,0
Boston,18,16,President,,Democratic,Total Votes Cast,705
Lynn,4,4,President,,Democratic,Tulsi Gabbard,5
Fitchburg,3,A,President,,Green-Rainbow,David Rolde,0
Duxbury,,6,President,,Democratic,Marianne Williamson,0
Framingham,,3,President,,Republican,Donald J. Trump,97
Foxborough,,5,President,,Green-Rainbow,No Preference,0
Dartmouth,,7,President,,Democratic,Elizabeth A. Warren,84
Somerville,3,2,President,,Libertarian,Adam Kokesh,1
Winthrop,,1,President,,Libertarian,Jo Jorgensen,0
Boston,5,8,President,,Green-Rainbow,No Preference,2
N. Attleborough,,9,President,,Green-Rainbow,Howard Hawkins,0
Boston,18,7,President,,Democratic,John K. Delaney,0
Springfield,5,G,President,,Libertarian,Arvin Vohra,0
Lawrence,C,4,President,,Libertarian,Total Votes Cast,0
Plymouth,,7,President,,Libertarian,Max Abramson,0
Northampton,6,B,President,,Libertarian,Arvin Vohra,0
Milton,,3,President,,Democratic,Tulsi Gabbard,2
Milford,,2,President,,Green-Rainbow,No Preference,0
Groton,,1,President,,Democratic,Cory Booker,2
New Bedford,5,D,President,,Democratic,Blanks,2
Boston,14,5,President,,Green-Rainbow,Skcm Curry,0
Egremont,,1,President,,Libertarian,Arvin Vohra,0
Lawrence,C,2,President,,Democratic,Deval Patrick,4
Brockton,4,A,President,,Democratic,Marianne Williamson,0
Westport,,E,President,,Democratic,Julian Castro,0
Boston,11,3,President,,Green-Rainbow,Kent Mesplay,0
Wilmington,,5,President,,Democratic,Deval Patrick,4
Boston,1,11,President,,Green-Rainbow,Total Votes Cast,2
Monson,,B,President,,Democratic,Julian Castro,0
Lynnfield,,4,President,,Democratic,All Others,4
Newton,4,1,President,,Green-Rainbow,Kent Mesplay,0
Southbridge,,5,President,,Democratic,Amy Klobuchar,3
Boston,7,4,President,,Republican,William F. Weld,4
Springfield,6,G,President,,Green-Rainbow,David Rolde,0
Whitman,,4,President,,Republican,Joe Walsh,3
Weymouth,,10,President,,Republican,Total Votes Cast,135
Boston,17,1,President,,Democratic,Marianne Williamson,0
Wilmington,,5,President,,Republican,No Preference,5
Sandwich,,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Haverhill,3,3,President,,Green-Rainbow,Dario Hunter,0
Walpole,,8,President,,Green-Rainbow,David Rolde,0
Boston,15,2,President,,Green-Rainbow,Kent Mesplay,0
Wellfleet,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Waltham,9,1,President,,Libertarian,Vermin Love Supreme,1
Watertown,,11,President,,Democratic,Tulsi Gabbard,5
Weymouth,,1,President,,Republican,Total Votes Cast,153
Needham,,D,President,,Green-Rainbow,Blanks,0
Boston,6,5,President,,Democratic,Michael Bennet,1
Hopkinton,,1,President,,Republican,William F. Weld,28
Boston,6,7,President,,Democratic,Michael R. Bloomberg,75
Everett,6,1,President,,Libertarian,Vermin Love Supreme,0
Taunton,8,B,President,,Libertarian,Samuel Joseph Robb,0
Millis,,3,President,,Republican,Donald J. Trump,165
Boston,22,9,President,,Democratic,Cory Booker,0
Plymouth,,9,President,,Green-Rainbow,No Preference,0
Lynn,3,4,President,,Libertarian,Blanks,0
Tyringham,,1,President,,Libertarian,Adam Kokesh,0
Brockton,3,A,President,,Democratic,Marianne Williamson,0
Boston,1,4,President,,Democratic,"Joseph R. Biden, Jr.",72
Cambridge,3,3,President,,Democratic,Bernie Sanders,398
Canton,,3,President,,Democratic,Pete Buttigieg,18
Westport,,B,President,,Libertarian,Vermin Love Supreme,0
Agawam,,4,President,,Libertarian,Samuel Joseph Robb,0
Barnstable,,13,President,,Libertarian,Dan Taxation Is Theft Behrman,1
Methuen,,4,President,,Democratic,John K. Delaney,0
Somerville,5,3,President,,Democratic,Total Votes Cast,1737
Hingham,,5A,President,,Republican,William F. Weld,21
Brockton,6,B,President,,Democratic,Amy Klobuchar,3
Upton,,2,President,,Democratic,Michael R. Bloomberg,106
Adams,,5,President,,Libertarian,Jacob George Hornberger,0
Lynn,5,1,President,,Republican,Roque De La Fuente,0
Boston,14,2,President,,Democratic,Deval Patrick,6
Blandford,,1,President,,Democratic,Julian Castro,0
Boston,17,8,President,,Democratic,Amy Klobuchar,1
New Bedford,1,D,President,,Democratic,Michael R. Bloomberg,53
Southampton,,1,President,,Democratic,Michael Bennet,0
Plymouth,,3,President,,Democratic,Andrew Yang,1
Worcester,7,3,President,,Democratic,Bernie Sanders,161
Danvers,,1,President,,Libertarian,All Others,0
Holyoke,2,B,President,,Green-Rainbow,Total Votes Cast,0
Holyoke,5,B,President,,Republican,William F. Weld,4
Wilmington,,6,President,,Libertarian,Kenneth Reed Armstrong,0
Somerville,2,1,President,,Republican,No Preference,0
Amherst,,5,President,,Republican,Joe Walsh,0
Norfolk,,1,President,,Libertarian,All Others,0
Deerfield,,1,President,,Green-Rainbow,David Rolde,0
Longmeadow,,A,President,,Libertarian,Arvin Vohra,0
Lowell,8,1,President,,Democratic,Deval Patrick,3
Middleborough,,6,President,,Democratic,All Others,0
Sunderland,,1,President,,Republican,All Others,1
Hingham,,1,President,,Democratic,Blanks,1
Fall River,8,A,President,,Democratic,Michael Bennet,0
Danvers,,2,President,,Libertarian,Jacob George Hornberger,0
Gloucester,5,1,President,,Republican,Total Votes Cast,185
Boston,17,14,President,,Green-Rainbow,Howard Hawkins,0
Boston,6,6,President,,Democratic,Michael R. Bloomberg,74
Wilmington,,3,President,,Libertarian,Max Abramson,0
Bedford,,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Southbridge,,3,President,,Democratic,John K. Delaney,0
Rockland,,4,President,,Libertarian,Blanks,0
Westport,,A,President,,Green-Rainbow,Skcm Curry,0
Hubbardston,,1,President,,Democratic,Michael Bennet,0
Watertown,,1,President,,Democratic,Tom Steyer,4
W. Springfield,,5,President,,Democratic,No Preference,2
Belchertown,,A,President,,Democratic,Tom Steyer,3
Easton,,6,President,,Green-Rainbow,Blanks,0
Bourne,,5,President,,Libertarian,Jo Jorgensen,0
Peru,,1,President,,Green-Rainbow,All Others,0
Beverly,2,1,President,,Green-Rainbow,Blanks,1
N. Attleborough,,1,President,,Democratic,Julian Castro,0
Dalton,,1,President,,Democratic,No Preference,1
Boston,3,4,President,,Democratic,Michael R. Bloomberg,72
Randolph,,11,President,,Libertarian,All Others,0
Adams,,2,President,,Green-Rainbow,Total Votes Cast,1
Methuen,,6,President,,Democratic,Michael R. Bloomberg,65
N. Andover,,6,President,,Green-Rainbow,Skcm Curry,0
Milford,,5,President,,Libertarian,Adam Kokesh,0
Brockton,5,B,President,,Democratic,"Joseph R. Biden, Jr.",207
Boston,22,9,President,,Republican,William F. Weld,3
Ashland,,3,President,,Democratic,Deval Patrick,2
Shrewsbury,,9,President,,Democratic,Blanks,0
Attleboro,6,A,President,,Democratic,Amy Klobuchar,0
Brewster,,1,President,,Republican,Roque De La Fuente,0
Shrewsbury,,10,President,,Democratic,Marianne Williamson,0
Norfolk,,2,President,,Republican,Donald J. Trump,293
Newton,8,1,President,,Green-Rainbow,David Rolde,0
Boston,1,8,President,,Democratic,Andrew Yang,1
Peabody,4,3,President,,Libertarian,No Preference,0
Ipswich,,2,President,,Republican,William F. Weld,30
Marblehead,,5,President,,Libertarian,Max Abramson,0
Medford,1,1,President,,Libertarian,Blanks,0
Salem,2,2,President,,Democratic,Tulsi Gabbard,4
Taunton,2,B,President,,Democratic,Julian Castro,0
Brookline,,13,President,,Republican,Roque De La Fuente,0
Boston,16,12,President,,Republican,William F. Weld,2
Weymouth,,13,President,,Democratic,Tulsi Gabbard,8
Salem,3,2,President,,Libertarian,Vermin Love Supreme,0
Boston,18,22,President,,Democratic,Cory Booker,0
Dudley,,2,President,,Republican,Joe Walsh,3
Middleborough,,2,President,,Democratic,Tom Steyer,4
Haverhill,4,1,President,,Green-Rainbow,Skcm Curry,0
Westford,,4,President,,Republican,Total Votes Cast,211
Rehoboth,,3,President,,Green-Rainbow,Total Votes Cast,1
Whitman,,4,President,,Democratic,Total Votes Cast,638
Rockport,,2,President,,Democratic,Andrew Yang,0
Braintree,,1A,President,,Libertarian,Total Votes Cast,1
Watertown,,1,President,,Libertarian,Jo Jorgensen,0
Dartmouth,,3,President,,Libertarian,Kenneth Reed Armstrong,0
Fairhaven,,5,President,,Green-Rainbow,Howard Hawkins,0
Westford,,3,President,,Republican,Blanks,3
Essex,,1,President,,Republican,All Others,3
Cambridge,2,1,President,,Green-Rainbow,Total Votes Cast,4
Westborough,,4,President,,Republican,Joe Walsh,3
Lawrence,B,2,President,,Libertarian,Vermin Love Supreme,0
Lexington,,3,President,,Democratic,Tom Steyer,1
Worcester,7,4,President,,Democratic,Bernie Sanders,202
Taunton,2,B,President,,Green-Rainbow,Skcm Curry,0
Walpole,,6,President,,Green-Rainbow,Kent Mesplay,0
Newton,6,3,President,,Democratic,Andrew Yang,1
Yarmouth,,1,President,,Democratic,No Preference,4
Fall River,5,A,President,,Republican,Roque De La Fuente,0
Winthrop,,6,President,,Green-Rainbow,Total Votes Cast,1
Newton,2,1,President,,Democratic,Julian Castro,0
Fitchburg,3,B,President,,Green-Rainbow,All Others,0
Stockbridge,,1,President,,Democratic,Tom Steyer,0
Beverly,5,2,President,,Democratic,Blanks,6
S. Hadley,,D,President,,Democratic,"Joseph R. Biden, Jr.",191
Boston,17,2,President,,Democratic,Amy Klobuchar,1
Wilmington,,6,President,,Democratic,All Others,0
Amesbury,,5,President,,Democratic,Tulsi Gabbard,9
Sturbridge,,1,President,,Libertarian,Blanks,0
Boston,17,2,President,,Green-Rainbow,Howard Hawkins,0
Haverhill,3,2,President,,Republican,All Others,0
Westfield,6,B,President,,Democratic,Michael Bennet,1
Chicopee,4,A,President,,Republican,Roque De La Fuente,0
Quincy,2,4,President,,Democratic,Andrew Yang,2
N. Andover,,6,President,,Republican,No Preference,1
Swampscott,,1,President,,Libertarian,Jo Jorgensen,0
Reading,,5,President,,Libertarian,Adam Kokesh,0
Watertown,,3,President,,Democratic,Total Votes Cast,1018
Lowell,7,3,President,,Republican,Total Votes Cast,39
Sandwich,,3,President,,Green-Rainbow,Skcm Curry,0
Waltham,1,2,President,,Republican,Donald J. Trump,171
Lowell,11,2,President,,Green-Rainbow,No Preference,0
Boston,19,7,President,,Republican,Donald J. Trump,15
Somerset,,3,President,,Republican,Total Votes Cast,186
New Bedford,6,B,President,,Republican,Blanks,0
Ashburnham,,1,President,,Libertarian,Samuel Joseph Robb,0
Hingham,,5,President,,Libertarian,Jacob George Hornberger,0
Needham,,J,President,,Democratic,Michael Bennet,2
Quincy,2,3,President,,Green-Rainbow,Total Votes Cast,1
Boston,1,1,President,,Republican,William F. Weld,7
Lowell,1,2,President,,Democratic,Total Votes Cast,895
Sheffield,,1,President,,Green-Rainbow,No Preference,0
Upton,,2,President,,Democratic,Cory Booker,1
Lynn,3,4,President,,Libertarian,Total Votes Cast,2
Boston,19,13,President,,Democratic,Marianne Williamson,0
Chelsea,1,3,President,,Libertarian,Kenneth Reed Armstrong,0
Windsor,,1,President,,Green-Rainbow,Kent Mesplay,0
Springfield,5,G,President,,Democratic,Deval Patrick,6
Ipswich,,4,President,,Libertarian,Vermin Love Supreme,2
Bellingham,,3,President,,Green-Rainbow,Kent Mesplay,0
Lynn,2,4,President,,Democratic,Blanks,7
Southborough,,3,President,,Green-Rainbow,Kent Mesplay,0
Woburn,6,1,President,,Green-Rainbow,All Others,0
Sandwich,,4,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,21,13,President,,Libertarian,Kenneth Reed Armstrong,0
Medford,1,1,President,,Libertarian,Adam Kokesh,0
Boston,19,3,President,,Republican,Roque De La Fuente,0
Natick,,6,President,,Republican,No Preference,11
Norton,,1,President,,Libertarian,Kenneth Reed Armstrong,0
Fall River,5,A,President,,Green-Rainbow,Total Votes Cast,0
Arlington,,21,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Attleboro,6,B,President,,Democratic,Cory Booker,0
Lanesborough,,1,President,,Democratic,All Others,2
Fall River,9,B,President,,Democratic,Marianne Williamson,0
Taunton,2,B,President,,Republican,No Preference,1
Dedham,,2,President,,Libertarian,Kenneth Reed Armstrong,1
Boston,2,7,President,,Libertarian,Arvin Vohra,0
New Bedford,1,F,President,,Green-Rainbow,All Others,0
Ayer,,1,President,,Democratic,Cory Booker,0
Arlington,,9,President,,Democratic,Michael Bennet,0
Bedford,,2,President,,Democratic,Andrew Yang,2
Boston,17,9,President,,Green-Rainbow,Kent Mesplay,0
Boston,13,1,President,,Republican,William F. Weld,1
Worcester,10,3,President,,Democratic,Julian Castro,1
Hadley,,1,President,,Democratic,Pete Buttigieg,20
Lynn,4,4,President,,Democratic,Julian Castro,1
Maynard,,1,President,,Democratic,Andrew Yang,1
Goshen,,1,President,,Green-Rainbow,Total Votes Cast,0
Newburyport,3,1,President,,Republican,Roque De La Fuente,0
Yarmouth,,5,President,,Libertarian,Jacob George Hornberger,0
Douglas,,2,President,,Libertarian,Kenneth Reed Armstrong,0
Somerset,,5,President,,Democratic,Amy Klobuchar,5
Walpole,,6,President,,Democratic,John K. Delaney,0
Brockton,1,B,President,,Democratic,Cory Booker,0
Boston,16,11,President,,Democratic,Tom Steyer,3
Georgetown,,3,President,,Green-Rainbow,Howard Hawkins,0
Franklin,,2,President,,Republican,Donald J. Trump,186
Gloucester,5,1,President,,Green-Rainbow,Kent Mesplay,0
Leominster,4,C,President,,Democratic,Julian Castro,0
Boston,16,7,President,,Democratic,Andrew Yang,2
Leominster,4,C,President,,Libertarian,Kenneth Reed Armstrong,0
Easton,,2,President,,Democratic,All Others,2
Fairhaven,,1,President,,Democratic,Deval Patrick,5
Ludlow,,4,President,,Libertarian,Vermin Love Supreme,0
Saugus,,2,President,,Green-Rainbow,Skcm Curry,0
Leominster,1,B,President,,Democratic,Michael R. Bloomberg,51
Taunton,2,A,President,,Democratic,Deval Patrick,3
W. Boylston,,1,President,,Democratic,Amy Klobuchar,17
Boston,18,11,President,,Libertarian,Vermin Love Supreme,0
Somerville,3,2,President,,Libertarian,All Others,1
Wakefield,,1,President,,Libertarian,Kimberly Margaret Ruff,0
Marlborough,6,1,President,,Democratic,Pete Buttigieg,17
Westford,,4,President,,Republican,William F. Weld,34
Quincy,1,5,President,,Democratic,All Others,8
Truro,,1,President,,Republican,Donald J. Trump,73
Agawam,,4,President,,Democratic,Deval Patrick,6
Attleboro,1,B,President,,Libertarian,Arvin Vohra,0
Northborough,,2,President,,Libertarian,All Others,3
N. Attleborough,,3,President,,Republican,Blanks,2
Millis,,2,President,,Green-Rainbow,Howard Hawkins,0
Waltham,4,1,President,,Libertarian,Max Abramson,0
Fall River,6,C1,President,,Libertarian,All Others,0
Chicopee,3,B,President,,Democratic,Blanks,2
Medford,1,1,President,,Democratic,Pete Buttigieg,2
Wakefield,,2,President,,Green-Rainbow,David Rolde,0
W. Springfield,,7,President,,Libertarian,Kenneth Reed Armstrong,0
Harwich,,1,President,,Republican,Total Votes Cast,335
Montgomery,,1,President,,Republican,No Preference,0
Boston,16,5,President,,Libertarian,Total Votes Cast,1
Boston,21,7,President,,Republican,All Others,1
Salem,4,1,President,,Green-Rainbow,Total Votes Cast,0
Revere,6,2,President,,Green-Rainbow,Howard Hawkins,0
Newton,5,3,President,,Green-Rainbow,Blanks,0
Middleborough,,4,President,,Democratic,Bernie Sanders,164
Carver,,3,President,,Democratic,Amy Klobuchar,19
Boston,7,8,President,,Democratic,Total Votes Cast,488
Dracut,,9,President,,Libertarian,No Preference,2
Westborough,,4,President,,Libertarian,Total Votes Cast,0
Boston,18,1,President,,Green-Rainbow,All Others,0
Needham,,E,President,,Green-Rainbow,All Others,0
Arlington,,12,President,,Democratic,Marianne Williamson,0
Boston,22,7,President,,Democratic,Marianne Williamson,0
Natick,,1,President,,Libertarian,Arvin Vohra,0
Needham,,I,President,,Democratic,Blanks,0
Quincy,1,2,President,,Libertarian,Samuel Joseph Robb,0
New Bedford,5,C,President,,Democratic,Marianne Williamson,1
Boston,21,9,President,,Libertarian,No Preference,0
Braintree,,1B,President,,Democratic,Deval Patrick,5
Dracut,,1,President,,Democratic,Blanks,1
Marshfield,,6,President,,Democratic,Blanks,1
Revere,5,3,President,,Republican,Blanks,1
Auburn,,3,President,,Republican,Roque De La Fuente,0
New Bedford,1,A,President,,Green-Rainbow,Skcm Curry,0
Salem,1,1,President,,Green-Rainbow,Howard Hawkins,0
Beverly,1,1,President,,Libertarian,Jo Jorgensen,0
Brockton,5,C,President,,Democratic,No Preference,0
Chicopee,4,B,President,,Green-Rainbow,Skcm Curry,0
Salem,3,2,President,,Democratic,Cory Booker,0
Tewksbury,,2,President,,Democratic,No Preference,5
Springfield,2,H,President,,Libertarian,Arvin Vohra,0
Somerset,,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Everett,4,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Pittsfield,1,B,President,,Democratic,All Others,2
Braintree,,3B,President,,Libertarian,Blanks,0
Methuen,,1,President,,Democratic,John K. Delaney,0
