county,gen_cst_BALDWIN,gen_dem_OBAMA,gen_grn_MCKINNEY,gen_lib_BARR,gen_pfp_NADER,gen_psl_RIVA,gen_rep_MCCAIN,gen_spu_MOORE,gen_swp_HARRIS,rep_general_total,dem_general_total,lib_general_total,cst_general_total,grn_general_total,pfp_general_total,swp_general_total,psl_general_total,spu_general_total
Shelby,18,2863,6,20,35,1,3488,1,1,3488,2863,20,18,6,35,1,1,1
Sioux,43,3030,17,31,34,1,13490,0,0,13490,3030,31,43,17,34,0,1,0
Story,202,26548,56,301,258,0,18995,6,6,18995,26548,301,202,56,258,6,0,6
Tama,11,4899,10,21,48,1,3820,1,1,3820,4899,21,11,10,48,1,1,1
Taylor,13,1347,1,11,26,0,1607,0,0,1607,1347,11,13,1,26,0,0,0
Union,35,3000,6,14,54,1,2781,4,0,2781,3000,14,35,6,54,0,1,4
Van Buren,28,1546,2,10,17,0,1986,4,0,1986,1546,10,28,2,17,0,0,4
Wapello,129,8820,26,39,127,4,6663,5,5,6663,8820,39,129,26,127,5,4,5
Warren,110,12299,11,61,117,3,12144,6,3,12144,12299,61,110,11,117,3,3,6
Washington,50,5170,8,28,71,2,5247,1,3,5247,5170,28,50,8,71,3,2,1
Wayne,11,1357,3,3,21,0,1565,1,1,1565,1357,3,11,3,21,1,0,1
Webster,47,9917,13,49,115,1,8337,1,3,8337,9917,49,47,13,115,3,1,1
Winnebago,17,3254,3,19,32,2,2730,1,2,2730,3254,19,17,3,32,2,2,1
Winneshiek,24,6829,7,29,73,2,4273,2,4,4273,6829,29,24,7,73,4,2,2
Woodbury,73,21983,33,81,230,8,22219,6,4,22219,21983,81,73,33,230,4,8,6
Worth,5,2567,5,9,42,1,1612,1,1,1612,2567,9,5,5,42,1,1,1
Wright,15,3102,4,19,32,0,3198,0,1,3198,3102,19,15,4,32,1,0,0
