precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_KAHN,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Pulaski-99,2,675,12,1,11,21,3,162,262,0,0,117,0,0,0,4,0,56,1,0,0,0,5,0,46,0,44,887,156,379
Randolph-BAKER,0,5,0,0,0,0,0,20,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,25,9,1
Randolph-BRISTOW,0,16,0,0,0,1,0,26,7,0,1,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,6,43,15,9
Randolph-BUTLER,0,0,0,0,0,0,0,25,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,25,8,3
Randolph-COLUMBIA,2,50,3,0,2,7,1,195,21,0,0,18,0,0,1,7,1,26,0,0,0,0,2,0,12,0,39,260,88,39
Randolph-CURRENT RIVER,1,35,0,0,0,6,0,88,11,0,0,4,0,0,0,3,0,17,0,0,0,1,0,0,8,0,25,130,54,15
Randolph-DALTON,3,18,0,0,0,3,0,78,13,0,0,2,0,0,0,6,0,15,0,0,0,0,1,0,9,0,14,102,45,15
Randolph-DEMUN RURAL,6,142,7,1,5,20,4,515,58,0,3,44,1,3,1,15,2,70,0,0,2,0,8,1,38,0,63,700,200,109
Randolph-EAST ROANOKE,1,38,1,0,0,0,1,162,18,1,1,9,0,0,0,2,0,24,0,0,0,0,3,0,5,0,25,203,59,29
Randolph-ELEVEN POINT,0,31,2,1,0,4,3,86,18,0,0,11,0,1,0,2,0,21,0,0,0,0,2,0,7,0,10,127,42,30
Randolph-FOSTER,3,60,0,1,4,6,3,240,32,1,2,8,1,1,1,7,3,31,0,0,1,0,3,0,30,0,46,317,122,45
Randolph-INGRAM,0,10,3,1,0,3,2,59,6,0,0,8,0,0,0,1,0,10,0,0,0,0,0,0,5,0,9,78,25,14
Randolph-JACKSON,0,13,0,1,4,0,1,37,10,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2,0,11,56,21,11
Randolph-JANES CREEK,3,50,3,0,2,7,1,148,25,1,0,28,4,2,0,6,0,16,0,0,2,0,0,0,5,0,26,214,55,60
Randolph-LITTLE BLACK,1,29,1,1,0,5,1,141,8,0,1,4,1,1,0,2,0,20,0,0,2,0,1,0,10,0,18,179,53,15
Randolph-REYNO,1,29,2,0,1,0,3,113,12,0,1,5,0,0,0,2,1,23,0,0,0,0,1,0,4,0,14,149,45,18
Randolph-RICHARDSON,7,38,2,2,3,5,1,217,19,0,0,11,0,0,0,2,2,34,0,0,2,0,0,0,21,0,34,275,95,30
Randolph-RUNNING LAKE,0,15,0,0,3,3,0,43,12,0,1,4,1,1,0,2,0,8,0,0,0,0,0,0,6,0,3,64,19,19
Randolph-SHILOH,6,69,1,0,5,11,3,288,41,0,3,11,0,1,0,9,0,37,0,0,1,0,7,0,30,0,60,383,144,56
Randolph-SILOAM,0,25,1,0,1,1,2,81,12,0,0,9,0,0,0,4,0,9,0,0,0,0,0,1,4,0,24,111,42,21
Randolph-SPRING RIVER,0,18,0,2,1,3,0,86,7,1,1,8,0,0,0,0,0,8,0,0,1,0,2,0,5,0,14,110,30,17
Randolph-UNION,1,3,0,0,1,2,0,29,1,0,0,2,0,0,0,1,0,7,0,0,0,0,2,0,2,0,2,36,14,3
Randolph-WARD 1,7,190,8,4,12,34,2,409,79,1,0,34,1,1,1,10,0,42,0,0,0,0,7,2,36,0,76,666,174,116
Randolph-WARD 2,3,179,9,6,6,30,3,377,83,0,2,49,2,2,2,7,0,53,0,0,1,0,4,2,27,0,46,613,142,138
Randolph-WARD 3,10,238,9,3,8,39,2,576,109,0,0,51,0,2,0,14,0,77,0,0,3,0,14,0,70,0,87,885,265,162
Randolph-WARM SPRINGS,0,15,1,0,0,0,0,59,11,0,0,2,0,0,0,0,0,9,0,0,0,0,1,0,6,0,12,75,28,13
Randolph-WATER VALLEY,2,21,0,0,3,1,0,76,11,0,0,9,0,0,0,2,0,23,0,0,1,0,0,0,5,0,13,103,44,20
