precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_KAHN,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Crittenden-EDMONDSON,2,138,2,0,1,0,1,100,70,1,1,12,0,7,0,3,0,7,0,0,0,0,0,0,4,0,26,244,40,91
Crittenden-GILMORE,0,55,0,1,3,0,1,28,33,3,0,6,0,0,0,0,0,1,1,0,1,0,0,0,1,0,4,88,8,42
Crittenden-HEAFER,0,29,2,0,1,2,0,91,10,0,2,13,0,1,0,0,0,15,0,0,0,0,0,0,3,0,16,125,34,26
Crittenden-HORSESHOE FIRE STATION,1,17,0,0,0,0,1,102,12,1,0,6,0,0,0,1,0,16,0,1,1,0,1,0,5,1,40,121,66,19
Crittenden-JENNETTE CITY HALL,0,63,0,0,0,1,0,2,36,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,44
Crittenden-JERICHO CITY HALL,0,69,2,0,2,2,1,176,29,1,1,15,0,3,1,6,0,27,0,0,0,0,5,0,12,0,32,252,83,49
Crittenden-MT PISGAH CHURCH,0,37,0,0,0,2,0,18,16,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,6,0,3,57,9,21
Crittenden-ST LUKE CHURCH,1,206,0,0,0,5,0,5,64,1,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,217,2,73
Crittenden-SUNSET,0,60,2,0,0,1,0,2,32,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,39
Crittenden-WM HIGH SCHOOL,8,1144,13,6,10,42,4,1440,452,8,10,139,10,25,6,29,4,155,0,1,5,0,11,2,112,0,290,2667,615,644
