precinct_code,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Hernando-1205348 YMCA OF THE SUNCOAST,1047.0,7.0,4.0,44.0,16.0,1623.0,273.0,15.0,182.0,19.0,4.0,1.0,110.0,1.0,0.0,0.0,1.0,45.0,2.0,133.0,1.0,441.0,2741.0,758.0,470.0
Hernando-1205353 HIGH POINT COMM. CLUB HOUSE,208.0,0.0,0.0,19.0,11.0,527.0,62.0,5.0,48.0,3.0,3.0,0.0,39.0,0.0,0.0,0.0,0.0,10.0,1.0,29.0,0.0,120.0,765.0,205.0,115.0
Hernando-1205354 WELLINGTON CLUBHOUSE,589.0,2.0,1.0,15.0,3.0,1005.0,247.0,2.0,77.0,16.0,3.0,0.0,86.0,1.0,0.0,0.0,0.0,43.0,0.0,113.0,1.0,374.0,1615.0,637.0,326.0
Highlands-120551,508.0,2.0,3.0,34.0,6.0,797.0,107.0,6.0,58.0,9.0,8.0,0.0,102.0,0.0,0.0,0.0,1.0,9.0,1.0,98.0,0.0,162.0,1350.0,390.0,171.0
Highlands-1205510,357.0,3.0,3.0,29.0,6.0,841.0,89.0,5.0,78.0,9.0,2.0,1.0,87.0,0.0,0.0,0.0,0.0,32.0,0.0,122.0,0.0,226.0,1239.0,479.0,172.0
Highlands-1205511,394.0,4.0,0.0,21.0,9.0,835.0,112.0,12.0,56.0,11.0,6.0,1.0,88.0,0.0,0.0,0.0,0.0,6.0,2.0,63.0,1.0,215.0,1263.0,393.0,180.0
Highlands-1205512,154.0,0.0,0.0,8.0,1.0,630.0,38.0,5.0,39.0,5.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,50.0,0.0,177.0,793.0,295.0,82.0
Highlands-1205513,956.0,1.0,2.0,49.0,8.0,2299.0,219.0,31.0,142.0,15.0,15.0,0.0,274.0,1.0,0.0,1.0,1.0,47.0,1.0,240.0,0.0,607.0,3315.0,1202.0,392.0
Highlands-1205514,58.0,0.0,0.0,4.0,0.0,237.0,10.0,1.0,16.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,73.0,299.0,110.0,27.0
Highlands-1205515,1162.0,4.0,2.0,87.0,19.0,3156.0,296.0,27.0,189.0,21.0,30.0,1.0,354.0,1.0,0.0,1.0,1.0,91.0,2.0,391.0,0.0,771.0,4430.0,1664.0,512.0
Highlands-1205516,1174.0,17.0,9.0,57.0,9.0,1728.0,288.0,20.0,127.0,8.0,13.0,0.0,180.0,0.0,0.0,1.0,1.0,25.0,1.0,165.0,0.0,347.0,2994.0,741.0,435.0
Highlands-1205517,1102.0,12.0,4.0,70.0,13.0,3335.0,269.0,32.0,209.0,28.0,11.0,2.0,319.0,2.0,0.0,0.0,1.0,86.0,5.0,305.0,0.0,960.0,4536.0,1719.0,510.0
Highlands-1205518,43.0,0.0,0.0,4.0,1.0,120.0,18.0,3.0,11.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,27.0,168.0,52.0,32.0
Highlands-1205519,849.0,5.0,2.0,26.0,6.0,1588.0,201.0,16.0,94.0,19.0,4.0,0.0,161.0,1.0,0.0,0.0,0.0,51.0,0.0,157.0,0.0,425.0,2476.0,818.0,311.0
Highlands-120552,1326.0,6.0,4.0,30.0,5.0,696.0,320.0,13.0,89.0,9.0,6.0,0.0,55.0,0.0,0.0,0.0,0.0,20.0,0.0,81.0,0.0,177.0,2067.0,348.0,422.0
Highlands-1205520,429.0,2.0,1.0,28.0,10.0,968.0,120.0,10.0,50.0,7.0,8.0,0.0,85.0,0.0,0.0,0.0,1.0,18.0,1.0,92.0,0.0,274.0,1438.0,486.0,180.0
Highlands-1205521,475.0,4.0,2.0,22.0,12.0,1714.0,109.0,8.0,94.0,11.0,4.0,0.0,204.0,0.0,0.0,0.0,0.0,35.0,1.0,124.0,0.0,452.0,2229.0,831.0,211.0
Highlands-1205522,277.0,3.0,0.0,17.0,4.0,393.0,71.0,2.0,24.0,4.0,9.0,1.0,104.0,0.0,0.0,0.0,0.0,10.0,0.0,65.0,0.0,84.0,694.0,277.0,97.0
Highlands-1205523,206.0,1.0,1.0,21.0,1.0,399.0,41.0,4.0,23.0,6.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,11.0,0.0,42.0,0.0,110.0,629.0,214.0,68.0
Highlands-1205524,465.0,2.0,1.0,36.0,2.0,1095.0,163.0,4.0,75.0,11.0,5.0,1.0,101.0,0.0,0.0,0.0,2.0,55.0,1.0,143.0,1.0,305.0,1601.0,625.0,242.0
Highlands-1205525,1066.0,11.0,1.0,62.0,16.0,1803.0,288.0,17.0,129.0,16.0,14.0,2.0,166.0,0.0,1.0,0.0,1.0,69.0,2.0,205.0,0.0,466.0,2959.0,942.0,434.0
Highlands-120553,286.0,1.0,3.0,26.0,5.0,1024.0,88.0,8.0,59.0,7.0,4.0,1.0,132.0,0.0,0.0,0.0,0.0,23.0,0.0,107.0,0.0,217.0,1345.0,491.0,155.0
Highlands-120554,1165.0,3.0,5.0,68.0,10.0,1837.0,290.0,19.0,141.0,21.0,9.0,0.0,160.0,0.0,0.0,0.0,2.0,68.0,3.0,222.0,0.0,434.0,3088.0,919.0,450.0
Highlands-120555,1113.0,6.0,8.0,89.0,16.0,2159.0,287.0,17.0,191.0,18.0,11.0,2.0,200.0,1.0,0.0,0.0,1.0,49.0,2.0,239.0,0.0,501.0,3391.0,1024.0,495.0
