precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
APPLING1B,23,1,12,1,5,34,0,108,1,0,3,12,0,0,54,0,165,92,9,685,37,382,92,685
APPLING1C,14,1,5,0,3,28,0,88,0,1,2,9,0,2,45,0,125,42,5,496,20,303,42,496
APPLING2,284,3,41,1,3,28,0,45,0,0,0,7,0,0,27,0,96,742,10,427,329,206,742,427
APPLING3A,1,0,3,0,0,10,0,41,0,0,0,4,0,0,13,0,48,4,4,209,4,116,4,209
APPLING3A1,11,0,6,0,3,26,0,68,0,0,2,4,0,0,18,0,59,17,1,319,17,180,17,319
APPLING3B,39,2,6,0,2,8,0,22,0,0,2,1,0,0,14,0,24,98,1,101,47,73,98,101
APPLING3C,47,3,19,1,4,36,0,125,0,0,1,13,0,2,76,0,135,154,14,670,70,392,154,670
APPLING4A,3,0,4,0,3,11,1,46,0,0,1,5,0,0,25,0,53,14,1,261,7,145,14,261
APPLING4B,2,0,2,0,4,16,0,71,0,0,2,3,0,0,27,0,72,7,0,305,4,195,7,305
APPLING4C,2,0,3,0,0,10,0,55,0,0,1,2,0,0,33,0,67,10,2,284,5,168,10,284
APPLING4D,24,0,7,0,2,44,0,99,0,0,0,12,0,2,55,0,164,83,10,624,31,378,83,624
APPLING5A,17,0,16,1,3,23,0,66,0,0,2,1,0,0,35,0,126,68,12,530,34,256,68,530
APPLING5B,20,1,10,1,0,14,0,47,0,0,0,5,0,0,22,0,81,79,3,336,32,169,79,336
APPLING5C,4,0,9,0,0,16,1,33,0,0,1,5,0,0,18,0,76,24,5,247,13,150,24,247
APPLINGNAN,491,11,143,5,32,304,2,914,1,1,17,83,0,6,462,0,1291,1434,77,5494,650,3113,1434,5494
ATKINSONAXSON,7,0,2,0,0,12,1,48,0,0,0,3,0,0,17,0,103,29,4,375,9,184,29,375
ATKINSONNAN,201,0,49,2,4,47,1,183,1,0,0,14,0,0,73,0,622,697,35,1878,252,945,697,1878
ATKINSONPEARSON CITY,77,0,9,0,2,6,0,12,0,0,0,3,0,0,6,0,51,275,9,164,86,80,275,164
ATKINSONPEARSON COUNTY,37,0,20,1,0,17,0,78,0,0,0,3,0,0,33,0,282,136,6,850,58,413,136,850
ATKINSONWILLACOOCHEE,80,0,18,1,2,12,0,45,1,0,0,5,0,0,17,0,186,257,16,489,99,268,257,489
BACONDOUGLAS,88,2,31,3,4,47,2,147,0,1,3,33,0,0,137,2,437,477,27,1578,124,813,477,1578
BACONNAN,113,3,58,3,8,110,3,341,1,1,7,57,0,0,246,2,904,608,47,3364,177,1680,608,3364
BACONNEW LACY,9,1,9,0,1,23,1,71,0,0,2,8,0,0,56,0,184,58,5,696,19,346,58,696
BACONTAYLOR,8,0,10,0,2,20,0,66,1,0,0,3,0,0,25,0,120,30,12,521,18,237,30,521
BACONWARE,2,0,6,0,1,16,0,32,0,0,1,6,0,0,14,0,106,25,2,328,8,176,25,328
BACONWARNOCK,6,0,2,0,0,4,0,25,0,0,1,7,0,0,14,0,57,18,1,241,8,108,18,241
BAKERANNA,8,0,6,0,0,0,0,10,0,0,0,0,0,0,4,0,30,32,0,73,14,44,32,73
BAKERELMODEL,59,1,4,0,0,4,0,23,0,0,0,1,0,0,9,0,34,133,4,124,64,71,133,124
BAKERHOGGARD MILL,49,0,10,0,0,4,0,1,0,0,0,3,0,0,6,0,31,105,3,92,59,45,105,92
BAKERMILFORD,43,0,7,0,2,8,1,18,0,0,1,2,0,1,6,0,46,74,2,133,50,85,74,133
BAKERNAN,304,3,48,2,3,25,1,87,2,0,3,8,0,2,42,0,262,650,15,775,357,435,650,775
BAKERNEWTON,145,2,21,2,1,9,0,35,2,0,2,2,0,1,17,0,121,306,6,353,170,190,306,353
BALDWINBODDIE,182,2,55,1,2,3,0,17,0,0,0,5,0,1,24,0,26,534,28,124,240,78,534,124
BALDWINCITY HALL ANNEX,116,1,27,0,1,4,0,21,0,0,0,5,0,2,19,0,40,303,21,178,144,92,303,178
BALDWINCOOPERS,96,0,45,0,6,45,1,87,0,0,0,10,0,2,62,0,199,273,17,682,141,412,273,682
BALDWINCOURTHOUSE,44,0,35,0,0,7,0,19,0,0,0,7,0,0,24,0,21,167,20,127,79,78,167,127
BALDWINEAST BALDWIN,382,2,103,0,9,53,1,146,0,0,2,29,0,4,111,0,335,1011,65,1313,487,690,1011,1313
BALDWINEAST HARDWICK,178,0,21,1,0,12,0,11,0,0,0,0,0,0,6,0,31,532,9,111,200,60,532,111
BALDWINFIRE DEPT,285,1,67,0,5,7,0,20,0,0,0,7,0,1,52,0,49,643,39,227,353,141,643,227
BALDWINMERIWEATHER,197,1,63,0,2,45,1,133,0,0,0,24,0,0,137,2,316,604,50,1063,261,660,604,1063
BALDWINNAN,3036,15,764,10,45,350,7,883,1,0,9,184,0,12,962,4,2070,7970,419,7697,3825,4527,7970,7697
BALDWINNORTH BALDWIN,253,3,70,2,4,63,2,188,0,0,3,43,0,1,233,1,461,615,50,1624,328,999,615,1624
BALDWINNORTH MILLEDGEVILLE,240,3,90,1,3,34,0,76,0,0,3,21,0,1,123,1,221,669,33,757,334,483,669,757
BALDWINSCOTTSBORO,69,0,21,1,3,22,1,42,0,0,0,2,0,0,23,0,102,219,8,386,91,195,219,386
BALDWINSOUTH MILLEDGEVILLE,200,1,44,0,1,5,0,8,0,0,0,6,0,0,26,0,24,524,24,131,245,70,524,131
BALDWINWEST BALDWIN,225,1,45,3,2,29,1,78,1,0,1,24,0,0,77,0,153,539,31,608,274,366,539,608
BALDWINWEST HARDWICK,569,0,78,1,7,21,0,37,0,0,0,1,0,0,45,0,92,1337,24,366,648,203,1337,366
BANKSANDERSON,23,1,30,0,1,31,0,106,3,0,3,16,0,1,54,1,232,84,17,737,54,448,84,737
BANKSBALDWIN,14,0,16,0,2,17,0,85,0,0,3,12,0,0,38,1,95,67,8,433,30,253,67,433
BANKSBERLIN,6,1,6,0,0,9,0,30,0,0,1,4,0,0,12,0,73,17,1,188,13,129,17,188
BANKSBUSHVILLE,5,0,10,0,0,25,0,57,1,0,0,3,0,0,22,0,107,29,11,374,15,215,29,374
BANKSCOLUMBIA,0,0,5,0,2,8,1,55,0,0,0,0,0,0,8,0,67,21,4,224,5,141,21,224
BANKSDAVIDS,30,3,18,1,5,39,0,141,0,0,0,5,0,1,79,1,235,103,27,821,52,506,103,821
BANKSGOLDEN HILL,11,0,16,0,0,12,0,69,0,0,2,6,0,0,18,0,127,57,8,410,27,234,57,410
BANKSGROVE RIVER,4,0,6,0,0,5,0,53,0,0,1,2,0,1,14,0,116,21,4,309,10,192,21,309
BANKSHOLLINGSWORTH,10,0,10,0,0,17,0,47,0,0,1,4,0,1,19,0,112,48,6,368,20,201,48,368
BANKSHOMER,28,0,14,0,1,19,3,132,0,0,4,7,0,1,62,1,214,80,16,746,42,444,80,746
BANKSNAN,172,7,169,3,15,251,7,1050,6,0,22,84,1,6,444,5,1809,684,132,6134,351,3700,684,6134
BANKSPOPLAR SPRINGS,24,1,19,2,2,42,2,158,1,0,1,11,1,1,51,0,250,79,18,839,46,520,79,839
BANKSWASHINGTON,10,0,9,0,1,14,1,69,0,0,5,10,0,0,30,1,91,48,8,343,19,222,48,343
BANKSWILMONTS,7,1,10,0,1,13,0,48,1,0,1,4,0,0,37,0,90,30,4,342,18,195,30,342
BARROW01 BETHLEHEM COMMUNITY CENTER,76,1,70,1,1,39,0,204,0,0,1,10,1,7,130,2,304,365,73,1339,148,699,365,1339
BARROW02 BETHABRA BAPTIST CHURCH,80,1,50,1,3,72,0,285,2,0,1,49,0,2,200,1,389,423,61,1775,132,1004,423,1775
BARROW03 BRAMLETT ELEMENTARY SCHOOL,56,1,64,0,2,34,0,229,1,0,1,16,0,1,112,0,294,337,74,1318,121,690,337,1318
BARROW04 WESTSIDE MIDDLE SCHOOL,50,0,52,2,2,28,1,199,1,0,2,12,1,0,73,0,265,284,62,1117,104,584,284,1117
BARROW05 FIRE STATION 1 (STATHAM),178,0,85,3,7,84,3,363,2,1,2,47,1,1,231,0,415,645,95,2009,266,1157,645,2009
BARROW06 WINDER BARROW HIGH SCHOOL,58,0,34,0,10,38,1,145,0,0,2,13,0,2,97,0,208,278,43,908,92,516,278,908
BARROW07 STATHAM ELEMENTARY SCHOOL,121,0,59,1,2,44,1,170,0,1,2,14,0,0,97,0,247,490,56,1048,181,578,490,1048
BARROW08 HOLSENBECK ELEMENTARY SCHOOL,72,1,54,0,1,48,0,209,0,1,1,15,0,1,103,1,322,328,79,1444,127,702,328,1444
BARROW09 LIONS CLUB,111,2,58,1,2,53,1,263,1,0,2,44,0,2,189,0,403,417,65,1634,172,960,417,1634
BARROW10 LEISURE SERVICES CENTER,182,0,46,0,3,15,0,100,0,1,1,10,0,1,60,1,188,577,54,761,228,380,577,761
BARROW11 APALACHEE HIGH SCHOOL,90,0,59,0,5,47,0,215,0,0,3,15,0,2,122,1,223,466,100,1277,149,633,466,1277
BARROW12 MIDWAY UNITED METHODIST CHURCH,53,0,39,1,1,42,2,204,1,1,0,15,0,5,125,0,277,287,71,1272,93,673,287,1272
BARROW13 WINDER COMMUNITY CENTER,62,1,53,0,5,37,0,153,1,1,1,28,0,2,107,0,230,329,81,978,116,565,329,978
BARROW14 CEDAR CREEK BAPTIST CHURCH,26,0,24,0,1,37,0,119,1,0,0,4,0,2,54,1,113,124,32,577,50,332,124,577
BARROW15 COUNTY LINE ELEMENTARY SCHOOL,53,0,45,2,2,51,0,272,0,0,3,20,0,2,165,0,373,295,46,1604,100,888,295,1604
BARROW16 THE CHURCH AT WINDER,190,2,87,4,6,74,1,341,1,3,5,34,0,5,185,0,405,935,151,2047,283,1060,935,2047
BARROWNAN,1458,9,879,16,53,743,10,3471,11,9,27,346,3,35,2050,7,4656,6580,1143,21108,2362,11421,6580,21108
BARTOWADAIRSVILLE,152,1,121,2,7,158,1,359,1,0,4,45,1,6,227,1,733,565,99,2838,276,1543,565,2838
BARTOWALLATOONA,94,1,107,3,4,31,0,264,0,1,1,14,0,4,148,0,500,433,75,1624,205,967,433,1624
BARTOWBEAVERS DRIVE,184,2,110,2,9,82,2,397,1,0,5,42,1,2,297,1,690,613,84,2447,298,1529,613,2447
BARTOWCARTERSVILLE EAST,287,2,161,1,4,82,1,311,0,0,9,63,0,5,296,1,644,1084,129,2309,451,1416,1084,2309
BARTOWCARTERSVILLE WEST,321,4,161,1,13,108,0,465,4,1,5,104,0,2,546,0,727,1193,115,2933,487,1975,1193,2933
BARTOWCASSVILLE,205,2,129,3,5,75,1,307,2,0,7,38,1,3,163,0,546,734,92,2000,339,1148,734,2000
BARTOWCENTER,108,2,80,0,7,79,0,320,2,0,2,29,0,3,206,0,500,373,71,1826,190,1148,373,1826
BARTOWEMERSON,75,0,56,0,2,49,0,181,0,0,1,17,2,2,172,0,406,289,55,1380,131,832,289,1380
BARTOWEUHARLEE,120,0,79,1,2,56,0,259,1,0,2,27,0,5,171,0,425,420,77,1660,200,948,420,1660
BARTOWFOLSOM,18,0,20,0,2,36,0,97,0,0,0,12,0,0,48,0,220,60,16,698,38,415,60,698
BARTOWKINGSTON,74,2,52,1,4,49,1,169,0,0,3,18,0,3,105,0,363,223,35,1252,129,715,223,1252
BARTOWMISSION ROAD,185,4,127,2,9,87,0,396,4,0,1,31,0,7,257,0,743,648,82,2521,318,1535,648,2521
BARTOWNAN,2219,25,1495,24,82,1133,7,4518,15,2,48,549,5,54,3262,5,8297,8212,1183,29911,3763,17977,8212,29911
BARTOWPINE LOG,33,0,26,0,0,30,0,167,0,0,0,20,0,1,112,1,332,131,37,1084,59,663,131,1084
BARTOWTAYLORSVILLE,35,3,47,4,7,64,0,238,0,0,1,14,0,0,149,1,411,159,36,1482,89,885,159,1482
BARTOWWHITE,57,1,48,2,0,43,1,226,0,0,2,37,0,1,126,0,394,204,49,1326,108,830,204,1326
BARTOWWOODLAND HIGH,40,0,39,0,1,30,0,106,0,0,1,7,0,4,65,0,192,146,23,658,79,406,146,658
BARTOWZENA DRIVE,231,1,132,2,6,74,0,256,0,0,4,31,0,6,174,0,471,937,108,1873,366,1022,937,1873
BEN HILLEAST,465,3,64,2,5,48,0,94,0,0,1,5,0,0,31,0,312,1114,28,1090,534,496,1114,1090
BEN HILLNAN,780,8,180,5,19,209,1,317,1,0,4,60,0,2,196,0,1025,2101,91,3739,973,1834,2101,3739
BEN HILLWEST,315,5,116,3,14,161,1,223,1,0,3,55,0,2,165,0,713,987,63,2649,439,1338,987,2649
BERRIENALAPAHA,80,0,10,0,2,22,0,63,0,0,1,5,0,1,27,0,169,196,10,529,90,290,196,529
BERRIENENIGMA,21,2,11,1,4,12,0,63,0,0,4,5,0,0,27,0,157,77,9,516,35,272,77,516
BERRIENNAN,326,7,146,9,30,179,6,720,1,0,22,66,1,5,242,0,1568,1047,115,5422,488,2840,1047,5422
BERRIENNASHVILLE,165,3,78,6,22,92,4,363,0,0,11,37,1,2,126,0,825,565,62,2914,252,1483,565,2914
BERRIENRAY CITY,46,0,33,1,0,32,1,102,1,0,5,13,0,0,39,0,241,160,22,838,80,434,160,838
BERRIENWEST BERRIEN,14,2,14,1,2,21,1,129,0,0,1,6,0,2,23,0,176,49,12,625,31,361,49,625
BIBBEAST MACON 1,313,0,22,0,0,2,0,2,0,1,0,0,0,0,2,0,5,954,4,26,335,12,954,26
BIBBEAST MACON 2,857,6,71,0,0,8,0,13,0,0,0,4,0,1,8,0,26,1999,21,100,934,60,1999,100
BIBBEAST MACON 3,438,0,129,1,3,18,0,70,0,0,0,36,1,2,81,0,120,1289,52,490,568,331,1289,490
BIBBEAST MACON 4,566,1,46,0,0,1,0,4,0,0,0,0,0,0,0,0,18,1234,13,63,613,23,1234,63
BIBBEAST MACON 5,471,0,53,0,1,10,0,33,0,0,0,5,0,0,23,0,94,1125,22,318,524,166,1125,318
BIBBGODFREY 1,991,6,117,1,4,11,1,19,0,0,2,8,0,2,32,0,35,2689,67,189,1115,114,2689,189
BIBBGODFREY 2,255,0,13,0,0,7,0,5,0,0,1,3,0,0,0,0,8,773,10,68,268,24,773,68
BIBBGODFREY 3,519,0,45,1,2,4,1,10,0,0,0,2,1,0,4,0,44,1507,15,153,565,68,1507,153
BIBBGODFREY 4,298,1,28,0,0,5,0,17,0,0,2,0,0,0,4,0,26,892,10,103,327,54,892,103
BIBBGODFREY 5,793,2,88,3,1,20,2,40,1,1,1,5,0,3,31,0,69,2195,38,286,886,174,2195,286
BIBBHAZZARD 1,575,0,60,3,0,6,0,34,0,0,2,2,0,0,12,0,59,1555,13,230,638,115,1555,230
BIBBHAZZARD 2,349,0,106,3,5,79,3,165,0,0,3,31,0,0,107,0,297,1176,61,1125,458,690,1176,1125
BIBBHAZZARD 3,1012,1,148,4,4,45,2,153,0,0,1,40,0,1,112,0,269,2675,74,1108,1165,627,2675,1108
BIBBHAZZARD 4,172,0,40,0,1,35,1,155,0,0,0,23,0,2,110,0,330,445,23,1004,212,657,445,1004
BIBBHAZZARD 5,226,0,65,0,4,44,1,126,0,0,0,59,0,2,148,0,273,709,37,1000,291,657,709,1000
BIBBHOWARD 1,123,1,53,0,3,22,1,81,1,0,0,61,0,3,122,0,169,429,33,657,177,463,429,657
BIBBHOWARD 2 - 02,37,0,10,0,0,16,0,39,0,0,0,29,0,0,71,0,80,101,11,341,47,235,101,341
BIBBHOWARD 2 - 08,219,0,65,1,10,69,2,164,2,0,2,97,0,0,298,0,295,750,50,1430,285,939,750,1430
BIBBHOWARD 3,596,3,249,1,12,142,0,447,1,0,2,173,0,7,648,0,598,2179,158,3100,849,2030,2179,3100
BIBBHOWARD 4,114,1,56,0,0,35,0,103,0,0,1,31,0,1,103,0,152,448,46,590,171,426,448,590
BIBBHOWARD 5,138,0,52,0,2,31,1,62,1,0,1,20,0,1,75,0,114,459,47,460,190,308,459,460
BIBBHOWARD 6,149,0,85,0,6,45,1,121,0,1,0,52,0,0,159,0,173,526,59,814,234,558,526,814
BIBBHOWARD 7,153,1,96,0,5,56,1,197,0,0,2,89,0,1,225,0,278,568,69,1182,250,854,568,1182
BIBBNAN,13019,34,2650,28,92,1171,25,3405,8,5,27,1113,2,36,3531,2,5962,36787,1447,24043,15731,15379,36787,24043
BIBBRUTLAND 1,517,1,131,2,9,129,3,365,0,1,2,61,0,2,231,0,622,1315,57,2297,651,1425,1315,2297
BIBBRUTLAND 2,218,0,69,0,4,82,0,208,0,0,0,24,0,0,106,0,371,641,50,1378,287,795,641,1378
BIBBVINEVILLE 1,207,1,115,1,1,11,0,29,0,0,1,27,0,1,60,1,40,1233,95,581,324,171,1233,581
BIBBVINEVILLE 2,302,0,98,0,1,5,1,34,0,0,1,21,0,1,59,0,63,842,41,281,400,186,842,281
BIBBVINEVILLE 3,533,2,79,4,0,5,1,12,1,0,0,6,0,0,9,0,25,1485,18,126,618,59,1485,126
BIBBVINEVILLE 4,799,2,87,1,1,16,2,26,0,0,0,8,0,0,36,0,50,1944,31,223,889,139,1944,223
BIBBVINEVILLE 5,155,3,86,0,5,41,0,133,1,0,0,67,0,0,172,0,200,557,60,912,244,619,557,912
BIBBVINEVILLE 6,237,0,118,0,2,60,0,128,0,1,2,69,0,2,217,0,280,833,90,944,355,761,833,944
BIBBWARRIOR 1,223,0,57,0,1,41,0,162,0,0,0,9,0,2,90,1,313,554,32,1131,280,619,554,1131
BIBBWARRIOR 2,307,2,56,2,2,51,1,202,0,0,1,29,0,1,113,0,386,706,40,1333,367,786,706,1333
BLECKLEYFAIRGROUND,370,6,98,2,18,141,6,534,3,0,4,87,0,3,412,1,935,1101,123,3719,476,2144,1101,3719
BLECKLEYNAN,370,6,98,2,18,141,6,534,3,0,4,87,0,3,412,1,935,1101,123,3719,476,2144,1101,3719
BRANTLEYHOBOKEN,32,5,32,1,4,62,0,243,0,0,9,24,0,6,130,1,371,135,44,1863,70,850,135,1863
BRANTLEYNAHUNTA,62,7,57,2,10,80,1,184,1,1,6,12,0,6,118,0,415,274,31,2021,128,834,274,2021
BRANTLEYNAN,137,14,125,5,20,191,1,604,1,1,20,48,0,13,319,2,1163,619,106,5567,281,2383,619,5567
BRANTLEYWAYNESVILLE,43,2,36,2,6,49,0,177,0,0,5,12,0,1,71,1,377,210,31,1683,83,699,210,1683
BROOKSBARWICK/DRYLAKE,13,0,6,0,0,10,0,29,0,0,0,2,0,0,10,0,43,52,2,173,19,94,52,173
BROOKSDIXIE,101,1,19,0,0,12,0,44,0,0,0,2,0,0,25,0,79,347,9,316,121,162,347,316
BROOKSE.BROOKS/BRIGGS,54,1,47,0,2,30,0,111,0,0,3,18,0,0,64,0,282,234,22,1003,102,510,234,1003
BROOKSMORVEN,123,1,32,0,1,23,2,131,2,1,1,7,0,0,37,0,177,370,11,755,156,382,370,755
BROOKSNAN,726,6,198,2,12,118,4,476,2,1,5,52,0,1,267,0,1017,2528,89,3701,932,1955,2528,3701
BROOKSPAVO/WILLIAMS,22,1,11,0,0,9,1,36,0,0,1,4,0,1,14,0,70,85,5,249,34,136,85,249
BROOKSQUITMAN,397,2,76,2,8,25,1,91,0,0,0,16,0,0,89,0,236,1382,32,816,477,466,1382,816
BROOKSS.BROOKS/NANKIN,16,0,7,0,1,9,0,34,0,0,0,3,0,0,28,0,130,58,8,389,23,205,58,389
BRYANBLACK CREEK,72,1,29,0,3,29,0,156,1,0,0,3,0,0,64,0,269,283,38,1111,102,525,283,1111
BRYANDANIELSIDING,109,1,39,0,5,27,0,150,0,0,0,25,0,0,137,0,211,299,50,1004,149,555,299,1004
BRYANELLABELL,60,0,20,1,2,26,0,120,0,0,1,17,0,4,64,0,212,199,17,848,81,446,199,848
BRYANHWY 144 EAST,81,1,57,0,4,57,0,175,0,0,1,49,0,0,193,0,305,508,80,1389,139,784,508,1389
BRYANJ.F. GREGORY PARK,86,0,60,0,9,42,1,250,1,0,1,64,1,2,242,0,318,439,72,1440,146,931,439,1440
BRYANKELLER,107,1,95,2,8,62,1,254,2,0,0,55,0,0,262,0,353,596,91,1760,205,997,596,1760
BRYANNAN,895,8,502,8,40,337,4,1480,5,1,5,274,1,10,1295,0,2220,4014,542,10529,1413,5672,4014,10529
BRYANPEMBROKE,142,1,30,2,1,30,0,118,0,1,2,21,0,1,71,0,210,449,30,854,175,455,449,854
BRYANPUBLIC SAFETY COMPLEX,76,1,63,1,4,23,1,100,1,0,0,7,0,1,74,0,110,392,58,737,141,321,392,737
BRYANRH REC COMPLEX,84,0,75,2,2,31,1,89,0,0,0,26,0,0,128,0,139,512,74,871,161,416,512,871
BRYANWAYS STATION,78,2,34,0,2,10,0,68,0,0,0,7,0,2,60,0,93,337,32,515,114,242,337,515
BULLOCHBAY,29,0,15,0,1,30,0,148,0,0,1,15,0,2,49,0,192,104,23,766,44,438,104,766
BULLOCHBLITCH,86,0,49,0,7,49,0,149,0,0,0,46,0,0,119,0,220,304,28,946,135,590,304,946
BULLOCHBROOKLET,78,0,49,2,6,63,0,212,0,1,2,42,0,1,134,0,241,394,56,1317,129,702,394,1317
BULLOCHCHURCH,362,1,184,0,9,87,2,257,3,0,3,50,0,4,261,0,296,1552,121,1572,547,972,1552,1572
BULLOCHEMIT,110,0,71,0,3,57,0,177,1,0,2,24,0,2,123,0,227,460,59,1234,181,616,460,1234
BULLOCHFAIR,235,1,156,0,13,92,0,317,1,1,3,102,0,3,340,0,460,1183,144,2293,392,1332,1183,2293
BULLOCHHAGIN,118,0,39,1,3,36,0,111,1,0,0,17,1,0,89,0,236,464,22,863,158,494,464,863
BULLOCHLEEFIELD,28,0,14,0,1,16,0,71,0,0,1,0,0,2,35,1,110,74,8,488,42,237,74,488
BULLOCHLOCKHART,38,1,15,0,1,17,1,22,0,0,1,4,0,2,12,0,81,124,7,291,54,141,124,291
BULLOCHNAN,1916,7,1227,9,61,653,9,2149,8,5,18,447,1,20,1766,1,3115,9261,890,15097,3159,8253,9261,15097
BULLOCHNEVILS,43,0,14,0,3,16,1,90,0,1,2,8,0,0,52,0,116,150,13,522,57,289,150,522
BULLOCHPITTMAN PARK,160,1,379,1,1,43,1,116,0,1,0,39,0,2,165,0,127,1944,234,1108,541,495,1944,1108
BULLOCHPORTAL,101,0,21,3,3,29,1,61,0,0,0,13,0,0,55,0,192,284,16,698,125,354,284,698
BULLOCHREGISTER,49,1,19,0,0,19,0,58,0,0,0,6,0,0,40,0,57,191,13,312,69,180,191,312
BULLOCHSINKHOLE,10,0,5,0,0,11,0,31,0,0,1,3,0,1,30,0,80,46,2,267,15,157,46,267
BULLOCHSTATESBORO,429,0,156,2,6,60,2,208,0,1,2,60,0,1,189,0,279,1791,111,1565,587,808,1791,1565
BULLOCHSTILSON,40,2,41,0,4,28,1,121,2,0,0,18,0,0,73,0,201,196,33,855,83,448,196,855
BURKEALEXANDER,42,1,5,0,0,5,0,24,0,0,1,3,0,0,5,0,43,120,2,140,48,81,120,140
BURKEBLAKENEY,70,0,10,0,0,1,1,24,0,0,0,2,0,0,17,0,43,209,3,149,80,88,209,149
BURKEFOUR POINTS,126,2,25,1,2,39,0,162,0,0,1,2,0,1,45,0,201,385,20,826,154,453,385,826
BURKEGIRARD,89,0,5,2,1,1,0,22,0,0,0,0,0,0,12,0,57,247,2,191,96,93,247,191
BURKEGOUGH,84,0,10,0,0,6,0,17,0,0,0,3,0,0,3,0,35,180,3,97,94,64,180,97
BURKEGREENSCUT,67,0,10,0,2,6,0,75,0,0,1,5,0,0,25,0,103,240,6,363,77,217,240,363
BURKEKEYSVILLE,58,0,3,0,0,7,0,13,0,0,0,2,0,0,9,0,21,127,5,92,61,52,127,92
BURKEMIDVILLE,68,0,5,1,0,4,0,28,0,0,1,3,0,0,8,0,49,152,7,117,74,93,152,117
BURKEMUNNERLYN,29,0,4,0,0,1,0,17,0,0,0,1,0,0,3,0,34,72,6,94,33,56,72,94
BURKENAN,1660,6,185,4,25,162,1,803,1,1,7,56,0,5,375,0,1181,4731,129,4491,1855,2617,4731,4491
BURKENORTH WAYNESBORO,392,0,32,0,2,25,0,85,0,0,1,6,0,1,33,0,91,1287,22,404,424,244,1287,404
BURKESARDIS,71,0,6,0,4,7,0,43,0,0,0,2,0,0,26,0,86,238,8,337,77,168,238,337
BURKESCOTTS CROSSROADS,47,1,3,0,2,1,0,9,0,0,0,1,0,0,9,0,14,111,1,59,51,36,111,59
BURKESOUTH WAYNESBORO,280,2,38,0,7,41,0,186,0,1,2,20,0,3,147,0,268,843,29,1120,320,675,843,1120
BURKEST. CLAIR,77,0,8,0,2,8,0,18,0,0,0,1,0,0,8,0,36,138,2,128,85,73,138,128
BURKETELFAIR,109,0,14,0,2,8,0,49,1,0,0,3,0,0,18,0,80,281,13,279,123,161,281,279
BURKEVIDETTE,51,0,7,0,1,2,0,31,0,0,0,2,0,0,7,0,20,101,0,95,58,63,101,95
BUTTSBUTTS CO COMM CENTER,467,1,61,3,3,58,0,153,0,0,1,15,0,2,105,0,290,1225,58,1130,532,627,1225,1130
BUTTSJENKINSBURG,216,1,27,0,4,42,2,174,0,0,0,10,0,0,73,0,290,537,25,1039,244,595,537,1039
BUTTSNAN,922,6,191,9,19,245,5,1002,2,0,7,98,0,3,597,1,1884,2566,194,6717,1128,3863,2566,6717
BUTTSSTARK,37,1,35,3,3,50,1,231,1,0,3,20,0,0,149,0,547,163,25,1657,76,1005,163,1657
BUTTSTOWALIGA,157,3,47,3,6,61,1,279,1,0,1,43,0,0,190,0,452,497,64,1816,210,1034,497,1816
BUTTSWORTHVILLE,45,0,21,0,3,34,1,165,0,0,2,10,0,1,80,1,305,144,22,1075,66,602,144,1075
CALHOUNARLINGTON,112,0,6,0,1,5,0,14,0,0,0,2,0,0,10,0,39,307,3,107,118,71,307,107
CALHOUNEDISON,82,0,10,0,0,2,0,10,0,0,0,1,0,0,5,0,10,240,2,48,92,28,240,48
CALHOUNEDISON-ARLINGTON,96,0,20,1,0,5,0,14,0,0,1,7,0,0,18,0,34,228,2,159,117,79,228,159
CALHOUNLEARY,163,0,10,0,0,12,0,27,0,0,0,2,0,0,7,0,65,274,5,212,173,113,274,212
CALHOUNMORGAN,46,0,15,0,0,5,1,40,0,0,0,3,0,0,29,0,79,130,4,304,61,157,130,304
CALHOUNNAN,499,0,61,1,1,29,1,105,0,0,1,15,0,0,69,0,227,1179,16,830,561,448,1179,830
CAMDENBROWNTOWN,7,0,14,1,2,6,0,10,0,0,0,0,0,0,17,0,145,70,11,336,22,180,70,336
CAMDENEAST KINGSLAND,230,0,122,1,8,79,3,201,0,0,2,41,0,3,210,1,415,983,138,2075,353,963,983,2075
CAMDENHARRIETTS BLUFF,53,0,14,1,2,48,0,79,0,0,0,12,0,1,91,0,266,230,29,910,68,499,230,910
CAMDENKINGSLAND,70,0,50,0,4,23,1,46,2,1,0,14,0,0,55,1,172,376,44,700,120,319,376,700
CAMDENMARY LEE CLARK,139,2,93,0,0,48,1,114,1,0,3,26,0,3,94,1,201,620,78,1075,234,492,620,1075
CAMDENMUSH BLUFF,91,1,65,1,1,35,2,97,0,0,1,20,0,2,102,0,247,425,53,964,158,507,425,964
CAMDENNAN,1405,6,690,10,35,454,11,1181,6,2,16,297,1,21,1228,4,3073,5930,629,12310,2111,6329,5930,12310
