precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
EFFINGHAM2B,88,1,59,0,7,46,0,242,0,0,1,21,0,2,102,0,295,356,64,1335,148,716,356,1335
EFFINGHAM2C,75,2,52,2,7,56,1,257,0,0,4,32,0,4,147,0,327,463,53,1643,131,835,463,1643
EFFINGHAM3A,38,1,14,1,3,19,0,91,0,0,1,10,0,0,58,0,122,162,18,569,54,304,162,569
EFFINGHAM3B,113,1,27,3,1,29,0,90,1,1,0,9,0,0,49,0,114,336,24,541,144,294,336,541
EFFINGHAM3C,70,0,20,1,4,35,0,134,0,1,2,9,0,6,86,1,170,226,20,824,91,448,226,824
EFFINGHAM3D,102,1,61,2,4,30,0,180,1,0,2,19,0,0,96,1,218,427,49,1124,166,551,427,1124
EFFINGHAM4A,82,1,37,1,4,43,0,267,2,0,0,19,0,1,130,1,253,353,64,1432,121,720,353,1432
EFFINGHAM4B-1,76,0,16,1,0,11,0,49,0,0,2,2,0,1,12,0,42,195,8,207,93,119,195,207
EFFINGHAM4B-12,22,0,20,0,2,12,0,69,0,1,0,8,0,3,29,0,86,111,15,429,42,210,111,429
EFFINGHAM4C,40,0,33,0,1,36,0,199,1,0,0,10,0,4,79,0,223,190,54,1213,73,553,190,1213
EFFINGHAM5A,61,0,42,2,4,43,0,239,0,0,3,22,0,4,103,1,265,283,44,1296,105,684,283,1296
EFFINGHAM5B,149,1,68,1,7,48,0,240,2,1,0,45,0,3,123,1,241,648,61,1457,219,711,648,1457
EFFINGHAM5C,49,0,27,0,1,38,1,152,0,0,1,27,0,1,93,0,162,219,35,741,76,476,219,741
EFFINGHAMNAN,1179,12,621,17,59,609,2,3094,8,5,19,305,1,34,1490,6,3650,4853,679,17874,1829,9282,4853,17874
ELBERTCENTERVILLE,49,0,24,0,1,25,1,77,0,0,3,13,0,0,49,0,144,126,10,503,73,313,126,503
ELBERTELBERTON,355,2,87,1,9,30,0,108,1,0,1,55,1,0,154,3,301,1145,45,1149,445,663,1145,1149
ELBERTELIAM,31,1,13,0,2,17,0,59,1,0,1,12,0,0,42,0,120,105,7,421,45,254,105,421
ELBERTGAINES,14,0,9,0,1,7,0,41,0,0,0,7,0,0,36,0,94,36,5,313,23,186,36,313
ELBERTGOSHEN,53,0,32,1,1,26,0,133,0,0,0,11,0,1,52,0,178,211,18,768,86,402,211,768
ELBERTLONGSTREET,21,0,8,0,1,20,0,54,0,0,0,15,0,0,34,0,88,98,6,335,29,212,98,335
ELBERTMOSS-RUCKERSVILLE,31,0,15,1,0,6,0,23,0,0,0,3,0,0,14,0,65,93,6,204,47,111,93,204
ELBERTNAN,818,6,258,5,27,173,1,721,3,1,7,150,1,4,562,4,1402,2539,139,5292,1087,3056,2539,5292
ELBERTPETERSBURG,13,0,11,0,1,8,0,25,0,0,0,9,0,0,21,0,59,52,4,205,24,123,52,205
ELBERTPIKE,146,3,35,2,6,19,0,110,0,1,1,7,0,2,67,0,135,381,22,628,186,348,381,628
ELBERTWEBBSBORO,25,0,6,0,1,6,0,22,0,0,0,5,0,0,17,0,64,66,10,213,31,115,66,213
ELBERTWYCHE,80,0,18,0,4,9,0,69,1,0,1,13,0,1,76,1,154,226,6,553,98,329,226,553
EMANUELADRIAN,20,0,7,0,1,14,0,39,1,0,1,9,0,0,19,0,121,68,2,401,27,205,68,401
EMANUELBLUNDALE,3,1,5,0,2,24,0,67,0,0,1,1,1,0,54,0,118,22,3,466,9,268,22,466
EMANUELCANOOCHEE,47,0,3,0,0,10,0,41,1,0,1,6,0,1,25,0,104,83,4,336,50,189,83,336
