precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
PUTNAM4C POPLAR GROVE,15,0,6,1,1,0,23,0,0,0,0,3,0,0,22,0,31,48,0,0,0,0,4,0,0,0,0,0,0,116,0,21,81,48,116
PUTNAM5A COOKEVILLE CC,40,1,48,2,40,0,121,0,0,0,2,9,0,0,67,0,120,186,1,0,1,0,24,1,0,1,0,2,8,642,0,89,361,186,642
PUTNAM5C PRESCOTT SOUTH,69,0,68,2,62,0,203,2,0,0,1,31,0,0,116,0,251,275,0,0,1,1,35,3,0,1,0,7,7,1089,0,137,668,275,1089
PUTNAM5F DRY VALLEY,55,0,23,1,18,0,75,0,0,0,0,9,0,0,35,0,77,143,0,0,1,0,14,1,0,2,0,2,2,333,0,78,215,143,333
PUTNAM6A CANE CREEK,180,3,148,9,53,0,189,0,0,0,1,31,1,4,117,0,258,608,0,0,8,2,68,3,0,4,0,6,25,1239,0,331,663,608,1239
PUTNAM7A BURGESS FALLS,137,1,117,5,76,1,254,1,0,0,3,59,0,0,168,2,315,487,3,0,4,5,52,1,0,2,0,8,7,1410,0,255,884,487,1410
PUTNAM7D TWIN OAK,43,0,22,7,29,1,111,0,0,0,0,6,0,0,56,0,182,124,0,0,0,2,21,1,0,3,0,4,1,668,0,65,392,124,668
PUTNAM8D BOMA,36,1,31,1,15,0,61,1,0,0,1,11,0,0,28,0,108,101,0,0,1,0,10,0,0,0,0,2,7,421,0,68,226,101,421
PUTNAM8E BUFFALO VALLEY,13,0,7,0,5,0,20,0,0,0,0,2,0,0,11,0,45,29,0,0,0,0,2,1,0,2,0,0,0,123,0,20,83,29,123
PUTNAM8F CORNERSTONE,65,0,44,2,31,1,123,0,0,0,1,9,0,0,43,0,203,200,0,0,3,0,18,0,0,4,0,0,10,886,0,109,413,200,886
PUTNAM8G UPPERMAN,37,1,17,0,26,0,46,0,0,0,2,8,0,0,16,0,82,108,0,0,1,0,11,3,0,0,0,0,4,403,0,55,180,108,403
PUTNAM9B DOUBLE SPRINGS,120,1,119,6,88,0,260,0,0,0,2,25,0,1,127,0,363,474,1,0,1,1,69,1,0,4,0,8,15,1662,0,240,872,474,1662
RHEA1-2 GRANDVIEW,27,1,7,3,9,0,35,0,0,0,1,7,1,2,25,0,80,59,0,0,3,0,3,0,0,0,0,2,1,283,0,35,163,59,283
RHEA3-1 WOLF CREEK,19,2,17,4,23,2,77,0,0,0,0,13,0,0,52,0,154,73,0,0,1,0,11,1,0,3,0,3,1,578,0,38,325,73,578
RHEA3-2 EVENSVILLE NORTH,27,0,14,7,30,0,72,0,0,0,1,18,0,0,45,1,197,116,0,0,4,0,10,0,0,0,0,2,0,611,0,41,371,116,611
RHEA4-1 EVENSVILLE SOUTH,37,1,30,11,41,0,111,0,0,1,3,17,0,3,103,2,289,174,0,0,2,0,19,1,0,9,0,4,3,909,0,68,581,174,909
RHEA5-1 DAYTON NORTH,49,0,34,4,35,0,91,1,0,0,1,14,0,3,90,0,132,184,0,0,1,0,25,2,0,14,0,8,5,576,0,83,371,184,576
RHEA6-1 DAYTON WEST,45,1,27,10,43,0,75,0,1,0,1,13,0,0,60,0,149,188,3,0,6,0,20,2,0,6,0,1,4,578,0,73,352,188,578
RHEA7-1 FRAZIER,66,3,57,16,63,2,135,0,0,0,4,31,0,1,178,1,328,238,1,0,1,0,24,1,0,18,0,8,5,1260,0,126,759,238,1260
RHEA8-1 GARRISON,62,1,39,7,65,1,161,1,0,0,4,24,0,3,210,1,256,245,3,0,1,0,34,3,0,32,0,6,6,1146,0,102,733,245,1146
RHEA9-1 GRAYSVILLE,13,1,24,1,7,2,30,1,0,0,0,7,0,0,24,1,84,94,0,0,2,0,12,0,0,0,0,3,1,354,0,38,157,94,354
RHEA9-2 WALDENS RIDGE,22,1,23,5,50,1,89,1,0,0,2,13,0,0,62,0,145,90,3,0,2,0,11,0,0,4,0,1,0,555,0,46,368,90,555
ROANECAVE CREEK,99,0,41,11,41,1,150,0,0,0,0,15,0,0,78,0,273,166,4,0,5,0,29,3,0,0,0,1,5,747,0,140,569,166,747
ROANECHEROKEE,23,0,18,3,6,0,39,0,0,0,3,13,0,1,41,0,68,74,0,0,4,0,19,1,0,0,0,6,1,276,0,41,174,74,276
ROANEDYLLIS,39,1,29,3,28,0,113,0,0,0,0,13,0,0,68,0,140,160,5,0,3,0,17,5,0,0,0,2,0,703,0,69,365,160,703
ROANEEMORY,29,2,32,3,26,0,61,0,0,0,0,7,0,0,49,0,100,112,0,0,0,0,7,0,0,0,0,2,3,447,0,63,246,112,447
ROANEEMORY HEIGHTS,18,1,20,0,22,0,55,0,1,0,2,3,0,0,27,0,95,89,0,0,3,0,11,0,0,0,0,1,2,416,0,39,205,89,416
ROANEEUREKA,84,2,29,3,29,1,120,1,0,0,1,18,0,0,79,0,209,265,2,0,2,0,17,4,0,0,0,4,4,818,0,115,461,265,818
ROANEFAIRVIEW,42,0,49,4,39,2,103,0,0,1,2,41,0,1,88,1,186,187,2,0,1,0,32,2,0,0,0,0,8,813,0,91,468,187,813
ROANEGLEN ALICE,36,0,19,3,8,0,45,0,0,0,1,14,0,0,32,0,93,95,2,0,3,0,9,0,0,0,0,3,1,397,0,55,196,95,397
ROANEHARRIMAN WARD 1,97,3,43,2,29,1,60,0,0,0,0,15,0,0,41,2,159,316,1,0,5,0,29,2,0,0,0,4,11,768,0,143,309,316,768
ROANEJOHNSON SCH HOUSE,19,1,3,1,11,0,35,0,0,0,0,1,0,0,15,0,50,31,0,0,1,0,3,1,0,0,0,3,1,221,0,23,113,31,221
ROANEKINGSTON WARD 1,113,1,91,15,75,2,169,2,0,0,5,47,0,0,212,1,374,488,6,0,4,0,62,5,0,0,0,12,11,1728,0,205,902,488,1728
ROANEKINGSTON WARD 2,112,0,70,12,57,1,148,0,1,0,0,16,0,1,100,1,244,359,2,0,4,0,37,0,0,0,0,9,3,1095,0,182,581,359,1095
ROANELAWNVILLE,71,0,56,7,37,0,136,0,0,0,3,21,0,0,123,0,243,255,8,0,3,0,55,2,0,0,0,2,3,1081,0,127,570,255,1081
ROANEMIDTOWN,42,3,21,2,19,0,56,1,0,0,1,12,0,1,27,1,108,133,1,0,3,0,15,2,0,0,0,4,0,453,0,66,228,133,453
ROANEMIDWAY,19,0,19,1,13,0,43,0,0,0,1,7,0,0,16,0,83,55,0,0,1,0,6,0,0,0,0,0,2,301,0,38,164,55,301
ROANEOAK HILLS,231,3,155,8,45,1,126,0,0,0,0,90,0,1,216,0,171,779,11,0,5,0,81,3,0,0,0,7,16,859,0,389,658,779,859
ROANEOLIVER SPRINGS,7,2,14,0,7,0,25,0,0,0,0,2,0,0,15,0,45,51,0,0,1,0,4,2,0,0,0,2,0,228,0,23,94,51,228
ROANEORCHARD VIEW,61,1,35,0,32,0,124,0,1,0,0,19,0,0,82,0,178,191,2,0,1,0,40,2,0,0,0,5,7,906,0,97,436,191,906
ROANEPAINT ROCK,18,0,21,3,14,0,42,0,0,0,0,3,0,2,37,0,91,68,6,0,2,0,16,0,0,0,0,4,9,384,0,39,192,68,384
ROANEPAW PAW,23,1,21,1,17,0,84,1,0,0,1,13,0,1,47,0,126,94,2,0,0,0,13,1,0,0,0,2,2,494,0,45,291,94,494
ROANERENFRO,45,0,21,2,24,1,65,1,0,0,1,24,1,1,65,0,144,136,2,0,0,0,14,1,0,0,0,1,3,556,0,66,329,136,556
ROANEROCKWOOD WARD 1,52,3,28,3,22,2,49,0,0,0,0,1,0,1,29,0,78,170,3,0,4,0,22,1,0,0,0,4,1,445,0,83,185,170,445
ROANEROCKWOOD WARD 2,127,1,55,9,30,1,113,0,0,0,0,14,0,0,66,0,215,355,8,0,2,0,34,1,0,0,0,7,5,968,0,183,448,355,968
ROANESOUTH HARRIMAN,48,1,27,5,30,0,83,0,0,0,1,4,0,1,77,0,164,208,0,0,3,0,24,2,0,0,0,2,4,776,0,76,365,208,776
ROBERTSON10-1 SOUTH HAVEN,185,1,71,7,52,2,214,2,0,0,0,42,0,0,154,0,315,615,0,0,10,0,60,2,0,3,0,11,16,1420,0,257,788,615,1420
ROBERTSON11-1 WESTSIDE,151,1,55,5,58,1,186,0,0,0,1,23,0,0,103,0,253,520,0,0,3,0,43,2,0,3,0,7,11,1142,0,207,630,520,1142
ROBERTSON11-2 HEADS,31,0,5,1,10,0,67,0,0,0,0,1,0,0,30,1,74,77,0,0,0,0,10,0,0,0,0,0,0,338,0,36,184,77,338
ROBERTSON12-1 BRANSFORD,215,0,47,1,7,1,36,0,0,0,1,2,0,0,13,0,56,901,0,0,2,0,18,1,0,0,0,1,3,250,0,262,117,901,250
ROBERTSONPAPER BALLOTS,41,2,15,9,5,0,23,0,0,0,0,1,0,1,25,0,46,181,0,0,0,0,20,0,0,0,0,2,6,308,0,58,110,181,308
SCOTT1-1 FAIRVIEW,51,0,27,2,14,0,62,0,0,0,1,3,0,0,39,0,133,141,0,0,2,0,13,2,0,0,0,3,3,797,0,78,254,141,797
SCOTT2-1 ELGIN,28,2,12,3,7,0,30,0,0,0,2,3,0,0,19,0,66,68,0,0,2,0,3,0,0,0,0,3,1,345,0,42,130,68,345
SCOTT2-2 ROBBINS,25,0,6,1,14,0,55,1,0,0,0,9,0,0,31,1,71,61,0,0,0,0,8,0,0,0,0,1,1,389,0,31,183,61,389
SCOTT3-1 HUNTSVILLE,24,0,23,2,18,1,58,0,0,1,0,3,0,0,42,0,97,125,0,0,2,0,10,1,0,0,0,2,1,622,0,47,222,125,622
SCOTT3-2 PAINT ROCK,5,0,7,0,3,0,17,0,0,0,1,6,0,0,9,0,41,22,0,0,0,0,6,0,0,0,0,1,0,163,0,12,77,22,163
SCOTT4-1 HELENWOOD,33,2,14,4,18,0,82,0,1,0,3,14,0,3,87,0,165,137,0,0,0,0,9,0,0,0,0,2,3,944,0,49,377,137,944
SCOTT5-2 WINFIELD,25,2,8,0,5,0,35,0,0,0,2,4,0,0,21,0,108,70,0,0,1,0,6,0,0,0,0,1,1,568,0,35,175,70,568
SCOTT6-1 ONEIDA,35,1,34,1,21,0,52,1,0,0,0,13,0,0,64,0,146,138,0,0,1,0,5,0,0,0,0,2,5,787,0,70,298,138,787
SCOTT7-1 WEST ONEIDA,31,0,36,3,23,0,91,1,0,0,1,20,0,0,73,1,205,124,0,0,2,0,16,3,0,0,0,12,6,1110,0,67,418,124,1110
SEQUATCHIE1 LEWIS CHAPEL,22,1,35,0,27,0,69,0,0,1,2,5,0,0,41,0,145,107,2,0,3,0,16,0,0,3,0,4,2,618,0,58,290,107,618
SEQUATCHIE2 CAGLE,24,1,17,1,26,0,56,1,0,0,0,4,0,0,49,0,100,87,0,0,2,0,16,0,0,0,0,1,2,486,0,42,237,87,486
SEQUATCHIE3 COURTHOUSE,32,0,16,1,18,0,39,0,0,0,1,7,0,0,35,0,83,109,0,0,0,0,9,0,0,1,0,2,3,380,0,48,184,109,380
SEQUATCHIE4 ELECTRIC CO-OP,32,0,16,0,12,0,23,0,0,0,0,2,0,1,12,0,81,128,0,0,1,0,12,1,0,1,0,2,3,331,0,48,131,128,331
SEQUATCHIE5 CHAPEL HILL,38,1,21,3,45,2,61,0,0,0,5,11,0,1,39,0,138,117,0,0,1,0,17,1,0,2,0,4,7,692,0,60,305,117,692
SEQUATCHIE6 DAUS,29,0,13,0,13,0,40,0,0,0,0,1,0,0,31,0,112,93,0,0,0,0,13,0,0,0,0,2,0,419,0,42,197,93,419
SEQUATCHIE7 JUSTICE CENTER,37,1,12,1,22,0,29,0,0,0,0,7,0,0,40,1,111,126,0,0,1,0,9,1,0,0,0,1,3,436,0,50,211,126,436
SEQUATCHIE8 LONE OAK,23,0,35,4,14,3,58,0,0,0,0,11,0,0,65,0,138,137,0,0,1,0,20,1,0,1,0,1,1,562,0,58,293,137,562
SEQUATCHIE9 FREDONIA,36,0,41,2,22,0,62,0,0,0,0,18,0,2,49,0,139,149,1,0,0,0,16,0,0,0,0,0,4,517,0,77,294,149,517
SEVIER1-1 CATON'S CHAPEL,54,0,51,13,37,3,167,0,0,0,4,33,0,1,145,1,374,276,0,0,1,0,36,2,0,2,0,5,13,1342,0,105,778,276,1342
SEVIER1-2 CATON'S CHAPEL,1,0,1,1,2,0,1,0,0,0,0,2,0,0,2,0,10,6,0,0,0,0,0,0,0,0,0,0,1,33,0,2,18,6,33
SEVIER1-3 JONES COVE,28,0,32,3,31,0,121,0,0,0,1,13,0,0,51,2,217,144,2,0,2,0,14,2,0,2,0,4,2,806,0,60,439,144,806
SEVIER1-4 JONES COVE,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,11,6,0,0,0,0,2,1,0,1,0,0,0,49,0,0,23,6,49
SEVIER10-1 BOYDS CREEK,51,0,55,5,72,0,218,0,0,0,1,33,0,0,159,0,340,281,0,0,1,0,53,2,0,10,0,1,9,1487,0,106,828,281,1487
SEVIER10-2 WHITES,7,0,21,1,15,0,46,0,0,0,0,9,0,0,27,1,96,67,2,0,0,0,8,0,0,0,0,0,3,351,0,28,195,67,351
SEVIER10-3 DUPONT,24,0,37,3,37,1,101,0,0,0,2,10,0,1,61,0,198,140,0,0,0,0,18,0,0,4,0,1,5,651,0,61,414,140,651
SEVIER11-1 GATLINBURG,134,1,126,8,61,1,170,0,0,0,4,57,0,4,228,1,447,620,0,0,3,0,61,1,0,2,0,2,30,1719,0,261,981,620,1719
SEVIER11-2 PITTMAN CENTER,29,0,37,2,22,0,56,0,0,0,1,18,0,1,66,0,178,169,0,0,0,0,19,0,0,0,0,1,6,555,0,66,344,169,555
SEVIER2-1 WEARWOOD,74,1,58,7,71,5,190,1,0,0,1,58,0,1,172,1,382,281,0,0,5,0,23,3,0,7,0,12,7,1382,0,133,889,281,1382
SEVIER2-2 WALDENS CREEK,50,0,54,6,28,0,144,0,0,0,1,14,0,0,124,0,334,242,2,0,0,0,31,2,0,0,0,2,12,1118,0,104,651,242,1118
SEVIER3-1 NEW CENTER,29,0,32,10,45,2,79,1,0,0,0,16,0,1,72,0,250,178,1,0,1,0,25,0,0,1,0,3,3,830,0,61,476,178,830
SEVIER3-2 HARRISBURG,57,1,42,11,72,0,234,1,0,0,2,22,1,0,188,1,464,288,2,0,1,0,44,2,0,8,0,1,5,1605,0,100,996,288,1605
SEVIER4-1 PIGEON FORGE,112,2,120,19,104,2,348,1,0,1,5,47,2,2,349,2,830,621,0,0,2,0,103,5,0,5,0,9,19,3113,0,234,1712,621,3113
SEVIER5-1 SEVIERVILLE,90,0,88,20,70,2,174,2,1,1,1,70,0,2,249,1,499,480,1,0,2,1,54,0,0,5,0,6,20,1824,0,178,1092,480,1824
SEVIER5-2 SENIOR CENTER,63,1,47,13,50,1,113,0,0,1,6,23,1,2,140,0,303,279,0,0,2,0,35,1,0,4,0,4,4,1027,0,111,653,279,1027
SEVIER6-1 SEYMOUR,113,2,120,9,130,0,417,1,0,0,3,60,0,4,370,1,703,611,0,0,3,0,101,2,0,17,0,9,23,2921,0,235,1698,611,2921
SEVIER7-1 CATLETTSBURG,15,0,12,3,6,1,39,0,0,0,0,4,0,1,33,0,124,64,0,0,0,0,7,1,0,0,0,1,2,431,0,27,211,64,431
SEVIER7-2 CATLETTSBURG,59,0,64,12,36,1,125,0,0,0,1,20,0,0,137,0,306,238,2,0,0,0,44,3,0,4,0,0,10,1100,0,123,638,238,1100
SEVIER7-3 WALNUT GROVE,29,1,28,4,18,0,54,0,3,0,1,18,0,0,51,0,124,126,0,0,1,0,21,2,0,0,0,1,10,516,0,58,273,126,516
SEVIER8-1 KODAK,78,6,62,10,58,0,213,2,0,0,1,46,0,3,188,1,604,359,0,0,4,0,51,4,0,3,0,6,9,2094,0,146,1126,359,2094
SEVIER8-2 KODAK,12,0,3,0,5,0,35,0,0,0,4,4,0,0,15,0,52,31,0,0,1,0,6,0,0,1,0,0,0,189,0,15,115,31,189
SEVIER8-3 UNDERWOOD,52,0,30,2,29,2,108,0,0,0,1,12,0,5,74,0,290,209,0,0,3,0,41,1,0,6,0,5,3,987,0,82,523,209,987
SEVIER9-1 SEYMOUR PRIMARY,100,3,121,12,97,2,315,1,0,0,6,45,0,2,265,1,552,581,1,0,5,1,118,2,0,11,0,5,16,2499,0,224,1298,581,2499
SHELBYARLINGTON 01,208,1,95,2,107,0,503,0,0,0,2,63,0,6,266,0,400,910,4,0,3,0,117,3,0,31,0,5,12,2718,0,304,1349,910,2718
SHELBYARLINGTON 02,151,1,57,1,56,1,239,0,0,0,1,19,0,2,136,0,206,508,2,0,1,0,63,1,0,18,0,2,9,1365,0,209,661,508,1365
SHELBYBARTLETT 03,109,1,70,8,65,2,325,1,0,0,2,52,0,0,228,0,308,449,4,0,3,0,74,1,0,15,0,3,11,1699,0,180,991,449,1699
SHELBYBARTLETT 04,312,1,107,3,62,0,389,0,0,0,1,39,0,2,207,0,336,1120,2,0,3,1,65,1,0,22,0,9,12,1867,0,420,1039,1120,1867
SHELBYBARTLETT 05,197,0,100,7,65,2,347,1,1,0,2,49,0,0,241,2,342,862,2,0,7,0,88,1,0,21,0,2,16,1918,0,297,1059,862,1918
SHELBYBARTLETT 06,132,2,116,7,64,0,293,0,0,0,0,36,0,2,145,0,270,686,5,0,2,0,68,4,0,8,0,5,31,1420,0,250,817,686,1420
SHELBYBARTLETT 08,187,0,154,13,81,2,428,0,0,0,4,84,0,5,294,0,446,886,1,0,4,0,130,6,0,13,0,8,32,2553,0,341,1357,886,2553
SHELBYBARTLETT 09,164,2,118,16,87,2,408,0,2,0,5,56,0,3,245,0,389,649,5,0,1,0,89,6,0,21,0,4,15,2137,0,284,1213,649,2137
SHELBYBARTLETT 11,86,0,83,6,63,0,301,2,0,0,0,32,0,2,197,0,311,407,0,0,2,0,60,2,0,12,0,5,4,1531,0,169,914,407,1531
SHELBYBARTLETT 13,473,3,122,3,80,1,293,0,0,0,1,38,0,1,205,0,265,1630,4,0,3,0,74,4,0,18,0,9,18,1567,0,598,887,1630,1567
SHELBYBRUNSWICK 01,131,1,58,1,53,1,253,0,0,0,1,34,0,1,166,0,211,509,3,0,3,0,47,2,0,12,0,3,7,1205,0,190,721,509,1205
SHELBYBRUNSWICK 02,403,2,98,4,62,0,325,0,0,0,1,35,0,1,250,0,273,1330,2,0,4,0,82,3,0,25,0,6,8,1647,0,503,951,1330,1647
SHELBYCOLLIERVILLE 01,119,1,77,11,90,2,515,0,0,0,4,65,0,3,324,1,391,645,4,0,2,0,119,0,0,30,0,15,6,2571,0,197,1406,645,2571
SHELBYCOLLIERVILLE 02,296,2,62,12,50,0,208,0,0,1,0,77,0,2,270,0,240,1235,2,0,5,0,55,4,0,12,0,12,12,1573,0,360,860,1235,1573
SHELBYCOLLIERVILLE 03,129,2,63,8,94,0,426,3,0,0,0,58,0,1,241,0,361,511,1,0,2,0,96,3,0,14,0,18,13,2075,0,194,1192,511,2075
SHELBYCOLLIERVILLE 04,127,0,72,5,75,1,399,0,0,0,2,109,0,3,368,1,381,670,2,0,6,0,77,1,0,18,0,9,14,2167,0,199,1344,670,2167
SHELBYCOLLIERVILLE 05,65,1,50,2,54,0,218,0,0,0,1,36,0,1,169,0,214,328,2,0,0,0,59,0,0,11,0,3,8,1338,0,116,695,328,1338
SHELBYCOLLIERVILLE 06,103,1,40,5,32,0,279,1,0,0,1,91,0,0,356,0,257,516,3,0,1,0,58,1,0,12,0,0,8,1676,0,144,1022,516,1676
SHELBYCOLLIERVILLE 07,485,1,106,3,37,0,172,0,0,0,0,37,0,0,149,0,141,1479,0,0,4,0,46,2,0,9,0,2,6,948,0,592,539,1479,948
SHELBYCOLLIERVILLE 08,86,0,28,12,35,0,223,0,0,1,0,45,0,1,260,1,175,386,0,0,0,0,55,1,0,12,0,6,4,1238,0,114,753,386,1238
SHELBYCOLLIERVILLE 09,135,0,49,12,53,0,361,0,0,0,0,60,0,3,339,0,308,604,2,0,3,3,96,2,0,16,0,3,10,1981,0,184,1136,604,1981
SHELBYCORDOVA 03,500,0,143,6,41,0,270,0,1,0,0,56,1,1,240,0,221,1842,6,0,4,0,59,6,0,13,0,6,27,1360,0,643,837,1842,1360
SHELBYCORDOVA 04,170,2,46,4,22,0,134,0,1,0,2,23,0,1,70,0,99,653,2,0,2,0,21,3,0,18,0,7,6,603,0,218,356,653,603
SHELBYCORDOVA 05,361,2,144,2,38,0,107,0,0,0,0,18,0,1,65,0,112,1449,0,0,10,0,54,3,0,6,0,3,11,673,0,507,343,1449,673
SHELBYEADS,95,0,28,3,39,0,190,0,0,0,0,36,0,0,117,0,196,328,1,0,3,0,25,0,0,3,0,1,9,987,0,123,581,328,987
SHELBYFOREST HILLS 01,239,2,76,1,38,0,135,0,0,0,0,54,0,1,112,0,199,907,1,0,1,0,29,2,0,4,0,0,8,840,0,317,540,907,840
SHELBYFOREST HILLS 02,189,0,32,1,7,0,37,0,0,0,0,13,0,0,35,0,44,583,0,0,1,0,13,2,0,1,0,0,2,318,0,221,137,583,318
SHELBYFOREST HILLS 03,726,4,112,1,11,0,51,0,1,0,0,10,0,1,20,0,41,2130,0,0,2,0,17,1,0,8,0,3,8,275,0,842,136,2130,275
SHELBYGERMANTOWN 02,185,0,111,21,56,2,351,1,0,0,0,119,1,2,391,0,338,915,9,0,7,0,106,1,0,25,0,8,28,2125,0,296,1282,915,2125
SHELBYGERMANTOWN 03,125,1,99,12,53,2,256,0,1,0,2,106,0,1,273,0,279,695,0,0,4,0,92,0,0,20,0,8,12,1592,0,225,985,695,1592
SHELBYGERMANTOWN 04,167,0,114,13,67,0,375,2,0,0,0,155,1,4,448,1,351,928,3,0,4,0,112,2,0,22,0,5,16,2308,0,281,1417,928,2308
SHELBYGERMANTOWN 05,224,2,157,11,62,2,394,1,0,0,3,132,0,3,437,0,362,1094,1,0,2,0,120,3,0,40,0,5,25,2248,0,383,1407,1094,2248
SHELBYGERMANTOWN 06,147,0,67,8,36,1,213,1,0,0,0,69,0,0,225,0,208,706,1,0,1,0,79,0,0,10,0,9,5,1250,0,214,761,706,1250
SHELBYGERMANTOWN 08,127,0,75,7,37,0,201,0,0,0,1,65,0,0,268,1,218,481,4,0,1,0,52,2,0,20,0,4,9,1137,0,202,798,481,1137
SHELBYGERMANTOWN 10,138,1,67,11,45,4,258,0,0,0,2,101,0,0,313,0,281,645,0,0,2,0,84,1,0,7,0,4,5,1567,0,206,1015,645,1567
SHELBYGERMANTOWN 11,127,1,62,8,45,2,284,0,0,0,1,111,0,0,496,0,369,766,1,0,2,0,95,2,0,14,0,3,7,2124,0,190,1316,766,2124
SHELBYGERMANTOWN 12,45,0,25,3,20,1,92,0,0,0,1,39,0,2,171,0,119,244,0,0,1,0,29,0,0,7,0,0,0,687,0,70,448,244,687
SHELBYLAKELAND 01,190,0,70,5,101,0,585,1,0,0,1,79,0,0,395,2,588,915,3,0,5,0,100,5,0,22,0,7,16,3064,0,260,1757,915,3064
SHELBYLAKELAND 02,84,0,66,2,51,0,234,0,1,0,2,33,0,1,144,1,217,417,0,0,8,0,46,0,0,8,0,4,13,1155,0,150,686,417,1155
SHELBYLUCY 01,120,0,39,2,30,3,108,1,0,0,0,11,0,1,50,1,123,338,0,0,3,0,20,0,0,3,0,5,3,578,0,159,330,338,578
SHELBYLUCY 03,155,2,29,3,19,0,54,1,0,0,2,4,0,1,31,0,91,520,1,0,2,0,25,1,0,0,0,3,6,443,0,186,206,520,443
SHELBYMCCONNELL'S,232,0,33,3,16,1,60,0,0,0,1,10,0,0,31,1,120,827,2,0,3,0,13,0,0,3,0,3,1,455,0,265,243,827,455
SHELBYMEMPHIS 01,578,0,204,6,22,0,66,0,0,1,0,73,0,2,167,0,114,2057,2,0,5,0,104,1,0,21,0,6,17,706,0,782,451,2057,706
SHELBYMEMPHIS 02,440,1,216,10,17,0,54,0,0,0,0,55,0,0,154,0,103,1811,0,0,1,0,102,2,0,11,0,4,19,608,0,657,393,1811,608
SHELBYMEMPHIS 11,367,0,29,0,1,0,7,0,0,0,1,2,0,0,3,0,7,1116,1,0,4,0,7,4,0,3,0,2,5,54,0,396,21,1116,54
SHELBYMEMPHIS 12,212,0,28,0,1,0,0,0,0,0,0,2,0,0,1,0,3,530,0,0,0,0,3,1,0,0,0,0,0,12,0,240,7,530,12
SHELBYMEMPHIS 13,353,1,29,0,0,0,0,0,0,0,0,1,0,0,1,0,1,963,0,0,2,0,4,2,0,0,0,1,0,19,0,383,3,963,19
SHELBYMEMPHIS 16-1,589,0,458,8,15,1,94,1,0,0,0,103,0,1,202,0,99,1951,0,0,5,0,103,0,0,14,0,2,36,615,0,1047,524,1951,615
SHELBYMEMPHIS 16-3,359,1,245,1,21,1,55,1,1,0,0,34,0,0,97,0,73,1329,0,0,0,0,53,0,0,4,0,3,21,380,0,605,284,1329,380
SHELBYMEMPHIS 17,200,3,200,1,4,0,24,2,0,0,0,11,0,0,38,0,46,837,0,0,2,0,49,2,0,4,0,0,28,171,0,403,126,837,171
SHELBYMEMPHIS 20-1,511,2,409,3,14,1,85,0,0,1,0,53,0,1,148,1,86,1585,3,0,3,0,88,2,0,10,0,6,35,421,0,922,393,1585,421
SHELBYMEMPHIS 20-3,619,1,92,1,8,0,13,0,0,0,1,7,0,0,12,0,20,1857,0,0,4,0,24,4,0,4,0,3,14,102,0,712,62,1857,102
SHELBYMEMPHIS 21,588,6,62,1,7,1,3,0,0,0,0,2,0,0,6,0,5,1490,1,0,1,0,10,3,0,0,0,0,11,44,0,656,25,1490,44
SHELBYMEMPHIS 26,583,2,54,3,1,0,0,0,0,0,0,0,0,0,2,0,4,1407,0,0,1,0,2,5,0,0,0,5,5,41,0,639,10,1407,41
SHELBYMEMPHIS 28,240,3,207,6,5,0,56,1,0,0,1,28,1,2,74,0,68,881,0,0,5,0,46,4,0,7,0,1,22,327,0,450,242,881,327
SHELBYMEMPHIS 31-2,401,0,259,0,5,0,24,0,0,0,2,16,0,0,22,0,24,1299,1,0,3,0,43,1,0,3,0,0,35,145,0,660,93,1299,145
SHELBYMEMPHIS 31-4,567,2,196,0,5,0,15,0,0,0,0,5,0,0,19,0,19,1552,0,0,4,0,30,2,0,0,0,0,20,120,0,765,63,1552,120
SHELBYMEMPHIS 33,117,1,114,1,6,0,19,0,0,0,1,10,0,1,48,0,24,397,2,0,2,0,25,2,0,14,0,1,21,123,0,232,110,397,123
SHELBYMEMPHIS 34-2,351,1,34,0,1,0,1,0,0,0,0,2,0,0,0,0,2,979,0,0,1,0,2,2,0,0,0,0,5,22,0,386,6,979,22
SHELBYMEMPHIS 36-1,474,5,285,10,12,0,58,0,0,0,1,29,0,4,102,1,70,1333,2,0,4,0,54,1,0,19,0,1,33,306,0,764,287,1333,306
SHELBYMEMPHIS 36-2,570,1,133,1,10,0,18,1,0,0,0,7,0,3,22,0,18,1412,0,0,9,0,32,0,0,0,0,1,16,111,0,704,80,1412,111
SHELBYMEMPHIS 37,375,3,62,0,4,0,10,0,0,0,1,4,0,0,9,0,14,1230,0,0,3,0,6,3,0,4,0,3,14,72,0,440,42,1230,72
