precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
MONTGOMERY14 GLENELLEN,296,2,151,8,62,0,162,0,0,0,3,33,0,2,144,0,228,1189,2,0,8,0,132,8,0,9,0,8,35,1343,0,449,642,1189,1343
MONTGOMERY15 SANGO,274,1,159,26,107,1,352,1,1,1,8,90,0,5,349,2,535,1094,0,0,7,0,149,2,0,11,0,16,28,2666,0,434,1478,1094,2666
MONTGOMERY16 NEW PROVIDENCE,250,2,127,12,36,2,108,0,0,1,0,23,0,7,75,1,242,898,0,0,13,0,64,3,0,2,0,6,36,979,0,379,507,898,979
MONTGOMERY17 GRACE,212,0,117,7,57,2,123,0,0,0,0,20,0,2,98,0,177,1048,0,0,7,0,132,3,0,10,0,7,23,1070,0,329,486,1048,1070
MONTGOMERY18 HAZELWOOD,314,5,96,21,43,1,130,0,0,0,0,26,0,0,106,0,183,1225,3,0,8,0,141,2,0,6,0,6,28,1167,0,415,510,1225,1167
MONTGOMERY19 OAKLAND,348,7,181,18,108,3,315,1,0,2,2,50,1,4,279,0,398,1477,1,0,7,0,181,4,0,22,0,10,39,2483,0,536,1181,1477,2483
MONTGOMERY1A ST B ES,225,4,138,14,51,1,151,1,0,0,2,30,0,4,156,0,241,1047,1,0,4,0,130,1,0,11,0,5,26,1302,0,367,651,1047,1302
MONTGOMERY1B EMMANUEL,25,1,8,2,7,0,14,1,0,0,0,3,0,1,19,0,20,79,0,0,0,0,12,2,0,0,0,0,0,119,0,34,67,79,119
MONTGOMERY20A CLARKSVILLE,201,2,113,23,51,7,209,0,0,1,4,48,0,3,219,1,283,762,0,0,2,0,70,5,0,5,0,5,5,1485,0,316,849,762,1485
MONTGOMERY20B BARKSDALE,123,3,93,14,35,0,77,1,0,0,1,36,0,2,79,2,144,486,0,0,3,0,56,0,0,2,0,2,11,680,0,219,391,486,680
MONTGOMERY21A CUMBERLAND,177,0,82,6,27,0,55,1,0,0,0,30,0,0,58,0,122,582,0,0,6,0,33,4,0,2,0,3,16,420,0,259,299,582,420
MONTGOMERY21B HILLDALE,198,2,103,30,62,4,174,1,0,4,4,70,0,1,187,1,311,711,0,0,5,0,72,2,0,4,0,1,16,1286,0,303,849,711,1286
MONTGOMERY2A ST B MC,261,1,142,29,63,2,239,1,0,1,4,104,0,5,269,0,376,933,0,0,5,0,109,3,0,4,0,12,21,1693,0,404,1093,933,1693
MONTGOMERY2B ST B CC,85,0,57,18,33,1,108,2,0,1,1,38,0,0,84,1,153,337,0,0,1,0,44,2,0,2,0,7,5,655,1,142,440,337,655
MONTGOMERY3 EAST MONTGOMERY,235,3,153,22,149,0,461,4,1,0,7,90,0,8,445,1,676,947,2,0,6,0,166,4,0,8,0,9,19,3155,0,391,1864,947,3155
MONTGOMERY4A MCMS,151,2,82,14,69,2,230,0,0,0,2,38,0,3,192,0,303,534,1,0,4,0,58,1,0,1,0,9,12,1579,0,235,853,534,1579
MONTGOMERY4B WR EVENT CENTER,117,1,51,5,23,0,97,0,0,0,2,18,0,0,65,1,132,396,2,0,0,0,42,2,0,2,0,4,8,609,0,169,343,396,609
MONTGOMERY5A SMITH,113,2,85,5,21,3,57,0,0,1,1,13,0,1,45,0,110,477,0,0,5,0,32,1,0,1,0,7,19,482,0,200,257,477,482
MONTGOMERY5B MADISON,106,0,88,4,6,0,22,0,1,0,0,7,0,1,18,0,54,439,1,0,1,0,24,5,0,1,0,3,21,222,0,194,113,439,222
MONTGOMERY6A CUMBERLAND,208,2,88,10,52,4,223,1,1,0,4,36,0,1,119,1,353,555,4,0,2,0,65,5,0,3,0,2,11,1473,0,298,805,555,1473
MONTGOMERY6B BETHEL,45,1,14,1,24,0,68,0,0,0,0,8,0,1,41,0,115,110,0,0,0,0,11,1,0,1,0,1,3,459,0,60,258,110,459
MONTGOMERY7 WOODLAWN,156,1,95,15,84,1,365,3,0,2,3,48,0,4,159,1,543,573,7,0,5,0,121,7,0,3,0,2,18,2273,0,252,1228,573,2273
MONTGOMERY8A BETHEL,73,0,27,2,1,0,19,0,0,0,0,2,0,1,11,0,30,278,2,0,3,0,22,2,0,1,0,4,5,221,0,100,66,278,221
MONTGOMERY8B BARKERS MILL,139,1,56,2,6,0,40,0,0,0,1,6,2,1,28,0,56,618,0,0,1,0,49,2,0,1,0,6,13,402,0,196,142,618,402
MONTGOMERY9 OUTLAW,184,1,79,3,42,1,74,1,0,0,1,13,0,1,62,0,108,931,5,0,7,0,80,3,0,7,0,7,15,769,0,264,306,931,769
MOORE1 COURTHOUSE,51,2,26,1,22,0,63,0,0,1,0,8,0,0,17,0,130,102,0,0,2,0,10,1,0,0,0,3,3,359,0,79,242,102,359
MOORE2 HIGH SCHOOL,42,2,21,3,47,0,76,0,0,0,0,11,0,0,20,0,138,88,0,0,0,0,16,0,0,0,0,0,7,528,0,65,295,88,528
MOORE3 MOORE COUNTY BLDG,32,2,19,2,26,0,91,0,0,1,0,11,0,2,43,0,136,101,0,0,1,0,16,0,0,0,0,0,2,507,0,53,312,101,507
MOORE4 LYNCHBURG,44,1,13,2,29,0,82,0,0,0,1,10,0,1,34,0,161,97,0,0,3,0,17,1,0,0,0,3,3,473,0,58,320,97,473
MOORE5 MOTLOW COLLEGE,40,0,14,0,25,0,91,0,0,0,0,13,0,0,43,0,122,108,0,0,1,0,12,0,0,0,0,2,2,458,0,54,294,108,458
MORGAN1-1 COALFIELD,65,1,42,5,43,0,121,0,0,0,1,12,0,1,75,0,235,180,5,0,2,0,29,3,0,0,0,12,5,982,0,108,493,180,982
MORGAN2-1 OAKDALE HIGH,15,0,18,2,28,0,105,0,0,0,0,6,1,0,27,0,122,61,0,0,0,0,5,1,0,1,0,6,0,641,0,33,291,61,641
MORGAN2-2 MOSSY GROVE,19,0,4,1,5,0,18,0,0,0,0,2,0,1,11,1,54,48,0,0,1,0,2,1,0,0,0,0,1,203,0,23,93,48,203
MORGAN2-3 OAKDALE,25,1,11,0,15,0,45,0,0,0,1,0,0,0,32,0,77,58,2,0,1,0,11,1,0,1,0,2,2,309,0,37,170,58,309
MORGAN3-1 WARTBURG,63,3,44,7,16,2,112,0,0,0,0,12,0,3,59,0,211,215,8,0,2,0,31,1,0,1,0,2,2,966,0,110,422,215,966
MORGAN4-1 LANCING,37,0,29,7,17,1,100,0,0,0,0,13,1,0,46,0,146,113,4,0,4,0,10,0,0,1,0,1,2,685,0,66,331,113,685
MORGAN4-2 DEER LODGE,9,1,9,0,5,1,14,0,0,0,0,6,0,0,9,0,51,40,0,0,0,0,6,0,0,0,0,0,1,186,0,19,86,40,186
MORGAN4-3 CHESTNUT RIDGE,8,0,6,0,5,0,22,0,0,0,0,1,0,0,7,0,38,33,0,0,0,0,1,0,0,0,0,0,1,162,0,14,73,33,162
MORGAN5-1 SUNBRIGHT,37,1,17,2,19,0,94,0,2,0,0,9,0,0,32,0,156,101,0,0,0,0,6,0,0,1,0,2,3,660,0,55,314,101,660
MORGAN5-2 BURRVILLE,30,0,7,1,18,0,33,1,0,0,0,1,0,1,12,0,70,90,2,0,2,0,3,1,0,0,0,1,0,288,0,37,137,90,288
MORGAN6-1 KELLYS,16,1,23,0,2,0,24,0,0,0,0,2,0,0,30,0,42,49,2,0,1,0,6,1,0,0,0,2,0,231,0,40,100,49,231
MORGAN6-2 PETROS,32,0,15,0,3,0,4,0,0,0,0,0,0,0,2,0,29,66,0,0,0,0,5,0,0,0,0,0,0,128,0,47,38,66,128
OBION1-1 SOUTH FULTON,159,3,39,3,57,0,147,2,0,0,2,25,0,3,102,1,270,401,0,0,0,0,27,1,0,5,0,0,7,1394,0,201,612,401,1394
OBION2-1 EDDIE COX SR CTR,41,1,30,2,17,0,96,0,0,0,3,9,0,1,34,0,120,194,0,0,0,0,16,4,0,1,0,2,1,634,0,72,282,194,634
OBION2-4 WOODLAND,45,0,27,2,46,0,168,0,0,0,1,13,0,0,40,2,180,118,0,0,1,0,14,2,0,3,0,0,1,837,0,72,452,118,837
OBION3-2 KENTON,32,2,16,1,22,0,72,0,0,0,0,2,0,0,24,0,120,94,0,0,0,0,6,0,0,0,0,0,0,494,0,50,241,94,494
OBION3-4 RIVES,61,1,35,3,43,0,181,0,0,0,2,13,0,0,69,0,147,165,0,0,0,0,17,1,0,5,0,1,3,949,0,97,458,165,949
OBION4-1 FAIR GROUNDS,119,1,53,1,27,0,121,1,0,0,0,7,0,0,52,2,164,574,0,0,1,0,28,1,0,1,0,1,3,766,0,173,375,574,766
OBION5-2 CLOVERDALE,19,0,3,0,6,0,44,0,0,0,0,2,0,0,11,0,89,34,0,0,2,0,3,0,0,0,0,0,2,296,0,22,152,34,296
OBION5-4 HORNBEAK,32,2,24,1,12,0,99,0,0,0,1,7,0,0,26,0,154,94,1,0,1,0,10,2,0,0,0,2,2,782,0,58,300,94,782
OBION5-5 SAMBURG,16,0,9,0,3,0,39,0,0,0,0,4,0,1,19,1,84,66,0,0,0,0,3,1,0,0,0,1,3,357,0,25,151,66,357
OBION6-1 TROY SR CTR,59,6,30,3,42,1,187,0,0,0,1,11,0,0,63,0,219,155,0,0,1,0,25,4,0,2,0,2,5,1186,0,95,527,155,1186
OBION6-2 OBION SR CTR,29,1,15,0,8,1,35,0,0,0,0,4,0,0,18,0,91,104,0,0,0,0,4,0,0,1,0,2,3,429,0,45,157,104,429
OBION7-2 OBION CO LIBRARY,148,3,64,10,58,1,248,1,0,0,1,32,0,2,149,1,270,427,0,0,0,0,40,4,0,5,0,7,6,1402,0,215,773,427,1402
OVERTON1 LIVINGSTON,254,9,97,4,26,2,123,2,0,1,0,20,0,4,59,2,256,499,0,0,3,0,27,2,0,2,0,1,12,988,0,360,499,499,988
OVERTON2-1 ALLONS,147,4,54,2,31,1,114,0,0,0,2,3,0,0,62,0,204,281,0,0,4,0,12,2,0,0,0,2,1,772,0,205,419,281,772
OVERTON2-3 MONROE,30,1,21,2,16,0,62,0,1,0,1,5,0,1,41,0,112,88,0,0,1,0,1,0,0,0,0,0,2,390,0,52,241,88,390
OVERTON3-2 POTEET,63,0,34,4,21,1,53,0,0,0,1,9,0,0,24,0,97,118,0,0,1,0,3,1,0,0,0,1,1,318,0,97,210,118,318
OVERTON3-3 WILSON,46,3,33,2,24,0,107,0,0,0,0,6,0,1,31,0,169,94,3,0,1,0,6,0,0,3,0,1,1,573,0,82,340,94,573
OVERTON3-4 RUSHING SPRINGS,18,3,28,0,4,1,50,0,0,0,2,3,0,0,18,0,77,59,0,0,0,0,6,0,0,0,0,6,1,265,0,49,155,59,265
OVERTON4-2 RICKMAN,156,6,97,3,57,1,240,1,0,0,3,20,0,0,139,0,318,393,1,0,2,1,35,2,2,3,0,12,9,1435,0,259,782,393,1435
OVERTON5-1 HILHAM,85,3,54,2,20,1,84,0,1,0,0,8,0,2,30,0,178,210,0,0,0,0,9,2,0,0,0,4,2,649,0,142,326,210,649
OVERTON5-2 FAIRGROUNDS,86,4,59,3,26,1,96,0,0,0,2,12,0,2,51,1,173,203,0,0,3,0,12,2,0,0,0,2,2,669,0,149,367,203,669
