precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FEEGBEH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_rep_TRUMP,gen_unk_BLUMBERG,gen_unk_KASICH,gen_unk_ROMNEY,gen_unk_RYAN,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
WELLESLEYE,505,0,1,233,0,0,0,0,0,6,11,1,26,0,0,0,157,1,0,114,0,111,1340,19,0,0,0,0,0,0,90,427,0,0,0,0,739,427,1340,427
WELLESLEYF,369,0,2,126,0,0,0,0,0,3,4,0,13,3,0,0,150,1,1,78,0,82,903,13,0,0,0,0,0,0,90,256,0,0,0,0,497,335,903,256
WELLESLEYG,360,0,2,176,0,0,0,0,0,2,0,0,18,0,0,0,72,0,0,39,0,56,935,8,0,0,0,0,0,0,26,136,0,0,0,0,538,187,935,136
WELLESLEYH,506,0,1,277,0,0,0,0,0,4,7,0,22,0,0,1,163,1,0,158,0,120,1356,26,0,0,0,0,0,0,97,479,0,0,0,0,784,476,1356,479
WELLFLEET1,451,1,1,616,0,0,0,0,1,3,8,0,17,0,0,0,59,0,1,32,0,134,1554,73,0,0,0,0,0,0,73,515,0,0,0,0,1069,254,1554,515
WENDELL1,89,0,1,284,0,0,0,0,4,1,0,0,5,0,0,0,12,0,1,10,0,15,402,48,0,0,0,0,0,0,21,104,0,0,0,0,374,44,402,104
WENHAM1,394,0,1,336,0,0,0,0,0,12,15,4,60,2,0,0,249,2,2,212,0,230,1368,24,0,0,15,0,0,0,192,774,0,0,0,0,731,788,1368,774
WESTBOROUGH1,239,1,4,207,0,0,0,0,0,6,15,4,29,1,0,1,78,0,3,55,0,106,852,16,0,0,0,0,0,0,69,399,0,0,0,0,451,298,852,399
WESTBOROUGH2,248,0,0,241,0,0,0,0,0,5,4,1,32,2,0,0,96,0,0,77,0,115,974,25,0,0,0,0,0,0,64,437,0,0,0,0,489,332,974,437
WESTBOROUGH3,363,1,1,380,0,0,0,0,1,3,13,3,37,0,0,0,77,0,3,84,0,154,1257,40,0,0,0,0,0,0,113,523,0,0,0,0,745,374,1257,523
WESTBOROUGH4,424,1,1,389,0,0,0,0,0,7,8,2,52,3,1,0,165,1,1,145,0,201,1517,30,0,0,0,0,0,0,109,676,0,0,0,0,815,586,1517,676
WESTBOROUGH5,402,0,1,367,0,0,0,0,0,9,11,3,48,0,2,0,171,0,0,155,0,204,1423,27,0,0,0,0,0,0,131,717,0,0,0,0,770,603,1423,717
WESTFIELDA,946,4,8,1301,0,0,0,0,2,26,68,6,219,2,3,1,339,4,6,278,2,956,3924,178,0,0,0,0,0,0,492,4074,0,0,0,0,2259,1910,3924,4074
WESTFIELDB,1119,4,21,1495,1,1,0,0,1,16,82,10,305,4,5,5,465,1,5,384,1,1202,4301,159,0,0,0,0,0,0,542,4947,0,0,0,0,2639,2485,4301,4947
WESTFORD1,370,3,0,412,0,0,0,0,0,5,13,1,72,1,0,1,198,0,1,189,0,250,1497,21,0,0,7,0,0,0,146,792,0,0,0,0,785,731,1497,792
WESTFORD2,359,0,3,458,0,0,0,0,0,6,11,2,53,0,0,0,154,0,1,129,0,286,1334,33,0,0,10,0,0,0,155,815,0,0,0,0,820,642,1334,815
WESTFORD3,351,0,2,425,0,0,0,0,0,2,13,1,45,4,0,1,155,2,0,146,1,309,1266,27,0,0,9,0,0,0,147,854,0,0,0,0,778,679,1266,854
WESTFORD4,386,1,5,408,0,0,0,0,3,6,12,1,47,1,1,1,177,0,4,125,0,206,1352,32,0,0,0,0,0,0,127,677,0,0,0,0,800,581,1352,677
WESTFORD5,365,0,2,394,0,0,0,0,2,10,21,3,58,3,3,0,155,0,3,150,0,266,1242,23,0,1,3,0,0,0,143,813,0,0,0,0,761,672,1242,813
WESTFORD6,298,0,5,305,0,0,0,0,0,4,13,2,47,0,0,1,97,0,5,145,0,245,1163,24,6,0,0,0,0,0,106,755,0,0,0,0,608,559,1163,755
WESTHAMPTON1,144,2,0,263,0,0,0,0,0,2,7,0,32,0,0,0,50,0,1,30,0,124,629,27,0,0,4,0,0,0,46,408,0,0,0,0,409,246,629,408
WESTMINSTER1,250,1,3,359,0,0,0,0,5,5,20,0,47,0,0,0,71,1,0,103,0,280,964,35,0,0,0,0,0,0,142,1077,0,0,0,0,613,527,964,1077
WESTMINSTER2,233,1,3,394,0,1,0,0,1,4,29,2,73,0,0,1,102,0,0,109,1,273,994,33,0,1,8,0,0,0,134,1088,0,0,0,0,631,594,994,1088
WESTON1,436,0,1,237,0,0,0,0,1,4,6,1,26,0,0,0,159,0,1,94,0,129,1210,11,0,0,0,0,0,0,99,377,0,0,0,0,674,420,1210,377
WESTON2,388,2,1,152,0,0,0,0,0,4,4,2,23,0,0,0,127,0,0,88,0,145,1110,20,0,0,0,0,0,0,83,418,0,0,0,0,543,393,1110,418
WESTON3,315,0,2,146,0,0,0,0,2,1,3,0,14,1,0,0,123,0,0,109,0,105,997,16,0,0,0,0,0,0,80,391,0,0,0,0,463,356,997,391
WESTON4,344,0,1,155,0,1,0,0,0,6,2,0,20,0,0,0,150,1,2,112,0,116,1051,10,0,0,0,0,0,0,70,462,0,0,0,0,500,409,1051,462
WESTPORTA,247,1,4,266,0,0,0,0,0,1,10,0,41,0,0,1,23,0,0,50,1,188,795,15,0,0,5,0,0,0,42,829,0,0,0,0,518,315,795,829
WESTPORTB,273,0,2,360,0,0,0,0,1,4,14,1,40,2,1,0,80,0,1,71,1,227,1006,14,0,0,1,0,0,0,72,935,0,0,0,0,635,442,1006,935
WESTPORTC,244,1,1,284,0,0,0,0,1,1,7,1,35,0,1,0,26,0,2,41,0,193,735,23,0,0,1,0,0,0,59,799,0,0,0,0,530,307,735,799
WESTPORTD,236,0,2,253,0,0,0,0,0,2,6,0,28,0,1,0,18,0,0,47,0,164,800,15,0,0,0,0,0,0,60,752,0,0,0,0,491,266,800,752
WESTPORTE,319,2,2,335,0,0,0,0,0,4,12,2,45,1,0,0,93,1,1,74,0,241,1047,31,0,0,0,0,0,0,73,970,0,0,0,0,658,474,1047,970
WESTWOOD1,508,0,2,341,0,0,0,0,1,4,9,0,47,0,0,0,167,1,0,148,0,235,1410,25,0,0,5,0,0,0,125,789,0,0,0,0,851,611,1410,789
WESTWOOD2,493,1,1,389,0,0,0,0,0,3,6,1,47,1,0,0,171,0,4,144,0,268,1400,18,0,0,7,0,0,0,122,809,0,0,0,0,884,645,1400,809
WESTWOOD3,495,2,6,323,0,0,0,0,0,15,7,1,50,0,0,1,211,0,1,153,1,222,1381,22,0,0,6,0,0,0,120,731,0,0,0,0,826,662,1381,731
WESTWOOD4,338,0,3,320,0,0,0,0,0,5,8,0,56,1,2,0,126,1,1,112,0,275,1128,28,0,0,1,0,0,0,93,889,0,0,0,0,661,587,1128,889
WEYMOUTH1,265,1,2,342,0,0,0,0,0,6,4,1,33,0,0,0,23,0,0,56,0,220,848,19,0,0,0,0,0,0,60,640,0,0,0,0,610,343,848,640
WEYMOUTH10,207,3,4,226,0,0,0,0,0,4,5,1,17,0,0,0,26,1,0,34,0,150,684,13,0,0,0,0,0,0,39,493,0,0,0,0,440,238,684,493
WEYMOUTH11,239,0,2,294,0,0,0,0,1,1,9,5,30,2,0,1,51,1,1,52,1,207,797,30,0,0,1,0,0,0,62,691,0,0,0,0,535,361,797,691
WEYMOUTH12,310,1,3,355,0,0,0,0,0,5,13,1,43,0,0,2,59,1,0,42,1,242,869,21,0,0,0,0,0,0,61,733,0,0,0,0,669,409,869,733
WEYMOUTH13,214,1,2,202,0,0,0,0,0,4,4,1,31,0,1,1,27,0,2,29,0,105,782,15,0,0,3,0,0,0,33,429,0,0,0,0,419,205,782,429
