precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Baldwin-GULF SHORES ACTIVITY,977,42,134,4532,253,0,2,158,11,240,2,401,1,2,4,228,10,583,2,1645,5685,3129,413
Baldwin-JOSEPHINE VFD,51,6,16,391,13,0,0,19,2,24,1,39,0,0,1,16,3,67,1,147,464,301,32
Baldwin-LILLIAN COMM,538,13,59,2438,167,2,6,108,13,119,1,251,4,0,2,90,7,312,2,940,3048,1741,283
Baldwin-LITTLE RIVER VFD,34,1,0,116,25,0,0,2,0,6,1,20,1,0,0,0,0,4,0,57,151,89,27
Baldwin-LOTTIE VFD,11,0,0,156,5,0,0,3,0,3,0,17,0,0,1,1,0,13,0,50,167,85,8
Baldwin-LOXLEY TOWN HALL,141,8,29,871,33,0,0,22,4,62,0,107,0,0,3,23,2,79,1,315,1049,596,55
Baldwin-MAG SPGS WESLEYAN CH,612,17,65,2204,177,1,2,69,4,150,0,255,0,0,3,75,3,259,1,769,2898,1519,249
Baldwin-MARLOW VFD,298,10,43,1400,106,0,0,54,3,92,1,170,0,0,2,38,2,140,1,508,1751,957,160
Baldwin-MIFLIN COMM CTR,345,12,33,1708,94,0,0,38,6,98,0,166,0,0,1,81,0,247,0,605,2098,1204,132
Baldwin-NEW LIFE ASSEM GOD,758,21,142,2693,233,1,1,125,7,188,4,356,3,0,5,93,5,441,0,792,3614,1894,360
Baldwin-ORANGE BEACH COMM,534,12,85,3673,132,0,2,97,5,185,1,272,3,0,3,187,3,483,3,1412,4304,2557,231
Baldwin-PERDIDO BEACH VFD,85,3,11,491,20,0,0,20,1,18,1,43,0,0,1,16,1,56,0,196,590,333,40
Baldwin-PERDIDO VOL FIRE DEPT,74,0,10,575,24,2,0,9,2,28,0,59,0,0,3,6,0,49,0,215,659,362,35
Baldwin-PINEGROVE VFD #1,185,3,12,744,70,0,0,14,4,26,0,76,1,0,0,4,3,83,0,287,944,484,84
Baldwin-PROVISIONAL,49,3,16,103,17,0,1,15,1,30,0,53,0,0,0,18,2,58,0,138,171,300,33
Baldwin-PT CLEAR ST FRANCIS,345,4,16,847,103,0,1,37,1,42,0,95,0,0,0,88,2,181,1,248,1212,658,141
Baldwin-RABUN VFD,38,3,5,502,11,1,0,9,1,21,0,55,0,0,1,6,2,26,0,195,548,307,21
Baldwin-ROBERTSDALE CITY HALL,385,12,64,2225,100,0,0,66,13,148,2,256,0,1,7,48,5,203,1,712,2686,1396,166
Baldwin-ROSINTON METH,115,8,34,1257,35,2,0,20,1,61,0,157,0,0,0,18,0,118,2,436,1414,793,57
Baldwin-SEMINOLE VFD,51,4,7,516,20,0,0,8,1,29,1,69,1,0,1,10,0,37,1,176,578,326,28
Baldwin-STN VFD,64,4,26,921,19,0,0,13,4,52,1,112,0,0,2,27,1,74,0,323,1015,596,32
Baldwin-STOCKTON CIVIC BLDG,26,0,3,412,14,0,0,6,1,15,0,53,0,0,2,7,0,30,0,197,441,305,20
Baldwin-SUMMERDALE COMM,223,6,42,1571,51,1,0,37,4,98,2,163,0,0,3,25,1,171,0,562,1842,1029,89
Baldwin-TENSAW VFD,96,0,0,40,58,0,1,3,0,1,0,2,0,0,0,2,0,8,0,20,136,33,62
Baldwin-VAUGHN COMM CTR,192,2,7,158,106,0,0,12,0,14,0,15,0,0,0,2,0,16,0,67,359,114,118
Baldwin-WHITEHOUSE FORK,123,1,11,736,36,0,0,10,0,45,0,85,0,0,3,9,0,54,1,286,871,483,46
Barbour-ABSENTEE,353,0,4,316,135,1,1,7,2,3,0,9,0,0,0,3,0,13,0,32,673,62,144
Barbour-BAKERHILL TOWN HALL,152,0,2,240,85,0,1,8,0,7,0,23,0,0,0,4,0,7,0,99,394,140,94
Barbour-BEVILL CTR,197,4,17,783,96,0,0,13,1,83,0,71,0,1,0,9,0,68,0,259,1001,492,109
Barbour-BLUE SPRINGS CITY HALL,38,0,1,209,16,0,0,2,0,28,1,43,0,0,2,3,1,8,0,61,248,147,18
Barbour-CLAYTON CRTHOUSE,542,3,4,306,270,0,0,32,0,12,0,45,0,0,2,3,0,35,0,102,855,199,302
Barbour-CLIO CITY HALL,233,2,2,244,104,0,0,10,2,24,0,26,0,1,0,1,0,17,0,80,481,151,114
Barbour-ELAMVILLE VOL FIRE,65,0,0,190,33,0,0,0,0,19,0,38,0,0,0,3,0,24,0,66,255,150,33
Barbour-EUFAULA COMM CTR,472,2,9,665,266,0,0,26,2,45,1,76,0,1,1,13,1,59,0,247,1148,446,292
Barbour-EUFAULA WATER BOARD,486,1,5,289,269,0,0,21,1,24,2,32,0,0,0,26,0,47,0,78,781,210,290
Barbour-FELLOWSHIP BAP,284,1,13,792,157,0,2,17,0,49,2,77,1,0,0,9,0,52,0,248,1090,438,176
Barbour-GREENS CROSSROADS,54,0,2,73,29,0,2,4,0,9,0,14,0,0,1,0,0,13,0,21,129,58,35
Barbour-LOUISVILLE CITY HALL,318,0,2,233,161,1,0,14,1,16,0,28,0,0,1,5,0,31,0,70,553,152,176
Barbour-MCCOO SCH,772,2,12,284,427,0,1,28,1,30,0,25,0,0,0,9,0,34,0,88,1070,187,456
Barbour-MT ANDREW COMM CTR,127,0,3,25,90,0,0,5,0,0,0,5,0,0,0,0,0,2,0,6,155,13,95
Barbour-PROVISIONAL,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
Barbour-SANFORD AVE GYM,467,3,12,448,255,0,1,24,0,39,0,47,0,1,2,32,0,71,0,153,930,345,280
Barbour-SPRINGHILL VFD,218,0,5,130,133,0,0,9,0,9,0,11,0,0,0,3,0,10,0,30,353,63,142
Barbour-TEXASVILLE COMM CTR,70,0,0,204,41,1,0,2,0,20,0,39,0,0,0,0,1,7,0,70,274,137,44
Bibb-ABSENTEE,44,0,1,194,4,0,0,4,3,4,0,18,0,0,0,2,0,5,0,21,239,53,8
Bibb-ALTERNATIVE SCH,342,3,35,1439,194,0,2,45,5,77,0,192,0,0,6,14,1,90,0,416,1819,801,241
Bibb-BRENT CITY HALL,580,1,6,293,360,0,1,34,0,20,0,46,0,0,1,4,1,18,0,92,880,182,395
Bibb-CENTREVILLE ROCK BLDG,235,0,13,849,128,2,0,35,3,60,0,133,1,0,2,14,3,73,0,243,1097,532,165
Bibb-EOLINE FIRE DEPT,71,2,10,523,27,0,0,17,3,30,1,75,2,0,0,13,0,26,0,181,606,331,44
Bibb-GREENPOND FIRE DEPT,116,3,37,1528,36,0,0,40,1,97,1,248,0,1,1,14,1,83,1,413,1684,861,76
Bibb-LAWLEY COMM CTR,55,2,1,376,23,0,0,14,0,9,0,68,0,0,1,2,0,36,0,119,434,235,37
Bibb-NATIONAL GUARD ARMORY,277,4,15,886,111,2,7,38,2,62,1,142,0,0,4,12,0,70,0,285,1182,578,158
Bibb-PROVISIONAL,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Bibb-SIX MILE COMM CTR,154,2,6,645,59,0,0,19,0,34,0,89,0,0,0,9,0,43,0,189,807,364,78
Blount-ABSENTEE,102,0,10,630,7,0,1,4,2,6,0,39,0,0,2,3,2,25,1,51,742,131,12
Blount-ALLGOOD TOWN HALL,40,3,4,434,7,0,0,6,4,36,2,62,0,0,0,9,0,44,0,165,481,322,13
Blount-BLOUNT SPRINGS,27,4,7,272,3,0,0,11,0,9,0,72,0,0,1,0,0,21,0,91,310,194,14
Blount-BLOUNTSVILLE,158,12,18,1322,55,1,0,21,2,96,1,186,0,1,3,18,1,95,0,478,1510,881,77
Blount-BROOKSVILLE,33,0,9,409,5,0,0,1,0,28,0,53,0,0,2,3,0,31,0,179,451,296,6
Blount-CLEVELAND,121,4,18,1007,23,0,0,23,1,82,1,182,0,0,3,21,0,81,1,356,1150,728,46
Blount-DALLASSELFVILLE,71,1,12,1187,22,0,0,12,3,59,2,173,0,0,2,6,0,64,0,442,1271,751,34
Blount-HAYDEN,192,5,33,2418,69,2,2,33,7,164,1,435,4,0,4,23,1,155,1,683,2648,1478,106
Blount-HOLLY SPRINGS,19,0,1,346,7,0,0,5,3,24,0,63,0,0,4,0,0,24,1,109,366,228,12
Blount-LOCUST FORK,96,6,18,1372,41,0,0,31,1,79,0,249,0,0,6,8,2,91,0,471,1492,907,72
Blount-MT HIGH,104,4,25,1747,19,0,1,30,3,120,0,324,0,0,9,25,2,115,0,497,1880,1095,50
Blount-MURPHREE VLY,79,1,15,593,13,0,0,6,4,37,1,84,0,0,5,8,1,50,0,219,688,409,19
Blount-NECTAR,62,4,16,997,21,0,0,17,0,59,0,155,1,1,2,8,1,69,1,342,1079,639,38
Blount-ONEONTA,384,11,41,2014,122,0,0,57,12,176,3,334,1,1,8,58,2,317,1,590,2450,1503,179
Blount-PINE MOUNTAIN,28,1,8,391,3,0,0,14,1,33,0,87,0,0,0,11,0,26,0,135,428,293,17
Blount-PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount-REMLAP,91,2,23,965,21,0,0,20,2,63,0,180,0,0,4,15,2,70,1,320,1081,657,41
Blount-ROCK SPRINGS,40,3,3,483,14,0,0,8,0,23,0,60,0,0,2,4,1,25,0,202,529,317,22
Blount-ROSA,58,4,20,647,5,0,0,10,2,46,0,113,0,1,5,18,1,50,1,245,729,482,15
Blount-ROYAL,39,2,1,353,7,0,0,10,1,26,0,59,0,0,1,9,0,36,1,122,395,255,17
Blount-SMOKE RISE,95,10,17,1095,32,0,0,25,1,70,0,194,3,0,5,27,3,100,1,332,1217,736,57
Blount-SNEAD COMM CTR,78,4,12,1025,10,0,0,15,4,88,0,117,0,0,0,20,1,87,3,371,1119,691,25
Blount-ST MOUNTAIN,66,4,13,1478,13,0,0,17,2,83,1,277,0,0,3,19,1,134,0,459,1561,979,30
Blount-SUGAR CREEK BANGOR,25,0,6,475,11,0,0,7,0,36,0,79,1,0,3,5,0,41,0,148,506,313,18
Blount-SUMMIT,49,3,2,386,18,0,0,7,0,27,0,41,0,0,3,3,2,30,0,95,440,201,25
Blount-SUSAN MOORE,93,1,5,762,16,0,1,5,1,53,0,80,0,0,1,16,2,62,0,288,861,503,22
Bullock-ABERFOIL,139,0,0,67,100,2,0,2,0,1,0,7,0,0,0,1,0,1,0,10,206,20,104
Bullock-ABSENTEE,266,0,4,48,179,0,0,8,0,0,0,0,0,0,0,2,0,1,0,2,318,5,187
Bullock-CORINTH,18,0,0,34,9,0,0,1,0,0,0,5,0,0,0,0,0,1,0,16,52,22,10
Bullock-CORNERSTONE,192,0,3,76,141,0,0,9,0,2,0,6,0,0,0,3,1,1,0,17,271,30,150
Bullock-FITZPATRICK,69,0,4,148,51,0,0,5,2,8,0,13,0,0,0,2,1,13,0,47,221,86,56
Bullock-GUERRYTON/SEHOY PLANT RD,72,0,0,4,50,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76,0,53
Bullock-INDIAN CREEK,73,0,0,39,51,0,1,2,0,0,0,0,0,0,1,0,0,5,0,8,112,14,54
Bullock-INVERNESS,40,0,1,53,28,0,0,6,0,1,0,5,0,0,0,1,0,0,0,27,94,34,34
Bullock-MIDWAY,449,2,0,27,360,0,1,16,0,1,0,0,0,0,0,0,0,0,0,2,478,3,377
Bullock-PEACHBURG,78,1,1,21,52,0,0,9,1,0,0,0,0,0,0,0,0,2,0,6,101,9,61
Bullock-PEROTE,55,1,0,68,39,1,0,2,1,3,0,5,0,0,0,5,0,7,0,19,124,40,42
Bullock-POST OAK,83,0,1,187,65,0,0,6,1,13,0,20,0,0,0,1,0,9,0,50,271,94,71
Bullock-PROVISIONAL,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Bullock-SARDIS,101,0,0,22,74,0,0,0,0,0,0,5,0,0,0,0,0,3,0,9,123,17,74
Bullock-THOMPSON,78,0,0,29,46,0,2,4,0,1,0,8,0,0,0,2,0,2,0,9,107,22,52
Bullock-THREE NOTCH US HWY 82 E,115,0,1,16,79,0,0,4,1,1,0,0,0,0,0,0,0,4,0,3,132,9,83
Bullock-UNION SPRINGS ARMORY,1702,6,7,300,1127,4,5,101,1,16,0,20,0,0,0,6,0,15,0,88,2015,146,1237
Butler-ABSENTEE,168,0,2,78,170,0,0,6,2,3,0,5,0,0,0,0,0,11,0,21,248,42,176
Butler-BOLLINGVOTING HS,38,0,2,82,19,0,0,2,0,7,0,5,0,0,0,1,0,6,0,23,122,42,21
Butler-CENTRAL VOL FIRE DEPT,218,0,4,231,138,0,0,14,1,10,1,18,0,0,0,1,0,20,0,98,453,149,152
Butler-CHAPMAN POST ,25,0,2,120,11,0,1,6,1,10,0,4,0,0,0,1,0,6,0,47,147,69,18
Butler-CTR HILLVOTING HS,73,0,0,54,53,0,0,2,0,0,0,3,0,0,0,1,0,2,0,22,127,28,55
Butler-DUNBAR COMM CTR,803,2,4,162,470,1,0,23,0,14,0,16,0,0,0,3,0,18,1,60,971,112,494
Butler-FOREST HOME VOTING HS,23,0,0,105,13,0,0,1,0,5,1,12,0,0,0,0,0,9,1,35,128,63,14
Butler-FRIENDSHIP OLD SCH,9,0,1,117,0,0,0,1,0,3,0,16,0,0,0,2,0,6,0,67,127,94,1
Butler-GARLANDVOTING HS,80,1,0,185,40,0,0,1,1,13,0,26,0,0,0,1,0,3,0,55,266,99,41
Butler-GREENVILLE POLICE DEPART,634,0,6,580,359,0,0,24,3,59,0,72,0,0,1,19,0,84,1,177,1220,416,383
Butler-HARRISON VOTING HS,24,0,1,205,14,0,0,3,2,12,0,20,0,0,0,3,0,6,1,79,230,123,17
Butler-HEALTH DEPT,415,4,21,749,210,0,2,18,2,61,0,114,0,0,0,24,2,101,0,239,1189,543,230
Butler-INDUSTRY,4,0,0,132,1,0,0,2,0,4,0,11,0,0,0,1,0,17,0,57,136,90,3
Butler-MANNINGHAM VOTING HS,110,0,1,115,70,0,0,7,0,7,0,23,0,0,0,1,0,15,0,33,226,79,77
Butler-MIDWAY VOTING HS,71,1,5,149,50,0,1,4,1,11,0,27,0,0,0,2,0,9,0,55,226,105,55
Butler-MONTEREY OLD SCH HS,31,0,2,22,19,0,0,0,0,4,0,1,0,0,0,0,0,3,0,11,55,19,19
Butler-McKENZIE TOWN HALL,94,0,3,253,58,0,0,6,1,30,1,14,0,0,1,0,0,9,0,98,350,154,64
Butler-McLAINS VOTING HS,99,0,4,399,57,1,0,7,1,29,0,32,0,0,0,9,0,21,0,134,502,226,65
Butler-PROVIDENCEVOTING HS,120,0,1,308,75,1,0,6,2,20,0,19,0,0,0,5,0,16,0,128,429,190,82
Butler-PROVISIONAL,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Butler-ROCKY CREEKVOTING HS,40,2,0,237,20,0,0,7,1,19,0,39,0,0,0,5,1,20,0,76,279,161,27
Butler-SEARCY VOLUNTEER FIRE,60,0,2,142,34,0,0,2,0,11,0,22,0,0,3,2,0,15,0,46,204,99,36
Butler-SR MUTLI PURPOSE CTR,561,2,2,324,303,0,1,13,2,28,0,26,0,1,0,5,0,17,0,96,889,175,317
Butler-STEINERS STORE,20,1,2,144,12,0,0,1,1,17,0,9,0,0,1,0,0,13,0,63,167,104,13
Calhoun-1ST UN METH WEAVER,416,13,75,1724,139,0,1,68,7,141,1,212,0,0,4,45,1,151,0,487,2228,1049,208
Calhoun-ABSENTEE,423,6,34,961,31,0,1,13,8,13,0,42,0,0,0,16,1,40,1,64,1424,185,45
Calhoun-ALEXANDRIA CIVITAN CLUB,325,10,40,1843,128,0,0,32,8,172,1,261,5,0,5,37,1,189,0,454,2218,1133,160
Calhoun-ANGEL FIRE STN,118,1,12,586,39,0,1,16,0,40,0,91,0,1,3,10,0,68,0,171,717,384,56
Calhoun-ANNISTON 1ST PRSBY CH,122,1,15,244,35,0,0,13,0,20,1,23,0,0,2,28,0,43,0,85,382,202,48
Calhoun-ANNISTON CARVER CTR,301,0,2,3,167,0,1,11,0,1,0,0,0,0,0,0,0,0,0,1,306,2,179
Calhoun-ANNISTON GOLDEN SPRINGS,803,13,63,1831,315,0,2,73,9,147,2,269,1,0,6,103,4,333,1,590,2710,1465,390
Calhoun-ANNISTON MEETING CTR,1560,15,34,288,675,0,0,83,1,28,0,23,0,0,1,9,1,30,0,100,1897,193,758
Calhoun-ANNISTON THANKFUL BAP,302,0,2,47,147,0,0,6,0,1,0,4,0,0,0,0,0,3,0,11,351,19,153
Calhoun-ASBERRY BAP CH,91,5,19,875,29,0,2,19,5,66,0,101,0,0,5,14,2,55,1,232,990,481,50
Calhoun-BETTA VIEW CH CHRIST,295,11,32,1303,117,0,0,47,5,91,1,188,0,1,0,32,2,105,1,407,1641,833,164
Calhoun-BOILING SPRINGS BAP CH,55,6,8,465,20,0,1,17,4,31,0,41,0,0,0,6,0,24,0,153,534,259,38
Calhoun-BYNUM COMM CTR,312,7,28,1560,133,1,2,42,7,104,1,214,1,0,5,34,4,129,3,441,1907,943,178
Calhoun-CALHOUN CO HEALTH DEPT,441,7,19,343,147,0,0,31,3,22,0,49,0,0,0,23,0,32,0,107,810,236,178
Calhoun-CALHOUN CO HWY DEPT,42,2,0,39,16,0,0,3,0,2,0,2,0,0,0,0,0,0,0,4,83,8,19
Calhoun-CHOCCOLOCCO COMM CTR,195,2,25,1035,77,1,0,35,4,81,1,143,0,0,3,19,0,143,0,257,1257,651,113
Calhoun-DEARMANVILLE UN METH,115,1,21,673,41,0,0,24,4,53,0,75,0,0,0,27,2,72,0,196,810,429,65
Calhoun-EAGLEPOINT CH,493,15,50,860,172,1,0,82,2,67,2,103,1,0,0,27,0,126,1,198,1418,527,255
Calhoun-EULATON UN METH,123,3,7,543,48,0,0,13,2,39,0,57,0,0,0,7,0,27,0,176,676,308,61
Calhoun-FOUR MILE METH CH,81,2,9,368,22,0,0,19,2,17,0,46,0,0,1,7,0,31,0,122,460,226,41
Calhoun-FRIENDSHIP BAP CH,96,4,15,776,35,0,0,21,2,53,1,107,0,1,2,21,2,92,0,193,891,474,56
Calhoun-FRIENDSHIP COMM CTR,266,4,28,1228,124,2,0,34,4,98,1,169,1,0,5,37,1,156,0,357,1526,829,160
Calhoun-GLENWOOD MEADOWS MTG RM,471,9,46,732,168,0,0,82,5,55,0,109,0,0,1,17,0,97,0,161,1258,445,250
Calhoun-GODS COVENANT MINISTRY,205,1,11,377,84,0,0,11,1,23,0,24,0,0,1,2,0,23,1,128,594,203,95
Calhoun-HOBSON CITY CITY HALL,318,0,2,42,158,0,0,10,0,3,0,8,0,0,0,0,0,8,0,6,362,25,168
Calhoun-JACKSONVILLE 1ST BAP,382,19,73,899,113,0,0,102,3,79,0,141,0,0,2,66,4,183,0,246,1373,724,215
Calhoun-JACKSONVILLE WESTSIDE BAP,317,7,64,308,48,0,0,78,0,28,1,44,0,0,0,8,1,33,0,60,696,175,126
Calhoun-LEATHERWOOD RD CIVIL DEF,251,5,33,955,80,0,0,28,1,78,0,122,0,0,2,34,4,131,1,293,1244,666,108
Calhoun-MENTAL HEALTH CTR,332,4,29,197,137,1,0,25,1,17,0,15,0,0,1,21,0,28,0,54,562,137,163
Calhoun-MT VIEW BAP,85,2,23,603,44,0,1,23,4,42,1,66,1,0,2,3,0,55,0,179,713,353,68
Calhoun-OAK GROVE BAP CH,60,1,9,625,25,0,0,15,1,39,0,81,0,0,1,13,3,40,0,195,695,373,40
Calhoun-OHATCHEE 1ST BAP CH,207,5,29,1241,89,0,2,26,8,85,1,144,1,0,2,22,0,68,0,350,1482,681,117
Calhoun-OXFORD CHEAHA CLUBHOUSE,168,7,11,533,54,2,0,19,4,39,0,67,0,0,2,13,1,50,1,171,719,348,75
Calhoun-OXFORD LAKE PK CIV CTR,300,11,34,761,97,0,0,42,0,54,0,78,0,0,3,19,0,73,0,262,1106,489,139
Calhoun-OXFORD PUBLIC LIBRARY,150,6,14,365,52,0,0,25,1,17,0,41,1,0,1,14,0,23,0,109,535,207,77
Calhoun-PIEDMONT FIRE STN,322,7,18,1230,133,0,0,38,1,100,2,107,0,0,4,26,1,85,0,348,1577,674,171
Calhoun-PIEDMONT REC BLDG,81,3,5,483,32,1,0,11,1,34,0,48,0,0,0,8,2,43,0,120,572,256,44
Calhoun-PROVISIONAL,44,0,2,59,6,0,0,6,1,2,0,5,0,0,0,0,0,3,0,12,105,23,12
Calhoun-S HIGHLAND COMM CTR,625,4,14,158,283,1,1,26,1,15,0,19,0,0,1,3,0,14,0,28,801,81,311
Calhoun-SAKS HIGH SCH,820,11,66,1782,324,1,1,85,6,177,1,210,2,0,6,62,4,179,3,542,2679,1192,411
Calhoun-THE DONOHO SCH,185,11,26,573,59,0,0,21,3,31,1,74,1,0,2,92,1,131,1,194,795,531,80
Calhoun-TRINITY MISSIONARY BAP,40,3,3,243,24,0,0,1,0,18,1,21,0,0,0,1,1,15,0,75,289,132,25
Calhoun-WEBSTERS CHAPEL FIRE DEPT,77,3,18,824,21,0,0,18,5,49,0,98,0,0,0,14,3,63,0,236,922,468,39
Calhoun-WEST PK HEIGHTS BAP,149,6,20,1060,42,1,1,27,4,56,0,92,0,1,1,10,1,61,1,354,1235,581,71
Calhoun-WHITE PLAINS 1ST BAP,96,6,14,782,32,0,0,19,5,72,0,115,3,2,0,25,0,66,0,213,898,501,51
Calhoun-WHITE PLAINS VFD,50,2,13,427,18,0,1,11,0,33,0,56,1,0,1,8,1,40,0,141,492,281,30
Calhoun-WIGGINS COMM CTR,532,1,1,11,331,1,1,27,0,3,0,0,0,0,0,1,1,1,0,3,545,9,360
Chambers-ABSENTEE,195,0,4,332,16,0,0,2,2,2,0,7,0,0,1,0,0,9,0,34,531,55,18
Chambers-BUFFALO,118,1,1,152,69,0,1,8,1,15,0,24,0,0,0,3,0,6,0,42,272,91,78
Chambers-CUSSETA,83,2,5,187,34,0,0,1,0,7,0,26,1,0,1,4,1,11,0,60,277,111,35
Chambers-FIVE POINTS,163,2,0,89,108,0,0,4,0,6,0,9,0,0,0,1,0,6,0,26,254,48,112
Chambers-FREDONIA,68,5,4,266,43,0,1,8,1,22,1,37,0,0,0,6,1,22,0,76,343,166,52
Chambers-HUGULEY,417,6,30,1138,201,0,0,32,0,75,0,112,0,0,4,29,3,91,0,291,1591,605,233
Chambers-LAFAYETTE,899,2,9,449,508,3,1,42,4,32,3,55,0,0,0,13,0,25,0,120,1359,252,554
Chambers-LAKEVIEW,67,4,4,246,29,0,0,5,5,30,1,21,0,1,1,4,0,19,0,61,321,143,34
Chambers-LANETT,1508,5,25,927,746,2,0,36,6,64,1,122,0,0,0,33,2,104,1,271,2465,604,784
Chambers-MILLTOWN,54,0,0,124,32,0,0,2,1,3,1,19,0,0,0,0,0,5,0,49,178,78,34
Chambers-MT OLIVE,60,0,1,82,34,0,0,3,1,5,0,16,0,0,0,3,0,1,0,31,143,57,37
Chambers-PENTON,26,0,2,97,14,0,1,3,1,8,0,8,0,0,0,0,0,5,0,38,125,60,18
Chambers-PROVISIONAL,21,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0
Chambers-RIDGE GROVE,137,0,0,165,87,0,0,6,0,15,0,26,0,0,0,3,0,7,0,47,302,98,93
Chambers-SPARKLING SPRINGS,5,0,0,46,0,0,0,0,0,5,0,3,1,0,0,1,0,2,0,20,51,32,0
Chambers-STN ROCK,24,1,4,229,7,0,0,1,3,15,0,25,0,0,0,7,0,6,0,89,258,145,8
Chambers-STROUD,95,1,3,71,49,0,0,10,1,1,0,11,0,0,0,1,1,6,0,27,170,48,59
Chambers-STURKIE,189,1,5,202,117,0,1,7,2,14,0,30,1,0,0,7,0,14,0,62,397,130,125
Chambers-UNION HILL,19,0,2,150,11,1,0,6,1,5,0,27,0,0,0,3,0,14,0,55,171,105,18
Chambers-VLY SPORTSPLEX,1423,8,64,2696,671,3,1,116,6,261,0,312,1,0,5,46,4,226,1,727,4191,1589,791
Chambers-WAVERLY,48,6,4,88,19,0,0,11,0,8,0,12,0,0,0,4,0,13,0,25,146,62,30
Chambers-WEST CHAMBERS,165,0,1,67,104,0,2,9,1,2,0,12,0,0,0,0,0,3,0,18,233,36,115
Cherokee-ABSENTEE,84,0,9,344,7,0,0,4,0,5,1,9,0,0,0,3,0,16,0,25,437,59,11
Cherokee-BROOMTOWN FIRE DEPT,30,0,5,287,3,0,1,4,2,10,0,31,0,0,0,3,0,15,1,86,322,148,8
Cherokee-CEDAR BLUFF 1ST BAP,173,2,20,846,85,3,2,25,1,40,0,84,0,2,1,20,1,61,0,298,1041,508,115
Cherokee-CONGREGATIONAL METH,29,2,0,141,13,0,1,3,0,8,0,15,0,0,2,4,0,15,0,44,172,88,17
Cherokee-DANIELS CHAPEL FELLOWSHIP,21,1,2,128,7,0,0,12,0,7,0,20,0,0,0,1,0,10,0,31,152,69,19
Cherokee-EBENEZER FELLOWSHIP HALL,133,0,3,235,89,0,1,16,1,13,0,25,0,0,0,2,1,37,0,80,371,159,106
Cherokee-FRIENDSHIP BAP FELLOWSHIP,13,2,2,168,4,0,0,4,1,10,0,24,0,0,0,3,0,14,0,36,185,88,8
Cherokee-GAYLESVILLE CITY HALL,26,1,3,329,11,1,0,5,0,19,0,41,0,0,0,5,0,20,1,111,359,197,17
Cherokee-GOSHEN METH CH,29,0,3,294,21,0,0,7,2,22,0,41,0,0,0,2,0,24,1,85,326,177,28
Cherokee-LEESBURG FEMA BLDG,133,2,13,779,58,0,0,23,2,44,0,75,0,0,3,16,0,62,1,249,927,452,81
Cherokee-MELROSE BAP CH,50,0,4,163,26,0,1,7,1,11,0,19,0,1,0,2,0,8,0,66,217,108,34
Cherokee-MT CALVARY BAP CH,36,0,1,78,11,0,0,6,1,4,0,6,0,0,0,5,0,13,0,19,115,48,17
Cherokee-MT WEISNER FIRE HALL,33,0,1,197,18,0,0,3,0,14,0,10,0,0,0,6,0,7,0,77,231,114,21
Cherokee-McCORDS CROSSROADS FIRE,21,0,4,312,6,0,2,6,0,16,0,24,0,0,2,0,0,23,0,91,337,156,14
Cherokee-NEW HOPE METH,58,1,4,240,41,2,0,10,0,8,0,22,0,0,0,7,0,14,0,70,303,121,53
Cherokee-PROVISIONAL,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Cherokee-ROCK RUN CH,8,0,3,109,7,0,0,3,0,5,0,16,0,0,2,2,0,9,0,31,120,65,10
Cherokee-SAND ROCK TOWN HALL,65,3,8,714,33,0,0,21,0,37,1,76,1,0,3,6,0,81,0,204,790,409,54
Cherokee-SHADY GROVE CH,45,0,1,126,20,0,0,10,0,8,0,15,0,0,0,2,0,16,0,53,172,94,30
Cherokee-SPRING CREEK VFD,41,0,5,389,15,0,0,7,0,19,0,23,0,0,0,6,0,36,0,120,435,204,22
Cherokee-SPRING GARDEN FIRE STN,49,1,8,475,16,0,0,8,0,54,0,61,0,0,2,5,0,52,0,144,533,318,24
Cherokee-THE ROC,419,8,41,1987,198,1,2,72,4,152,1,212,1,0,11,47,4,220,3,667,2455,1322,273
Cherokee-THE VLY CH,10,0,4,166,4,0,0,2,2,12,0,22,0,0,2,3,0,20,0,40,180,101,6
Cherokee-TUCKERS CHAPEL FIRE DEPT,20,1,0,173,10,0,0,4,3,9,0,19,2,0,1,1,0,18,0,45,194,98,14
