precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
StClair-ARGO TOWN HALL,365,10,50,2176,100,0,2,47,3,161,1,360,1,0,0,36,2,190,1,428,2601,1183,149
StClair-ASHVILLE CITY HALL,319,3,16,690,144,0,0,31,3,50,0,94,0,0,1,7,1,53,0,224,1028,433,175
StClair-BRANCHVILLE CUMBERLAND,148,6,34,1400,43,0,0,28,3,80,0,258,1,0,1,20,2,119,1,365,1588,850,71
StClair-CEDAR GROVE BAP,156,2,26,882,39,0,0,22,5,61,0,146,0,0,2,12,5,104,0,249,1066,584,61
StClair-CELEBRATIONS,153,6,24,1280,52,1,0,21,0,69,1,220,0,0,5,31,5,140,0,387,1463,858,74
StClair-CHANDLER MT COMM CTR,25,1,2,136,4,0,0,4,0,8,0,36,0,1,0,1,0,23,0,37,164,106,8
StClair-COOK SPRINGS VFD,77,3,14,841,10,0,0,14,0,40,0,192,0,0,1,15,0,51,1,225,935,525,24
StClair-FAIRVIEW CH,7,0,1,148,2,0,0,5,1,13,0,15,0,0,0,2,0,12,0,55,156,98,7
StClair-FRIENDSHIP VFD,94,4,11,988,31,0,0,18,0,86,0,185,0,0,0,17,1,63,0,334,1097,686,49
StClair-GALLANT VFD,10,0,2,128,6,0,0,2,0,10,0,15,0,0,0,6,0,9,0,35,140,75,8
StClair-GUM SPRINGS CH,22,3,8,388,9,0,0,9,1,21,0,59,0,0,0,7,0,33,0,133,421,254,18
StClair-MOODY CITY HALL,807,22,115,3722,231,0,0,130,7,273,3,632,2,0,2,62,2,367,1,905,4666,2256,361
StClair-NEW HOPE BAP,85,3,11,701,23,0,1,13,3,43,1,124,0,1,3,7,0,55,1,187,800,425,37
StClair-NEW LONDON VFD,141,1,12,692,60,0,0,14,0,30,0,121,0,0,2,8,1,55,0,246,846,463,74
StClair-NORTH VLY CH,474,2,36,1439,161,0,2,54,2,101,0,246,0,0,1,16,3,79,2,323,1951,773,217
StClair-ODENVILLE CIVIC CTR,119,7,40,1470,20,0,0,29,1,81,2,252,0,0,1,20,3,100,0,399,1636,859,49
