precinct_code,gen_dem_CLINTON,gen_ind_CLINTON,gen_ind_JOHNSON,gen_ind_STEIN,gen_ind_TRUMP,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_ind_CLINTON,pri_ind_CRUZ,pri_ind_KASICH,pri_ind_SANDERS,pri_ind_TRUMP,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Lane-41039754,444.0,0.0,63.0,31.0,0.0,583.0,140.0,198.0,0.0,0.0,0.0,0.0,0.0,26.0,36.0,183.0,1121.0,245.0,338.0
Lane-41039756,1118.0,0.0,137.0,51.0,0.0,1663.0,393.0,412.0,0.0,0.0,0.0,0.0,0.0,134.0,125.0,594.0,2969.0,853.0,805.0
Lane-41039758,693.0,0.0,95.0,31.0,0.0,923.0,225.0,281.0,0.0,0.0,0.0,0.0,0.0,66.0,74.0,340.0,1742.0,480.0,506.0
Lane-41039760,790.0,0.0,84.0,40.0,0.0,925.0,245.0,341.0,0.0,0.0,0.0,0.0,0.0,87.0,44.0,298.0,1839.0,429.0,586.0
Lane-41039762,652.0,0.0,42.0,36.0,0.0,524.0,213.0,254.0,0.0,0.0,0.0,0.0,0.0,37.0,34.0,178.0,1254.0,249.0,467.0
Lane-41039764,516.0,0.0,74.0,27.0,0.0,746.0,130.0,259.0,0.0,0.0,0.0,0.0,0.0,25.0,42.0,245.0,1363.0,312.0,389.0
Lane-41039766,247.0,0.0,25.0,18.0,0.0,351.0,71.0,107.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,125.0,641.0,166.0,178.0
Lincoln-4104101 Waldport,641.0,0.0,44.0,35.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,39.0,46.0,164.0,720.0,249.0,250.0
Lincoln-4104102 Alsea,209.0,0.0,16.0,18.0,0.0,258.0,70.0,81.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,88.0,501.0,117.0,151.0
Lincoln-4104103 Seaview,305.0,0.0,30.0,35.0,0.0,264.0,104.0,138.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,80.0,634.0,124.0,242.0
