precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
10ADAMS1,252,2,165,2,4,232,275,8,506,7,956,9,73,1893,419,1027,956,1893
10ADAMS2,169,2,105,4,3,181,190,3,481,4,668,11,61,1572,276,862,668,1572
10ADAMS3,247,1,155,5,3,201,228,5,577,9,751,7,58,1708,403,1019,751,1708
10ALLEGHENY,16,0,19,0,1,39,17,2,64,6,40,0,5,205,35,123,40,205
10BRADY,48,2,57,1,1,43,22,0,114,1,138,5,21,380,107,181,138,380
10BRUIN,12,0,9,1,1,25,7,0,63,1,25,1,5,149,21,97,25,149
10BUFFALO1,137,6,123,1,3,106,79,3,322,2,399,5,37,985,266,514,399,985
10BUFFALO2,131,3,124,2,2,87,98,0,312,1,368,10,32,988,258,501,368,988
10BUFFALO3,126,5,97,1,4,77,93,3,236,6,344,4,39,819,228,414,344,819
10BUTLER1,148,3,159,1,4,82,50,6,178,5,473,12,67,683,310,321,473,683
10BUTLER11,205,2,155,2,7,101,120,2,338,5,549,26,42,1060,362,570,549,1060
10BUTLER12,135,4,105,3,4,72,66,2,262,5,351,11,36,783,244,409,351,783
10BUTLER2,150,5,134,1,1,56,27,1,151,4,397,10,61,600,289,237,397,600
10BUTLER3,161,7,125,1,8,97,68,2,239,15,483,21,52,827,293,415,483,827
10BUTLER4,179,7,173,3,5,130,128,4,378,5,504,11,61,1158,359,648,504,1158
10BUTLER41,70,1,64,1,2,27,30,1,102,3,233,11,24,284,135,163,233,284
10BUTLER42,74,0,95,0,2,35,42,2,116,5,256,6,23,336,169,197,256,336
10BUTLER5,342,1,273,6,6,152,120,2,420,8,926,22,100,1426,616,706,926,1426
10BUTLER6NORTH,121,2,105,1,2,70,69,4,222,5,331,10,23,633,228,368,331,633
10BUTLER6SOUTH,130,3,96,0,3,110,89,2,261,3,359,4,24,812,229,465,359,812
10CALLERY,16,3,11,0,0,13,14,0,51,2,41,2,12,150,30,78,41,150
10CENTER1,181,3,136,3,2,124,94,6,335,3,469,10,43,1049,320,564,469,1049
10CENTER2,163,5,104,3,2,159,107,2,377,5,474,6,50,1090,272,650,474,1090
10CENTER3,119,3,129,4,4,133,76,2,325,6,379,12,39,1038,251,544,379,1038
10CHERRY,47,3,57,1,0,40,17,0,127,2,141,3,21,392,107,185,141,392
10CHERRYVALLEY,7,0,4,0,0,0,4,0,6,0,6,3,1,19,11,10,6,19
10CHICORA,50,2,34,1,3,28,16,0,99,2,81,1,14,328,86,147,81,328
10CLAY,104,7,95,2,1,67,40,4,251,7,250,9,27,867,206,365,250,867
10CLEARFIELD,87,5,129,2,2,92,32,1,247,5,244,8,34,826,221,376,244,826
10CLINTON,110,3,104,3,6,147,132,5,398,6,379,2,54,1158,217,691,379,1158
10CONCORD,45,4,75,3,3,51,47,2,171,1,117,4,16,544,124,277,117,544
10CONNOQUENESSING,206,8,204,4,11,255,190,3,668,13,678,20,107,1950,418,1131,678,1950
10CRANBERRYEAST1,150,0,89,1,3,159,221,3,415,7,663,6,55,1298,239,802,663,1298
10CRANBERRYEAST2,130,4,77,1,6,123,159,3,355,3,503,6,39,1103,211,647,503,1103
10CRANBERRYEAST3,168,0,123,4,5,117,164,9,332,4,647,8,54,1018,291,631,647,1018
10CRANBERRYWEST1,182,5,100,2,3,168,204,2,351,3,685,3,53,1229,287,730,685,1229
10CRANBERRYWEST2,195,2,113,7,7,122,155,5,265,5,645,7,56,877,310,561,645,877
10CRANBERRYWEST3,198,7,152,1,2,167,233,6,366,10,826,7,66,1354,357,775,826,1354
10CRANBERRYWEST4,179,2,144,5,3,149,164,7,287,6,672,10,69,1008,325,615,672,1008
10CRANBERRYWEST5,152,1,138,1,5,110,97,3,247,7,601,9,64,909,291,463,601,909
10CRANBERRYWEST6,185,1,117,3,2,138,177,7,305,5,690,9,65,1018,303,632,690,1018
10DONEGAL,80,2,105,1,5,83,40,0,214,6,192,6,23,672,187,343,192,672
10EASTBUTLER,41,1,41,1,2,27,10,1,54,2,83,3,14,240,83,95,83,240
10EAUCLAIRE,9,1,2,1,0,7,6,0,29,1,21,1,7,70,12,43,21,70
10EVANSCITY,92,2,91,0,1,86,53,1,176,4,264,10,43,589,185,317,264,589
10FAIRVIEW,90,6,110,1,4,75,51,1,241,4,212,2,35,838,206,373,212,838
10FOR,102,3,120,2,6,113,120,2,349,11,362,10,46,1020,225,592,362,1020
10FRANKLIN,134,6,147,6,4,140,99,2,387,8,343,10,39,1115,287,638,343,1115
10HARMONY,45,0,63,0,3,47,55,1,100,5,181,9,23,331,108,206,181,331
10HARRISVILLE,25,2,41,0,0,38,35,1,92,6,81,2,14,273,68,166,81,273
10JACKSON,194,1,172,2,3,205,163,2,446,9,651,14,63,1531,367,821,651,1531
10JEFFERSONI,104,8,100,7,5,159,86,1,330,5,301,8,36,1056,212,588,301,1056
10JEFFERSONII,91,3,66,1,7,137,92,5,319,5,298,4,31,959,160,561,298,959
10KARNSCITY,8,1,12,1,0,5,4,1,25,0,15,0,1,70,21,36,15,70
10LANCASTER,114,2,100,2,6,163,124,5,347,11,375,8,53,1046,216,647,375,1046
10MARION,62,1,62,0,0,44,30,0,109,1,140,4,8,419,125,183,140,419
10MARS,60,3,68,4,2,73,59,2,158,2,203,8,23,493,131,298,203,493
10MERCER,26,2,32,0,1,52,27,1,130,2,82,7,17,400,60,211,82,400
10MIDDLESEXNORTH,134,4,109,5,6,164,110,4,356,4,392,7,42,1083,247,645,392,1083
10MIDDLESEXSOUTH,125,12,130,5,3,133,132,5,391,4,503,6,49,1205,267,669,503,1205
10MUDDYCREEK,61,4,75,2,4,128,63,2,245,4,196,10,37,874,140,444,196,874
10OAKLAND,125,8,134,5,8,91,70,2,331,4,308,8,47,1074,267,507,308,1074
10PARKER,14,0,23,1,3,32,22,2,75,3,37,1,8,245,37,135,37,245
10PENNEAST,102,1,109,2,5,156,134,6,401,8,346,5,37,1128,212,704,346,1128
10PENNWEST,118,2,87,2,6,130,129,4,396,7,361,7,50,1046,207,667,361,1046
10PETROLIA,8,1,14,0,0,3,2,0,5,0,19,0,5,42,23,10,19,42
10PORTERSVILLE,6,1,10,0,0,23,15,1,36,0,30,2,7,96,17,75,30,96
10PROSPECT,51,4,54,3,3,61,27,1,153,7,136,1,25,408,109,248,136,408
10SAXONBURG,92,1,69,3,2,67,77,1,180,3,242,6,24,506,162,330,242,506
10SEVENFIELDS,145,3,88,2,0,114,180,4,268,3,587,5,53,953,236,568,587,953
10SLIPPERYROCK,284,6,385,5,12,210,179,5,513,10,1648,57,181,2016,675,924,1648,2016
10SUMMITNORTH,72,5,59,3,7,67,37,5,167,5,206,2,25,612,136,286,206,612
10SUMMITSOUTH,112,8,135,2,6,114,56,2,297,7,279,12,33,955,255,477,279,955
10VALENCIA,55,4,28,4,1,24,52,2,64,0,120,2,7,217,87,147,120,217
10VENANGO,22,2,28,1,0,17,13,0,97,1,58,3,4,302,52,128,58,302
10WASHINGTON,48,2,33,2,2,31,17,1,166,3,112,1,11,473,83,219,112,473
10WESTLIBERTY,20,0,15,0,3,14,10,1,47,0,42,4,6,139,35,75,42,139
10WESTSUNBURY,2,0,11,0,0,6,4,0,24,0,22,0,2,56,13,34,22,56
10WINFIELD,115,8,155,0,8,198,135,6,438,11,417,8,33,1403,278,785,417,1403
10WORTH,58,1,73,2,5,83,40,1,186,3,188,5,29,602,132,317,188,602
10ZELIENOPLE1,71,1,71,1,3,64,63,4,113,3,220,6,22,419,143,248,220,419
10ZELIENOPLE2,76,2,66,6,4,84,87,3,129,5,289,6,27,443,144,313,289,443
10ZELIENOPLE3,70,1,67,1,2,60,53,3,150,3,280,4,39,483,138,269,280,483
11ADAMS1,105,9,97,1,0,52,33,1,156,5,200,5,18,588,211,243,200,588
11ADAMSDUNLO,55,4,82,0,1,17,10,0,54,0,113,4,9,283,141,82,113,283
11ADAMSELTON,87,7,97,1,3,61,32,3,197,3,195,2,10,650,191,297,195,650
11ADAMSGRAMLINGTON,43,5,56,3,1,45,24,1,94,3,86,5,7,345,104,168,86,345
11ADAMSST.MICHAEL,85,1,87,0,1,34,10,0,80,4,157,4,7,356,173,125,157,356
11ALLEGHENY,86,4,117,2,2,46,29,3,152,1,190,6,16,651,207,234,190,651
11ASHVILLE,14,3,20,0,0,6,1,0,14,0,29,2,3,91,37,21,29,91
11BARRA(SOUTHCONG9),91,7,168,1,1,83,29,0,244,2,168,5,8,876,266,358,168,876
11BLACKLICK,107,7,121,1,2,41,15,0,140,4,242,2,9,666,235,199,242,666
11BROWNSTOWN,65,1,81,0,0,17,6,2,50,1,129,7,4,220,147,75,129,220
11CAMBRIA1,147,11,135,3,4,45,35,1,149,3,259,9,25,618,293,237,259,618
11CAMBRIA4,97,7,90,1,0,48,28,1,160,4,203,5,21,562,194,238,203,562
11CAMBRIACOLVER,70,16,101,0,3,23,13,3,97,3,138,4,15,484,187,139,138,484
11CAMBRIAREVLOC,56,5,60,0,0,9,9,1,77,1,106,5,18,261,121,96,106,261
11CARROLLTOWN,86,4,85,1,2,19,12,2,92,6,151,1,15,392,175,128,151,392
11CASSANDRA,11,2,11,0,0,3,1,0,17,0,16,0,1,55,24,21,16,55
11CHEST,23,1,19,1,3,18,7,0,57,1,43,1,2,178,43,86,43,178
11CHESTSPRINGS,4,1,15,0,0,3,4,0,13,0,15,1,2,68,20,20,15,68
11CLEARFIELD,76,7,124,2,5,42,11,0,171,4,169,5,11,602,207,231,169,602
11CONEMAUGHCENTER,65,6,69,1,3,27,25,1,94,3,139,1,8,383,140,151,139,383
11CONEMAUGHCOVERHILL,66,3,88,1,2,28,15,0,75,1,105,4,15,357,157,121,105,357
11CRESSON,89,6,97,0,3,43,26,1,111,1,201,6,18,475,192,184,201,475
11CRESSONNORTH,85,9,86,2,3,37,19,0,98,2,188,5,14,438,180,159,188,438
11CRESSONSOUTH,66,6,80,0,2,33,30,1,96,2,148,4,7,383,152,162,148,383
11CROYLE1,67,4,79,0,2,43,21,3,130,1,133,1,5,444,150,199,133,444
11CROYLE2,57,6,92,1,2,36,18,1,112,3,152,3,14,419,155,170,152,419
11DAISYTOWN,28,2,29,0,0,3,6,0,31,0,45,0,3,134,59,40,45,134
11DALE,52,4,45,1,0,20,20,0,46,1,140,4,11,213,101,87,140,213
11DEAN,27,1,16,0,0,6,9,0,53,1,50,1,0,145,44,68,50,145
11EASTCARROLLNORTH,28,2,33,0,1,9,4,0,15,1,56,2,10,118,63,29,56,118
11EASTCARROLLSOUTH,55,13,105,0,1,40,14,0,148,5,125,3,9,518,173,203,125,518
11EASTCONEMAUGH,85,5,68,0,0,11,1,1,36,1,142,4,14,224,158,49,142,224
11EASTTAYLOR1,32,2,42,0,0,12,3,0,45,1,57,6,4,198,76,60,57,198
11EASTTAYLOR2,36,2,52,0,0,6,1,0,34,1,74,5,9,161,90,41,74,161
11EASTTAYLOR3,72,5,100,0,0,16,7,0,60,1,139,3,12,300,177,83,139,300
11EASTTAYLOR4,25,2,53,0,2,23,11,0,55,1,49,3,10,219,80,91,49,219
11EBENSBURGCENTER,93,5,85,3,2,27,26,5,54,2,198,7,14,296,183,117,198,296
11EBENSBURGEAST,69,7,103,2,3,21,18,0,84,0,227,4,8,362,179,128,227,362
11EBENSBURGWEST,102,3,105,0,2,33,30,2,98,7,257,0,18,400,210,165,257,400
11EHRENFELD,9,2,19,0,0,1,2,0,11,0,30,0,0,55,30,14,30,55
11ELDER,53,7,68,0,0,23,6,0,53,1,108,6,6,299,128,82,108,299
11FERNDALE,81,5,90,0,1,51,24,0,117,4,217,3,19,444,176,193,217,444
11FRANKLIN,40,2,26,0,0,1,0,0,11,0,80,0,2,55,68,12,80,55
11GALLITZIN,146,12,186,0,2,59,34,0,264,8,299,11,23,980,344,359,299,980
11GEISTOWN1,66,0,80,0,3,25,16,1,108,1,158,3,14,340,146,153,158,340
11GEISTOWN2,121,4,110,0,2,56,34,1,132,1,255,3,13,537,235,225,255,537
11HASTINGS,84,6,89,0,0,22,11,1,61,1,150,4,13,338,179,95,150,338
11JACKSON1,50,1,67,0,0,25,18,1,82,0,110,0,12,327,118,126,110,327
11JACKSON3,91,9,105,2,3,63,32,0,172,5,161,2,10,677,205,272,161,677
11JACKSONVINCO,96,8,120,0,1,60,27,0,186,2,197,6,16,652,224,274,197,652
11JOHNSTOWN11,47,0,42,0,1,5,3,2,17,0,102,2,4,86,89,28,102,86
11JOHNSTOWN171,69,3,65,0,0,13,6,1,45,1,191,5,9,168,137,65,191,168
11JOHNSTOWN172,69,3,57,2,0,24,6,2,62,4,223,8,13,248,129,96,223,248
11JOHNSTOWN173,41,1,38,0,2,15,5,0,43,0,152,2,7,189,80,65,152,189
11JOHNSTOWN174,47,4,42,0,0,16,3,0,34,2,109,7,1,126,93,53,109,126
11JOHNSTOWN18,55,5,56,0,1,15,5,1,55,3,134,3,6,199,116,77,134,199
11JOHNSTOWN19,81,1,71,0,0,16,8,2,57,1,191,2,10,227,153,83,191,227
11JOHNSTOWN201,103,10,91,1,1,15,10,0,64,6,246,2,9,309,204,91,246,309
11JOHNSTOWN202,67,3,48,1,1,12,4,2,39,0,216,5,7,195,118,59,216,195
11JOHNSTOWN21,34,2,39,0,1,18,5,0,43,0,99,2,5,171,75,67,99,171
11JOHNSTOWN7,132,2,55,0,4,15,4,2,34,2,354,5,10,181,189,59,354,181
11JOHNSTOWN81,25,0,12,0,0,1,3,0,5,0,36,0,3,26,37,9,36,26
11JOHNSTOWN82,41,3,44,1,0,21,3,0,50,0,119,1,8,152,88,75,119,152
11JOHNSTOWN83,103,3,154,2,1,37,27,4,123,3,291,4,24,448,260,194,291,448
11JOHNSTOWNCAMBRIACITY,35,0,40,0,0,1,3,0,26,0,87,5,8,79,75,30,87,79
11JOHNSTOWNCENTERTOWN1,60,1,24,2,0,8,6,1,20,1,118,0,4,73,85,37,118,73
11JOHNSTOWNCENTERTOWN2,41,1,22,0,0,10,3,0,12,1,112,2,2,58,64,25,112,58
11JOHNSTOWNKERNVILLE,61,0,26,0,1,11,1,0,18,0,159,0,5,95,87,31,159,95
11JOHNSTOWNOLDCONEMAUGH,49,0,38,0,1,7,4,0,19,1,136,1,6,102,87,31,136,102
11JOHNSTOWNPROSPECT,67,0,21,0,0,1,0,0,7,1,171,1,1,35,88,8,171,35
11LILLY1,23,3,22,0,0,5,5,1,27,1,43,4,1,103,48,38,43,103
11LILLY2,33,1,43,0,0,5,8,1,37,0,78,1,7,165,77,51,78,165
11LORAIN,53,1,30,0,0,5,5,0,47,2,82,0,5,171,84,57,82,171
11LORETTO,23,4,18,1,0,19,9,0,21,1,92,3,8,168,45,50,92,168
11LOWERYODER1,107,5,112,0,2,24,11,0,75,1,221,8,10,439,224,112,221,439
11LOWERYODER2,110,8,114,2,2,33,22,1,128,3,237,1,13,454,232,188,237,454
11MIDDLETAYLOR,57,5,55,2,0,32,12,0,81,3,108,1,9,263,117,127,108,263
11MUNSTER,24,9,36,0,1,49,16,1,89,3,45,3,2,332,69,156,45,332
11NANTYGLO1,68,5,94,1,2,18,6,1,63,4,123,6,7,332,167,91,123,332
11NANTYGLO2,124,5,87,0,2,18,7,0,62,3,223,1,7,388,216,89,223,388
11NORTHERNCAMBRIA1,45,1,35,0,0,8,9,1,54,2,76,1,5,228,81,72,76,228
11NORTHERNCAMBRIA2,40,2,46,0,0,7,2,0,36,0,67,1,8,191,88,45,67,191
11NORTHERNCAMBRIA3A(CONG9),39,5,53,0,0,16,4,0,62,2,94,4,4,242,97,82,94,242
11NORTHERNCAMBRIA4,46,5,48,0,0,12,10,1,41,2,74,0,3,239,99,64,74,239
11NORTHERNCAMBRIA5,58,4,72,0,0,13,3,1,41,1,96,3,8,202,134,58,96,202
11PATTON1,72,3,54,3,1,11,8,1,79,1,124,2,3,262,129,103,124,262
11PATTON2,77,2,67,0,0,20,5,0,58,0,133,3,11,261,146,83,133,261
11PORTAGE1,37,1,44,0,1,5,7,0,32,1,77,3,8,154,82,45,77,154
11PORTAGE2,51,4,66,0,0,16,13,1,48,2,99,2,7,254,121,78,99,254
11PORTAGE3,37,2,64,2,2,18,9,1,54,0,97,4,6,249,103,86,97,249
11PORTAGECENTER,111,20,116,1,1,34,8,0,135,2,231,7,13,553,247,179,231,553
11PORTAGESOUTHWEST,118,7,140,1,2,44,19,1,134,5,243,9,22,575,265,201,243,575
11READENORTH,35,0,41,0,1,31,15,0,135,2,75,3,10,365,76,182,75,365
11READESOUTH,10,0,14,0,2,8,4,0,43,1,36,0,2,146,24,57,36,146
11RICHLAND1,78,5,82,3,4,62,25,4,167,3,195,2,16,543,165,265,195,543
11RICHLAND2,118,1,107,0,6,72,44,2,197,1,280,7,14,613,226,321,280,613
11RICHLAND3,59,4,48,0,0,60,19,1,132,0,120,2,11,386,111,212,120,386
11RICHLAND4,103,2,78,9,5,55,49,1,137,2,201,6,11,464,183,256,201,464
11RICHLAND5,76,2,102,0,2,53,28,2,152,0,237,2,21,484,180,237,237,484
11RICHLAND6,86,2,83,0,2,60,26,1,146,4,221,10,18,414,171,235,221,414
11RICHLAND7,100,8,103,1,1,61,47,1,185,2,200,3,26,622,211,296,200,622
11RICHLAND8,54,1,57,2,2,43,16,1,93,0,154,1,10,320,112,157,154,320
11RICHLAND9,97,1,73,1,3,39,32,3,146,3,208,3,14,407,171,224,208,407
11SANKERTOWN,34,5,59,1,0,14,7,2,46,5,63,2,4,196,98,70,63,196
11SCALPLEVEL,70,1,38,1,0,12,6,1,42,3,118,1,5,198,109,62,118,198
11SOUTHFORK,46,0,38,2,1,6,10,0,69,1,100,2,6,244,84,88,100,244
11SOUTHMONT1,125,2,103,3,2,44,53,3,155,2,287,9,31,494,230,260,287,494
11SOUTHMONT2,38,1,43,1,3,16,14,2,76,4,113,4,6,228,82,112,113,228
11STONYCREEK1,65,1,45,0,2,32,19,1,90,2,146,2,7,263,111,144,146,263
11STONYCREEK2,26,0,17,1,0,21,5,1,30,1,55,1,1,131,43,58,55,131
11STONYCREEK3,55,3,59,1,1,26,17,2,67,0,137,2,9,238,117,114,137,238
11STONYCREEK4,61,2,64,0,3,36,35,1,77,5,142,4,9,290,127,152,142,290
11SUMMERHILL,32,2,53,0,2,11,17,1,42,1,71,2,9,196,87,73,71,196
11SUMMERHILLNORTH,49,6,88,0,1,42,9,0,122,5,117,3,16,446,143,174,117,446
11SUMMERHILLSOUTH,69,6,66,0,0,23,7,0,106,7,131,2,12,403,141,136,131,403
11SUSQUEHANNANORTH,63,7,86,0,1,19,12,0,106,1,98,2,8,426,156,138,98,426
11SUSQUEHANNASOUTH,52,4,60,0,0,10,7,0,63,1,95,2,5,262,116,80,95,262
11TUNNELHILL,6,2,21,1,0,0,1,0,21,0,18,0,5,79,29,23,18,79
11UPPERYODER1,103,7,108,0,1,81,64,2,181,3,241,3,15,624,218,329,241,624
11UPPERYODER2,70,3,66,2,1,32,28,1,79,5,155,0,9,315,139,143,155,315
11UPPERYODER3,81,0,90,0,2,39,31,1,113,1,218,5,8,376,171,186,218,376
11UPPERYODER4,91,4,90,0,1,38,29,1,104,4,205,0,14,360,185,173,205,360
11VINTONDALE,18,1,23,0,0,15,2,0,32,5,42,0,3,128,42,49,42,128
11WASHINGTON,64,1,85,0,0,17,2,0,62,3,117,1,8,320,150,81,117,320
11WESTCARROLLNORTH,27,2,42,0,0,7,3,0,51,1,60,2,3,182,71,61,60,182
11WESTCARROLLSOUTH,44,3,39,1,2,8,2,0,49,3,88,1,6,205,86,62,88,205
11WESTMONT1,113,5,125,2,2,52,70,2,142,1,303,7,31,501,243,270,303,501
11WESTMONT2,126,6,149,3,4,86,113,5,281,6,364,9,17,773,281,492,364,773
11WESTMONT3,148,2,125,0,2,70,64,2,213,1,362,4,16,683,275,351,362,683
11WESTTAYLOR,54,5,49,1,0,14,6,1,67,3,87,3,4,284,108,89,87,284
11WHITE,31,4,40,1,1,40,9,1,89,3,77,0,7,341,75,141,77,341
11WILMORE,6,3,11,1,0,8,6,0,17,1,22,0,2,79,20,32,22,79
12DRIFTWOOD,3,0,4,0,0,1,3,0,13,0,8,0,1,28,7,17,8,28
12EMPORIUMEAST,19,3,21,1,0,12,11,2,25,1,43,0,5,112,43,51,43,112
12EMPORIUMMIDDLE,22,1,25,2,2,15,23,0,45,0,71,0,5,171,48,87,71,171
12EMPORIUMWEST,52,3,42,4,4,33,22,3,88,3,131,1,11,250,97,154,131,250
12GIBSON,5,0,13,0,0,7,3,0,35,1,16,0,1,81,18,45,16,81
12GROVE,7,2,9,0,0,6,2,0,16,0,15,0,2,47,18,24,15,47
12LUMBER,10,3,16,0,0,8,7,0,30,0,36,3,3,83,29,45,36,83
12PORTAGE,5,2,8,0,0,11,4,0,15,0,15,0,2,63,15,30,15,63
12SHIPPENEAST,29,3,47,2,5,39,20,1,82,1,98,0,10,287,79,149,98,287
12SHIPPENWEST,34,1,55,0,6,63,42,5,154,1,98,2,13,467,90,270,98,467
13BANKS4,100,3,79,0,1,5,8,0,94,2,138,7,6,336,182,108,138,336
13BEAVERMEADOWS,41,1,52,0,0,19,8,0,83,3,96,2,12,273,94,110,96,273
13BOWMANSTOWN,46,2,44,0,0,18,13,0,85,1,104,4,7,260,92,116,104,260
13EASTPENNNORTH,54,1,72,1,3,36,34,0,200,1,197,3,19,536,127,274,197,536
13EASTPENNSOUTH,78,3,63,2,3,33,13,2,147,1,166,5,10,431,144,200,166,431
13EASTSIDE,15,0,18,1,0,3,2,0,28,2,28,2,5,84,33,34,28,84
13FRANKLINFRANKLININD.,47,1,40,3,2,27,22,0,122,4,120,2,8,361,88,176,120,361
13FRANKLINHARRITY,83,4,103,0,1,41,30,1,227,5,229,0,20,650,190,300,229,650
13FRANKLINLONGRUN,51,0,75,1,2,55,25,2,179,3,161,9,28,528,126,264,161,528
13JIMTHORPE1,85,2,101,0,1,23,10,0,56,1,210,11,23,253,188,90,210,253
13JIMTHORPE2,75,2,46,0,1,12,3,0,63,2,149,6,11,212,123,79,149,212
13JIMTHORPE3,102,3,107,2,0,32,13,1,127,2,224,1,9,412,212,175,224,412
13JIMTHORPE4,62,1,54,0,0,16,4,1,30,5,154,3,10,121,117,51,154,121
13JIMTHORPE5,78,2,87,0,2,18,17,0,106,1,194,9,7,302,167,143,194,302
13KIDDERNORTH,27,0,27,1,0,9,5,0,63,0,81,4,7,158,54,78,81,158
13KIDDERSOUTH,51,1,54,0,0,27,31,2,178,2,180,4,5,456,106,238,180,456
13LANSFORDFIRST,92,3,76,3,1,15,9,0,114,5,223,6,18,347,171,142,223,347
13LANSFORDMIDDLE,63,2,53,1,2,12,7,1,75,1,143,2,6,221,118,98,143,221
13LANSFORDWEST,45,3,52,0,0,15,8,0,57,3,126,2,6,224,100,80,126,224
13LAUSANNE,10,1,15,0,0,4,1,0,39,1,24,0,2,91,26,44,24,91
13LEHIGH,8,0,17,1,0,20,6,1,91,1,41,4,2,200,25,119,41,200
13LEHIGHTON1,82,2,89,1,2,49,18,2,128,6,266,6,16,416,173,200,266,416
13LEHIGHTON2,86,1,93,1,7,35,15,1,114,4,230,4,28,373,180,173,230,373
13LEHIGHTON3,107,3,67,0,3,39,13,0,108,8,237,4,14,364,177,163,237,364
13LOWERTOWAMENSINGNORTH,84,4,86,1,1,48,14,0,165,3,223,6,32,549,174,229,223,549
13LOWERTOWAMENSINGSOUTH,68,2,66,2,1,41,10,0,104,3,152,4,23,414,136,158,152,414
13MAHONINGMAHONING,124,3,133,0,6,78,32,2,266,5,317,13,24,788,260,384,317,788
13MAHONINGNEWMAHONING,35,2,46,2,0,26,21,0,110,1,96,2,9,302,83,159,96,302
13NESQUEHONINGEAST,112,6,117,1,1,20,10,1,99,1,240,4,18,389,235,132,240,389
13NESQUEHONINGWEST,113,4,119,3,0,22,15,1,134,1,235,5,3,504,236,175,235,504
13PACKER,41,2,43,2,2,38,8,1,236,3,81,3,5,480,86,287,81,480
13PALMERTONEASTERN,86,4,82,0,0,46,21,1,142,3,232,7,21,497,172,210,232,497
13PALMERTONMIDDLE,151,2,129,4,4,72,29,1,146,3,399,12,40,647,282,256,399,647
13PALMERTONWESTERN,35,4,48,1,0,11,4,0,49,1,108,6,10,243,87,65,108,243
13PARRYVILLE,21,1,25,0,1,12,4,0,31,1,45,2,7,145,47,48,45,145
13PENNFORESTEAST,63,1,77,0,1,30,14,1,176,7,347,12,15,550,141,222,347,550
13PENNFORESTMIDDLE,66,2,48,0,0,24,13,0,117,5,227,11,7,388,116,154,227,388
13PENNFORESTNORTH/WEST,86,2,91,0,3,51,25,3,201,5,319,8,17,636,179,283,319,636
13PENNFORESTNORTHEAST,94,3,93,2,4,33,12,1,196,6,364,7,18,602,190,248,364,602
13PENNFORESTSOUTH/WEST,83,1,118,1,1,65,44,1,193,4,302,7,29,586,202,305,302,586
13SUMMITHILL1,96,1,90,0,0,10,4,2,52,1,150,5,9,188,187,68,150,188
13SUMMITHILL2,81,2,65,0,2,7,9,0,57,4,144,4,9,208,148,75,144,208
13SUMMITHILL31,66,0,77,0,3,11,7,0,95,4,147,6,14,250,143,116,147,250
13SUMMITHILL32,39,3,47,0,0,8,4,0,70,1,77,2,3,184,89,82,77,184
13TOWAMENSINGNORTH,65,1,69,0,2,52,13,2,163,4,207,12,17,486,135,232,207,486
13TOWAMENSINGSOUTH1,48,1,64,1,2,45,29,2,168,2,182,3,17,560,113,247,182,560
13TOWAMENSINGSOUTH2,88,0,57,1,0,43,14,1,149,2,216,5,17,480,145,208,216,480
13WEATHERLYEAST,70,4,68,3,1,36,15,0,207,3,195,6,18,506,142,262,195,506
13WEATHERLYWEST,36,2,38,0,2,20,10,1,111,1,80,6,10,264,76,144,80,264
13WEISSPORT,13,2,29,0,1,11,0,1,14,1,38,2,7,77,44,27,38,77
14BELLEFONTENORTH,52,3,69,2,4,32,19,3,54,2,188,3,22,174,124,114,188,174
14BELLEFONTENORTHEAST,73,4,73,7,9,78,45,1,123,9,259,7,10,385,150,263,259,385
14BELLEFONTESOUTH,52,0,80,1,2,35,18,3,54,6,230,4,17,193,132,113,230,193
14BELLEFONTESOUTHEAST,69,2,97,4,1,72,49,2,132,6,283,10,35,375,168,260,283,375
14BELLEFONTEWEST,93,4,220,4,2,55,41,3,121,7,443,13,48,398,317,226,443,398
14BENNERNORTH,78,3,103,5,5,83,51,4,215,2,318,8,26,679,184,363,318,679
14BENNERSOUTH,150,2,130,2,3,118,98,5,293,5,482,8,32,821,282,519,482,821
14BOGGSEAST,45,2,48,0,3,51,21,3,140,4,108,4,8,427,95,218,108,427
14BOGGSWEST,55,3,70,0,2,63,31,2,201,5,157,3,14,605,128,299,157,605
14BURNSIDE,14,0,16,0,0,13,3,0,64,0,45,0,2,157,30,80,45,157
14CENTREHALL,67,1,81,4,4,75,36,3,125,2,230,2,23,443,149,247,230,443
14COLLEGEEAST,213,1,242,3,4,97,100,3,161,10,839,19,51,506,456,368,839,506
14COLLEGENORTH,249,6,309,3,5,176,159,4,270,2,1056,14,97,871,564,617,1056,871
14COLLEGESOUTH,253,1,164,6,9,120,171,7,209,6,802,16,34,736,418,522,802,736
14COLLEGEWEST,81,0,142,1,2,45,49,1,38,3,518,9,33,303,223,136,518,303
14CURTINNORTH,9,1,12,0,0,8,0,0,0,0,18,0,0,21,22,8,18,21
14CURTINSOUTH,22,1,29,3,0,20,4,0,49,4,42,0,8,161,52,76,42,161
14FERGUSONEAST,161,0,156,3,5,116,87,3,161,6,578,15,42,509,317,375,578,509
