precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
48LOWERSAUCON4,101,2,90,1,1,54,42,3,131,2,362,11,18,438,193,232,362,438
48LOWERSAUCON5,46,2,53,1,0,30,11,0,59,3,140,4,14,203,101,101,140,203
48LOWERSAUCON6,105,4,126,0,1,59,43,1,151,3,320,11,22,512,235,255,320,512
48LOWERSAUCON7,77,0,55,1,1,50,58,0,84,1,283,8,25,319,132,194,283,319
48LOWERSAUCON8,124,1,116,0,2,64,78,3,130,1,450,1,25,419,241,277,450,419
48MOOREBEERSVILLE,128,0,100,1,3,70,28,0,189,4,320,12,25,641,228,291,320,641
48MOOREEASTERN,206,5,201,1,3,143,57,3,374,2,580,9,37,1145,412,581,580,1145
48MOOREKLECKNERSVILLE,124,8,148,2,1,103,42,1,322,2,380,9,39,978,280,471,380,978
48MOOREPT.PHILLIPS,63,4,80,0,0,39,17,0,141,3,191,4,21,465,147,197,191,465
48NAZARETH1,132,1,127,1,0,75,53,3,141,6,449,10,27,569,260,273,449,569
48NAZARETH2,90,4,131,3,1,29,35,2,108,5,408,10,28,438,225,178,408,438
48NAZARETH3,92,4,139,0,6,43,13,0,86,6,359,15,34,433,235,148,359,433
48NORTHAMPTON1,155,3,127,2,1,55,33,1,164,3,430,18,38,611,285,256,430,611
48NORTHAMPTON2,119,6,142,1,4,61,19,3,136,5,377,7,24,564,267,224,377,564
48NORTHAMPTON3,271,4,243,1,3,74,42,0,305,7,779,22,55,1124,518,425,779,1124
48NORTHAMPTON4,45,2,87,0,0,21,7,0,59,1,206,7,17,248,134,87,206,248
48NORTHCATASAUQUA1,45,0,48,0,0,15,8,0,50,3,159,5,17,227,93,73,159,227
48NORTHCATASAUQUA2,148,1,138,2,4,55,43,3,130,4,387,9,29,514,287,237,387,514
48PALMEREASTERN,275,0,203,0,4,93,40,3,220,4,1002,19,49,904,478,360,1002,904
