precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
SILVER BOWPREC_21,153,108,3,3,3,3,60,5,319,9,33,157,261,72,319,157
SILVER BOWPREC_22,291,291,10,26,15,6,194,11,622,32,80,520,582,251,622,520
SILVER BOWPREC_26E,23,24,0,3,0,1,46,2,43,1,5,71,47,50,43,71
SILVER BOWPREC_26W,26,19,0,3,5,3,40,1,57,3,3,107,45,51,57,107
SILVER BOWPREC_27N,16,9,0,1,1,0,25,0,22,0,5,71,25,27,22,71
SILVER BOWPREC_27S,65,47,3,9,3,2,75,0,129,1,13,177,112,92,129,177
SILVER BOWPREC_28,14,12,0,8,3,0,35,0,33,2,5,78,26,46,33,78
SILVER BOWPREC_29,4,6,0,2,2,1,22,0,16,2,5,53,10,27,16,53
SILVER BOWPREC_2E,121,106,2,9,3,3,69,6,256,7,28,185,227,86,256,185
SILVER BOWPREC_2W,134,135,2,2,3,3,86,4,290,5,51,207,269,96,290,207
SILVER BOWPREC_3,114,91,1,7,2,4,51,2,235,1,20,154,205,65,235,154
SILVER BOWPREC_4,295,219,5,23,8,13,176,7,570,18,64,356,514,225,570,356
SILVER BOWPREC_6,471,374,14,29,28,22,222,7,938,13,104,562,845,315,938,562
SILVER BOWPREC_8E,513,307,11,37,32,26,329,4,946,15,100,635,820,435,946,635
SILVER BOWPREC_8W,287,249,3,16,10,7,226,8,575,20,75,545,536,262,575,545
SILVER BOWPREC_9E,107,102,6,18,17,6,157,4,239,8,38,281,209,204,239,281
SILVER BOWPREC_9N,198,136,7,21,15,6,188,1,332,12,42,370,334,237,332,370
SILVER BOWPREC_9W,27,11,0,4,1,0,11,2,38,1,8,17,38,16,38,17
STILLWATERABSAROKEE PRECINCT 13,56,61,2,39,33,16,290,0,187,11,46,615,117,380,187,615
STILLWATERCOLUMBUS PRECINCT 1,100,109,16,89,50,31,743,6,363,9,99,1649,209,929,363,1649
STILLWATERFISHTAIL PRECINCT 11,15,14,1,13,5,2,50,0,46,0,10,133,29,71,46,133
STILLWATERMOLT PRECINCT 7,0,5,0,4,2,1,26,0,6,0,2,62,5,33,6,62
STILLWATERNYE PRECINCT 10,15,16,0,5,4,2,43,0,46,2,6,86,31,54,46,86
STILLWATERPARK CITY PRECINCT 2,86,86,8,44,21,11,362,4,212,9,67,831,172,446,212,831
STILLWATERRAPELJE PRECINCT 9,4,9,2,9,6,3,81,0,17,0,9,139,13,101,17,139
STILLWATERREED POINT PRECINCT 4,15,7,6,12,4,2,67,1,31,4,12,146,22,91,31,146
SWEET GRASSPRECINCT 1,18,33,0,16,7,6,140,3,85,9,20,343,51,169,85,343
SWEET GRASSPRECINCT 2,27,29,1,27,23,5,119,0,108,4,23,281,56,175,108,281
SWEET GRASSPRECINCT 3,16,32,3,17,20,10,178,0,82,5,14,370,48,228,82,370
SWEET GRASSPRECINCT 4,35,33,7,22,12,8,155,0,96,4,13,364,68,204,96,364
SWEET GRASSPRECINCT 5,11,5,1,11,6,3,116,0,31,1,7,237,16,137,31,237
TETONPRECINCT #1,177,255,10,35,25,13,364,8,384,13,91,928,432,447,384,928
TETONPRECINCT #11,12,32,2,6,5,4,37,0,27,1,9,113,44,54,27,113
TETONPRECINCT #17,50,28,4,8,7,0,107,1,100,3,8,213,78,126,100,213
TETONPRECINCT #6,29,49,1,7,2,0,97,0,79,1,18,210,78,107,79,210
TETONPRECINCT #7,106,96,8,49,34,11,280,3,218,9,36,706,202,382,218,706
TOOLEDEVON-GALATA,13,6,1,6,7,6,63,0,25,0,6,101,19,83,25,101
TOOLEKEVIN,9,5,1,5,2,1,62,0,21,2,1,101,14,71,21,101
TOOLESHELBY CITY,72,57,30,44,53,28,484,4,258,20,65,838,129,639,258,838
TOOLESHELBY RURAL,10,11,1,13,4,5,90,0,24,3,8,142,21,113,24,142
TOOLESUNBURST,25,28,3,12,14,14,173,2,74,4,16,315,53,216,74,315
TREASUREPRECINCT # 3,1,2,0,0,1,0,4,0,3,0,0,33,3,5,3,33
TREASUREPRECINCT # 4,30,35,5,14,6,8,122,1,55,5,22,276,65,155,55,276
TREASUREPRECINCT # 6,3,6,0,1,0,0,18,0,1,1,4,42,9,19,1,42
VALLEY1-FORT PECK,63,79,1,18,9,4,196,0,158,5,30,393,142,228,158,393
VALLEY2-FRAZER,20,20,0,3,1,1,43,3,94,5,8,75,40,48,94,75
VALLEY3-HINSDALE,11,15,4,21,10,7,157,0,33,4,14,269,26,199,33,269
VALLEY4-GLASGOW,119,100,16,45,39,28,325,5,319,18,86,800,219,453,319,800
VALLEY5-GLASGOW NE,95,80,13,43,25,10,338,6,219,8,72,742,175,429,219,742
VALLEY6-NASHUA,23,28,3,8,0,2,73,0,41,2,15,174,51,86,41,174
VALLEY7-LUSTRE,3,1,3,10,4,3,47,0,3,0,0,94,4,67,3,94
VALLEY8-OPHEIM,10,15,2,13,8,3,72,0,19,2,9,151,25,98,19,151
WHEATLANDPRECINCT 1,1,3,2,1,1,2,33,0,5,0,5,61,4,39,5,61
WHEATLANDPRECINCT 2,23,23,5,20,14,2,153,2,92,8,21,290,46,194,92,290
WHEATLANDPRECINCT 3,5,2,1,5,2,1,40,0,17,2,1,69,7,49,17,69
WHEATLANDPRECINCT 4,9,10,0,3,2,2,63,1,27,1,4,102,19,70,27,102
WHEATLANDPRECINCT 9,10,14,4,7,8,8,92,3,38,3,12,180,24,119,38,180
WIBAUXPRECINCT #1,36,16,3,26,21,4,231,1,55,0,18,463,52,285,55,463
YELLOWSTONE39.1,10,6,2,15,4,1,72,0,21,1,4,151,16,94,21,151
YELLOWSTONE39.2,134,137,19,71,25,12,566,5,296,12,76,1242,271,693,296,1242
YELLOWSTONE40-45,74,55,5,43,15,11,297,2,188,6,40,626,129,371,188,626
YELLOWSTONE40.1,111,138,17,86,20,8,623,5,297,13,94,1319,249,754,297,1319
YELLOWSTONE40.3,20,28,4,15,5,4,122,0,49,1,17,266,48,150,49,266
YELLOWSTONE40.4,15,19,0,19,7,4,85,0,60,0,13,195,34,115,60,195
YELLOWSTONE40.5,13,10,0,15,1,3,51,1,28,0,12,150,23,70,28,150
YELLOWSTONE42.1,9,7,0,4,2,2,38,1,17,1,4,86,16,46,17,86
YELLOWSTONE42.2,14,16,0,7,5,1,65,0,59,1,8,169,30,78,59,169
YELLOWSTONE43.1,34,12,4,19,17,1,184,2,86,2,25,399,46,225,86,399
YELLOWSTONE43.2,88,83,7,33,14,14,270,2,165,11,35,530,171,338,165,530
YELLOWSTONE43.3,299,267,16,128,70,29,826,10,927,46,224,1941,566,1069,927,1941
YELLOWSTONE44.1,93,99,7,37,23,9,258,3,266,13,57,596,192,334,266,596
YELLOWSTONE44.2,222,205,9,83,47,26,509,7,627,37,161,1145,427,674,627,1145
YELLOWSTONE44.3,193,144,7,61,42,21,447,4,463,18,114,882,337,578,463,882
YELLOWSTONE45.2,386,330,45,162,129,61,1107,14,1181,51,285,2408,716,1504,1181,2408
YELLOWSTONE46.1,23,20,4,15,13,5,88,1,71,1,14,165,43,125,71,165
YELLOWSTONE46.2,837,540,54,168,283,107,1531,11,1971,50,281,3017,1377,2143,1971,3017
YELLOWSTONE47.1,207,229,9,29,27,12,183,7,724,46,94,571,436,260,724,571
YELLOWSTONE47.2,430,338,26,68,148,38,583,6,1159,19,152,1165,768,863,1159,1165
YELLOWSTONE48.1,394,421,24,85,57,27,458,10,1159,52,182,1105,815,651,1159,1105
YELLOWSTONE48.2,335,245,27,79,83,31,479,5,866,25,127,1107,580,699,866,1107
YELLOWSTONE49.1,222,243,3,36,43,12,191,10,726,44,132,584,465,285,726,584
YELLOWSTONE49.2,224,292,10,61,34,23,355,7,758,34,139,869,516,483,758,869
YELLOWSTONE50.1,240,276,11,61,27,15,303,5,702,59,165,850,516,417,702,850
YELLOWSTONE50.2,282,244,12,56,67,27,517,13,751,26,151,1101,526,679,751,1101
YELLOWSTONE51.1,140,133,8,30,22,6,260,16,425,19,74,652,273,326,425,652
YELLOWSTONE51.2,109,97,4,40,30,8,180,2,363,13,54,491,206,262,363,491
YELLOWSTONE51.3,202,208,8,67,33,28,401,8,613,29,150,984,410,537,613,984
YELLOWSTONE52.1,202,216,9,46,26,8,321,8,608,28,140,830,418,410,608,830
YELLOWSTONE52.2,311,254,15,81,46,25,589,8,780,34,118,1214,565,756,780,1214
YELLOWSTONE53.1,405,325,42,182,184,59,1392,13,1232,16,212,2978,730,1859,1232,2978
YELLOWSTONE53.2,84,107,5,78,32,17,460,5,258,14,84,1063,191,592,258,1063
YELLOWSTONE53.3,112,96,12,34,24,16,388,1,221,8,62,792,208,474,221,792
YELLOWSTONE54.1,563,432,41,165,128,66,1286,14,1516,49,276,2806,995,1686,1516,2806
YELLOWSTONE54.2,69,81,6,56,26,15,296,1,200,10,44,616,150,399,200,616
YELLOWSTONE55.1,37,33,5,12,8,5,133,0,118,4,24,385,70,163,118,385
YELLOWSTONE55.2,5,1,0,4,3,1,32,0,13,1,5,67,6,40,13,67
YELLOWSTONE55.3,102,82,9,60,24,21,310,3,234,15,60,743,184,424,234,743
YELLOWSTONE55.4,131,134,6,33,12,9,250,4,344,16,87,731,265,310,344,731
YELLOWSTONE55.5,199,164,11,82,47,15,421,5,501,11,115,1027,363,576,501,1027
YELLOWSTONE56.1,22,34,2,15,8,7,106,0,64,5,20,235,56,138,64,235
YELLOWSTONE56.2,274,318,21,138,63,30,882,14,849,51,150,2144,592,1134,849,2144
YELLOWSTONE56.3,82,65,10,31,29,10,261,6,215,6,35,523,147,341,215,523
