precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
POWDER RIVERPRECINCT12,5,9,8,18,15,4,165,0,27,0,14,291,14,210,27,291
POWELLPRECINCT #1.80,8,3,2,14,5,1,75,0,11,1,2,146,11,97,11,146
POWELLPRECINCT #10.80,6,1,0,5,0,0,31,1,9,0,3,70,7,36,9,70
POWELLPRECINCT #11.80,2,8,1,4,0,1,42,0,7,1,3,93,10,48,7,93
POWELLPRECINCT #12.80,4,13,0,6,2,0,52,0,20,2,8,116,17,60,20,116
POWELLPRECINCT #14.80,9,16,0,8,5,4,64,0,31,4,7,121,25,81,31,121
POWELLPRECINCT #16.78,17,12,0,4,1,0,34,1,34,2,13,89,29,39,34,89
POWELLPRECINCT #2.80,8,8,0,8,3,0,25,0,18,1,4,73,16,36,18,73
POWELLPRECINCT #3.78,22,38,6,8,5,3,113,2,68,6,26,279,60,135,68,279
POWELLPRECINCT #4.78,22,23,3,8,2,3,67,0,61,2,12,197,45,83,61,197
POWELLPRECINCT #5.78,33,35,2,8,12,7,88,1,97,8,26,215,68,117,97,215
POWELLPRECINCT #6.78,40,34,2,10,8,8,82,1,73,7,27,241,74,110,73,241
POWELLPRECINCT #7.78,16,38,2,11,3,3,79,4,76,7,22,234,54,98,76,234
POWELLPRECINCT #8.80,18,22,0,10,5,7,69,0,46,0,10,155,40,91,46,155
PRAIRIEPRECINCT NO. 1,15,16,2,6,5,6,56,1,41,0,8,125,31,75,41,125
PRAIRIEPRECINCT NO. 2,20,10,5,10,1,3,57,0,26,1,13,118,30,76,26,118
PRAIRIEPRECINCT NO. 3,7,8,1,3,1,2,65,0,19,0,1,134,15,72,19,134
PRAIRIEPRECINCT NO. 4,6,10,3,17,5,4,92,1,14,0,8,179,16,121,14,179
RAVALLIPCT 01,32,41,1,20,11,1,227,3,122,5,24,461,73,260,122,461
RAVALLIPCT 02,71,74,5,56,26,14,364,1,211,14,29,754,145,465,211,754
RAVALLIPCT 03,37,51,4,35,19,9,201,5,129,6,22,506,88,268,129,506
RAVALLIPCT 04,59,53,5,32,37,18,233,3,187,6,21,514,112,325,187,514
RAVALLIPCT 05,112,137,16,54,32,17,375,1,369,17,44,782,249,494,369,782
RAVALLIPCT 06,86,85,4,42,21,14,246,4,254,12,39,636,171,327,254,636
RAVALLIPCT 07,120,138,14,61,48,12,308,4,369,17,52,758,258,443,369,758
RAVALLIPCT 08,136,162,14,45,28,19,224,3,492,22,60,575,298,330,492,575
RAVALLIPCT 09,106,118,11,28,21,18,195,5,370,13,62,510,224,273,370,510
RAVALLIPCT 10,69,108,10,51,40,16,347,1,284,19,54,745,177,464,284,745
RAVALLIPCT 11,59,77,9,49,53,19,340,3,248,8,49,744,136,470,248,744
RAVALLIPCT 12,63,81,11,39,36,10,256,2,232,10,40,565,144,352,232,565
RAVALLIPCT 13,44,54,5,54,26,11,245,2,166,12,41,610,98,341,166,610
RAVALLIPCT 14,0,2,3,73,6,7,57,2,3,0,19,213,2,146,3,213
RAVALLIPCT 15,91,101,4,51,32,14,391,1,299,8,37,771,192,492,299,771
RAVALLIPCT 16,55,63,4,31,15,6,234,3,172,6,35,566,118,290,172,566
RAVALLIPCT 17,78,94,4,50,19,11,261,1,260,13,24,561,172,345,260,561
RAVALLIPCT 18,77,111,9,58,26,7,286,0,262,11,46,680,188,386,262,680
RAVALLIPCT 19,95,102,6,51,20,13,297,1,294,9,48,710,197,387,294,710
RAVALLIPCT 20,90,90,6,43,27,8,203,5,283,12,53,525,180,287,283,525
RAVALLIPCT 21,46,57,2,33,14,6,139,0,137,11,31,361,103,194,137,361
RAVALLIPCT 22,131,112,6,55,26,17,300,2,364,8,41,755,243,404,364,755
RAVALLIPCT 23,95,102,1,64,30,8,300,4,324,11,57,798,197,403,324,798
RAVALLIPCT 24,114,156,6,60,25,9,285,4,392,11,64,710,270,385,392,710
RICHLANDPRECINCT 01,9,9,1,12,7,2,48,1,35,3,22,165,18,70,35,165
RICHLANDPRECINCT 02,20,18,3,11,7,3,92,0,57,3,15,286,38,116,57,286
RICHLANDPRECINCT 03,19,22,5,12,8,7,117,1,73,2,26,311,41,149,73,311
RICHLANDPRECINCT 04,12,4,5,6,4,7,87,0,36,1,13,247,16,109,36,247
RICHLANDPRECINCT 05,21,11,1,20,7,1,97,1,48,2,14,278,32,126,48,278
RICHLANDPRECINCT 07,25,11,0,9,4,1,65,1,40,0,13,158,36,79,40,158
RICHLANDPRECINCT 08,31,16,5,25,18,18,188,0,87,3,35,466,47,254,87,466
RICHLANDPRECINCT 09,15,9,0,11,10,0,90,0,35,1,8,211,24,111,35,211
RICHLANDPRECINCT 12,15,24,1,4,4,5,161,0,73,2,25,479,39,175,73,479
RICHLANDPRECINCT 17,2,4,0,3,5,4,56,0,13,1,5,111,6,68,13,111
RICHLANDPRECINCT 19,6,8,3,3,5,1,53,1,14,1,2,101,14,65,14,101
RICHLANDPRECINCT 22,24,5,5,12,7,5,162,0,62,2,32,465,29,191,62,465
RICHLANDPRECINCT 23,19,17,0,25,23,13,222,1,98,2,29,630,36,283,98,630
ROOSEVELT02 BAINVILLE,16,12,0,8,2,0,63,1,33,1,15,195,28,73,33,195
ROOSEVELT10 FROID,11,18,1,1,1,4,69,1,38,1,10,139,29,76,38,139
ROOSEVELT12 CULBERTSON,38,20,4,4,11,3,159,1,91,0,27,387,58,181,91,387
ROOSEVELT15 BROCKTON,35,30,0,1,0,0,2,0,138,7,5,14,65,3,138,14
ROOSEVELT16 EAST POPLAR RURAL,23,32,0,0,1,0,13,1,163,9,6,52,55,14,163,52
ROOSEVELT17 NORTH POPLAR MINERAL BENCH,5,16,1,2,1,1,39,0,21,1,6,80,21,44,21,80
ROOSEVELT18 POPLAR,67,79,3,9,2,1,56,6,393,31,23,185,146,71,393,185
ROOSEVELT22 EAST & NE WOLF POINT RURAL,15,19,2,5,3,3,47,0,57,4,13,116,34,60,57,116
ROOSEVELT24 WOLF POINT SOUTHSIDE,37,47,0,3,1,2,35,2,183,15,24,135,84,41,183,135
ROOSEVELT26 WOLF POINT NORTHSIDE,42,73,2,12,2,4,147,2,167,14,42,287,115,167,167,287
ROOSEVELT27 WEST WOLF POINT RURAL,19,44,1,5,1,1,30,2,262,11,7,100,63,38,262,100
ROOSEVELT28 NORTH WOLF POINT RURAL (VICTORY),9,9,0,16,1,2,53,0,14,1,2,107,18,72,14,107
ROSEBUDPRECINCT 10,5,14,1,2,1,1,64,0,11,0,2,126,19,69,11,126
ROSEBUDPRECINCT 11,0,5,0,9,1,0,36,0,3,1,1,88,5,46,3,88
ROSEBUDPRECINCT 15,55,73,0,0,1,1,14,9,400,22,16,61,128,16,400,61
ROSEBUDPRECINCT 17,29,45,2,10,0,1,29,1,150,1,15,103,74,42,150,103
ROSEBUDPRECINCT 20,10,16,1,6,6,3,109,0,29,0,9,170,26,125,29,170
