state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
GA,Clinch,1678.0,989.0,505.0,449.0,0.5293501048218029,0.6291713535808025,954.0,2667.0
GA,Cobb,170957.0,141216.0,88956.0,80864.0,0.5238252267106348,0.5476354457304123,169820.0,312173.0
GA,Coffee,8872.0,4811.0,2880.0,2457.0,0.5396290050590219,0.6483958196301981,5337.0,13683.0
GA,Colquitt,9185.0,4139.0,4058.0,2651.0,0.6048591444328514,0.6893575502851996,6709.0,13324.0
GA,Columbia,39322.0,15703.0,19029.0,9205.0,0.6739746405043564,0.7146206269877329,28234.0,55025.0
GA,Cook,3782.0,2075.0,1330.0,1191.0,0.5275684252280841,0.6457230664162541,2521.0,5857.0
GA,Coweta,37571.0,15521.0,17918.0,9395.0,0.6560246036685827,0.7076584042793641,27313.0,53092.0
GA,Crawford,3358.0,1832.0,1285.0,1287.0,0.49961119751166405,0.6470134874759152,2572.0,5190.0
GA,Crisp,4424.0,3085.0,1698.0,1574.0,0.5189486552567237,0.5891596750565987,3272.0,7509.0
GA,Dade,4703.0,1612.0,1813.0,1202.0,0.6013266998341625,0.7447347585114806,3015.0,6315.0
GA,Dawson,8242.0,1632.0,3952.0,1247.0,0.7601461819580688,0.8347174397407332,5199.0,9874.0
GA,Decatur,5890.0,4424.0,2248.0,2408.0,0.48281786941580757,0.5710684506496024,4656.0,10314.0
GA,Dekalb,65581.0,254594.0,36581.0,148994.0,0.19712245722753605,0.2048286093542594,185575.0,320175.0
GA,Dodge,5543.0,2595.0,1879.0,1638.0,0.5342621552459482,0.6811255836814942,3517.0,8138.0
GA,Dooly,1991.0,2138.0,782.0,1193.0,0.3959493670886076,0.48219907968031,1975.0,4129.0
GA,Dougherty,12547.0,26135.0,6154.0,14944.0,0.291686415774007,0.32436275270151493,21098.0,38682.0
